time,SNUADC/ECG_V5,SNUADC/CVP,Solar8000/PLETH_HR,Solar8000/RR_CO2,SNUADC/ART,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,SNUADC/ECG_II,Solar8000/ART_DBP,Solar8000/CVP,Solar8000/ART_SBP,Solar8000/HR,Solar8000/ETCO2
0,NaN,NaN,,,NaN,,,NaN,,,,,
1,-4.9562602043151855,-495.6260070800781,,,-496.78717041015625,,,-4.9562602043151855,,,,,
2,-4.956240177154541,-495.6240234375,,,-496.7851867675781,,,-4.956240177154541,,,,,
3,NaN,NaN,91,,NaN,-16,97,NaN,,-18,,89,
4,NaN,NaN,,,NaN,,,NaN,,,,,
5,NaN,NaN,90,,NaN,-16,98,NaN,,-18,,89,
6,NaN,NaN,,,NaN,,,NaN,,,,,
7,NaN,NaN,89,,NaN,-16,98,NaN,,-18,,88,
8,NaN,NaN,,,NaN,,,NaN,,,,,
9,NaN,NaN,87,,NaN,-16,98,NaN,,-18,,86,
10,NaN,NaN,,,NaN,,,NaN,,,,,
11,NaN,NaN,84,,NaN,-16,97,NaN,-16,-18,-16,82,
12,NaN,NaN,,,NaN,,,NaN,,,,,
13,NaN,NaN,82,,NaN,-15,98,NaN,-15,-18,-15,81,
14,NaN,NaN,,,NaN,,,NaN,,,,,
15,NaN,NaN,83,,NaN,-15,98,NaN,-15,-18,-15,82,
16,NaN,NaN,,,NaN,,,NaN,,,,,
17,NaN,NaN,84,,NaN,-16,98,NaN,-16,-18,-16,82,
18,NaN,NaN,,,NaN,,,NaN,,,,,
19,NaN,NaN,86,,NaN,-16,97,NaN,-16,-18,-16,83,
20,NaN,NaN,,,NaN,,,NaN,,,,,
21,NaN,NaN,86,,NaN,-16,97,NaN,-16,-18,-16,83,
22,NaN,NaN,,,NaN,,,NaN,,,,,
23,NaN,NaN,85,,NaN,-16,98,NaN,-16,-18,-16,84,
24,NaN,NaN,,,NaN,,,NaN,,,,,
25,NaN,NaN,85,,NaN,-16,98,NaN,-16,-18,-16,84,
26,NaN,NaN,,,NaN,,,NaN,,,,,
27,NaN,NaN,85,,NaN,-16,98,NaN,-16,-18,-16,84,
28,NaN,NaN,,,NaN,,,NaN,,,,,
29,NaN,NaN,84,,NaN,-16,98,NaN,-16,-18,-16,83,
30,NaN,NaN,,,NaN,,,NaN,,,,,
31,NaN,NaN,84,,NaN,-16,98,NaN,-16,-18,-16,83,
32,NaN,NaN,,,NaN,,,NaN,,,,,
33,NaN,NaN,84,,NaN,-17,98,NaN,-17,-18,-17,82,
34,NaN,NaN,,,NaN,,,NaN,,,,,
35,NaN,NaN,85,,NaN,-17,98,NaN,-17,-18,-17,83,
36,NaN,NaN,,,NaN,,,NaN,,,,,
37,NaN,NaN,83,,NaN,-15,98,NaN,-15,-18,-15,82,
38,NaN,NaN,,,NaN,,,NaN,,,,,
39,NaN,NaN,81,,NaN,-15,98,NaN,-15,-18,-15,84,
40,NaN,NaN,,,NaN,,,NaN,,,,,
41,NaN,NaN,79,,NaN,-16,98,NaN,-16,-18,-16,80,
42,NaN,NaN,,,NaN,,,NaN,,,,,
43,NaN,NaN,79,,NaN,-16,98,NaN,-16,-18,-16,79,
44,NaN,NaN,,,NaN,,,NaN,,,,,
45,NaN,NaN,80,,NaN,-15,98,NaN,-15,-18,-15,79,
46,NaN,NaN,,,NaN,,,NaN,,,,,
47,NaN,NaN,83,,NaN,-15,99,NaN,-15,-18,-15,83,
48,NaN,NaN,,,NaN,,,NaN,,,,,
49,NaN,NaN,83,,NaN,-15,99,NaN,-15,-18,-15,83,
50,NaN,NaN,,,NaN,,,NaN,,,,,
51,NaN,NaN,83,,NaN,-15,100,NaN,-15,-18,-15,83,
52,NaN,NaN,,,NaN,,,NaN,,,,,
53,NaN,NaN,84,,NaN,-15,100,NaN,-15,-18,-15,83,
54,NaN,NaN,,,NaN,,,NaN,,,,,
55,NaN,NaN,84,,NaN,-10,100,NaN,-34,-18,14,83,
56,NaN,NaN,,,NaN,,,NaN,,,,,
57,NaN,NaN,84,,NaN,2,100,NaN,-19,-18,24,84,
58,NaN,NaN,,,NaN,,,NaN,,,,,
59,NaN,NaN,85,,NaN,0,100,NaN,-22,-18,15,85,
60,NaN,NaN,,,NaN,,,NaN,,,,,
61,NaN,NaN,87,,NaN,6,100,NaN,-51,-18,74,87,
62,NaN,NaN,,,NaN,,,NaN,,,,,
63,NaN,NaN,88,,NaN,16,100,NaN,-72,-18,146,89,
64,NaN,NaN,,,NaN,,,NaN,,,,,
65,NaN,NaN,88,,NaN,14,100,NaN,-34,-18,63,87,
66,NaN,NaN,,,NaN,,,NaN,,,,,
67,NaN,NaN,87,,NaN,6,100,NaN,,-18,,86,
68,NaN,NaN,,,NaN,,,NaN,,,,,
69,NaN,NaN,86,,NaN,5,100,NaN,,-18,,85,
70,NaN,NaN,,,NaN,,,NaN,,,,,
71,NaN,NaN,85,,NaN,5,100,NaN,,-18,,84,
72,NaN,NaN,,,NaN,,,NaN,,,,,
73,NaN,NaN,84,,NaN,5,100,NaN,,-18,,83,
74,NaN,NaN,,,NaN,,,NaN,,,,,
75,NaN,NaN,83,,NaN,5,100,NaN,,-18,,83,
76,NaN,NaN,,,NaN,,,NaN,,,,,
77,NaN,NaN,84,,NaN,5,100,NaN,,-18,,83,
78,NaN,NaN,,,NaN,,,NaN,,,,,
79,NaN,NaN,83,,NaN,6,100,NaN,6,-18,6,82,
80,NaN,NaN,,,NaN,,,NaN,,,,,
81,NaN,NaN,82,,NaN,6,100,NaN,6,-18,6,81,
82,NaN,NaN,,,NaN,,,NaN,,,,,
83,NaN,NaN,81,,NaN,8,100,NaN,8,-18,8,80,
84,NaN,NaN,,,NaN,,,NaN,,,,,
85,NaN,NaN,80,,NaN,8,100,NaN,8,-18,8,80,
86,NaN,NaN,,,NaN,,,NaN,,,,,
87,NaN,NaN,81,,NaN,7,100,NaN,5,-18,8,81,
88,NaN,NaN,,,NaN,,,NaN,,,,,
89,NaN,NaN,82,,NaN,7,100,NaN,5,-18,8,82,
90,NaN,NaN,,,NaN,,,NaN,,,,,
91,NaN,NaN,84,,NaN,6,100,NaN,1,-18,9,83,
92,NaN,NaN,,,NaN,,,NaN,,,,,
93,NaN,NaN,84,,NaN,5,100,NaN,-4,-18,14,83,
94,NaN,NaN,,,NaN,,,NaN,,,,,
95,NaN,NaN,84,,NaN,5,100,NaN,-4,-18,14,84,
96,NaN,NaN,,,NaN,,,NaN,,,,,
97,NaN,NaN,84,,NaN,2,100,NaN,-38,-18,63,84,
98,NaN,NaN,,,NaN,,,NaN,,,,,
99,NaN,NaN,84,,NaN,0,100,NaN,-36,-18,39,84,
100,NaN,NaN,,,NaN,,,NaN,,,,,
101,NaN,NaN,85,,NaN,0,100,NaN,-36,-18,39,84,
102,NaN,NaN,,,NaN,,,NaN,,,,,
103,NaN,NaN,85,,NaN,1,100,NaN,1,-18,1,84,
104,NaN,NaN,,,NaN,,,NaN,,,,,
105,NaN,NaN,85,,NaN,1,100,NaN,1,-18,1,84,
106,NaN,NaN,,,NaN,,,NaN,,,,,
107,NaN,NaN,85,,NaN,-3,100,NaN,-26,-18,18,84,
108,NaN,NaN,,,NaN,,,NaN,,,,,
109,NaN,NaN,84,,NaN,-3,100,NaN,-26,-18,18,83,
110,NaN,NaN,,,NaN,,,NaN,,,,,
111,NaN,NaN,83,,NaN,-3,100,NaN,-26,-18,18,82,
112,NaN,NaN,,,NaN,,,NaN,,,,,
113,NaN,NaN,83,,NaN,-5,100,NaN,-5,-18,-5,83,
114,NaN,NaN,,,NaN,,,NaN,,,,,
115,NaN,NaN,83,,NaN,-5,100,NaN,-5,-18,-5,82,
116,NaN,NaN,,,NaN,,,NaN,,,,,
117,NaN,NaN,81,,NaN,-5,100,NaN,-5,-18,-5,80,
118,NaN,NaN,,,NaN,,,NaN,,,,,
119,NaN,NaN,80,,NaN,-5,100,NaN,-5,-18,-5,78,
120,NaN,NaN,,,NaN,,,NaN,,,,,
121,NaN,NaN,78,,NaN,-5,100,NaN,-5,-18,-5,77,
122,NaN,NaN,,,NaN,,,NaN,,,,,
123,NaN,NaN,78,,NaN,-5,100,NaN,-5,-18,-5,78,
124,NaN,NaN,,,NaN,,,NaN,,,,,
125,NaN,NaN,78,,NaN,-5,100,NaN,-5,-18,-5,78,
126,NaN,NaN,,,NaN,,,NaN,,,,,
127,NaN,NaN,78,,NaN,-5,100,NaN,-5,-18,-5,77,
128,NaN,NaN,,,NaN,,,NaN,,,,,
129,NaN,NaN,78,,NaN,-6,100,NaN,-6,-18,-6,77,
130,NaN,NaN,,,NaN,,,NaN,,,,,
131,NaN,NaN,77,,NaN,-6,100,NaN,-6,-18,-6,77,
132,NaN,NaN,,,NaN,,,NaN,,,,,
133,NaN,NaN,78,,NaN,-6,100,NaN,-6,-18,-6,78,
134,NaN,NaN,,,NaN,,,NaN,,,,,
135,NaN,NaN,79,,NaN,-6,100,NaN,-6,-18,-6,79,
136,NaN,NaN,,,NaN,,,NaN,,,,,
137,NaN,NaN,80,,NaN,-6,100,NaN,-6,-18,-6,80,
138,NaN,NaN,,,NaN,,,NaN,,,,,
139,NaN,NaN,80,,NaN,-7,100,NaN,-23,-18,13,80,
140,NaN,NaN,,,NaN,,,NaN,,,,,
141,NaN,NaN,80,,NaN,-6,100,NaN,-30,-17,37,79,
142,NaN,NaN,,,NaN,,,NaN,,,,,
143,NaN,NaN,79,,NaN,-6,100,NaN,-30,-17,37,78,
144,NaN,NaN,,,NaN,,,NaN,,,,,
145,NaN,NaN,79,,NaN,6,100,NaN,6,-17,6,78,
146,NaN,NaN,,,NaN,,,NaN,,,,,
147,NaN,NaN,79,,NaN,6,100,NaN,6,-17,6,78,
148,NaN,NaN,,,NaN,,,NaN,,,,,
149,NaN,NaN,79,,NaN,7,100,NaN,7,-17,7,78,
150,NaN,NaN,,,NaN,,,NaN,,,,,
151,NaN,NaN,78,,NaN,7,100,NaN,7,-17,7,77,
152,NaN,NaN,,,NaN,,,NaN,,,,,
153,NaN,NaN,77,,NaN,9,100,NaN,9,-18,9,76,
154,NaN,NaN,,,NaN,,,NaN,,,,,
155,NaN,NaN,76,,NaN,9,100,NaN,9,-18,9,75,
156,NaN,NaN,,,NaN,,,NaN,,,,,
157,NaN,NaN,75,,NaN,8,100,NaN,8,-18,8,75,
158,NaN,NaN,,,NaN,,,NaN,,,,,
159,NaN,NaN,75,,NaN,8,100,NaN,8,-18,8,75,
160,NaN,NaN,,,NaN,,,NaN,,,,,
161,NaN,NaN,75,,NaN,10,100,NaN,10,-18,10,75,
162,NaN,NaN,,,NaN,,,NaN,,,,,
163,NaN,NaN,76,,NaN,8,100,NaN,-3,-18,19,76,
164,NaN,NaN,,,NaN,,,NaN,,,,,
165,NaN,NaN,77,,NaN,8,100,NaN,4,-18,10,77,
166,NaN,NaN,,,NaN,,,NaN,,,,,
167,NaN,NaN,79,,NaN,7,100,NaN,-2,-18,9,78,
168,NaN,NaN,,,NaN,,,NaN,,,,,
169,NaN,NaN,79,,NaN,8,100,NaN,-22,-18,35,79,
170,NaN,NaN,,,NaN,,,NaN,,,,,
171,NaN,NaN,79,,NaN,8,100,NaN,-22,-18,35,79,
172,NaN,NaN,,,NaN,,,NaN,,,,,
173,NaN,NaN,79,,NaN,7,100,NaN,7,-18,7,78,
174,NaN,NaN,,,NaN,,,NaN,,,,,
175,NaN,NaN,77,,NaN,7,100,NaN,7,-18,7,76,
176,NaN,NaN,,,NaN,,,NaN,,,,,
177,NaN,NaN,76,,NaN,7,100,NaN,7,-18,7,75,
178,NaN,NaN,,,NaN,,,NaN,,,,,
179,NaN,NaN,76,,NaN,7,100,NaN,7,-18,7,75,
180,NaN,NaN,,,NaN,,,NaN,,,,,
181,NaN,NaN,76,,NaN,7,100,NaN,4,-18,9,76,
182,NaN,NaN,,,NaN,,,NaN,,,,,
183,NaN,NaN,76,,NaN,6,100,NaN,3,-18,9,76,
184,NaN,NaN,,,NaN,,,NaN,,,,,
185,NaN,NaN,77,,NaN,6,100,NaN,2,-18,10,76,
186,NaN,NaN,,,NaN,,,NaN,,,,,
187,NaN,NaN,77,,NaN,6,100,NaN,2,-18,10,77,
188,NaN,NaN,,,NaN,,,NaN,,,,,
189,NaN,NaN,77,,NaN,6,100,NaN,6,-18,6,77,
190,NaN,NaN,,,NaN,,,NaN,,,,,
191,NaN,NaN,78,,NaN,6,100,NaN,6,-18,6,77,
192,NaN,NaN,,,NaN,,,NaN,,,,,
193,NaN,NaN,78,,NaN,6,100,NaN,6,-18,6,77,
194,NaN,NaN,,,NaN,,,NaN,,,,,
195,NaN,NaN,78,,NaN,6,100,NaN,6,-18,6,78,
196,NaN,NaN,,,NaN,,,NaN,,,,,
197,NaN,NaN,79,,NaN,7,100,NaN,7,-18,7,79,
198,NaN,NaN,,,NaN,,,NaN,,,,,
199,NaN,NaN,80,,NaN,7,100,NaN,7,-18,7,79,
200,NaN,NaN,,,NaN,,,NaN,,,,,
201,NaN,NaN,80,,NaN,7,100,NaN,7,-18,7,80,
202,NaN,NaN,,,NaN,,,NaN,,,,,
203,NaN,NaN,80,,NaN,7,100,NaN,7,-18,7,80,
204,NaN,NaN,,,NaN,,,NaN,,,,,
205,NaN,NaN,81,,NaN,7,100,NaN,7,-18,7,80,
206,NaN,NaN,,,NaN,,,NaN,,,,,
207,NaN,NaN,80,,NaN,7,100,NaN,7,-18,7,80,
208,NaN,NaN,,,NaN,,,NaN,,,,,
209,NaN,NaN,80,,NaN,7,100,NaN,7,-18,7,79,
210,NaN,NaN,,,NaN,,,NaN,,,,,
211,NaN,NaN,79,,NaN,7,100,NaN,7,-18,7,78,
212,NaN,NaN,,,NaN,,,NaN,,,,,
213,NaN,NaN,78,,NaN,7,100,NaN,7,-18,7,78,
214,NaN,NaN,,,NaN,,,NaN,,,,,
215,NaN,NaN,78,,NaN,7,100,NaN,7,-18,7,77,
216,NaN,NaN,,,NaN,,,NaN,,,,,
217,NaN,NaN,78,,NaN,6,100,NaN,-3,-17,12,78,
218,NaN,NaN,,,NaN,,,NaN,,,,,
219,NaN,NaN,78,,NaN,6,100,NaN,-3,-17,12,78,
220,NaN,NaN,,,NaN,,,NaN,,,,,
221,NaN,NaN,79,,NaN,6,100,NaN,6,-17,6,79,
222,NaN,NaN,,,NaN,,,NaN,,,,,
223,NaN,NaN,79,,NaN,6,100,NaN,6,-17,6,79,
224,NaN,NaN,,,NaN,,,NaN,,,,,
225,NaN,NaN,79,,NaN,6,100,NaN,6,-17,6,79,
226,NaN,NaN,,,NaN,,,NaN,,,,,
227,NaN,NaN,79,,NaN,6,100,NaN,6,-17,6,79,
228,NaN,NaN,,,NaN,,,NaN,,,,,
229,NaN,NaN,79,,NaN,13,100,NaN,6,-17,39,79,
230,NaN,NaN,,,NaN,,,NaN,,,,,
231,NaN,NaN,79,,NaN,14,100,NaN,7,-17,35,79,
232,NaN,NaN,,,NaN,,,NaN,,,,,
233,NaN,NaN,79,,NaN,14,100,NaN,9,-17,28,79,
234,NaN,NaN,,,NaN,,,NaN,,,,,
235,NaN,NaN,79,,NaN,14,100,NaN,9,-17,28,79,
236,NaN,NaN,,,NaN,,,NaN,,,,,
237,NaN,NaN,79,,NaN,16,100,NaN,16,-17,16,79,
238,NaN,NaN,,,NaN,,,NaN,,,,,
239,NaN,NaN,79,,NaN,16,100,NaN,16,-17,16,78,
240,NaN,NaN,,,NaN,,,NaN,,,,,
241,NaN,NaN,79,,NaN,18,100,NaN,-15,-17,40,78,
242,NaN,NaN,,,NaN,,,NaN,,,,,
243,NaN,NaN,79,,NaN,3,100,NaN,-84,-17,104,78,
244,NaN,NaN,,,NaN,,,NaN,,,,,
245,NaN,NaN,79,,NaN,-36,100,NaN,,-17,67,79,
246,NaN,NaN,,,NaN,,,NaN,,,,,
247,NaN,NaN,79,,NaN,-15,100,NaN,-43,-17,28,79,
248,NaN,NaN,,,NaN,,,NaN,,,,,
249,NaN,NaN,79,,NaN,-12,100,NaN,-34,-17,13,79,
250,NaN,NaN,,,NaN,,,NaN,,,,,
251,NaN,NaN,79,,NaN,-12,100,NaN,,-17,,78,
252,NaN,NaN,,,NaN,,,NaN,,,,,
253,NaN,NaN,79,,NaN,-7,100,NaN,,-17,,78,
254,NaN,NaN,,,NaN,,,NaN,,,,,
255,NaN,NaN,79,,NaN,-7,100,NaN,,-17,,78,
256,NaN,NaN,,,NaN,,,NaN,,,,,
257,NaN,NaN,78,,NaN,-7,100,NaN,,-17,,78,
258,NaN,NaN,,,NaN,,,NaN,,,,,
259,NaN,NaN,78,,NaN,-7,100,NaN,,-17,,77,
260,NaN,NaN,,,NaN,,,NaN,,,,,
261,NaN,NaN,78,,NaN,-6,100,NaN,,-17,,77,
262,NaN,NaN,,,NaN,,,NaN,,,,,
263,NaN,NaN,77,,NaN,-7,100,NaN,-13,-17,-3,77,
264,NaN,NaN,,,NaN,,,NaN,,,,,
265,NaN,NaN,77,,NaN,-7,100,NaN,-10,-17,-4,76,
266,NaN,NaN,,,NaN,,,NaN,,,,,
267,NaN,NaN,77,,NaN,-8,100,NaN,-30,-17,9,77,
268,NaN,NaN,,,NaN,,,NaN,,,,,
269,NaN,NaN,78,,NaN,-7,100,NaN,,-18,,77,
270,NaN,NaN,,,NaN,,,NaN,,,,,
271,NaN,NaN,78,,NaN,-7,100,NaN,,-18,,78,
272,NaN,NaN,,,NaN,,,NaN,,,,,
273,NaN,NaN,78,,NaN,-8,100,NaN,,-18,,78,
274,NaN,NaN,,,NaN,,,NaN,,,,,
275,NaN,NaN,78,,NaN,-8,100,NaN,,-18,,78,
276,NaN,NaN,,,NaN,,,NaN,,,,,
277,NaN,NaN,78,,NaN,-8,100,NaN,,-19,,78,
278,NaN,NaN,,,NaN,,,NaN,,,,,
279,NaN,NaN,78,,NaN,-8,100,NaN,-17,-19,1,78,
280,NaN,NaN,,,NaN,,,NaN,,,,,
281,NaN,NaN,78,,NaN,-8,100,NaN,-14,-18,0,78,
282,NaN,NaN,,,NaN,,,NaN,,,,,
283,NaN,NaN,78,,NaN,-9,100,NaN,,-18,,78,
284,NaN,NaN,,,NaN,,,NaN,,,,,
285,NaN,NaN,79,,NaN,8,100,NaN,,-18,,78,
286,NaN,NaN,,,NaN,,,NaN,,,,,
287,NaN,NaN,79,,NaN,9,100,NaN,,-18,,79,
288,NaN,NaN,,,NaN,,,NaN,,,,,
289,NaN,NaN,80,,NaN,9,100,NaN,,-18,,81,
290,NaN,NaN,,,NaN,,,NaN,,,,,
291,NaN,NaN,82,,NaN,11,100,NaN,,-18,,82,
292,NaN,NaN,,,NaN,,,NaN,,,,,
293,NaN,NaN,84,,NaN,10,100,NaN,,-17,,84,
294,NaN,NaN,,,NaN,,,NaN,,,,,
295,NaN,NaN,86,,NaN,10,100,NaN,,-17,,85,5
296,NaN,NaN,,,NaN,,,NaN,,,,,
297,NaN,NaN,88,,NaN,7,100,NaN,,-17,,87,5
298,NaN,NaN,,,NaN,,,NaN,,,,,
299,NaN,NaN,89,,NaN,5,100,NaN,,-17,,90,5
300,NaN,NaN,,,NaN,,,NaN,,,,,
301,NaN,NaN,91,,NaN,4,100,NaN,,-17,,91,33
302,NaN,NaN,,,NaN,,,NaN,,,,,
303,NaN,NaN,93,,NaN,3,100,NaN,1,-17,5,93,33
304,NaN,NaN,,,NaN,,,NaN,,,,,
305,NaN,NaN,95,,NaN,4,100,NaN,2,-17,7,94,33
306,NaN,NaN,,,NaN,,,NaN,,,,,
307,NaN,NaN,96,6,NaN,3,100,NaN,2,-17,5,96,36
308,NaN,NaN,,,NaN,,,NaN,,,,,
309,NaN,NaN,97,6,NaN,3,100,NaN,1,-17,6,97,36
310,NaN,NaN,,,NaN,,,NaN,,,,,
311,NaN,NaN,98,6,NaN,5,100,NaN,3,-17,8,97,36
312,NaN,NaN,,,NaN,,,NaN,,,,,
313,NaN,NaN,99,5,NaN,5,100,NaN,2,-17,9,98,36
314,NaN,NaN,,,NaN,,,NaN,,,,,
315,NaN,NaN,99,5,NaN,5,100,NaN,3,-17,6,99,36
316,NaN,NaN,,,NaN,,,NaN,,,,,
317,NaN,NaN,99,5,NaN,4,100,NaN,1,-17,8,99,36
318,NaN,NaN,,,NaN,,,NaN,,,,,
319,NaN,NaN,100,6,NaN,4,100,NaN,2,-17,6,100,36
320,NaN,NaN,,,NaN,,,NaN,,,,,
321,NaN,NaN,100,6,NaN,4,100,NaN,-4,-17,13,100,36
322,NaN,NaN,,,NaN,,,NaN,,,,,
323,NaN,NaN,100,6,NaN,4,100,NaN,3,-18,8,100,36
324,NaN,NaN,,,NaN,,,NaN,,,,,
325,NaN,NaN,100,9,NaN,4,100,NaN,0,-18,10,100,37
326,NaN,NaN,,,NaN,,,NaN,,,,,
327,NaN,NaN,101,9,NaN,4,100,NaN,2,-17,8,100,37
328,NaN,NaN,,,NaN,,,NaN,,,,,
329,NaN,NaN,101,9,NaN,4,100,NaN,3,-17,6,100,37
330,NaN,NaN,,,NaN,,,NaN,,,,,
331,NaN,NaN,101,12,NaN,4,100,NaN,3,-17,6,101,36
332,NaN,NaN,,,NaN,,,NaN,,,,,
333,NaN,NaN,101,12,NaN,4,100,NaN,3,-17,6,101,36
334,NaN,NaN,,,NaN,,,NaN,,,,,
335,NaN,NaN,101,12,NaN,4,100,NaN,3,-17,6,101,36
336,NaN,NaN,,,NaN,,,NaN,,,,,
337,NaN,NaN,101,13,NaN,4,100,NaN,-4,-18,11,101,36
338,NaN,NaN,,,NaN,,,NaN,,,,,
339,NaN,NaN,101,13,NaN,4,100,NaN,-4,-18,11,101,36
340,NaN,NaN,,,NaN,,,NaN,,,,,
341,NaN,NaN,102,13,NaN,4,100,NaN,-4,-17,11,101,36
342,NaN,NaN,,,NaN,,,NaN,,,,,
343,NaN,NaN,102,14,NaN,-9,100,NaN,,-17,,101,36
344,NaN,NaN,,,NaN,,,NaN,,,,,
345,NaN,NaN,102,14,NaN,-41,100,NaN,,-17,,101,36
346,NaN,NaN,,,NaN,,,NaN,,,,,
347,NaN,NaN,101,14,NaN,-41,100,NaN,,-17,,101,36
348,NaN,NaN,,,NaN,,,NaN,,,,,
349,NaN,NaN,101,14,NaN,-42,100,NaN,,-17,,101,36
350,NaN,NaN,,,NaN,,,NaN,,,,,
351,NaN,NaN,101,14,NaN,-41,100,NaN,,-17,,101,36
352,NaN,NaN,,,NaN,,,NaN,,,,,
353,NaN,NaN,101,14,NaN,-41,100,NaN,,-18,,101,36
354,NaN,NaN,,,NaN,,,NaN,,,,,
355,NaN,NaN,102,14,NaN,-37,100,NaN,-37,-18,-37,101,36
356,NaN,NaN,,,NaN,,,NaN,,,,,
357,NaN,NaN,102,14,NaN,-37,100,NaN,-37,-18,-37,101,36
358,NaN,NaN,,,NaN,,,NaN,,,,,
359,NaN,NaN,103,14,NaN,-37,100,NaN,-56,-18,-19,101,36
360,NaN,NaN,,,NaN,,,NaN,,,,,
361,NaN,NaN,107,14,NaN,-38,100,NaN,-53,-18,-12,101,36
362,NaN,NaN,,,NaN,,,NaN,,,,,
363,NaN,NaN,106,14,NaN,-38,100,NaN,-54,-18,-19,101,36
364,NaN,NaN,,,NaN,,,NaN,,,,,
365,NaN,NaN,104,14,NaN,-38,100,NaN,-44,-18,-30,101,36
366,NaN,NaN,,,NaN,,,NaN,,,,,
367,NaN,NaN,100,14,NaN,-38,100,NaN,-49,-18,-27,100,36
368,NaN,NaN,,,NaN,,,NaN,,,,,
369,NaN,NaN,100,14,NaN,-38,100,NaN,-49,-18,-27,100,37
370,NaN,NaN,,,NaN,,,NaN,,,,,
371,NaN,NaN,100,14,NaN,-39,100,NaN,-42,-18,-36,101,37
372,NaN,NaN,,,NaN,,,NaN,,,,,
373,NaN,NaN,100,14,NaN,-39,100,NaN,-42,-18,-38,100,37
374,NaN,NaN,,,NaN,,,NaN,,,,,
375,NaN,NaN,100,14,NaN,-39,100,NaN,,-18,,100,37
376,NaN,NaN,,,NaN,,,NaN,,,,,
377,NaN,NaN,100,14,NaN,-40,100,NaN,,-18,,100,37
378,NaN,NaN,,,NaN,,,NaN,,,,,
379,NaN,NaN,100,14,NaN,-40,100,NaN,,-18,,100,37
380,NaN,NaN,,,NaN,,,NaN,,,,,
381,NaN,NaN,100,14,NaN,-40,100,NaN,,-18,,100,38
382,NaN,NaN,,,NaN,,,NaN,,,,,
383,NaN,NaN,100,14,NaN,-40,100,NaN,,-18,,100,38
384,NaN,NaN,,,NaN,,,NaN,,,,,
385,NaN,NaN,101,14,NaN,-40,100,NaN,,-18,,100,38
386,NaN,NaN,,,NaN,,,NaN,,,,,
387,NaN,NaN,101,14,NaN,-40,100,NaN,-40,-18,-40,99,37
388,NaN,NaN,,,NaN,,,NaN,,,,,
389,NaN,NaN,101,14,NaN,-13,100,NaN,-10,-18,25,99,37
390,NaN,NaN,,,NaN,,,NaN,,,,,
391,NaN,NaN,101,14,NaN,2,100,NaN,-31,-18,56,99,37
392,NaN,NaN,,,NaN,,,NaN,,,,,
393,NaN,NaN,100,14,NaN,9,100,NaN,-26,-18,57,99,36
394,NaN,NaN,,,NaN,,,NaN,,,,,
395,NaN,NaN,100,14,NaN,9,100,NaN,-28,-18,49,99,36
396,NaN,NaN,,,NaN,,,NaN,,,,,
397,NaN,NaN,100,14,NaN,9,100,NaN,,-18,,99,36
398,NaN,NaN,,,NaN,,,NaN,,,,,
399,NaN,NaN,100,14,NaN,132,100,NaN,,-18,,99,36
400,NaN,NaN,,,NaN,,,NaN,,,,,
401,NaN,NaN,99,14,NaN,130,100,NaN,,-18,,99,36
402,NaN,NaN,,,NaN,,,NaN,,,,,
403,NaN,NaN,99,14,NaN,130,100,NaN,,-18,,99,36
404,NaN,NaN,,,NaN,,,NaN,,,,,
405,NaN,NaN,99,14,NaN,131,100,NaN,,-18,,99,36
406,NaN,NaN,,,NaN,,,NaN,,,,,
407,NaN,NaN,99,14,NaN,135,100,NaN,,-18,,99,36
408,NaN,NaN,,,NaN,,,NaN,,,,,
409,NaN,NaN,99,14,NaN,136,100,NaN,84,-18,216,98,36
410,NaN,NaN,,,NaN,,,NaN,,,,,
411,NaN,NaN,99,14,NaN,134,100,NaN,84,-18,196,98,37
412,NaN,NaN,,,NaN,,,NaN,,,,,
413,NaN,NaN,99,14,NaN,132,100,NaN,85,-18,191,98,37
414,NaN,NaN,,,NaN,,,NaN,,,,,
415,NaN,NaN,99,14,NaN,131,100,NaN,86,-18,192,98,37
416,NaN,NaN,,,NaN,,,NaN,,,,,
417,NaN,NaN,99,14,NaN,131,100,NaN,85,-18,192,98,37
418,NaN,NaN,,,NaN,,,NaN,,,,,
419,NaN,NaN,99,14,NaN,131,100,NaN,85,-18,192,98,37
420,NaN,NaN,,,NaN,,,NaN,,,,,
421,NaN,NaN,99,14,NaN,131,100,NaN,83,-18,191,98,37
422,NaN,NaN,,,NaN,,,NaN,,,,,
423,NaN,NaN,99,14,NaN,131,100,NaN,84,-18,192,98,37
424,NaN,NaN,,,NaN,,,NaN,,,,,
425,NaN,NaN,99,14,NaN,130,100,NaN,84,-18,192,98,37
426,NaN,NaN,,,NaN,,,NaN,,,,,
427,NaN,NaN,98,14,NaN,130,100,NaN,83,-18,190,98,37
428,NaN,NaN,,,NaN,,,NaN,,,,,
429,NaN,NaN,98,14,NaN,131,100,NaN,84,-18,192,98,37
430,NaN,NaN,,,NaN,,,NaN,,,,,
431,NaN,NaN,98,14,NaN,131,100,NaN,80,-18,188,97,36
432,NaN,NaN,,,NaN,,,NaN,,,,,
433,NaN,NaN,98,14,NaN,131,100,NaN,82,-18,192,97,36
434,NaN,NaN,,,NaN,,,NaN,,,,,
435,NaN,NaN,98,14,NaN,130,100,NaN,83,-18,192,97,36
436,NaN,NaN,,,NaN,,,NaN,,,,,
