time,Solar8000/PLETH_SPO2,Solar8000/ETCO2,SNUADC/ECG_V5,Solar8000/PLETH_HR,SNUADC/ART,Solar8000/ART_SBP,Solar8000/ART_DBP,SNUADC/ECG_II,Solar8000/RR_CO2,Solar8000/HR,Solar8000/ART_MBP,SNUADC/CVP,Solar8000/CVP
91,99,0,NaN,81,NaN,-3,-3,NaN,,81,-3,NaN,-22
92,,,NaN,,NaN,,,NaN,,,,NaN,
93,99,0,NaN,81,NaN,-3,-3,NaN,,81,-3,NaN,-22
94,,,NaN,,NaN,,,NaN,,,,NaN,
95,99,0,NaN,82,NaN,-2,-6,NaN,,82,-4,NaN,-22
96,,,NaN,,NaN,,,NaN,,,,NaN,
97,99,0,NaN,83,NaN,-2,-6,NaN,,82,-4,NaN,-22
98,,,NaN,,NaN,,,NaN,,,,NaN,
99,99,0,NaN,84,NaN,-4,-4,NaN,,83,-4,NaN,-21
100,,,NaN,,NaN,,,NaN,,,,NaN,
101,99,0,NaN,84,NaN,-4,-4,NaN,,83,-4,NaN,-21
102,,,NaN,,NaN,,,NaN,,,,NaN,
103,99,0,NaN,83,NaN,-4,-4,NaN,,82,-4,NaN,-22
104,,,NaN,,NaN,,,NaN,,,,NaN,
105,99,1,NaN,83,NaN,-4,-4,NaN,,81,-4,NaN,-22
106,,,NaN,,NaN,,,NaN,,,,NaN,
107,99,1,NaN,81,NaN,-2,-2,NaN,,80,-2,NaN,-22
108,,,NaN,,NaN,,,NaN,,,,NaN,
109,99,1,NaN,80,NaN,-2,-2,NaN,,79,-2,NaN,-22
110,,,NaN,,NaN,,,NaN,,,,NaN,
111,99,1,NaN,79,NaN,-3,-3,NaN,,78,-3,NaN,-22
112,,,NaN,,NaN,,,NaN,,,,NaN,
113,99,,NaN,78,NaN,-2,-5,NaN,,77,-3,NaN,-22
114,,,NaN,,NaN,,,NaN,,,,NaN,
115,99,,NaN,78,NaN,-2,-5,NaN,,76,-3,NaN,-21
116,,,NaN,,NaN,,,NaN,,,,NaN,
117,99,,NaN,76,NaN,-3,-3,NaN,,76,-3,NaN,-21
118,,,NaN,,NaN,,,NaN,,,,NaN,
119,99,,NaN,76,NaN,-3,-5,NaN,,76,-3,NaN,-21
120,,,NaN,,NaN,,,NaN,,,,NaN,
121,98,,NaN,75,NaN,-3,-5,NaN,,75,-3,NaN,-21
122,,,NaN,,NaN,,,NaN,,,,NaN,
123,98,,NaN,74,NaN,-2,-5,NaN,,75,-3,NaN,-22
124,,,NaN,,NaN,,,NaN,,,,NaN,
125,98,,NaN,75,NaN,-2,-5,NaN,,75,-3,NaN,-22
126,,,NaN,,NaN,,,NaN,,,,NaN,
127,99,,NaN,75,NaN,-4,-4,NaN,,75,-4,NaN,-22
128,,,NaN,,NaN,,,NaN,,,,NaN,
129,99,,NaN,75,NaN,-4,-4,NaN,,75,-4,NaN,-22
130,,,NaN,,NaN,,,NaN,,,,NaN,
131,99,,NaN,74,NaN,-2,-2,NaN,,73,-2,NaN,-22
132,,,NaN,,NaN,,,NaN,,,,NaN,
133,99,,NaN,74,NaN,-2,-2,NaN,,73,-2,NaN,-22
134,,,NaN,,NaN,,,NaN,,,,NaN,
135,100,,NaN,74,NaN,-3,-3,NaN,,73,-3,NaN,-22
136,,,NaN,,NaN,,,NaN,,,,NaN,
137,100,,NaN,74,NaN,-3,-3,NaN,,73,-3,NaN,-21
138,,,NaN,,NaN,,,NaN,,,,NaN,
139,100,,NaN,73,NaN,-3,-3,NaN,,73,-3,NaN,-21
140,,,NaN,,NaN,,,NaN,,,,NaN,
141,100,,NaN,73,NaN,-3,-3,NaN,,72,-3,NaN,-21
142,,,NaN,,NaN,,,NaN,,,,NaN,
143,100,,NaN,72,NaN,-3,-3,NaN,,71,-3,NaN,-21
144,,,NaN,,NaN,,,NaN,,,,NaN,
145,100,,NaN,71,NaN,-3,-3,NaN,,70,-3,NaN,-22
146,,,NaN,,NaN,,,NaN,,,,NaN,
147,100,,NaN,71,NaN,-4,-4,NaN,,70,-4,NaN,-22
148,,,NaN,,NaN,,,NaN,,,,NaN,
149,100,,NaN,71,NaN,-3,-5,NaN,,71,-4,NaN,-22
150,,,NaN,,NaN,,,NaN,,,,NaN,
151,100,,NaN,72,NaN,-3,-5,NaN,,72,-4,NaN,-22
152,,,NaN,,NaN,,,NaN,,,,NaN,
153,100,,NaN,73,NaN,1,-4,NaN,,72,-3,NaN,-22
154,,,NaN,,NaN,,,NaN,,,,NaN,
155,100,,NaN,74,NaN,-1,-5,NaN,,73,-3,NaN,-22
156,,,NaN,,NaN,,,NaN,,,,NaN,
157,100,,NaN,75,NaN,-1,-5,NaN,,75,-3,NaN,-21
158,,,NaN,,NaN,,,NaN,,,,NaN,
159,100,,NaN,75,NaN,-1,-5,NaN,,76,-3,NaN,-21
160,,,NaN,,NaN,,,NaN,,,,NaN,
161,100,,NaN,77,NaN,-1,-5,NaN,,77,-3,NaN,-22
162,,,NaN,,NaN,,,NaN,,,,NaN,
163,100,,NaN,78,NaN,,,NaN,,78,-3,NaN,-22
164,,,NaN,,NaN,,,NaN,,,,NaN,
165,100,,NaN,78,NaN,,,NaN,,79,-4,NaN,-22
166,,,NaN,,NaN,,,NaN,,,,NaN,
167,100,,NaN,79,NaN,,,NaN,,80,-4,NaN,-22
168,,,NaN,,NaN,,,NaN,,,,NaN,
169,100,,NaN,81,NaN,,,NaN,,80,-4,NaN,-22
170,,,NaN,,NaN,,,NaN,,,,NaN,
171,100,,NaN,81,NaN,,,NaN,,80,-4,NaN,-22
172,,,NaN,,NaN,,,NaN,,,,NaN,
173,100,,NaN,81,NaN,,,NaN,,81,-3,NaN,-22
174,,,NaN,,NaN,,,NaN,,,,NaN,
175,100,,NaN,81,NaN,-3,-3,NaN,,81,-3,NaN,-21
176,,,NaN,,NaN,,,NaN,,,,NaN,
177,100,,NaN,81,NaN,-3,-3,NaN,,80,-3,NaN,-21
178,,,NaN,,NaN,,,NaN,,,,NaN,
179,100,,NaN,80,NaN,-3,-3,NaN,,80,-3,NaN,-21
180,,,NaN,,NaN,,,NaN,,,,NaN,
181,100,,NaN,80,NaN,-3,-3,NaN,,79,-3,NaN,-21
182,,,NaN,,NaN,,,NaN,,,,NaN,
183,100,,NaN,80,NaN,-3,-3,NaN,,79,-3,NaN,-22
184,,,NaN,,NaN,,,NaN,,,,NaN,
185,100,,NaN,79,NaN,-3,-3,NaN,,78,-3,NaN,-22
186,,,NaN,,NaN,,,NaN,,,,NaN,
187,100,,NaN,78,NaN,-3,-3,NaN,,77,-3,NaN,-22
188,,,NaN,,NaN,,,NaN,,,,NaN,
189,100,,NaN,77,NaN,-4,-4,NaN,,76,-4,NaN,-22
190,,,NaN,,NaN,,,NaN,,,,NaN,
191,100,,NaN,76,NaN,-4,-4,NaN,,76,-4,NaN,-22
192,,,NaN,,NaN,,,NaN,,,,NaN,
