time,SNUADC/CVP,SNUADC/ECG_II,Solar8000/PLETH_SPO2,Solar8000/CVP,Solar8000/PLETH_HR,Solar8000/ART_MBP,Solar8000/ETCO2,SNUADC/ART,Solar8000/ART_DBP,Solar8000/ART_SBP,SNUADC/ECG_V5,Solar8000/RR_CO2,Solar8000/HR
7646,NaN,NaN,,,,,,NaN,,,NaN,,
7647,NaN,NaN,100,14,80,71,33,NaN,59,104,NaN,13,79
7648,NaN,NaN,,,,,,NaN,,,NaN,,
7649,NaN,NaN,100,14,80,71,33,NaN,59,104,NaN,13,80
7650,NaN,NaN,,,,,,NaN,,,NaN,,
7651,NaN,NaN,100,14,80,71,33,NaN,59,104,NaN,13,80
7652,NaN,NaN,,,,,,NaN,,,NaN,,
7653,NaN,NaN,100,14,80,72,33,NaN,60,107,NaN,13,80
7654,NaN,NaN,,,,,,NaN,,,NaN,,
7655,NaN,NaN,100,14,80,71,33,NaN,59,104,NaN,13,80
7656,NaN,NaN,,,,,,NaN,,,NaN,,
7657,NaN,NaN,100,14,80,72,33,NaN,60,107,NaN,13,80
7658,NaN,NaN,,,,,,NaN,,,NaN,,
7659,NaN,NaN,100,14,80,71,33,NaN,59,104,NaN,13,80
7660,NaN,NaN,,,,,,NaN,,,NaN,,
7661,NaN,NaN,100,14,80,72,33,NaN,60,105,NaN,13,80
7662,NaN,NaN,,,,,,NaN,,,NaN,,
7663,NaN,NaN,100,14,80,71,33,NaN,59,104,NaN,13,80
7664,NaN,NaN,,,,,,NaN,,,NaN,,
7665,NaN,NaN,100,14,80,71,33,NaN,59,104,NaN,13,80
7666,NaN,NaN,,,,,,NaN,,,NaN,,
7667,NaN,NaN,100,13,80,72,33,NaN,60,107,NaN,13,80
7668,NaN,NaN,,,,,,NaN,,,NaN,,
7669,NaN,NaN,100,13,80,71,33,NaN,59,104,NaN,13,80
7670,NaN,NaN,,,,,,NaN,,,NaN,,
7671,NaN,NaN,100,13,80,72,33,NaN,61,108,NaN,13,79
7672,NaN,NaN,,,,,,NaN,,,NaN,,
7673,NaN,NaN,100,13,80,72,33,NaN,59,105,NaN,13,80
7674,NaN,NaN,,,,,,NaN,,,NaN,,
7675,NaN,NaN,100,13,80,73,33,NaN,61,108,NaN,13,79
7676,NaN,NaN,,,,,,NaN,,,NaN,,
7677,NaN,NaN,100,13,80,72,33,NaN,60,107,NaN,13,80
7678,NaN,NaN,,,,,,NaN,,,NaN,,
7679,NaN,NaN,100,13,80,72,33,NaN,60,106,NaN,13,80
7680,NaN,NaN,,,,,,NaN,,,NaN,,
7681,NaN,NaN,100,13,80,72,33,NaN,60,107,NaN,13,80
7682,NaN,NaN,,,,,,NaN,,,NaN,,
7683,NaN,NaN,100,13,80,71,33,NaN,58,104,NaN,13,80
7684,NaN,NaN,,,,,,NaN,,,NaN,,
7685,NaN,NaN,100,13,80,72,33,NaN,60,107,NaN,13,79
7686,NaN,NaN,,,,,,NaN,,,NaN,,
7687,NaN,NaN,100,13,80,71,33,NaN,58,103,NaN,13,80
7688,NaN,NaN,,,,,,NaN,,,NaN,,
7689,NaN,NaN,100,14,80,71,33,NaN,59,106,NaN,13,80
7690,NaN,NaN,,,,,,NaN,,,NaN,,
7691,NaN,NaN,100,14,80,71,33,NaN,58,104,NaN,13,80
7692,NaN,NaN,,,,,,NaN,,,NaN,,
7693,NaN,NaN,100,14,80,71,33,NaN,59,105,NaN,13,80
7694,NaN,NaN,,,,,,NaN,,,NaN,,
7695,NaN,NaN,100,14,80,72,33,NaN,60,107,NaN,13,80
7696,NaN,NaN,,,,,,NaN,,,NaN,,
7697,NaN,NaN,100,14,81,71,33,NaN,59,105,NaN,13,80
7698,NaN,NaN,,,,,,NaN,,,NaN,,
7699,NaN,NaN,100,14,81,73,33,NaN,61,109,NaN,13,80
7700,NaN,NaN,,,,,,NaN,,,NaN,,
7701,NaN,NaN,100,14,81,72,33,NaN,59,106,NaN,13,80
7702,NaN,NaN,,,,,,NaN,,,NaN,,
7703,NaN,NaN,100,14,81,73,33,NaN,61,108,NaN,13,80
7704,NaN,NaN,,,,,,NaN,,,NaN,,
7705,NaN,NaN,100,14,81,72,33,NaN,59,106,NaN,13,80
7706,NaN,NaN,,,,,,NaN,,,NaN,,
7707,NaN,NaN,100,14,81,71,33,NaN,59,105,NaN,13,80
7708,NaN,NaN,,,,,,NaN,,,NaN,,
7709,NaN,NaN,100,14,80,71,33,NaN,59,106,NaN,13,80
7710,NaN,NaN,,,,,,NaN,,,NaN,,
7711,NaN,NaN,100,14,81,70,33,NaN,57,103,NaN,13,80
7712,NaN,NaN,,,,,,NaN,,,NaN,,
7713,NaN,NaN,100,14,80,71,33,NaN,59,106,NaN,13,80
7714,NaN,NaN,,,,,,NaN,,,NaN,,
7715,NaN,NaN,100,14,80,70,33,NaN,57,103,NaN,13,80
7716,NaN,NaN,,,,,,NaN,,,NaN,,
7717,NaN,NaN,100,14,80,71,33,NaN,59,107,NaN,13,79
7718,NaN,NaN,,,,,,NaN,,,NaN,,
7719,NaN,NaN,100,14,80,70,33,NaN,58,104,NaN,13,79
7720,NaN,NaN,,,,,,NaN,,,NaN,,
7721,NaN,NaN,100,14,80,71,33,NaN,60,105,NaN,13,79
7722,NaN,NaN,,,,,,NaN,,,NaN,,
7723,NaN,NaN,100,14,79,72,33,NaN,59,105,NaN,13,79
