time,Solar8000/ART_MBP,Solar8000/ETCO2,SNUADC/ECG_II,SNUADC/ECG_V5,Solar8000/ART_DBP,SNUADC/CVP,Solar8000/CVP,Solar8000/ART_SBP,Solar8000/RR_CO2,Solar8000/PLETH_HR,Solar8000/HR,SNUADC/ART,Solar8000/PLETH_SPO2
98,1,,NaN,NaN,1,NaN,0,1,,55,56,NaN,96
99,,,NaN,NaN,,NaN,,,,,,NaN,
100,1,,NaN,NaN,1,NaN,0,1,,58,59,NaN,96
101,,,NaN,NaN,,NaN,,,,,,NaN,
102,1,,NaN,NaN,1,NaN,0,1,,61,62,NaN,97
103,,,NaN,NaN,,NaN,,,,,,NaN,
104,1,,NaN,NaN,1,NaN,0,1,,62,62,NaN,97
105,,,NaN,NaN,,NaN,,,,,,NaN,
106,-1,,NaN,NaN,-1,NaN,0,-1,,61,61,NaN,97
107,,,NaN,NaN,,NaN,,,,,,NaN,
108,-1,,NaN,NaN,-1,NaN,0,-1,,60,58,NaN,97
109,,,NaN,NaN,,NaN,,,,,,NaN,
110,-1,,NaN,NaN,-1,NaN,0,-1,,58,56,NaN,96
111,,,NaN,NaN,,NaN,,,,,,NaN,
112,-1,,NaN,NaN,-1,NaN,0,-1,,57,56,NaN,97
113,,,NaN,NaN,,NaN,,,,,,NaN,
114,1,,NaN,NaN,1,NaN,0,1,,57,56,NaN,97
115,,,NaN,NaN,,NaN,,,,,,NaN,
116,1,,NaN,NaN,1,NaN,0,1,,56,55,NaN,97
117,,,NaN,NaN,,NaN,,,,,,NaN,
118,-1,,NaN,NaN,-1,NaN,0,-1,,55,55,NaN,97
119,,,NaN,NaN,,NaN,,,,,,NaN,
120,-1,,NaN,NaN,-1,NaN,0,-1,,55,54,NaN,97
121,,,NaN,NaN,,NaN,,,,,,NaN,
122,-2,,NaN,NaN,-2,NaN,0,-2,,55,54,NaN,97
123,,,NaN,NaN,,NaN,,,,,,NaN,
124,-2,,NaN,NaN,-2,NaN,0,-2,,54,54,NaN,97
125,,,NaN,NaN,,NaN,,,,,,NaN,
126,-2,,NaN,NaN,-2,NaN,0,-2,,54,53,NaN,97
127,,,NaN,NaN,,NaN,,,,,,NaN,
128,-2,,NaN,NaN,-2,NaN,0,-2,,54,53,NaN,97
129,,,NaN,NaN,,NaN,,,,,,NaN,
130,-2,,NaN,NaN,-2,NaN,0,-2,,53,52,NaN,97
131,,,NaN,NaN,,NaN,,,,,,NaN,
132,-2,,NaN,NaN,-2,NaN,0,-2,,53,52,NaN,97
133,,,NaN,NaN,,NaN,,,,,,NaN,
134,-3,,NaN,NaN,-3,NaN,0,-3,,53,52,NaN,97
135,,,NaN,NaN,,NaN,,,,,,NaN,
136,-3,,NaN,NaN,-3,NaN,0,-3,,53,52,NaN,97
137,,,NaN,NaN,,NaN,,,,,,NaN,
138,-3,,NaN,NaN,-3,NaN,0,-3,,53,52,NaN,97
139,,,NaN,NaN,,NaN,,,,,,NaN,
140,-3,,NaN,NaN,-3,NaN,0,-3,,53,52,NaN,97
141,,,NaN,NaN,,NaN,,,,,,NaN,
142,-3,,NaN,NaN,-3,NaN,0,-3,,53,52,NaN,98
143,,,NaN,NaN,,NaN,,,,,,NaN,
144,-3,,NaN,NaN,-3,NaN,0,-3,,52,52,NaN,98
145,,,NaN,NaN,,NaN,,,,,,NaN,
146,-2,,NaN,NaN,-2,NaN,0,-2,,52,52,NaN,98
147,,,NaN,NaN,,NaN,,,,,,NaN,
148,-2,,NaN,NaN,-2,NaN,0,-2,,52,52,NaN,98
149,,,NaN,NaN,,NaN,,,,,,NaN,
150,-3,,NaN,NaN,-3,NaN,0,-3,,53,52,NaN,98
151,,,NaN,NaN,,NaN,,,,,,NaN,
152,-3,,NaN,NaN,-3,NaN,0,-3,,53,52,NaN,98
153,,,NaN,NaN,,NaN,,,,,,NaN,
154,-3,,NaN,NaN,-3,NaN,0,-3,,53,53,NaN,98
155,,,NaN,NaN,,NaN,,,,,,NaN,
156,-3,,NaN,NaN,-3,NaN,0,-3,,53,53,NaN,98
157,,,NaN,NaN,,NaN,,,,,,NaN,
158,-4,,NaN,NaN,-4,NaN,0,-4,,53,53,NaN,97
159,,,NaN,NaN,,NaN,,,,,,NaN,
160,-4,,NaN,NaN,-4,NaN,0,-4,,54,53,NaN,98
161,,,NaN,NaN,,NaN,,,,,,NaN,
162,-4,,NaN,NaN,-4,NaN,0,-4,,53,53,NaN,98
163,,,NaN,NaN,,NaN,,,,,,NaN,
164,-4,,NaN,NaN,-4,NaN,0,-4,,53,53,NaN,98
165,,,NaN,NaN,,NaN,,,,,,NaN,
166,-4,,NaN,NaN,-4,NaN,0,-4,,53,53,NaN,98
167,,,NaN,NaN,,NaN,,,,,,NaN,
168,-4,,NaN,NaN,-4,NaN,0,-4,,54,53,NaN,98
169,,,NaN,NaN,,NaN,,,,,,NaN,
170,-4,,NaN,NaN,-4,NaN,0,-4,,54,53,NaN,98
171,,,NaN,NaN,,NaN,,,,,,NaN,
172,-4,,NaN,NaN,-4,NaN,0,-4,,54,53,NaN,98
173,,,NaN,NaN,,NaN,,,,,,NaN,
174,-4,,NaN,NaN,-4,NaN,0,-4,,54,53,NaN,98
175,,,NaN,NaN,,NaN,,,,,,NaN,
176,-4,,NaN,NaN,-4,NaN,0,-4,,54,53,NaN,98
177,,,NaN,NaN,,NaN,,,,,,NaN,
178,-3,,NaN,NaN,-3,NaN,0,-3,,54,53,NaN,98
179,,,NaN,NaN,,NaN,,,,,,NaN,
180,-3,,NaN,NaN,-3,NaN,0,-3,,54,53,NaN,98
181,,,NaN,NaN,,NaN,,,,,,NaN,
182,-4,,NaN,NaN,-4,NaN,0,-4,,54,53,NaN,98
183,,,NaN,NaN,,NaN,,,,,,NaN,
184,-4,,NaN,NaN,-4,NaN,0,-4,,54,53,NaN,98
185,,,NaN,NaN,,NaN,,,,,,NaN,
186,-4,,NaN,NaN,-4,NaN,0,-4,,53,53,NaN,98
187,,,NaN,NaN,,NaN,,,,,,NaN,
188,-4,,NaN,NaN,-4,NaN,0,-4,,53,53,NaN,98
189,,,NaN,NaN,,NaN,,,,,,NaN,
