time,Solar8000/PLETH_SPO2,Solar8000/PLETH_HR,Solar8000/HR,Solar8000/ETCO2,SNUADC/ECG_V5,SNUADC/ART,SNUADC/ECG_II,Solar8000/ART_MBP,SNUADC/CVP,Solar8000/RR_CO2,Solar8000/ART_SBP,Solar8000/CVP,Solar8000/ART_DBP
4312,,,,,NaN,NaN,NaN,,NaN,,,,
4313,100,44,44,34,NaN,NaN,NaN,72,NaN,14,97,2,59
4314,,,,,NaN,NaN,NaN,,NaN,,,,
4315,100,44,43,34,NaN,NaN,NaN,72,NaN,14,97,2,60
4316,,,,,NaN,NaN,NaN,,NaN,,,,
4317,100,44,44,34,NaN,NaN,NaN,72,NaN,14,98,2,60
4318,,,,,NaN,NaN,NaN,,NaN,,,,
4319,100,44,43,34,NaN,NaN,NaN,73,NaN,14,99,2,62
4320,,,,,NaN,NaN,NaN,,NaN,,,,
4321,100,44,43,34,NaN,NaN,NaN,74,NaN,14,103,2,63
4322,,,,,NaN,NaN,NaN,,NaN,,,,
4323,100,44,43,34,NaN,NaN,NaN,75,NaN,14,103,2,63
4324,,,,,NaN,NaN,NaN,,NaN,,,,
4325,100,44,43,34,NaN,NaN,NaN,76,NaN,14,104,2,63
4326,,,,,NaN,NaN,NaN,,NaN,,,,
4327,100,44,43,34,NaN,NaN,NaN,75,NaN,14,103,2,63
4328,,,,,NaN,NaN,NaN,,NaN,,,,
4329,100,44,43,34,NaN,NaN,NaN,76,NaN,14,103,2,62
4330,,,,,NaN,NaN,NaN,,NaN,,,,
4331,100,44,44,34,NaN,NaN,NaN,75,NaN,14,102,2,62
4332,,,,,NaN,NaN,NaN,,NaN,,,,
4333,100,44,43,34,NaN,NaN,NaN,75,NaN,14,101,2,62
4334,,,,,NaN,NaN,NaN,,NaN,,,,
4335,100,44,44,34,NaN,NaN,NaN,74,NaN,14,100,2,61
4336,,,,,NaN,NaN,NaN,,NaN,,,,
4337,100,44,43,34,NaN,NaN,NaN,74,NaN,14,99,2,61
4338,,,,,NaN,NaN,NaN,,NaN,,,,
4339,100,44,43,34,NaN,NaN,NaN,73,NaN,14,99,2,61
4340,,,,,NaN,NaN,NaN,,NaN,,,,
4341,100,44,43,34,NaN,NaN,NaN,73,NaN,14,99,2,60
4342,,,,,NaN,NaN,NaN,,NaN,,,,
4343,100,44,44,34,NaN,NaN,NaN,73,NaN,14,99,2,60
4344,,,,,NaN,NaN,NaN,,NaN,,,,
4345,100,44,43,34,NaN,NaN,NaN,73,NaN,14,98,2,61
4346,,,,,NaN,NaN,NaN,,NaN,,,,
4347,100,44,44,33,NaN,NaN,NaN,74,NaN,14,101,2,61
4348,,,,,NaN,NaN,NaN,,NaN,,,,
4349,100,44,44,33,NaN,NaN,NaN,74,NaN,14,101,2,62
4350,,,,,NaN,NaN,NaN,,NaN,,,,
4351,100,44,44,33,NaN,NaN,NaN,75,NaN,14,103,2,63
4352,,,,,NaN,NaN,NaN,,NaN,,,,
4353,100,44,44,33,NaN,NaN,NaN,75,NaN,14,103,2,63
4354,,,,,NaN,NaN,NaN,,NaN,,,,
4355,100,44,44,34,NaN,NaN,NaN,75,NaN,14,103,2,62
4356,,,,,NaN,NaN,NaN,,NaN,,,,
4357,100,44,44,34,NaN,NaN,NaN,75,NaN,14,102,2,63
4358,,,,,NaN,NaN,NaN,,NaN,,,,
4359,100,44,44,34,NaN,NaN,NaN,75,NaN,14,102,2,62
4360,,,,,NaN,NaN,NaN,,NaN,,,,
4361,100,44,44,34,NaN,NaN,NaN,75,NaN,14,101,2,62
4362,,,,,NaN,NaN,NaN,,NaN,,,,
4363,100,44,44,34,NaN,NaN,NaN,75,NaN,14,101,2,62
4364,,,,,NaN,NaN,NaN,,NaN,,,,
4365,100,44,44,34,NaN,NaN,NaN,75,NaN,14,101,2,62
4366,,,,,NaN,NaN,NaN,,NaN,,,,
4367,100,44,44,34,NaN,NaN,NaN,75,NaN,14,101,2,62
4368,,,,,NaN,NaN,NaN,,NaN,,,,
