time,SNUADC/ART,Solar8000/RR_CO2,Solar8000/HR,SNUADC/ECG_II,SNUADC/CVP,SNUADC/ECG_V5,Solar8000/ART_DBP,Solar8000/CVP,Solar8000/ETCO2,Solar8000/PLETH_HR,Solar8000/ART_MBP,Solar8000/ART_SBP,Solar8000/PLETH_SPO2
0,NaN,,,NaN,NaN,NaN,,,,,,,
1,-491.88665771484375,,,-4.9562602043151855,-495.6260070800781,-4.9562602043151855,,,,,,,
2,-491.88470458984375,,67,-4.956240177154541,-495.6240234375,-4.956240177154541,-11,-12,0,64,-10,-8,100
3,NaN,,,NaN,NaN,NaN,,,,,,,
4,NaN,,68,NaN,NaN,NaN,-14,-2,0,70,-11,-7,100
5,NaN,,,NaN,NaN,NaN,,,,,,,
6,NaN,,72,NaN,NaN,NaN,-14,-2,0,71,-11,-7,100
7,NaN,,,NaN,NaN,NaN,,,,,,,
8,NaN,,83,NaN,NaN,NaN,-14,3,0,75,-11,-7,100
9,NaN,,,NaN,NaN,NaN,,,,,,,
10,NaN,,79,NaN,NaN,NaN,-10,3,0,76,-10,-10,100
11,NaN,,,NaN,NaN,NaN,,,,,,,
12,NaN,,74,NaN,NaN,NaN,-10,3,0,73,-10,-10,100
13,NaN,,,NaN,NaN,NaN,,,,,,,
14,NaN,,64,NaN,NaN,NaN,-10,5,0,73,-10,-10,100
15,NaN,,,NaN,NaN,NaN,,,,,,,
16,NaN,,58,NaN,NaN,NaN,-10,5,0,72,-10,-10,100
17,NaN,,,NaN,NaN,NaN,,,,,,,
18,NaN,,64,NaN,NaN,NaN,-10,6,0,70,-10,-10,100
19,NaN,,,NaN,NaN,NaN,,,,,,,
20,NaN,,70,NaN,NaN,NaN,-10,6,0,66,-10,-10,100
21,NaN,,,NaN,NaN,NaN,,,,,,,
22,NaN,,71,NaN,NaN,NaN,-10,8,0,66,-10,-10,100
23,NaN,,,NaN,NaN,NaN,,,,,,,
24,NaN,,76,NaN,NaN,NaN,-10,8,28,67,-10,-10,100
25,NaN,,,NaN,NaN,NaN,,,,,,,
26,NaN,,78,NaN,NaN,NaN,-10,10,28,67,-10,-10,100
27,NaN,,,NaN,NaN,NaN,,,,,,,
28,NaN,,85,NaN,NaN,NaN,-10,10,28,68,-10,-10,100
29,NaN,,,NaN,NaN,NaN,,,,,,,
30,NaN,,81,NaN,NaN,NaN,-9,11,28,69,-9,-9,100
31,NaN,,,NaN,NaN,NaN,,,,,,,
32,NaN,,81,NaN,NaN,NaN,-9,11,,70,-9,-9,100
33,NaN,,,NaN,NaN,NaN,,,,,,,
34,NaN,,79,NaN,NaN,NaN,-9,12,,71,-9,-9,100
35,NaN,,,NaN,NaN,NaN,,,,,,,
36,NaN,,72,NaN,NaN,NaN,-9,12,,69,-9,-9,100
37,NaN,,,NaN,NaN,NaN,,,,,,,
38,NaN,,66,NaN,NaN,NaN,-10,13,,70,-10,-10,100
39,NaN,,,NaN,NaN,NaN,,,,,,,
40,NaN,,66,NaN,NaN,NaN,-10,13,,72,-10,-10,100
41,NaN,,,NaN,NaN,NaN,,,,,,,
42,NaN,,73,NaN,NaN,NaN,-10,13,,71,-10,-10,100
43,NaN,,,NaN,NaN,NaN,,,,,,,
44,NaN,,82,NaN,NaN,NaN,-10,13,,76,-10,-10,100
45,NaN,,,NaN,NaN,NaN,,,,,,,
46,NaN,,88,NaN,NaN,NaN,-9,13,,78,-9,-9,100
47,NaN,,,NaN,NaN,NaN,,,,,,,
48,NaN,,87,NaN,NaN,NaN,-9,13,,82,-9,-9,100
49,NaN,,,NaN,NaN,NaN,,,,,,,
50,NaN,,83,NaN,NaN,NaN,-9,13,,78,-9,-9,100
51,NaN,,,NaN,NaN,NaN,,,,,,,
52,NaN,,76,NaN,NaN,NaN,-9,13,,77,-9,-9,100
53,NaN,,,NaN,NaN,NaN,,,,,,,
54,NaN,,67,NaN,NaN,NaN,-10,13,,75,-10,-10,100
55,NaN,,,NaN,NaN,NaN,,,,,,,
56,NaN,,60,NaN,NaN,NaN,-10,7,,71,-10,-10,100
57,NaN,,,NaN,NaN,NaN,,,,,,,
58,NaN,,64,NaN,NaN,NaN,-10,7,,73,-10,-10,100
59,NaN,,,NaN,NaN,NaN,,,,,,,
60,NaN,,67,NaN,NaN,NaN,-10,5,,70,-10,-10,100
61,NaN,,,NaN,NaN,NaN,,,,,,,
62,NaN,,67,NaN,NaN,NaN,-10,5,,74,-10,-10,100
63,NaN,,,NaN,NaN,NaN,,,,,,,
64,NaN,,76,NaN,NaN,NaN,-10,7,,76,-10,-10,100
65,NaN,,,NaN,NaN,NaN,,,,,,,
66,NaN,,74,NaN,NaN,NaN,-10,7,,79,-10,-10,100
67,NaN,,,NaN,NaN,NaN,,,,,,,
68,NaN,,73,NaN,NaN,NaN,-10,7,,81,-10,-10,100
69,NaN,,,NaN,NaN,NaN,,,,,,,
70,NaN,,74,NaN,NaN,NaN,-10,7,,82,-10,-10,100
71,NaN,,,NaN,NaN,NaN,,,,,,,
72,NaN,,80,NaN,NaN,NaN,-10,7,,85,-10,-10,100
73,NaN,,,NaN,NaN,NaN,,,,,,,
74,NaN,,82,NaN,NaN,NaN,-10,45,,87,-10,-10,100
75,NaN,,,NaN,NaN,NaN,,,,,,,
76,NaN,,87,NaN,NaN,NaN,-10,45,,89,-10,-10,100
77,NaN,,,NaN,NaN,NaN,,,,,,,
78,NaN,,93,NaN,NaN,NaN,-10,132,,87,-10,-10,100
79,NaN,,,NaN,NaN,NaN,,,,,,,
80,NaN,,87,NaN,NaN,NaN,-10,132,,88,-10,-10,100
81,NaN,,,NaN,NaN,NaN,,,,,,,
82,NaN,,81,NaN,NaN,NaN,-10,134,,86,-10,-10,100
83,NaN,,,NaN,NaN,NaN,,,,,,,
84,NaN,,74,NaN,NaN,NaN,-10,134,,85,-10,-10,100
85,NaN,,,NaN,NaN,NaN,,,,,,,
86,NaN,,76,NaN,NaN,NaN,-10,139,,82,-10,-10,100
87,NaN,,,NaN,NaN,NaN,,,,,,,
88,NaN,,79,NaN,NaN,NaN,-10,139,,85,-10,-10,100
89,NaN,,,NaN,NaN,NaN,,,,,,,
90,NaN,,82,NaN,NaN,NaN,-10,143,,83,-10,-10,100
91,NaN,,,NaN,NaN,NaN,,,,,,,
92,NaN,,77,NaN,NaN,NaN,-12,143,,79,-10,-10,100
93,NaN,,,NaN,NaN,NaN,,,,,,,
94,NaN,,71,NaN,NaN,NaN,-12,145,,76,-10,-10,100
95,NaN,,,NaN,NaN,NaN,,,,,,,
96,NaN,,71,NaN,NaN,NaN,-10,145,,74,-10,-10,100
97,NaN,,,NaN,NaN,NaN,,,,,,,
98,NaN,,79,NaN,NaN,NaN,-10,148,,72,-10,-10,100
99,NaN,,,NaN,NaN,NaN,,,,,,,
100,NaN,,81,NaN,NaN,NaN,-10,148,,73,-10,-10,100
101,NaN,,,NaN,NaN,NaN,,,,,,,
102,NaN,,80,NaN,NaN,NaN,-10,151,,79,-10,-10,100
103,NaN,,,NaN,NaN,NaN,,,,,,,
104,NaN,,81,NaN,NaN,NaN,-10,151,,85,-10,-10,100
105,NaN,,,NaN,NaN,NaN,,,,,,,
106,NaN,,84,NaN,NaN,NaN,-10,151,,85,-10,-10,100
107,NaN,,,NaN,NaN,NaN,,,,,,,
108,NaN,,82,NaN,NaN,NaN,-11,154,,84,-10,-9,100
109,NaN,,,NaN,NaN,NaN,,,,,,,
110,NaN,,84,NaN,NaN,NaN,-12,154,,82,-10,-8,100
111,NaN,,,NaN,NaN,NaN,,,,,,,
112,NaN,,82,NaN,NaN,NaN,-11,156,,77,-10,-7,100
113,NaN,,,NaN,NaN,NaN,,,,,,,
114,NaN,,81,NaN,NaN,NaN,-11,156,,73,-10,-7,100
115,NaN,,,NaN,NaN,NaN,,,,,,,
116,NaN,,81,NaN,NaN,NaN,-10,155,,75,-10,-10,100
117,NaN,,,NaN,NaN,NaN,,,,,,,
118,NaN,,79,NaN,NaN,NaN,-10,155,,78,-10,-10,100
119,NaN,,,NaN,NaN,NaN,,,,,,,
120,NaN,,79,NaN,NaN,NaN,-10,158,,77,-10,-10,100
121,NaN,,,NaN,NaN,NaN,,,,,,,
122,NaN,,70,NaN,NaN,NaN,-10,158,,79,-10,-10,100
123,NaN,,,NaN,NaN,NaN,,,,,,,
124,NaN,,79,NaN,NaN,NaN,-10,161,,76,-10,-10,100
125,NaN,,,NaN,NaN,NaN,,,,,,,
126,NaN,,74,NaN,NaN,NaN,-10,161,,72,-10,-10,100
127,NaN,,,NaN,NaN,NaN,,,,,,,
128,NaN,,71,NaN,NaN,NaN,-10,164,,72,-10,-10,100
129,NaN,,,NaN,NaN,NaN,,,,,,,
130,NaN,,70,NaN,NaN,NaN,-10,164,,70,-10,-10,100
131,NaN,,,NaN,NaN,NaN,,,,,,,
132,NaN,,78,NaN,NaN,NaN,-10,167,,60,-10,-10,100
133,NaN,,,NaN,NaN,NaN,,,,,,,
134,NaN,,64,NaN,NaN,NaN,-10,167,,58,-10,-10,100
135,NaN,,,NaN,NaN,NaN,,,,,,,
136,NaN,,66,NaN,NaN,NaN,-10,170,,59,-10,-10,100
137,NaN,,,NaN,NaN,NaN,,,,,,,
138,NaN,,64,NaN,NaN,NaN,-10,170,,59,-10,-10,100
139,NaN,,,NaN,NaN,NaN,,,,,,,
140,NaN,,68,NaN,NaN,NaN,-10,170,,60,-10,-10,100
141,NaN,,,NaN,NaN,NaN,,,,,,,
142,NaN,,73,NaN,NaN,NaN,-10,173,,59,-10,-10,100
143,NaN,,,NaN,NaN,NaN,,,,,,,
144,NaN,,69,NaN,NaN,NaN,-10,173,,59,-10,-10,100
145,NaN,,,NaN,NaN,NaN,,,,,,,
146,NaN,,67,NaN,NaN,NaN,-10,175,,61,-10,-10,100
147,NaN,,,NaN,NaN,NaN,,,,,,,
148,NaN,,71,NaN,NaN,NaN,-10,175,,62,-10,-10,100
149,NaN,,,NaN,NaN,NaN,,,,,,,
150,NaN,,75,NaN,NaN,NaN,-10,178,,63,-10,-10,100
151,NaN,,,NaN,NaN,NaN,,,,,,,
152,NaN,,71,NaN,NaN,NaN,-10,178,,65,-10,-10,100
153,NaN,,,NaN,NaN,NaN,,,,,,,
154,NaN,,74,NaN,NaN,NaN,-10,181,,66,-10,-10,100
155,NaN,,,NaN,NaN,NaN,,,,,,,
156,NaN,,76,NaN,NaN,NaN,-10,181,,66,-10,-10,100
157,NaN,,,NaN,NaN,NaN,,,,,,,
158,NaN,,71,NaN,NaN,NaN,-10,184,,65,-10,-10,100
159,NaN,,,NaN,NaN,NaN,,,,,,,
160,NaN,,69,NaN,NaN,NaN,-10,184,,65,-10,-10,100
161,NaN,,,NaN,NaN,NaN,,,,,,,
162,NaN,,60,NaN,NaN,NaN,-10,186,,69,-10,-10,100
163,NaN,,,NaN,NaN,NaN,,,,,,,
164,NaN,,67,NaN,NaN,NaN,-10,186,,76,-10,-10,100
165,NaN,,,NaN,NaN,NaN,,,,,,,
166,NaN,,73,NaN,NaN,NaN,-10,189,,74,-10,-10,100
167,NaN,,,NaN,NaN,NaN,,,,,,,
168,NaN,,82,NaN,NaN,NaN,-10,189,,72,-10,-10,100
169,NaN,,,NaN,NaN,NaN,,,,,,,
170,NaN,,71,NaN,NaN,NaN,-10,189,,75,-10,-10,100
171,NaN,,,NaN,NaN,NaN,,,,,,,
172,NaN,,71,NaN,NaN,NaN,-10,191,,79,-10,-10,100
173,NaN,,,NaN,NaN,NaN,,,,,,,
174,NaN,,71,NaN,NaN,NaN,-10,191,,79,-10,-10,100
175,NaN,,,NaN,NaN,NaN,,,,,,,
176,NaN,,70,NaN,NaN,NaN,-10,193,,78,-10,-10,100
177,NaN,,,NaN,NaN,NaN,,,,,,,
178,NaN,,72,NaN,NaN,NaN,-10,193,,74,-10,-10,100
179,NaN,,,NaN,NaN,NaN,,,,,,,
180,NaN,,74,NaN,NaN,NaN,-10,196,,70,-10,-10,100
181,NaN,,,NaN,NaN,NaN,,,,,,,
182,NaN,,77,NaN,NaN,NaN,-10,196,,70,-10,-10,100
183,NaN,,,NaN,NaN,NaN,,,,,,,
184,NaN,,76,NaN,NaN,NaN,-11,198,,68,-11,-11,100
185,NaN,,,NaN,NaN,NaN,,,,,,,
186,NaN,,67,NaN,NaN,NaN,-11,198,,67,-11,-11,100
187,NaN,,,NaN,NaN,NaN,,,,,,,
188,NaN,,73,NaN,NaN,NaN,-10,200,,67,-10,-10,100
189,NaN,,,NaN,NaN,NaN,,,,,,,
190,NaN,,73,NaN,NaN,NaN,-10,200,,67,-10,-10,100
191,NaN,,,NaN,NaN,NaN,,,,,,,
192,NaN,,73,NaN,NaN,NaN,-10,202,,67,-10,-10,100
193,NaN,,,NaN,NaN,NaN,,,,,,,
194,NaN,,69,NaN,NaN,NaN,-10,202,,64,-10,-10,100
195,NaN,,,NaN,NaN,NaN,,,,,,,
196,NaN,,66,NaN,NaN,NaN,-10,203,,64,-10,-10,100
197,NaN,,,NaN,NaN,NaN,,,,,,,
198,NaN,,68,NaN,NaN,NaN,-10,203,,64,-10,-10,100
199,NaN,,,NaN,NaN,NaN,,,,,,,
200,NaN,,68,NaN,NaN,NaN,-11,203,,64,-11,-11,100
201,NaN,,,NaN,NaN,NaN,,,,,,,
202,NaN,,59,NaN,NaN,NaN,-11,205,,63,-11,-11,100
203,NaN,,,NaN,NaN,NaN,,,,,,,
204,NaN,,65,NaN,NaN,NaN,,205,,62,1,151,100
205,NaN,,,NaN,NaN,NaN,,,,,,,
206,NaN,,67,NaN,NaN,NaN,-87,206,,65,2,157,100
207,NaN,,,NaN,NaN,NaN,,,,,,,
208,NaN,,81,NaN,NaN,NaN,-87,206,,65,2,157,100
209,NaN,,,NaN,NaN,NaN,,,,,,,
210,NaN,,74,NaN,NaN,NaN,2,208,,64,2,2,100
211,NaN,,,NaN,NaN,NaN,,,,,,,
212,NaN,,77,NaN,NaN,NaN,0,208,25,64,2,1,100
213,NaN,,,NaN,NaN,NaN,,,,,,,
214,NaN,,93,NaN,NaN,NaN,1,211,25,62,2,3,100
215,NaN,,,NaN,NaN,NaN,,,,,,,
216,NaN,,93,NaN,NaN,NaN,1,211,25,65,2,3,100
217,NaN,,,NaN,NaN,NaN,,,,,,,
218,NaN,,90,NaN,NaN,NaN,1,212,25,65,1,2,100
219,NaN,,,NaN,NaN,NaN,,,,,,,
220,NaN,5,79,NaN,NaN,NaN,1,212,27,68,1,3,100
221,NaN,,,NaN,NaN,NaN,,,,,,,
222,NaN,5,78,NaN,NaN,NaN,1,214,27,79,1,3,100
223,NaN,,,NaN,NaN,NaN,,,,,,,
224,NaN,5,87,NaN,NaN,NaN,2,214,27,79,2,2,100
225,NaN,,,NaN,NaN,NaN,,,,,,,
226,NaN,5,88,NaN,NaN,NaN,2,216,8,85,2,2,100
227,NaN,,,NaN,NaN,NaN,,,,,,,
228,NaN,5,91,NaN,NaN,NaN,1,216,8,86,1,1,100
229,NaN,,,NaN,NaN,NaN,,,,,,,
230,NaN,5,93,NaN,NaN,NaN,1,218,8,91,1,1,100
231,NaN,,,NaN,NaN,NaN,,,,,,,
232,NaN,5,91,NaN,NaN,NaN,1,218,8,90,1,1,100
233,NaN,,,NaN,NaN,NaN,,,,,,,
234,NaN,4,97,NaN,NaN,NaN,1,218,17,92,1,1,100
235,NaN,,,NaN,NaN,NaN,,,,,,,
236,NaN,4,93,NaN,NaN,NaN,0,219,17,94,1,2,100
237,NaN,,,NaN,NaN,NaN,,,,,,,
238,NaN,4,96,NaN,NaN,NaN,-1,219,17,91,1,3,100
239,NaN,,,NaN,NaN,NaN,,,,,,,
240,NaN,4,88,NaN,NaN,NaN,-1,220,17,93,1,2,100
241,NaN,,,NaN,NaN,NaN,,,,,,,
242,NaN,6,89,NaN,NaN,NaN,-1,220,35,95,1,2,100
243,NaN,,,NaN,NaN,NaN,,,,,,,
244,NaN,6,100,NaN,NaN,NaN,0,222,35,93,0,0,100
245,NaN,,,NaN,NaN,NaN,,,,,,,
246,NaN,6,96,NaN,NaN,NaN,0,222,35,92,0,0,100
247,NaN,,,NaN,NaN,NaN,,,,,,,
248,NaN,8,95,NaN,NaN,NaN,0,223,35,93,0,0,100
249,NaN,,,NaN,NaN,NaN,,,,,,,
250,NaN,8,87,NaN,NaN,NaN,-31,223,35,93,0,34,100
251,NaN,,,NaN,NaN,NaN,,,,,,,
252,NaN,8,93,NaN,NaN,NaN,-12,224,35,92,13,42,100
253,NaN,,,NaN,NaN,NaN,,,,,,,
254,NaN,8,96,NaN,NaN,NaN,-64,224,35,91,9,89,100
255,NaN,,,NaN,NaN,NaN,,,,,,,
256,NaN,9,92,NaN,NaN,NaN,-64,225,35,88,9,89,100
257,NaN,,,NaN,NaN,NaN,,,,,,,
258,NaN,9,90,NaN,NaN,NaN,-9,225,35,87,0,18,100
259,NaN,,,NaN,NaN,NaN,,,,,,,
260,NaN,9,93,NaN,NaN,NaN,33,227,35,86,24,89,100
261,NaN,,,NaN,NaN,NaN,,,,,,,
262,NaN,11,88,NaN,NaN,NaN,80,227,34,88,81,170,100
263,NaN,,,NaN,NaN,NaN,,,,,,,
264,NaN,11,85,NaN,NaN,NaN,81,227,34,90,105,182,100
265,NaN,,,NaN,NaN,NaN,,,,,,,
266,NaN,11,85,NaN,NaN,NaN,83,227,34,89,117,192,100
267,NaN,,,NaN,NaN,NaN,,,,,,,
268,NaN,11,91,NaN,NaN,NaN,75,227,34,86,119,195,100
269,NaN,,,NaN,NaN,NaN,,,,,,,
270,NaN,13,85,NaN,NaN,NaN,80,229,34,88,118,180,100
271,NaN,,,NaN,NaN,NaN,,,,,,,
272,NaN,13,89,NaN,NaN,NaN,78,229,34,88,120,187,100
273,NaN,,,NaN,NaN,NaN,,,,,,,
274,NaN,13,93,NaN,NaN,NaN,86,229,34,87,120,175,100
275,NaN,,,NaN,NaN,NaN,,,,,,,
276,NaN,14,91,NaN,NaN,NaN,84,229,35,88,120,186,100
277,NaN,,,NaN,NaN,NaN,,,,,,,
278,NaN,14,88,NaN,NaN,NaN,79,231,35,88,118,193,100
279,NaN,,,NaN,NaN,NaN,,,,,,,
280,NaN,14,85,NaN,NaN,NaN,88,231,35,87,122,192,100
281,NaN,,,NaN,NaN,NaN,,,,,,,
282,NaN,14,84,NaN,NaN,NaN,73,232,35,85,114,188,100
283,NaN,,,NaN,NaN,NaN,,,,,,,
284,NaN,15,82,NaN,NaN,NaN,70,232,35,78,113,187,100
285,NaN,,,NaN,NaN,NaN,,,,,,,
286,NaN,15,75,NaN,NaN,NaN,74,233,35,77,113,185,100
287,NaN,,,NaN,NaN,NaN,,,,,,,
288,NaN,15,75,NaN,NaN,NaN,80,233,35,77,110,170,100
289,NaN,,,NaN,NaN,NaN,,,,,,,
290,NaN,15,80,NaN,NaN,NaN,80,234,35,75,111,178,100
291,NaN,,,NaN,NaN,NaN,,,,,,,
292,NaN,15,80,NaN,NaN,NaN,71,234,35,75,106,180,100
293,NaN,,,NaN,NaN,NaN,,,,,,,
294,NaN,15,80,NaN,NaN,NaN,76,235,35,76,108,181,100
295,NaN,,,NaN,NaN,NaN,,,,,,,
296,NaN,15,81,NaN,NaN,NaN,80,235,35,79,110,182,100
297,NaN,,,NaN,NaN,NaN,,,,,,,
298,NaN,15,76,NaN,NaN,NaN,65,235,35,79,105,180,100
299,NaN,,,NaN,NaN,NaN,,,,,,,
300,NaN,15,78,NaN,NaN,NaN,75,236,35,80,108,192,100
301,NaN,,,NaN,NaN,NaN,,,,,,,
302,NaN,15,78,NaN,NaN,NaN,71,236,35,79,106,189,100
303,NaN,,,NaN,NaN,NaN,,,,,,,
304,NaN,15,73,NaN,NaN,NaN,77,236,35,77,109,180,100
305,NaN,,,NaN,NaN,NaN,,,,,,,
306,NaN,15,75,NaN,NaN,NaN,71,236,35,73,105,179,100
307,NaN,,,NaN,NaN,NaN,,,,,,,
308,NaN,15,82,NaN,NaN,NaN,77,237,35,73,110,187,100
309,NaN,,,NaN,NaN,NaN,,,,,,,
310,NaN,15,84,NaN,NaN,NaN,43,237,35,74,103,196,100
311,NaN,,,NaN,NaN,NaN,,,,,,,
312,NaN,15,83,NaN,NaN,NaN,36,238,35,74,99,171,100
313,NaN,,,NaN,NaN,NaN,,,,,,,
314,NaN,15,78,NaN,NaN,NaN,58,238,35,74,101,171,100
315,NaN,,,NaN,NaN,NaN,,,,,,,
316,NaN,15,71,NaN,NaN,NaN,73,237,35,74,102,160,100
317,NaN,,,NaN,NaN,NaN,,,,,,,
318,NaN,15,72,NaN,NaN,NaN,73,237,35,69,103,171,100
319,NaN,,,NaN,NaN,NaN,,,,,,,
320,NaN,15,67,NaN,NaN,NaN,71,239,35,70,102,169,100
321,NaN,,,NaN,NaN,NaN,,,,,,,
322,NaN,15,75,NaN,NaN,NaN,74,239,35,71,104,166,100
323,NaN,,,NaN,NaN,NaN,,,,,,,
324,NaN,15,72,NaN,NaN,NaN,80,239,35,68,108,170,100
325,NaN,,,NaN,NaN,NaN,,,,,,,
326,NaN,15,78,NaN,NaN,NaN,70,239,35,63,102,167,100
327,NaN,,,NaN,NaN,NaN,,,,,,,
328,NaN,15,73,NaN,NaN,NaN,77,239,35,66,106,172,100
329,NaN,,,NaN,NaN,NaN,,,,,,,
330,NaN,15,74,NaN,NaN,NaN,80,239,35,68,109,177,100
331,NaN,,,NaN,NaN,NaN,,,,,,,
332,NaN,15,72,NaN,NaN,NaN,71,239,35,68,104,173,100
333,NaN,,,NaN,NaN,NaN,,,,,,,
334,NaN,15,67,NaN,NaN,NaN,66,240,35,64,103,177,100
335,NaN,,,NaN,NaN,NaN,,,,,,,
336,NaN,15,71,NaN,NaN,NaN,63,240,35,64,100,174,100
337,NaN,,,NaN,NaN,NaN,,,,,,,
338,NaN,15,72,NaN,NaN,NaN,66,239,35,63,103,168,100
339,NaN,,,NaN,NaN,NaN,,,,,,,
340,NaN,15,79,NaN,NaN,NaN,60,239,35,66,100,177,100
341,NaN,,,NaN,NaN,NaN,,,,,,,
342,NaN,15,85,NaN,NaN,NaN,67,238,35,64,102,174,100
343,NaN,,,NaN,NaN,NaN,,,,,,,
344,NaN,15,70,NaN,NaN,NaN,62,238,35,62,98,162,100
345,NaN,,,NaN,NaN,NaN,,,,,,,
346,NaN,15,67,NaN,NaN,NaN,65,238,36,63,100,169,100
347,NaN,,,NaN,NaN,NaN,,,,,,,
348,NaN,15,70,NaN,NaN,NaN,65,238,36,63,100,169,100
349,NaN,,,NaN,NaN,NaN,,,,,,,
350,NaN,15,70,NaN,NaN,NaN,65,238,36,63,98,174,100
351,NaN,,,NaN,NaN,NaN,,,,,,,
352,NaN,15,75,NaN,NaN,NaN,52,238,36,62,89,162,100
353,NaN,,,NaN,NaN,NaN,,,,,,,
354,NaN,15,64,NaN,NaN,NaN,58,239,36,63,90,156,100
355,NaN,,,NaN,NaN,NaN,,,,,,,
356,NaN,15,59,NaN,NaN,NaN,54,239,36,64,88,161,100
357,NaN,,,NaN,NaN,NaN,,,,,,,
358,NaN,15,59,NaN,NaN,NaN,59,240,36,63,87,148,100
359,NaN,,,NaN,NaN,NaN,,,,,,,
360,NaN,15,59,NaN,NaN,NaN,56,240,36,64,87,157,100
361,NaN,,,NaN,NaN,NaN,,,,,,,
362,NaN,15,60,NaN,NaN,NaN,56,240,36,63,87,157,100
363,NaN,,,NaN,NaN,NaN,,,,,,,
364,NaN,15,61,NaN,NaN,NaN,71,239,36,63,97,158,100
365,NaN,,,NaN,NaN,NaN,,,,,,,
366,NaN,15,67,NaN,NaN,NaN,71,239,36,66,97,158,100
367,NaN,,,NaN,NaN,NaN,,,,,,,
368,NaN,15,73,NaN,NaN,NaN,66,240,35,67,95,164,100
369,NaN,,,NaN,NaN,NaN,,,,,,,
370,NaN,15,76,NaN,NaN,NaN,62,240,35,67,93,160,100
371,NaN,,,NaN,NaN,NaN,,,,,,,
372,NaN,15,77,NaN,NaN,NaN,63,240,35,67,93,168,100
373,NaN,,,NaN,NaN,NaN,,,,,,,
374,NaN,15,77,NaN,NaN,NaN,62,240,35,65,90,153,100
375,NaN,,,NaN,NaN,NaN,,,,,,,
376,NaN,15,77,NaN,NaN,NaN,63,241,36,64,92,165,100
377,NaN,,,NaN,NaN,NaN,,,,,,,
378,NaN,15,79,NaN,NaN,NaN,65,241,36,65,95,163,100
379,NaN,,,NaN,NaN,NaN,,,,,,,
380,NaN,15,78,NaN,NaN,NaN,62,241,36,65,94,165,100
381,NaN,,,NaN,NaN,NaN,,,,,,,
382,NaN,15,78,NaN,NaN,NaN,67,241,36,67,96,162,100
383,NaN,,,NaN,NaN,NaN,,,,,,,
384,NaN,15,71,NaN,NaN,NaN,59,241,36,69,92,164,100
385,NaN,,,NaN,NaN,NaN,,,,,,,
386,NaN,15,74,NaN,NaN,NaN,59,241,36,69,92,164,100
387,NaN,,,NaN,NaN,NaN,,,,,,,
388,NaN,15,68,NaN,NaN,NaN,63,242,36,70,98,171,100
389,NaN,,,NaN,NaN,NaN,,,,,,,
390,NaN,15,68,NaN,NaN,NaN,66,242,36,70,95,154,100
391,NaN,,,NaN,NaN,NaN,,,,,,,
392,NaN,15,76,NaN,NaN,NaN,66,242,36,69,95,154,100
393,NaN,,,NaN,NaN,NaN,,,,,,,
394,NaN,15,93,NaN,NaN,NaN,63,242,36,65,94,172,100
395,NaN,,,NaN,NaN,NaN,,,,,,,
396,NaN,15,92,NaN,NaN,NaN,61,242,36,62,92,158,100
397,NaN,,,NaN,NaN,NaN,,,,,,,
398,NaN,15,76,NaN,NaN,NaN,61,243,36,64,92,158,100
399,NaN,,,NaN,NaN,NaN,,,,,,,
400,NaN,15,72,NaN,NaN,NaN,59,243,36,64,90,160,100
401,NaN,,,NaN,NaN,NaN,,,,,,,
402,NaN,15,64,NaN,NaN,NaN,50,242,36,64,85,158,100
403,NaN,,,NaN,NaN,NaN,,,,,,,
404,NaN,15,64,NaN,NaN,NaN,56,242,37,61,83,142,100
405,NaN,,,NaN,NaN,NaN,,,,,,,
406,NaN,15,62,NaN,NaN,NaN,56,242,37,61,83,142,100
407,NaN,,,NaN,NaN,NaN,,,,,,,
408,NaN,15,70,NaN,NaN,NaN,60,242,37,63,83,144,100
409,NaN,,,NaN,NaN,NaN,,,,,,,
410,NaN,15,71,NaN,NaN,NaN,59,243,37,63,85,149,100
411,NaN,,,NaN,NaN,NaN,,,,,,,
412,NaN,15,71,NaN,NaN,NaN,56,243,37,62,84,157,100
413,NaN,,,NaN,NaN,NaN,,,,,,,
414,NaN,15,74,NaN,NaN,NaN,57,244,37,56,85,149,100
415,NaN,,,NaN,NaN,NaN,,,,,,,
416,NaN,15,70,NaN,NaN,NaN,52,244,37,58,81,149,100
417,NaN,,,NaN,NaN,NaN,,,,,,,
418,NaN,15,64,NaN,NaN,NaN,57,244,36,58,80,138,100
419,NaN,,,NaN,NaN,NaN,,,,,,,
420,NaN,15,64,NaN,NaN,NaN,57,244,36,59,80,138,100
421,NaN,,,NaN,NaN,NaN,,,,,,,
422,NaN,15,72,NaN,NaN,NaN,57,245,36,55,80,149,100
423,NaN,,,NaN,NaN,NaN,,,,,,,
424,NaN,15,65,NaN,NaN,NaN,54,245,36,55,81,154,100
425,NaN,,,NaN,NaN,NaN,,,,,,,
426,NaN,15,68,NaN,NaN,NaN,53,245,36,54,80,151,100
427,NaN,,,NaN,NaN,NaN,,,,,,,
428,NaN,15,69,NaN,NaN,NaN,57,245,36,54,81,144,100
429,NaN,,,NaN,NaN,NaN,,,,,,,
430,NaN,15,65,NaN,NaN,NaN,57,245,36,55,81,144,100
431,NaN,,,NaN,NaN,NaN,,,,,,,
432,NaN,15,62,NaN,NaN,NaN,65,246,35,55,87,144,100
433,NaN,,,NaN,NaN,NaN,,,,,,,
