time,Solar8000/ART_SBP,Solar8000/PLETH_SPO2,SNUADC/ECG_II,Solar8000/ART_MBP,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/ETCO2,Solar8000/PLETH_HR,SNUADC/ART,SNUADC/CVP,Solar8000/RR_CO2,Solar8000/CVP,Solar8000/HR
5903,64,100,NaN,43,30,NaN,33,71,NaN,NaN,13,6,70
5904,,,NaN,,,NaN,,,NaN,NaN,,,
5905,63,100,NaN,43,29,NaN,33,72,NaN,NaN,13,6,71
5906,,,NaN,,,NaN,,,NaN,NaN,,,
5907,64,100,NaN,44,31,NaN,33,72,NaN,NaN,13,6,72
5908,,,NaN,,,NaN,,,NaN,NaN,,,
5909,63,100,NaN,44,30,NaN,33,72,NaN,NaN,12,6,72
5910,,,NaN,,,NaN,,,NaN,NaN,,,
5911,63,100,NaN,44,29,NaN,33,72,NaN,NaN,12,6,71
5912,,,NaN,,,NaN,,,NaN,NaN,,,
5913,63,100,NaN,44,30,NaN,33,72,NaN,NaN,12,6,71
5914,,,NaN,,,NaN,,,NaN,NaN,,,
5915,62,100,NaN,44,30,NaN,33,72,NaN,NaN,12,6,71
5916,,,NaN,,,NaN,,,NaN,NaN,,,
5917,65,100,NaN,44,30,NaN,33,71,NaN,NaN,12,6,71
5918,,,NaN,,,NaN,,,NaN,NaN,,,
5919,63,100,NaN,43,30,NaN,33,70,NaN,NaN,12,7,72
5920,,,NaN,,,NaN,,,NaN,NaN,,,
5921,62,100,NaN,43,30,NaN,33,70,NaN,NaN,11,7,72
5922,,,NaN,,,NaN,,,NaN,NaN,,,
5923,64,100,NaN,43,30,NaN,33,70,NaN,NaN,11,7,72
5924,,,NaN,,,NaN,,,NaN,NaN,,,
5925,63,100,NaN,43,30,NaN,33,70,NaN,NaN,11,7,69
5926,,,NaN,,,NaN,,,NaN,NaN,,,
5927,62,100,NaN,43,30,NaN,33,71,NaN,NaN,11,7,71
5928,,,NaN,,,NaN,,,NaN,NaN,,,
5929,63,100,NaN,43,31,NaN,34,71,NaN,NaN,11,7,71
5930,,,NaN,,,NaN,,,NaN,NaN,,,
5931,65,100,NaN,43,30,NaN,34,71,NaN,NaN,11,7,71
5932,,,NaN,,,NaN,,,NaN,NaN,,,
5933,64,100,NaN,43,31,NaN,34,72,NaN,NaN,11,7,71
5934,,,NaN,,,NaN,,,NaN,NaN,,,
5935,66,100,NaN,44,31,NaN,34,72,NaN,NaN,11,7,71
5936,,,NaN,,,NaN,,,NaN,NaN,,,
5937,65,100,NaN,43,30,NaN,34,72,NaN,NaN,11,7,71
5938,,,NaN,,,NaN,,,NaN,NaN,,,
5939,64,100,NaN,45,33,NaN,34,72,NaN,NaN,11,7,72
5940,,,NaN,,,NaN,,,NaN,NaN,,,
5941,66,100,NaN,44,32,NaN,34,71,NaN,NaN,11,7,71
5942,,,NaN,,,NaN,,,NaN,NaN,,,
5943,65,100,NaN,43,30,NaN,34,71,NaN,NaN,11,7,72
5944,,,NaN,,,NaN,,,NaN,NaN,,,
5945,68,100,NaN,43,30,NaN,34,71,NaN,NaN,11,7,75
5946,,,NaN,,,NaN,,,NaN,NaN,,,
5947,65,100,NaN,44,30,NaN,34,71,NaN,NaN,11,7,74
5948,,,NaN,,,NaN,,,NaN,NaN,,,
5949,67,100,NaN,44,30,NaN,34,69,NaN,NaN,11,7,76
5950,,,NaN,,,NaN,,,NaN,NaN,,,
5951,73,100,NaN,45,31,NaN,34,69,NaN,NaN,11,7,74
5952,,,NaN,,,NaN,,,NaN,NaN,,,
5953,74,100,NaN,45,31,NaN,34,71,NaN,NaN,11,7,73
5954,,,NaN,,,NaN,,,NaN,NaN,,,
5955,74,99,NaN,45,32,NaN,34,71,NaN,NaN,11,7,73
5956,,,NaN,,,NaN,,,NaN,NaN,,,
5957,72,100,NaN,45,32,NaN,33,73,NaN,NaN,11,7,72
5958,,,NaN,,,NaN,,,NaN,NaN,,,
5959,72,100,NaN,45,31,NaN,33,73,NaN,NaN,11,7,72
5960,,,NaN,,,NaN,,,NaN,NaN,,,
5961,72,100,NaN,46,32,NaN,33,73,NaN,NaN,11,7,72
5962,,,NaN,,,NaN,,,NaN,NaN,,,
5963,74,100,NaN,46,31,NaN,34,73,NaN,NaN,11,7,73
5964,,,NaN,,,NaN,,,NaN,NaN,,,
5965,76,100,NaN,46,32,NaN,34,73,NaN,NaN,11,7,73
5966,,,NaN,,,NaN,,,NaN,NaN,,,
5967,76,100,NaN,46,32,NaN,34,72,NaN,NaN,11,7,73
5968,,,NaN,,,NaN,,,NaN,NaN,,,
5969,74,100,NaN,46,32,NaN,34,72,NaN,NaN,11,7,73
5970,,,NaN,,,NaN,,,NaN,NaN,,,
5971,74,100,NaN,47,34,NaN,34,72,NaN,NaN,11,7,73
5972,,,NaN,,,NaN,,,NaN,NaN,,,
5973,72,100,NaN,46,31,NaN,34,70,NaN,NaN,11,7,71
5974,,,NaN,,,NaN,,,NaN,NaN,,,
5975,72,100,NaN,47,34,NaN,34,72,NaN,NaN,11,7,73
5976,,,NaN,,,NaN,,,NaN,NaN,,,
5977,72,100,NaN,47,33,NaN,34,70,NaN,NaN,11,7,73
5978,,,NaN,,,NaN,,,NaN,NaN,,,
5979,69,100,NaN,47,33,NaN,34,70,NaN,NaN,11,7,74
5980,,,NaN,,,NaN,,,NaN,NaN,,,
5981,67,100,NaN,46,32,NaN,34,70,NaN,NaN,11,7,73
5982,,,NaN,,,NaN,,,NaN,NaN,,,
5983,68,100,NaN,46,33,NaN,34,71,NaN,NaN,11,7,76
5984,,,NaN,,,NaN,,,NaN,NaN,,,
5985,67,100,NaN,46,33,NaN,34,72,NaN,NaN,11,7,73
5986,,,NaN,,,NaN,,,NaN,NaN,,,
5987,68,100,NaN,47,33,NaN,34,74,NaN,NaN,11,7,73
5988,,,NaN,,,NaN,,,NaN,NaN,,,
5989,70,100,NaN,47,34,NaN,34,73,NaN,NaN,11,7,71
5990,,,NaN,,,NaN,,,NaN,NaN,,,
5991,69,100,NaN,47,33,NaN,33,73,NaN,NaN,11,7,73
5992,,,NaN,,,NaN,,,NaN,NaN,,,
5993,70,100,NaN,47,34,NaN,33,73,NaN,NaN,11,7,73
5994,,,NaN,,,NaN,,,NaN,NaN,,,
5995,70,100,NaN,48,33,NaN,33,74,NaN,NaN,11,7,73
5996,,,NaN,,,NaN,,,NaN,NaN,,,
5997,69,100,NaN,47,33,NaN,33,73,NaN,NaN,11,7,73
5998,,,NaN,,,NaN,,,NaN,NaN,,,
5999,69,100,NaN,48,34,NaN,34,73,NaN,NaN,11,7,73
6000,,,NaN,,,NaN,,,NaN,NaN,,,
6001,69,100,NaN,47,33,NaN,34,73,NaN,NaN,11,7,73
6002,,,NaN,,,NaN,,,NaN,NaN,,,
6003,69,100,NaN,47,33,NaN,34,73,NaN,NaN,11,7,71
6004,,,NaN,,,NaN,,,NaN,NaN,,,
6005,69,100,NaN,48,34,NaN,34,74,NaN,NaN,11,7,73
6006,,,NaN,,,NaN,,,NaN,NaN,,,
6007,69,100,NaN,49,36,NaN,34,74,NaN,NaN,11,7,73
6008,,,NaN,,,NaN,,,NaN,NaN,,,
6009,68,100,NaN,47,33,NaN,34,72,NaN,NaN,11,7,76
6010,,,NaN,,,NaN,,,NaN,NaN,,,
6011,70,100,NaN,48,34,NaN,34,73,NaN,NaN,11,7,74
6012,,,NaN,,,NaN,,,NaN,NaN,,,
6013,70,100,NaN,48,34,NaN,33,72,NaN,NaN,11,7,74
6014,,,NaN,,,NaN,,,NaN,NaN,,,
6015,71,100,NaN,48,34,NaN,33,72,NaN,NaN,11,7,74
6016,,,NaN,,,NaN,,,NaN,NaN,,,
6017,71,100,NaN,49,34,NaN,33,74,NaN,NaN,11,7,73
6018,,,NaN,,,NaN,,,NaN,NaN,,,
6019,71,100,NaN,49,34,NaN,33,74,NaN,NaN,11,7,73
6020,,,NaN,,,NaN,,,NaN,NaN,,,
6021,73,100,NaN,51,40,NaN,33,74,NaN,NaN,11,7,75
6022,,,NaN,,,NaN,,,NaN,NaN,,,
6023,70,100,NaN,50,37,NaN,33,74,NaN,NaN,11,7,74
6024,,,NaN,,,NaN,,,NaN,NaN,,,
6025,71,100,NaN,50,35,NaN,33,74,NaN,NaN,11,6,74
6026,,,NaN,,,NaN,,,NaN,NaN,,,
6027,73,100,NaN,50,35,NaN,34,74,NaN,NaN,11,6,73
6028,,,NaN,,,NaN,,,NaN,NaN,,,
6029,72,100,NaN,52,38,NaN,34,74,NaN,NaN,11,7,74
6030,,,NaN,,,NaN,,,NaN,NaN,,,
6031,75,100,NaN,52,38,NaN,34,77,NaN,NaN,11,7,76
6032,,,NaN,,,NaN,,,NaN,NaN,,,
6033,73,100,NaN,51,35,NaN,34,80,NaN,NaN,11,7,80
6034,,,NaN,,,NaN,,,NaN,NaN,,,
6035,73,100,NaN,50,35,NaN,34,78,NaN,NaN,11,7,78
6036,,,NaN,,,NaN,,,NaN,NaN,,,
6037,73,100,NaN,51,37,NaN,34,78,NaN,NaN,11,7,78
6038,,,NaN,,,NaN,,,NaN,NaN,,,
6039,73,100,NaN,50,34,NaN,34,78,NaN,NaN,11,7,72
6040,,,NaN,,,NaN,,,NaN,NaN,,,
6041,72,100,NaN,49,34,NaN,35,73,NaN,NaN,11,7,72
6042,,,NaN,,,NaN,,,NaN,NaN,,,
6043,73,100,NaN,50,34,NaN,35,74,NaN,NaN,11,7,73
6044,,,NaN,,,NaN,,,NaN,NaN,,,
6045,74,100,NaN,50,35,NaN,35,74,NaN,NaN,11,7,74
6046,,,NaN,,,NaN,,,NaN,NaN,,,
6047,80,100,NaN,51,37,NaN,34,73,NaN,NaN,11,6,74
6048,,,NaN,,,NaN,,,NaN,NaN,,,
6049,75,100,NaN,51,35,NaN,34,73,NaN,NaN,11,6,73
6050,,,NaN,,,NaN,,,NaN,NaN,,,
6051,75,100,NaN,51,35,NaN,34,73,NaN,NaN,11,6,74
6052,,,NaN,,,NaN,,,NaN,NaN,,,
6053,73,100,NaN,50,35,NaN,34,71,NaN,NaN,11,6,76
6054,,,NaN,,,NaN,,,NaN,NaN,,,
6055,74,100,NaN,50,35,NaN,34,71,NaN,NaN,11,7,75
6056,,,NaN,,,NaN,,,NaN,NaN,,,
6057,73,100,NaN,50,35,NaN,34,72,NaN,NaN,11,7,74
6058,,,NaN,,,NaN,,,NaN,NaN,,,
6059,73,100,NaN,50,35,NaN,34,72,NaN,NaN,11,6,73
6060,,,NaN,,,NaN,,,NaN,NaN,,,
6061,73,100,NaN,50,34,NaN,34,74,NaN,NaN,11,6,74
6062,,,NaN,,,NaN,,,NaN,NaN,,,
6063,74,100,NaN,50,35,NaN,34,74,NaN,NaN,11,7,74
6064,,,NaN,,,NaN,,,NaN,NaN,,,
6065,76,100,NaN,50,35,NaN,34,74,NaN,NaN,11,7,74
6066,,,NaN,,,NaN,,,NaN,NaN,,,
6067,74,100,NaN,50,35,NaN,34,74,NaN,NaN,11,7,74
6068,,,NaN,,,NaN,,,NaN,NaN,,,
6069,74,100,NaN,50,35,NaN,34,74,NaN,NaN,11,7,74
6070,,,NaN,,,NaN,,,NaN,NaN,,,
6071,74,100,NaN,50,35,NaN,34,74,NaN,NaN,11,7,73
6072,,,NaN,,,NaN,,,NaN,NaN,,,
6073,74,100,NaN,50,35,NaN,34,74,NaN,NaN,11,7,74
6074,,,NaN,,,NaN,,,NaN,NaN,,,
6075,75,100,NaN,50,35,NaN,34,74,NaN,NaN,11,7,74
6076,,,NaN,,,NaN,,,NaN,NaN,,,
6077,76,100,NaN,51,35,NaN,34,74,NaN,NaN,11,7,74
6078,,,NaN,,,NaN,,,NaN,NaN,,,
6079,75,100,NaN,51,36,NaN,34,74,NaN,NaN,11,7,74
6080,,,NaN,,,NaN,,,NaN,NaN,,,
6081,76,100,NaN,51,36,NaN,34,74,NaN,NaN,11,7,74
6082,,,NaN,,,NaN,,,NaN,NaN,,,
6083,76,100,NaN,51,35,NaN,34,74,NaN,NaN,11,7,74
6084,,,NaN,,,NaN,,,NaN,NaN,,,
6085,75,100,NaN,51,36,NaN,34,74,NaN,NaN,11,7,74
6086,,,NaN,,,NaN,,,NaN,NaN,,,
6087,76,100,NaN,51,35,NaN,34,74,NaN,NaN,11,7,74
6088,,,NaN,,,NaN,,,NaN,NaN,,,
6089,75,100,NaN,51,35,NaN,34,74,NaN,NaN,11,7,74
6090,,,NaN,,,NaN,,,NaN,NaN,,,
6091,75,100,NaN,50,35,NaN,34,74,NaN,NaN,11,7,74
6092,,,NaN,,,NaN,,,NaN,NaN,,,
6093,76,100,NaN,51,35,NaN,34,74,NaN,NaN,11,7,74
6094,,,NaN,,,NaN,,,NaN,NaN,,,
6095,75,99,NaN,51,37,NaN,34,74,NaN,NaN,11,7,73
6096,,,NaN,,,NaN,,,NaN,NaN,,,
6097,77,99,NaN,51,35,NaN,34,75,NaN,NaN,11,7,73
6098,,,NaN,,,NaN,,,NaN,NaN,,,
6099,76,100,NaN,52,38,NaN,34,74,NaN,NaN,11,7,74
6100,,,NaN,,,NaN,,,NaN,NaN,,,
6101,77,100,NaN,52,36,NaN,34,74,NaN,NaN,11,7,74
6102,,,NaN,,,NaN,,,NaN,NaN,,,
6103,78,99,NaN,52,36,NaN,34,73,NaN,NaN,11,7,75
6104,,,NaN,,,NaN,,,NaN,NaN,,,
6105,77,99,NaN,52,35,NaN,34,73,NaN,NaN,11,7,75
6106,,,NaN,,,NaN,,,NaN,NaN,,,
6107,76,99,NaN,51,35,NaN,34,72,NaN,NaN,11,7,75
6108,,,NaN,,,NaN,,,NaN,NaN,,,
6109,76,99,NaN,51,35,NaN,34,72,NaN,NaN,11,7,73
6110,,,NaN,,,NaN,,,NaN,NaN,,,
6111,74,100,NaN,50,35,NaN,34,74,NaN,NaN,11,6,88
6112,,,NaN,,,NaN,,,NaN,NaN,,,
6113,73,99,NaN,50,35,NaN,34,74,NaN,NaN,11,6,84
6114,,,NaN,,,NaN,,,NaN,NaN,,,
6115,74,100,NaN,50,34,NaN,34,74,NaN,NaN,11,6,84
6116,,,NaN,,,NaN,,,NaN,NaN,,,
6117,72,99,NaN,49,34,NaN,34,72,NaN,NaN,11,6,80
6118,,,NaN,,,NaN,,,NaN,NaN,,,
6119,72,99,NaN,49,34,NaN,34,72,NaN,NaN,11,5,74
6120,,,NaN,,,NaN,,,NaN,NaN,,,
6121,72,99,NaN,49,34,NaN,34,72,NaN,NaN,11,5,74
6122,,,NaN,,,NaN,,,NaN,NaN,,,
6123,73,99,NaN,49,35,NaN,34,73,NaN,NaN,11,5,72
6124,,,NaN,,,NaN,,,NaN,NaN,,,
6125,75,99,NaN,50,36,NaN,34,74,NaN,NaN,11,5,74
6126,,,NaN,,,NaN,,,NaN,NaN,,,
6127,75,99,NaN,50,35,NaN,34,75,NaN,NaN,11,6,74
6128,,,NaN,,,NaN,,,NaN,NaN,,,
6129,75,100,NaN,50,35,NaN,34,74,NaN,NaN,11,6,74
6130,,,NaN,,,NaN,,,NaN,NaN,,,
6131,75,99,NaN,51,35,NaN,34,75,NaN,NaN,11,6,74
6132,,,NaN,,,NaN,,,NaN,NaN,,,
6133,74,99,NaN,50,34,NaN,34,75,NaN,NaN,11,6,74
6134,,,NaN,,,NaN,,,NaN,NaN,,,
6135,74,99,NaN,50,35,NaN,34,75,NaN,NaN,11,6,74
6136,,,NaN,,,NaN,,,NaN,NaN,,,
6137,75,100,NaN,51,36,NaN,34,75,NaN,NaN,11,6,74
6138,,,NaN,,,NaN,,,NaN,NaN,,,
6139,75,100,NaN,50,34,NaN,34,76,NaN,NaN,11,6,74
6140,,,NaN,,,NaN,,,NaN,NaN,,,
6141,76,100,NaN,50,35,NaN,34,75,NaN,NaN,11,6,74
6142,,,NaN,,,NaN,,,NaN,NaN,,,
6143,75,100,NaN,50,35,NaN,34,74,NaN,NaN,11,6,74
6144,,,NaN,,,NaN,,,NaN,NaN,,,
6145,75,99,NaN,50,35,NaN,34,74,NaN,NaN,11,6,80
6146,,,NaN,,,NaN,,,NaN,NaN,,,
6147,76,100,NaN,51,35,NaN,34,73,NaN,NaN,11,6,80
6148,,,NaN,,,NaN,,,NaN,NaN,,,
6149,75,99,NaN,51,35,NaN,34,74,NaN,NaN,11,6,63
6150,,,NaN,,,NaN,,,NaN,NaN,,,
6151,76,99,NaN,51,35,NaN,34,74,NaN,NaN,11,6,62
6152,,,NaN,,,NaN,,,NaN,NaN,,,
6153,76,100,NaN,51,35,NaN,34,74,NaN,NaN,11,6,62
6154,,,NaN,,,NaN,,,NaN,NaN,,,
6155,75,100,NaN,51,35,NaN,34,74,NaN,NaN,11,6,71
6156,,,NaN,,,NaN,,,NaN,NaN,,,
6157,75,100,NaN,50,35,NaN,34,74,NaN,NaN,11,6,70
6158,,,NaN,,,NaN,,,NaN,NaN,,,
6159,75,100,NaN,50,34,NaN,34,74,NaN,NaN,11,6,84
6160,,,NaN,,,NaN,,,NaN,NaN,,,
6161,74,99,NaN,50,34,NaN,34,74,NaN,NaN,11,6,79
6162,,,NaN,,,NaN,,,NaN,NaN,,,
6163,74,100,NaN,49,34,NaN,34,74,NaN,NaN,11,6,73
6164,,,NaN,,,NaN,,,NaN,NaN,,,
6165,73,100,NaN,49,33,NaN,34,74,NaN,NaN,11,6,73
6166,,,NaN,,,NaN,,,NaN,NaN,,,
6167,73,99,NaN,49,33,NaN,34,74,NaN,NaN,11,6,73
6168,,,NaN,,,NaN,,,NaN,NaN,,,
6169,73,99,NaN,49,34,NaN,34,74,NaN,NaN,11,6,73
6170,,,NaN,,,NaN,,,NaN,NaN,,,
6171,72,100,NaN,48,33,NaN,34,74,NaN,NaN,11,6,73
6172,,,NaN,,,NaN,,,NaN,NaN,,,
6173,72,100,NaN,48,33,NaN,34,74,NaN,NaN,11,6,90
6174,,,NaN,,,NaN,,,NaN,NaN,,,
6175,72,100,NaN,48,33,NaN,34,74,NaN,NaN,11,6,90
6176,,,NaN,,,NaN,,,NaN,NaN,,,
6177,71,100,NaN,48,33,NaN,34,73,NaN,NaN,11,6,90
6178,,,NaN,,,NaN,,,NaN,NaN,,,
6179,72,100,NaN,48,33,NaN,34,73,NaN,NaN,11,6,76
6180,,,NaN,,,NaN,,,NaN,NaN,,,
6181,72,100,NaN,48,34,NaN,34,72,NaN,NaN,11,6,85
6182,,,NaN,,,NaN,,,NaN,NaN,,,
6183,71,100,NaN,49,34,NaN,34,72,NaN,NaN,11,6,85
6184,,,NaN,,,NaN,,,NaN,NaN,,,
6185,72,100,NaN,49,34,NaN,34,70,NaN,NaN,11,6,89
6186,,,NaN,,,NaN,,,NaN,NaN,,,
6187,73,100,NaN,49,34,NaN,34,70,NaN,NaN,11,7,78
6188,,,NaN,,,NaN,,,NaN,NaN,,,
6189,74,100,NaN,50,35,NaN,34,72,NaN,NaN,11,7,77
6190,,,NaN,,,NaN,,,NaN,NaN,,,
6191,75,100,NaN,50,36,NaN,34,73,NaN,NaN,11,7,77
6192,,,NaN,,,NaN,,,NaN,NaN,,,
6193,76,100,NaN,51,36,NaN,34,74,NaN,NaN,11,7,74
6194,,,NaN,,,NaN,,,NaN,NaN,,,
6195,76,100,NaN,51,36,NaN,34,74,NaN,NaN,11,7,74
6196,,,NaN,,,NaN,,,NaN,NaN,,,
6197,76,100,NaN,51,36,NaN,35,74,NaN,NaN,11,7,74
6198,,,NaN,,,NaN,,,NaN,NaN,,,
6199,76,100,NaN,51,35,NaN,35,74,NaN,NaN,11,7,74
6200,,,NaN,,,NaN,,,NaN,NaN,,,
6201,77,100,NaN,52,36,NaN,35,74,NaN,NaN,11,6,74
6202,,,NaN,,,NaN,,,NaN,NaN,,,
6203,77,100,NaN,52,36,NaN,35,75,NaN,NaN,11,6,74
6204,,,NaN,,,NaN,,,NaN,NaN,,,
6205,77,100,NaN,52,36,NaN,35,74,NaN,NaN,11,7,74
6206,,,NaN,,,NaN,,,NaN,NaN,,,
6207,77,100,NaN,52,36,NaN,35,75,NaN,NaN,11,7,74
6208,,,NaN,,,NaN,,,NaN,NaN,,,
6209,77,99,NaN,52,36,NaN,35,75,NaN,NaN,11,7,74
6210,,,NaN,,,NaN,,,NaN,NaN,,,
6211,77,100,NaN,53,38,NaN,35,75,NaN,NaN,11,7,74
6212,,,NaN,,,NaN,,,NaN,NaN,,,
6213,78,100,NaN,52,36,NaN,34,73,NaN,NaN,11,7,75
6214,,,NaN,,,NaN,,,NaN,NaN,,,
6215,77,100,NaN,52,36,NaN,34,73,NaN,NaN,11,7,75
6216,,,NaN,,,NaN,,,NaN,NaN,,,
6217,76,99,NaN,52,36,NaN,34,73,NaN,NaN,11,7,76
6218,,,NaN,,,NaN,,,NaN,NaN,,,
6219,76,99,NaN,51,35,NaN,34,73,NaN,NaN,11,7,76
6220,,,NaN,,,NaN,,,NaN,NaN,,,
6221,72,99,NaN,50,34,NaN,34,73,NaN,NaN,11,7,74
6222,,,NaN,,,NaN,,,NaN,NaN,,,
6223,73,99,NaN,50,34,NaN,34,73,NaN,NaN,11,7,75
6224,,,NaN,,,NaN,,,NaN,NaN,,,
6225,73,100,NaN,50,34,NaN,34,73,NaN,NaN,11,7,75
6226,,,NaN,,,NaN,,,NaN,NaN,,,
6227,73,100,NaN,51,36,NaN,34,73,NaN,NaN,11,7,75
6228,,,NaN,,,NaN,,,NaN,NaN,,,
6229,75,99,NaN,51,35,NaN,34,71,NaN,NaN,11,7,73
6230,,,NaN,,,NaN,,,NaN,NaN,,,
6231,75,99,NaN,52,38,NaN,34,72,NaN,NaN,11,7,75
6232,,,NaN,,,NaN,,,NaN,NaN,,,
6233,74,99,NaN,52,38,NaN,34,71,NaN,NaN,11,7,75
6234,,,NaN,,,NaN,,,NaN,NaN,,,
6235,75,100,NaN,51,35,NaN,34,69,NaN,NaN,11,7,76
6236,,,NaN,,,NaN,,,NaN,NaN,,,
6237,75,100,NaN,51,36,NaN,34,69,NaN,NaN,11,7,76
6238,,,NaN,,,NaN,,,NaN,NaN,,,
6239,76,100,NaN,51,36,NaN,34,71,NaN,NaN,11,7,74
6240,,,NaN,,,NaN,,,NaN,NaN,,,
6241,76,100,NaN,51,36,NaN,34,72,NaN,NaN,11,7,83
6242,,,NaN,,,NaN,,,NaN,NaN,,,
6243,75,100,NaN,51,35,NaN,34,75,NaN,NaN,11,7,83
6244,,,NaN,,,NaN,,,NaN,NaN,,,
6245,76,100,NaN,51,35,NaN,34,75,NaN,NaN,11,7,90
6246,,,NaN,,,NaN,,,NaN,NaN,,,
6247,75,100,NaN,51,35,NaN,34,76,NaN,NaN,11,6,90
6248,,,NaN,,,NaN,,,NaN,NaN,,,
6249,75,100,NaN,51,36,NaN,34,79,NaN,NaN,11,6,92
6250,,,NaN,,,NaN,,,NaN,NaN,,,
6251,76,100,NaN,51,35,NaN,34,79,NaN,NaN,11,7,80
6252,,,NaN,,,NaN,,,NaN,NaN,,,
6253,74,100,NaN,50,34,NaN,34,79,NaN,NaN,11,7,76
6254,,,NaN,,,NaN,,,NaN,NaN,,,
6255,74,100,NaN,50,34,NaN,34,79,NaN,NaN,11,7,75
6256,,,NaN,,,NaN,,,NaN,NaN,,,
6257,74,100,NaN,50,34,NaN,34,79,NaN,NaN,11,7,74
6258,,,NaN,,,NaN,,,NaN,NaN,,,
6259,74,100,NaN,50,34,NaN,34,77,NaN,NaN,11,7,74
6260,,,NaN,,,NaN,,,NaN,NaN,,,
6261,75,100,NaN,50,35,NaN,34,75,NaN,NaN,11,6,74
6262,,,NaN,,,NaN,,,NaN,NaN,,,
6263,75,100,NaN,50,35,NaN,34,75,NaN,NaN,11,6,74
6264,,,NaN,,,NaN,,,NaN,NaN,,,
6265,76,100,NaN,51,35,NaN,34,75,NaN,NaN,11,7,74
6266,,,NaN,,,NaN,,,NaN,NaN,,,
6267,78,100,NaN,52,36,NaN,34,75,NaN,NaN,11,7,75
6268,,,NaN,,,NaN,,,NaN,NaN,,,
6269,77,100,NaN,54,40,NaN,34,73,NaN,NaN,11,7,75
6270,,,NaN,,,NaN,,,NaN,NaN,,,
6271,74,100,NaN,52,35,NaN,35,71,NaN,NaN,11,7,76
6272,,,NaN,,,NaN,,,NaN,NaN,,,
6273,73,100,NaN,51,35,NaN,35,72,NaN,NaN,11,7,81
6274,,,NaN,,,NaN,,,NaN,NaN,,,
6275,74,100,NaN,50,34,NaN,35,72,NaN,NaN,11,7,80
6276,,,NaN,,,NaN,,,NaN,NaN,,,
6277,75,99,NaN,51,35,NaN,34,71,NaN,NaN,11,7,79
6278,,,NaN,,,NaN,,,NaN,NaN,,,
6279,75,99,NaN,51,34,NaN,34,72,NaN,NaN,11,7,78
6280,,,NaN,,,NaN,,,NaN,NaN,,,
6281,74,99,NaN,50,34,NaN,34,72,NaN,NaN,11,7,75
6282,,,NaN,,,NaN,,,NaN,NaN,,,
6283,75,100,NaN,50,35,NaN,34,73,NaN,NaN,11,7,75
6284,,,NaN,,,NaN,,,NaN,NaN,,,
6285,74,100,NaN,50,35,NaN,35,73,NaN,NaN,11,7,75
6286,,,NaN,,,NaN,,,NaN,NaN,,,
6287,75,100,NaN,50,35,NaN,35,73,NaN,NaN,11,7,74
6288,,,NaN,,,NaN,,,NaN,NaN,,,
6289,74,99,NaN,50,34,NaN,35,74,NaN,NaN,11,7,74
6290,,,NaN,,,NaN,,,NaN,NaN,,,
6291,73,99,NaN,50,34,NaN,34,75,NaN,NaN,11,7,74
6292,,,NaN,,,NaN,,,NaN,NaN,,,
6293,73,99,NaN,50,35,NaN,34,75,NaN,NaN,11,7,74
6294,,,NaN,,,NaN,,,NaN,NaN,,,
6295,75,99,NaN,50,35,NaN,34,75,NaN,NaN,11,7,74
6296,,,NaN,,,NaN,,,NaN,NaN,,,
6297,74,99,NaN,50,34,NaN,34,75,NaN,NaN,11,7,74
6298,,,NaN,,,NaN,,,NaN,NaN,,,
6299,75,99,NaN,50,35,NaN,34,75,NaN,NaN,11,7,75
6300,,,NaN,,,NaN,,,NaN,NaN,,,
6301,76,99,NaN,51,35,NaN,34,75,NaN,NaN,11,7,75
6302,,,NaN,,,NaN,,,NaN,NaN,,,
6303,75,99,NaN,51,35,NaN,34,75,NaN,NaN,11,7,75
6304,,,NaN,,,NaN,,,NaN,NaN,,,
6305,76,99,NaN,51,35,NaN,34,75,NaN,NaN,11,7,75
6306,,,NaN,,,NaN,,,NaN,NaN,,,
6307,75,99,NaN,52,37,NaN,34,75,NaN,NaN,11,7,75
6308,,,NaN,,,NaN,,,NaN,NaN,,,
6309,75,99,NaN,52,37,NaN,34,75,NaN,NaN,11,7,77
6310,,,NaN,,,NaN,,,NaN,NaN,,,
6311,74,99,NaN,51,36,NaN,34,72,NaN,NaN,11,7,78
6312,,,NaN,,,NaN,,,NaN,NaN,,,
6313,73,99,NaN,50,34,NaN,35,72,NaN,NaN,11,7,76
6314,,,NaN,,,NaN,,,NaN,NaN,,,
6315,74,99,NaN,50,35,NaN,35,72,NaN,NaN,11,7,76
6316,,,NaN,,,NaN,,,NaN,NaN,,,
6317,75,99,NaN,50,34,NaN,35,72,NaN,NaN,11,7,72
6318,,,NaN,,,NaN,,,NaN,NaN,,,
6319,74,100,NaN,50,34,NaN,35,75,NaN,NaN,11,6,72
6320,,,NaN,,,NaN,,,NaN,NaN,,,
6321,74,100,NaN,50,34,NaN,35,74,NaN,NaN,11,6,74
6322,,,NaN,,,NaN,,,NaN,NaN,,,
6323,74,99,NaN,51,37,NaN,35,74,NaN,NaN,11,6,74
6324,,,NaN,,,NaN,,,NaN,NaN,,,
6325,74,99,NaN,50,34,NaN,35,76,NaN,NaN,11,7,76
6326,,,NaN,,,NaN,,,NaN,NaN,,,
6327,73,99,NaN,49,34,NaN,34,75,NaN,NaN,11,7,75
