time,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/ART_SBP,Solar8000/PLETH_HR,Solar8000/ETCO2,Solar8000/ART_MBP,Solar8000/CVP,SNUADC/CVP,SNUADC/ECG_II,SNUADC/ART,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,Solar8000/HR
95,,,,,,,,NaN,NaN,NaN,,NaN,
96,0,,0,90,0,0,-12,NaN,NaN,NaN,100,NaN,90
97,,,,,,,,NaN,NaN,NaN,,NaN,
98,0,,0,90,0,0,-12,NaN,NaN,NaN,100,NaN,90
99,,,,,,,,NaN,NaN,NaN,,NaN,
100,0,,0,90,0,0,-12,NaN,NaN,NaN,100,NaN,90
101,,,,,,,,NaN,NaN,NaN,,NaN,
102,0,,0,90,0,0,-12,NaN,NaN,NaN,100,NaN,90
103,,,,,,,,NaN,NaN,NaN,,NaN,
104,1,,1,90,0,1,-12,NaN,NaN,NaN,100,NaN,90
105,,,,,,,,NaN,NaN,NaN,,NaN,
106,1,,1,90,0,1,-12,NaN,NaN,NaN,100,NaN,89
107,,,,,,,,NaN,NaN,NaN,,NaN,
108,0,,0,90,0,0,-12,NaN,NaN,NaN,100,NaN,89
109,,,,,,,,NaN,NaN,NaN,,NaN,
110,0,,0,89,0,0,-12,NaN,NaN,NaN,100,NaN,89
111,,,,,,,,NaN,NaN,NaN,,NaN,
112,0,,0,89,0,0,-12,NaN,NaN,NaN,100,NaN,88
113,,,,,,,,NaN,NaN,NaN,,NaN,
114,0,,0,88,0,0,-12,NaN,NaN,NaN,100,NaN,88
115,,,,,,,,NaN,NaN,NaN,,NaN,
116,1,,1,88,0,1,-12,NaN,NaN,NaN,100,NaN,88
117,,,,,,,,NaN,NaN,NaN,,NaN,
118,1,,1,88,0,1,-12,NaN,NaN,NaN,100,NaN,88
119,,,,,,,,NaN,NaN,NaN,,NaN,
120,0,,0,88,0,0,-12,NaN,NaN,NaN,100,NaN,88
121,,,,,,,,NaN,NaN,NaN,,NaN,
122,0,,0,88,0,0,-12,NaN,NaN,NaN,100,NaN,88
123,,,,,,,,NaN,NaN,NaN,,NaN,
124,0,,0,88,0,0,-12,NaN,NaN,NaN,100,NaN,88
125,,,,,,,,NaN,NaN,NaN,,NaN,
126,0,,0,89,0,0,-12,NaN,NaN,NaN,100,NaN,88
127,,,,,,,,NaN,NaN,NaN,,NaN,
128,1,,1,88,0,1,-12,NaN,NaN,NaN,100,NaN,89
129,,,,,,,,NaN,NaN,NaN,,NaN,
130,1,,1,88,0,1,-12,NaN,NaN,NaN,100,NaN,88
131,,,,,,,,NaN,NaN,NaN,,NaN,
132,1,,1,89,0,1,-12,NaN,NaN,NaN,100,NaN,88
133,,,,,,,,NaN,NaN,NaN,,NaN,
134,1,,1,88,0,1,-12,NaN,NaN,NaN,100,NaN,88
135,,,,,,,,NaN,NaN,NaN,,NaN,
136,1,,1,88,0,1,-12,NaN,NaN,NaN,100,NaN,88
137,,,,,,,,NaN,NaN,NaN,,NaN,
138,1,,1,89,0,1,-12,NaN,NaN,NaN,100,NaN,89
139,,,,,,,,NaN,NaN,NaN,,NaN,
140,0,,0,90,0,0,-12,NaN,NaN,NaN,100,NaN,89
141,,,,,,,,NaN,NaN,NaN,,NaN,
142,0,,0,90,0,0,-12,NaN,NaN,NaN,100,NaN,90
143,,,,,,,,NaN,NaN,NaN,,NaN,
144,1,,1,90,0,1,-12,NaN,NaN,NaN,100,NaN,89
145,,,,,,,,NaN,NaN,NaN,,NaN,
146,1,,1,90,0,1,-12,NaN,NaN,NaN,100,NaN,89
147,,,,,,,,NaN,NaN,NaN,,NaN,
148,-1,,-1,90,0,-1,-12,NaN,NaN,NaN,100,NaN,89
149,,,,,,,,NaN,NaN,NaN,,NaN,
150,-1,,-1,90,0,-1,-12,NaN,NaN,NaN,100,NaN,90
151,,,,,,,,NaN,NaN,NaN,,NaN,
152,-1,,-1,90,0,-1,-12,NaN,NaN,NaN,100,NaN,90
153,,,,,,,,NaN,NaN,NaN,,NaN,
154,-1,,-1,90,0,-1,-12,NaN,NaN,NaN,100,NaN,90
155,,,,,,,,NaN,NaN,NaN,,NaN,
156,1,,1,90,0,1,-12,NaN,NaN,NaN,100,NaN,89
157,,,,,,,,NaN,NaN,NaN,,NaN,
158,1,,1,94,0,1,-12,NaN,NaN,NaN,100,NaN,89
159,,,,,,,,NaN,NaN,NaN,,NaN,
160,-1,,-1,94,0,-1,-12,NaN,NaN,NaN,100,NaN,89
161,,,,,,,,NaN,NaN,NaN,,NaN,
162,-9,,1,93,0,-2,-13,NaN,NaN,NaN,100,NaN,88
163,,,,,,,,NaN,NaN,NaN,,NaN,
164,-7,,4,88,0,-2,-13,NaN,NaN,NaN,100,NaN,87
165,,,,,,,,NaN,NaN,NaN,,NaN,
166,-7,,4,87,0,-2,-13,NaN,NaN,NaN,100,NaN,86
167,,,,,,,,NaN,NaN,NaN,,NaN,
168,-1,,-1,87,0,-1,-13,NaN,NaN,NaN,100,NaN,87
169,,,,,,,,NaN,NaN,NaN,,NaN,
170,-1,,-1,87,0,-1,-13,NaN,NaN,NaN,100,NaN,87
171,,,,,,,,NaN,NaN,NaN,,NaN,
172,-1,,-1,87,0,-1,-12,NaN,NaN,NaN,100,NaN,87
173,,,,,,,,NaN,NaN,NaN,,NaN,
174,-1,,-1,87,0,-1,-12,NaN,NaN,NaN,100,NaN,87
175,,,,,,,,NaN,NaN,NaN,,NaN,
176,-2,,-2,87,0,-2,-12,NaN,NaN,NaN,100,NaN,87
177,,,,,,,,NaN,NaN,NaN,,NaN,
178,-2,,-2,88,0,-2,-12,NaN,NaN,NaN,100,NaN,87
179,,,,,,,,NaN,NaN,NaN,,NaN,
180,-2,,-2,88,0,-2,-12,NaN,NaN,NaN,100,NaN,87
181,,,,,,,,NaN,NaN,NaN,,NaN,
182,-2,,-2,88,0,-2,-12,NaN,NaN,NaN,100,NaN,87
183,,,,,,,,NaN,NaN,NaN,,NaN,
184,-2,,-2,88,0,-2,-13,NaN,NaN,NaN,100,NaN,87
185,,,,,,,,NaN,NaN,NaN,,NaN,
186,-2,,-2,88,0,-2,-13,NaN,NaN,NaN,100,NaN,88
187,,,,,,,,NaN,NaN,NaN,,NaN,
188,-2,,-2,88,0,-2,-13,NaN,NaN,NaN,100,NaN,88
189,,,,,,,,NaN,NaN,NaN,,NaN,
190,-2,,-2,89,0,-2,-13,NaN,NaN,NaN,100,NaN,88
191,,,,,,,,NaN,NaN,NaN,,NaN,
192,-2,,-2,88,0,-2,-13,NaN,NaN,NaN,100,NaN,88
193,,,,,,,,NaN,NaN,NaN,,NaN,
194,-2,,-2,88,0,-2,-13,NaN,NaN,NaN,100,NaN,87
195,,,,,,,,NaN,NaN,NaN,,NaN,
196,-1,,-1,87,0,-1,-13,NaN,NaN,NaN,100,NaN,87
197,,,,,,,,NaN,NaN,NaN,,NaN,
198,-1,,-1,88,0,-1,-13,NaN,NaN,NaN,100,NaN,87
199,,,,,,,,NaN,NaN,NaN,,NaN,
200,-2,,-2,88,0,-2,-13,NaN,NaN,NaN,100,NaN,87
201,,,,,,,,NaN,NaN,NaN,,NaN,
202,-2,,-2,88,0,-2,-12,NaN,NaN,NaN,100,NaN,87
203,,,,,,,,NaN,NaN,NaN,,NaN,
204,-2,,-2,87,0,-2,-12,NaN,NaN,NaN,100,NaN,87
205,,,,,,,,NaN,NaN,NaN,,NaN,
206,-2,,-2,87,0,-2,-12,NaN,NaN,NaN,100,NaN,86
207,,,,,,,,NaN,NaN,NaN,,NaN,
208,-2,,-2,87,0,-2,-12,NaN,NaN,NaN,100,NaN,87
209,,,,,,,,NaN,NaN,NaN,,NaN,
210,-2,,-2,88,0,-2,-12,NaN,NaN,NaN,100,NaN,87
211,,,,,,,,NaN,NaN,NaN,,NaN,
212,-2,,-2,88,0,-2,-12,NaN,NaN,NaN,100,NaN,88
213,,,,,,,,NaN,NaN,NaN,,NaN,
214,-2,,-2,89,0,-2,-12,NaN,NaN,NaN,100,NaN,88
215,,,,,,,,NaN,NaN,NaN,,NaN,
216,-2,,-2,89,0,-2,-12,NaN,NaN,NaN,100,NaN,88
217,,,,,,,,NaN,NaN,NaN,,NaN,
218,-2,,-2,88,0,-2,-12,NaN,NaN,NaN,100,NaN,88
219,,,,,,,,NaN,NaN,NaN,,NaN,
220,-2,,-2,88,0,-2,-12,NaN,NaN,NaN,100,NaN,87
221,,,,,,,,NaN,NaN,NaN,,NaN,
222,-2,,-2,88,0,-2,-13,NaN,NaN,NaN,100,NaN,87
223,,,,,,,,NaN,NaN,NaN,,NaN,
224,-2,,-2,88,0,-2,-13,NaN,NaN,NaN,100,NaN,87
225,,,,,,,,NaN,NaN,NaN,,NaN,
226,-2,,-2,88,0,-2,-13,NaN,NaN,NaN,100,NaN,87
227,,,,,,,,NaN,NaN,NaN,,NaN,
228,-2,,-2,88,0,-2,-13,NaN,NaN,NaN,100,NaN,87
229,,,,,,,,NaN,NaN,NaN,,NaN,
230,-2,,-2,88,0,-2,-13,NaN,NaN,NaN,100,NaN,87
231,,,,,,,,NaN,NaN,NaN,,NaN,
232,-3,,-3,88,0,-3,-13,NaN,NaN,NaN,100,NaN,88
233,,,,,,,,NaN,NaN,NaN,,NaN,
234,-3,,-3,87,0,-3,-13,NaN,NaN,NaN,100,NaN,88
235,,,,,,,,NaN,NaN,NaN,,NaN,
236,-3,,-3,87,0,-3,-12,NaN,NaN,NaN,100,NaN,88
237,,,,,,,,NaN,NaN,NaN,,NaN,
238,-3,,-3,87,0,-3,-12,NaN,NaN,NaN,100,NaN,88
239,,,,,,,,NaN,NaN,NaN,,NaN,
240,-3,,-3,88,0,-3,-12,NaN,NaN,NaN,100,NaN,88
241,,,,,,,,NaN,NaN,NaN,,NaN,
242,-3,,-3,88,0,-3,-12,NaN,NaN,NaN,100,NaN,88
243,,,,,,,,NaN,NaN,NaN,,NaN,
244,-4,,-2,88,0,-3,-13,NaN,NaN,NaN,100,NaN,87
245,,,,,,,,NaN,NaN,NaN,,NaN,
246,-4,,-2,88,0,-3,-13,NaN,NaN,NaN,100,NaN,87
247,,,,,,,,NaN,NaN,NaN,,NaN,
248,-4,,-2,87,0,-3,-13,NaN,NaN,NaN,100,NaN,87
249,,,,,,,,NaN,NaN,NaN,,NaN,
250,-3,,-3,87,0,-3,-13,NaN,NaN,NaN,100,NaN,86
251,,,,,,,,NaN,NaN,NaN,,NaN,
252,-3,,-3,87,0,-3,-12,NaN,NaN,NaN,100,NaN,86
253,,,,,,,,NaN,NaN,NaN,,NaN,
254,-3,,-3,86,0,-3,-12,NaN,NaN,NaN,100,NaN,86
255,,,,,,,,NaN,NaN,NaN,,NaN,
256,-3,,-3,86,0,-3,-12,NaN,NaN,NaN,100,NaN,86
257,,,,,,,,NaN,NaN,NaN,,NaN,
258,-3,,-3,86,0,-3,-12,NaN,NaN,NaN,100,NaN,85
259,,,,,,,,NaN,NaN,NaN,,NaN,
260,-3,,-3,86,0,-3,-12,NaN,NaN,NaN,100,NaN,85
261,,,,,,,,NaN,NaN,NaN,,NaN,
262,-3,,-3,86,0,-3,-12,NaN,NaN,NaN,100,NaN,85
263,,,,,,,,NaN,NaN,NaN,,NaN,
264,-3,,-3,87,0,-3,-12,NaN,NaN,NaN,100,NaN,86
265,,,,,,,,NaN,NaN,NaN,,NaN,
266,-3,,-3,87,0,-3,-13,NaN,NaN,NaN,100,NaN,87
267,,,,,,,,NaN,NaN,NaN,,NaN,
268,-3,,-3,89,0,-3,-13,NaN,NaN,NaN,100,NaN,87
269,,,,,,,,NaN,NaN,NaN,,NaN,
270,-4,,-4,92,0,-4,-13,NaN,NaN,NaN,100,NaN,87
271,,,,,,,,NaN,NaN,NaN,,NaN,
272,-4,,-4,92,0,-4,-13,NaN,NaN,NaN,100,NaN,87
273,,,,,,,,NaN,NaN,NaN,,NaN,
274,-4,,-4,92,0,-4,-13,NaN,NaN,NaN,100,NaN,88
275,,,,,,,,NaN,NaN,NaN,,NaN,
276,-4,,-4,88,0,-4,-13,NaN,NaN,NaN,100,NaN,87
277,,,,,,,,NaN,NaN,NaN,,NaN,
278,-3,,-3,88,0,-3,-13,NaN,NaN,NaN,100,NaN,87
279,,,,,,,,NaN,NaN,NaN,,NaN,
280,-3,,-3,88,0,-3,-13,NaN,NaN,NaN,100,NaN,87
281,,,,,,,,NaN,NaN,NaN,,NaN,
282,-3,,-3,88,0,-3,-13,NaN,NaN,NaN,100,NaN,87
283,,,,,,,,NaN,NaN,NaN,,NaN,
284,-3,,-3,88,0,-3,-13,NaN,NaN,NaN,100,NaN,87
285,,,,,,,,NaN,NaN,NaN,,NaN,
286,-4,,-4,88,0,-4,-12,NaN,NaN,NaN,100,NaN,88
287,,,,,,,,NaN,NaN,NaN,,NaN,
288,-4,,-4,88,0,-4,-12,NaN,NaN,NaN,100,NaN,88
289,,,,,,,,NaN,NaN,NaN,,NaN,
290,-4,,-4,88,0,-4,-12,NaN,NaN,NaN,100,NaN,87
291,,,,,,,,NaN,NaN,NaN,,NaN,
292,-4,,-4,88,0,-4,-12,NaN,NaN,NaN,100,NaN,87
293,,,,,,,,NaN,NaN,NaN,,NaN,
294,-4,,-4,87,0,-4,-12,NaN,NaN,NaN,100,NaN,87
295,,,,,,,,NaN,NaN,NaN,,NaN,
296,-4,,-4,87,0,-4,-12,NaN,NaN,NaN,100,NaN,86
297,,,,,,,,NaN,NaN,NaN,,NaN,
298,-4,,-4,87,0,-4,-12,NaN,NaN,NaN,100,NaN,86
299,,,,,,,,NaN,NaN,NaN,,NaN,
300,-4,,-4,87,0,-4,-12,NaN,NaN,NaN,100,NaN,87
301,,,,,,,,NaN,NaN,NaN,,NaN,
302,-4,,-4,87,0,-4,-12,NaN,NaN,NaN,100,NaN,87
303,,,,,,,,NaN,NaN,NaN,,NaN,
304,-4,,-4,87,0,-4,-12,NaN,NaN,NaN,100,NaN,87
305,,,,,,,,NaN,NaN,NaN,,NaN,
306,-4,,-4,88,0,-4,-12,NaN,NaN,NaN,100,NaN,87
307,,,,,,,,NaN,NaN,NaN,,NaN,
308,-4,,-4,88,0,-4,-13,NaN,NaN,NaN,100,NaN,88
309,,,,,,,,NaN,NaN,NaN,,NaN,
310,-4,,-4,89,0,-4,-13,NaN,NaN,NaN,100,NaN,89
311,,,,,,,,NaN,NaN,NaN,,NaN,
312,-4,,-4,90,0,-4,-13,NaN,NaN,NaN,100,NaN,89
313,,,,,,,,NaN,NaN,NaN,,NaN,
