time,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,Solar8000/PLETH_HR,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/HR,Solar8000/ART_SBP,Solar8000/CVP,SNUADC/ECG_II,Solar8000/ETCO2,Solar8000/RR_CO2,SNUADC/ART,SNUADC/CVP
91,,,,,NaN,,,,NaN,,,NaN,NaN
92,-2,100,66,-2,NaN,0,-2,-7,NaN,0,,NaN,NaN
93,,,,,NaN,,,,NaN,,,NaN,NaN
94,-1,100,66,-1,NaN,0,-1,-7,NaN,0,,NaN,NaN
95,,,,,NaN,,,,NaN,,,NaN,NaN
96,-1,100,66,-1,NaN,0,-1,-7,NaN,0,,NaN,NaN
97,,,,,NaN,,,,NaN,,,NaN,NaN
98,-2,100,65,-2,NaN,0,-2,-7,NaN,0,,NaN,NaN
99,,,,,NaN,,,,NaN,,,NaN,NaN
100,-2,100,65,-2,NaN,0,-2,-7,NaN,0,,NaN,NaN
101,,,,,NaN,,,,NaN,,,NaN,NaN
102,-2,100,65,-2,NaN,0,-2,-7,NaN,0,,NaN,NaN
103,,,,,NaN,,,,NaN,,,NaN,NaN
104,-2,100,64,-2,NaN,0,-2,-7,NaN,0,,NaN,NaN
105,,,,,NaN,,,,NaN,,,NaN,NaN
106,-2,100,64,-11,NaN,0,4,-7,NaN,0,,NaN,NaN
107,,,,,NaN,,,,NaN,,,NaN,NaN
108,-2,100,64,-8,NaN,0,8,-7,NaN,0,,NaN,NaN
109,,,,,NaN,,,,NaN,,,NaN,NaN
110,-2,100,63,-8,NaN,92,4,-7,NaN,0,,NaN,NaN
111,,,,,NaN,,,,NaN,,,NaN,NaN
112,-2,100,63,-6,NaN,81,5,-7,NaN,0,,NaN,NaN
113,,,,,NaN,,,,NaN,,,NaN,NaN
114,-2,100,63,-14,NaN,67,13,-7,NaN,0,,NaN,NaN
115,,,,,NaN,,,,NaN,,,NaN,NaN
116,-1,100,63,-21,NaN,67,24,-7,NaN,0,,NaN,NaN
117,,,,,NaN,,,,NaN,,,NaN,NaN
118,-1,100,63,-21,NaN,60,24,-6,NaN,0,,NaN,NaN
119,,,,,NaN,,,,NaN,,,NaN,NaN
120,-2,100,62,-2,NaN,60,-2,-6,NaN,0,,NaN,NaN
121,,,,,NaN,,,,NaN,,,NaN,NaN
122,-2,100,63,-2,NaN,60,-2,-7,NaN,0,,NaN,NaN
123,,,,,NaN,,,,NaN,,,NaN,NaN
124,-2,100,62,-2,NaN,60,-2,-7,NaN,0,,NaN,NaN
125,,,,,NaN,,,,NaN,,,NaN,NaN
126,-2,100,62,-2,NaN,59,-2,-7,NaN,0,,NaN,NaN
127,,,,,NaN,,,,NaN,,,NaN,NaN
128,-2,100,61,-2,NaN,59,-2,-7,NaN,0,,NaN,NaN
129,,,,,NaN,,,,NaN,,,NaN,NaN
130,-2,100,61,-2,NaN,58,-2,-7,NaN,0,,NaN,NaN
131,,,,,NaN,,,,NaN,,,NaN,NaN
132,-1,100,61,-1,NaN,58,-1,-7,NaN,0,,NaN,NaN
133,,,,,NaN,,,,NaN,,,NaN,NaN
134,-1,100,61,-1,NaN,58,-1,-7,NaN,0,,NaN,NaN
135,,,,,NaN,,,,NaN,,,NaN,NaN
136,-1,100,61,-1,NaN,58,-1,-7,NaN,0,,NaN,NaN
137,,,,,NaN,,,,NaN,,,NaN,NaN
138,-1,100,61,-1,NaN,58,-1,-7,NaN,0,,NaN,NaN
139,,,,,NaN,,,,NaN,,,NaN,NaN
140,-2,100,60,-2,NaN,58,-2,-7,NaN,0,,NaN,NaN
141,,,,,NaN,,,,NaN,,,NaN,NaN
142,-2,100,60,-2,NaN,58,-2,-7,NaN,0,,NaN,NaN
143,,,,,NaN,,,,NaN,,,NaN,NaN
144,-1,100,60,-1,NaN,58,-1,-7,NaN,0,,NaN,NaN
145,,,,,NaN,,,,NaN,,,NaN,NaN
146,-1,100,61,-1,NaN,59,-1,-7,NaN,0,,NaN,NaN
147,,,,,NaN,,,,NaN,,,NaN,NaN
148,-2,100,62,-2,NaN,60,-2,-7,NaN,0,,NaN,NaN
149,,,,,NaN,,,,NaN,,,NaN,NaN
150,-2,100,63,-2,NaN,62,-2,-7,NaN,0,,NaN,NaN
151,,,,,NaN,,,,NaN,,,NaN,NaN
152,-2,100,64,-2,NaN,62,-2,-7,NaN,0,,NaN,NaN
153,,,,,NaN,,,,NaN,,,NaN,NaN
154,-2,100,64,-2,NaN,61,-2,-7,NaN,0,,NaN,NaN
155,,,,,NaN,,,,NaN,,,NaN,NaN
156,0,100,64,0,NaN,61,0,-7,NaN,0,,NaN,NaN
157,,,,,NaN,,,,NaN,,,NaN,NaN
158,0,100,63,0,NaN,60,0,-7,NaN,0,,NaN,NaN
159,,,,,NaN,,,,NaN,,,NaN,NaN
