time,Solar8000/PLETH_HR,Solar8000/ART_SBP,Solar8000/ART_MBP,Solar8000/ART_DBP,SNUADC/ART,Solar8000/RR_CO2,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,SNUADC/ECG_II,Solar8000/ETCO2,Solar8000/CVP,SNUADC/CVP,Solar8000/HR
0,,,,,NaN,,,NaN,NaN,,,NaN,
1,,,,,-496.78717041015625,,,-4.9562602043151855,-4.9562602043151855,,,-495.6260070800781,
2,,,,,-496.7851867675781,,,-4.956240177154541,-4.956240177154541,,,-495.6240234375,
3,,,,,NaN,,,NaN,NaN,,,NaN,
4,,,,,NaN,,,NaN,NaN,,,NaN,73
5,,,,,NaN,,,NaN,NaN,,,NaN,
6,,,,,NaN,,,NaN,NaN,,,NaN,73
7,,,,,NaN,,,NaN,NaN,,,NaN,
8,,,,,NaN,,,NaN,NaN,,,NaN,73
9,,,,,NaN,,,NaN,NaN,,,NaN,
10,,,,,NaN,,,NaN,NaN,,,NaN,73
11,,,,,NaN,,,NaN,NaN,,,NaN,
12,,,,,NaN,,,NaN,NaN,,,NaN,72
13,,,,,NaN,,,NaN,NaN,,,NaN,
14,,,,,NaN,,,NaN,NaN,,,NaN,72
15,,,,,NaN,,,NaN,NaN,,,NaN,
16,,,,,NaN,,,NaN,NaN,,,NaN,72
17,,,,,NaN,,,NaN,NaN,,,NaN,
18,,,,,NaN,,,NaN,NaN,,,NaN,72
19,,,,,NaN,,,NaN,NaN,,,NaN,
20,,,,,NaN,,,NaN,NaN,,,NaN,72
21,,,,,NaN,,,NaN,NaN,,,NaN,
22,,,,,NaN,,,NaN,NaN,,,NaN,72
23,,,,,NaN,,,NaN,NaN,,,NaN,
24,,,,,NaN,,,NaN,NaN,,,NaN,72
25,,,,,NaN,,,NaN,NaN,,,NaN,
26,,,,,NaN,,,NaN,NaN,,,NaN,73
27,,,,,NaN,,,NaN,NaN,,,NaN,
28,,,,,NaN,,,NaN,NaN,,,NaN,73
29,,,,,NaN,,,NaN,NaN,,,NaN,
30,,,,,NaN,,,NaN,NaN,,,NaN,73
31,,,,,NaN,,,NaN,NaN,,,NaN,
32,,,,,NaN,,,NaN,NaN,,,NaN,73
33,,,,,NaN,,,NaN,NaN,,,NaN,
34,107,,,,NaN,,91,NaN,NaN,,,NaN,72
35,,,,,NaN,,,NaN,NaN,,,NaN,
36,107,,,,NaN,,91,NaN,NaN,,,NaN,72
37,,,,,NaN,,,NaN,NaN,,,NaN,
38,86,,,,NaN,,92,NaN,NaN,,,NaN,72
39,,,,,NaN,,,NaN,NaN,,,NaN,
40,73,,,,NaN,,92,NaN,NaN,,,NaN,72
41,,,,,NaN,,,NaN,NaN,,,NaN,
42,72,,,,NaN,,93,NaN,NaN,,,NaN,71
43,,,,,NaN,,,NaN,NaN,,,NaN,
44,72,,,,NaN,,93,NaN,NaN,,,NaN,71
45,,,,,NaN,,,NaN,NaN,,,NaN,
46,72,,,,NaN,,93,NaN,NaN,,,NaN,71
47,,,,,NaN,,,NaN,NaN,,,NaN,
48,72,,,,NaN,,92,NaN,NaN,,,NaN,71
49,,,,,NaN,,,NaN,NaN,,,NaN,
50,72,,,,NaN,,92,NaN,NaN,,,NaN,71
51,,,,,NaN,,,NaN,NaN,,,NaN,
52,72,,,,NaN,,92,NaN,NaN,,,NaN,71
53,,,,,NaN,,,NaN,NaN,,,NaN,
54,72,,,,NaN,,92,NaN,NaN,,,NaN,71
55,,,,,NaN,,,NaN,NaN,,,NaN,
56,73,,,,NaN,,92,NaN,NaN,,,NaN,71
57,,,,,NaN,,,NaN,NaN,,,NaN,
58,72,,,,NaN,,92,NaN,NaN,,,NaN,71
59,,,,,NaN,,,NaN,NaN,,,NaN,
60,72,,,,NaN,,93,NaN,NaN,,,NaN,71
61,,,,,NaN,,,NaN,NaN,,,NaN,
62,72,,,,NaN,,93,NaN,NaN,,,NaN,71
63,,,,,NaN,,,NaN,NaN,,,NaN,
64,71,,,,NaN,,93,NaN,NaN,,,NaN,71
65,,,,,NaN,,,NaN,NaN,,,NaN,
66,72,,,,NaN,,93,NaN,NaN,,,NaN,71
67,,,,,NaN,,,NaN,NaN,,,NaN,
68,71,,,,NaN,,93,NaN,NaN,,,NaN,71
69,,,,,NaN,,,NaN,NaN,,,NaN,
70,71,,,,NaN,,92,NaN,NaN,,,NaN,71
71,,,,,NaN,,,NaN,NaN,,,NaN,
72,71,,,,NaN,,92,NaN,NaN,,,NaN,71
73,,,,,NaN,,,NaN,NaN,,,NaN,
74,71,,,,NaN,,92,NaN,NaN,,,NaN,71
75,,,,,NaN,,,NaN,NaN,,,NaN,
76,72,,,,NaN,,92,NaN,NaN,,,NaN,71
77,,,,,NaN,,,NaN,NaN,,,NaN,
78,71,,,,NaN,,92,NaN,NaN,,,NaN,71
79,,,,,NaN,,,NaN,NaN,,,NaN,
80,71,,,,NaN,,92,NaN,NaN,,,NaN,71
81,,,,,NaN,,,NaN,NaN,,,NaN,
82,71,,,,NaN,,92,NaN,NaN,,,NaN,71
83,,,,,NaN,,,NaN,NaN,,,NaN,
84,71,,,,NaN,,92,NaN,NaN,,,NaN,70
85,,,,,NaN,,,NaN,NaN,,,NaN,
86,71,,,,NaN,,92,NaN,NaN,,,NaN,70
87,,,,,NaN,,,NaN,NaN,,,NaN,
88,70,,,,NaN,,92,NaN,NaN,,,NaN,70
89,,,,,NaN,,,NaN,NaN,,,NaN,
90,70,,,,NaN,,92,NaN,NaN,,,NaN,70
91,,,,,NaN,,,NaN,NaN,,,NaN,
92,70,,,,NaN,,92,NaN,NaN,,,NaN,69
93,,,,,NaN,,,NaN,NaN,,,NaN,
94,70,,,,NaN,,92,NaN,NaN,,,NaN,69
95,,,,,NaN,,,NaN,NaN,,,NaN,
96,70,,,,NaN,,92,NaN,NaN,,,NaN,69
97,,,,,NaN,,,NaN,NaN,,,NaN,
98,70,,,,NaN,,92,NaN,NaN,,,NaN,69
99,,,,,NaN,,,NaN,NaN,,,NaN,
100,70,,,,NaN,,92,NaN,NaN,,,NaN,69
101,,,,,NaN,,,NaN,NaN,,,NaN,
102,70,,,,NaN,,92,NaN,NaN,,,NaN,69
103,,,,,NaN,,,NaN,NaN,,,NaN,
104,70,,,,NaN,,92,NaN,NaN,,,NaN,70
105,,,,,NaN,,,NaN,NaN,,,NaN,
106,70,,,,NaN,,92,NaN,NaN,,,NaN,70
107,,,,,NaN,,,NaN,NaN,,,NaN,
108,71,,,,NaN,,92,NaN,NaN,,,NaN,70
109,,,,,NaN,,,NaN,NaN,,,NaN,
110,71,,,,NaN,,92,NaN,NaN,,,NaN,70
111,,,,,NaN,,,NaN,NaN,,,NaN,
112,71,,,,NaN,,92,NaN,NaN,,,NaN,70
113,,,,,NaN,,,NaN,NaN,,,NaN,
114,71,,,,NaN,,92,NaN,NaN,,,NaN,70
115,,,,,NaN,,,NaN,NaN,,,NaN,
116,71,,,,NaN,,91,NaN,NaN,,,NaN,70
117,,,,,NaN,,,NaN,NaN,,,NaN,
118,71,,,,NaN,,91,NaN,NaN,,,NaN,70
119,,,,,NaN,,,NaN,NaN,,,NaN,
120,70,,,,NaN,,91,NaN,NaN,,,NaN,70
121,,,,,NaN,,,NaN,NaN,,,NaN,
122,70,,,,NaN,,92,NaN,NaN,,,NaN,70
123,,,,,NaN,,,NaN,NaN,,,NaN,
124,70,,,,NaN,,91,NaN,NaN,,,NaN,69
125,,,,,NaN,,,NaN,NaN,,,NaN,
126,70,,,,NaN,,92,NaN,NaN,,,NaN,69
127,,,,,NaN,,,NaN,NaN,,,NaN,
128,70,,,,NaN,,91,NaN,NaN,,,NaN,70
129,,,,,NaN,,,NaN,NaN,,,NaN,
130,71,,,,NaN,,92,NaN,NaN,,,NaN,70
131,,,,,NaN,,,NaN,NaN,,,NaN,
132,71,,,,NaN,,91,NaN,NaN,,,NaN,71
133,,,,,NaN,,,NaN,NaN,,,NaN,
134,72,,,,NaN,,91,NaN,NaN,,,NaN,72
135,,,,,NaN,,,NaN,NaN,,,NaN,
136,73,,,,NaN,,91,NaN,NaN,,,NaN,72
137,,,,,NaN,,,NaN,NaN,,,NaN,
138,73,,,,NaN,,91,NaN,NaN,,,NaN,73
139,,,,,NaN,,,NaN,NaN,,,NaN,
140,74,,,,NaN,,91,NaN,NaN,,,NaN,73
141,,,,,NaN,,,NaN,NaN,,,NaN,
142,74,,,,NaN,,91,NaN,NaN,,,NaN,74
143,,,,,NaN,,,NaN,NaN,,,NaN,
144,74,,,,NaN,,91,NaN,NaN,,,NaN,74
145,,,,,NaN,,,NaN,NaN,,,NaN,
146,74,,,,NaN,,91,NaN,NaN,,,NaN,74
147,,,,,NaN,,,NaN,NaN,,,NaN,
148,74,,,,NaN,,91,NaN,NaN,,,NaN,74
149,,,,,NaN,,,NaN,NaN,,,NaN,
150,75,,,,NaN,,92,NaN,NaN,,,NaN,74
151,,,,,NaN,,,NaN,NaN,,,NaN,
152,75,,,,NaN,,92,NaN,NaN,,,NaN,74
153,,,,,NaN,,,NaN,NaN,,,NaN,
154,75,,,,NaN,,92,NaN,NaN,,,NaN,74
155,,,,,NaN,,,NaN,NaN,,,NaN,
156,76,,,,NaN,,92,NaN,NaN,,,NaN,75
157,,,,,NaN,,,NaN,NaN,,,NaN,
158,76,,,,NaN,,92,NaN,NaN,,,NaN,75
159,,,,,NaN,,,NaN,NaN,,,NaN,
160,76,,,,NaN,,92,NaN,NaN,,,NaN,75
161,,,,,NaN,,,NaN,NaN,,,NaN,
162,76,,,,NaN,,92,NaN,NaN,,,NaN,85
163,,,,,NaN,,,NaN,NaN,,,NaN,
164,75,,,,NaN,,92,NaN,NaN,,,NaN,85
165,,,,,NaN,,,NaN,NaN,,,NaN,
166,74,,,,NaN,,92,NaN,NaN,,,NaN,85
167,,,,,NaN,,,NaN,NaN,,,NaN,
168,73,,,,NaN,,92,NaN,NaN,,,NaN,84
169,,,,,NaN,,,NaN,NaN,,,NaN,
170,73,,,,NaN,,93,NaN,NaN,,,NaN,83
171,,,,,NaN,,,NaN,NaN,,,NaN,
172,73,,,,NaN,,93,NaN,NaN,,,NaN,83
173,,,,,NaN,,,NaN,NaN,,,NaN,
174,73,,,,NaN,,93,NaN,NaN,,,NaN,72
175,,,,,NaN,,,NaN,NaN,,,NaN,
176,73,,,,NaN,,93,NaN,NaN,,,NaN,72
177,,,,,NaN,,,NaN,NaN,,,NaN,
178,73,,,,NaN,,93,NaN,NaN,,,NaN,73
179,,,,,NaN,,,NaN,NaN,,,NaN,
180,73,,,,NaN,,93,NaN,NaN,,,NaN,73
181,,,,,NaN,,,NaN,NaN,,,NaN,
182,74,,,,NaN,,92,NaN,NaN,,,NaN,74
183,,,,,NaN,,,NaN,NaN,,,NaN,
184,73,,,,NaN,,92,NaN,NaN,,,NaN,73
185,,,,,NaN,,,NaN,NaN,,,NaN,
186,73,,,,NaN,,92,NaN,NaN,,,NaN,73
187,,,,,NaN,,,NaN,NaN,,,NaN,
188,73,,,,NaN,,92,NaN,NaN,,,NaN,72
189,,,,,NaN,,,NaN,NaN,,,NaN,
190,72,,,,NaN,,92,NaN,NaN,,,NaN,72
191,,,,,NaN,,,NaN,NaN,,,NaN,
192,73,,,,NaN,,92,NaN,NaN,,,NaN,72
193,,,,,NaN,,,NaN,NaN,,,NaN,
194,73,,,,NaN,,92,NaN,NaN,,,NaN,72
195,,,,,NaN,,,NaN,NaN,,,NaN,
196,72,,,,NaN,,92,NaN,NaN,,,NaN,72
197,,,,,NaN,,,NaN,NaN,,,NaN,
198,72,,,,NaN,,92,NaN,NaN,,,NaN,72
199,,,,,NaN,,,NaN,NaN,,,NaN,
200,72,,,,NaN,,92,NaN,NaN,,,NaN,72
201,,,,,NaN,,,NaN,NaN,,,NaN,
202,72,,,,NaN,,92,NaN,NaN,,,NaN,72
203,,,,,NaN,,,NaN,NaN,,,NaN,
204,72,,,,NaN,,92,NaN,NaN,,,NaN,72
205,,,,,NaN,,,NaN,NaN,,,NaN,
206,72,,,,NaN,,92,NaN,NaN,,,NaN,72
207,,,,,NaN,,,NaN,NaN,,,NaN,
208,72,,,,NaN,,91,NaN,NaN,,,NaN,72
209,,,,,NaN,,,NaN,NaN,,,NaN,
210,73,,,,NaN,,91,NaN,NaN,,,NaN,72
211,,,,,NaN,,,NaN,NaN,,,NaN,
212,73,,,,NaN,,92,NaN,NaN,,,NaN,72
213,,,,,NaN,,,NaN,NaN,,,NaN,
214,73,,,,NaN,,92,NaN,NaN,,,NaN,72
215,,,,,NaN,,,NaN,NaN,,,NaN,
216,73,,,,NaN,,92,NaN,NaN,,,NaN,72
217,,,,,NaN,,,NaN,NaN,,,NaN,
218,73,,,,NaN,,92,NaN,NaN,,,NaN,72
219,,,,,NaN,,,NaN,NaN,,,NaN,
220,73,,,,NaN,,92,NaN,NaN,,,NaN,72
221,,,,,NaN,,,NaN,NaN,,,NaN,
222,73,,,,NaN,,92,NaN,NaN,,,NaN,72
223,,,,,NaN,,,NaN,NaN,,,NaN,
224,73,,,,NaN,,92,NaN,NaN,,,NaN,72
225,,,,,NaN,,,NaN,NaN,,,NaN,
226,72,,,,NaN,,92,NaN,NaN,,,NaN,72
227,,,,,NaN,,,NaN,NaN,,,NaN,
228,72,,,,NaN,,92,NaN,NaN,,,NaN,72
229,,,,,NaN,,,NaN,NaN,,,NaN,
230,72,,,,NaN,,92,NaN,NaN,,,NaN,72
231,,,,,NaN,,,NaN,NaN,,,NaN,
232,72,,,,NaN,,92,NaN,NaN,,,NaN,72
233,,,,,NaN,,,NaN,NaN,,,NaN,
234,72,,,,NaN,,92,NaN,NaN,,,NaN,72
235,,,,,NaN,,,NaN,NaN,,,NaN,
236,72,,,,NaN,,92,NaN,NaN,,,NaN,72
237,,,,,NaN,,,NaN,NaN,,,NaN,
238,72,,,,NaN,,92,NaN,NaN,,,NaN,72
239,,,,,NaN,,,NaN,NaN,,,NaN,
240,72,,,,NaN,,91,NaN,NaN,,,NaN,72
241,,,,,NaN,,,NaN,NaN,,,NaN,
242,73,,,,NaN,,91,NaN,NaN,,,NaN,72
243,,,,,NaN,,,NaN,NaN,,,NaN,
244,73,,,,NaN,,91,NaN,NaN,,,NaN,72
245,,,,,NaN,,,NaN,NaN,,,NaN,
246,73,,,,NaN,,91,NaN,NaN,,,NaN,72
247,,,,,NaN,,,NaN,NaN,,,NaN,
248,73,,,,NaN,,91,NaN,NaN,,,NaN,72
249,,,,,NaN,,,NaN,NaN,,,NaN,
250,72,,,,NaN,,91,NaN,NaN,,,NaN,72
251,,,,,NaN,,,NaN,NaN,,,NaN,
252,72,,,,NaN,,91,NaN,NaN,,,NaN,72
253,,,,,NaN,,,NaN,NaN,,,NaN,
254,72,,,,NaN,,91,NaN,NaN,,,NaN,72
255,,,,,NaN,,,NaN,NaN,,,NaN,
256,72,,,,NaN,,91,NaN,NaN,,,NaN,72
257,,,,,NaN,,,NaN,NaN,,,NaN,
258,72,,,,NaN,,91,NaN,NaN,,,NaN,72
259,,,,,NaN,,,NaN,NaN,,,NaN,
260,72,,,,NaN,,91,NaN,NaN,,,NaN,72
261,,,,,NaN,,,NaN,NaN,,,NaN,
262,72,,,,NaN,,91,NaN,NaN,,,NaN,72
263,,,,,NaN,,,NaN,NaN,,,NaN,
264,72,,,,NaN,,91,NaN,NaN,,,NaN,72
265,,,,,NaN,,,NaN,NaN,,,NaN,
266,72,,,,NaN,,91,NaN,NaN,,,NaN,71
267,,,,,NaN,,,NaN,NaN,,,NaN,
268,72,,,,NaN,,91,NaN,NaN,,,NaN,71
269,,,,,NaN,,,NaN,NaN,,,NaN,
270,72,,,,NaN,,91,NaN,NaN,,,NaN,71
271,,,,,NaN,,,NaN,NaN,,,NaN,
272,72,,,,NaN,,91,NaN,NaN,,,NaN,71
273,,,,,NaN,,,NaN,NaN,,,NaN,
274,72,,,,NaN,,91,NaN,NaN,,,NaN,71
275,,,,,NaN,,,NaN,NaN,,,NaN,
276,72,,,,NaN,,91,NaN,NaN,,,NaN,71
277,,,,,NaN,,,NaN,NaN,,,NaN,
278,72,,,,NaN,,91,NaN,NaN,,,NaN,71
279,,,,,NaN,,,NaN,NaN,,,NaN,
280,72,,,,NaN,,91,NaN,NaN,,,NaN,72
281,,,,,NaN,,,NaN,NaN,,,NaN,
282,72,,,,NaN,,91,NaN,NaN,,,NaN,72
283,,,,,NaN,,,NaN,NaN,,,NaN,
284,72,,,,NaN,,91,NaN,NaN,,,NaN,72
285,,,,,NaN,,,NaN,NaN,,,NaN,
286,72,,,,NaN,,91,NaN,NaN,,,NaN,72
287,,,,,NaN,,,NaN,NaN,,,NaN,
288,72,,,,NaN,,91,NaN,NaN,,,NaN,72
289,,,,,NaN,,,NaN,NaN,,,NaN,
290,72,,,,NaN,,91,NaN,NaN,,,NaN,72
291,,,,,NaN,,,NaN,NaN,,,NaN,
292,73,,,,NaN,,91,NaN,NaN,,,NaN,72
293,,,,,NaN,,,NaN,NaN,,,NaN,
294,73,,,,NaN,,91,NaN,NaN,,,NaN,72
295,,,,,NaN,,,NaN,NaN,,,NaN,
296,73,,,,NaN,,91,NaN,NaN,,,NaN,73
297,,,,,NaN,,,NaN,NaN,,,NaN,
298,73,,,,NaN,,91,NaN,NaN,,,NaN,73
299,,,,,NaN,,,NaN,NaN,,,NaN,
300,73,,,,NaN,,91,NaN,NaN,,,NaN,73
301,,,,,NaN,,,NaN,NaN,,,NaN,
302,74,,,,NaN,,91,NaN,NaN,,,NaN,73
303,,,,,NaN,,,NaN,NaN,,,NaN,
304,73,,,,NaN,,91,NaN,NaN,,,NaN,73
305,,,,,NaN,,,NaN,NaN,,,NaN,
306,73,,,,NaN,,91,NaN,NaN,,,NaN,73
307,,,,,NaN,,,NaN,NaN,,,NaN,
308,73,,,,NaN,,90,NaN,NaN,,,NaN,73
309,,,,,NaN,,,NaN,NaN,,,NaN,
310,73,,,,NaN,,90,NaN,NaN,,,NaN,72
311,,,,,NaN,,,NaN,NaN,,,NaN,
312,73,,,,NaN,,90,NaN,NaN,,,NaN,72
313,,,,,NaN,,,NaN,NaN,,,NaN,
314,73,,,,NaN,,90,NaN,NaN,,,NaN,72
315,,,,,NaN,,,NaN,NaN,,,NaN,
316,73,,,,NaN,,90,NaN,NaN,,,NaN,72
317,,,,,NaN,,,NaN,NaN,,,NaN,
318,73,,,,NaN,,90,NaN,NaN,,,NaN,72
319,,,,,NaN,,,NaN,NaN,,,NaN,
320,73,,,,NaN,,90,NaN,NaN,,,NaN,72
321,,,,,NaN,,,NaN,NaN,,,NaN,
322,73,,,,NaN,,90,NaN,NaN,,,NaN,72
323,,,,,NaN,,,NaN,NaN,,,NaN,
324,72,,,,NaN,,90,NaN,NaN,,,NaN,72
325,,,,,NaN,,,NaN,NaN,,,NaN,
326,73,,,,NaN,,90,NaN,NaN,,,NaN,72
327,,,,,NaN,,,NaN,NaN,,,NaN,
328,73,,,,NaN,,90,NaN,NaN,,,NaN,72
329,,,,,NaN,,,NaN,NaN,,,NaN,
330,73,,,,NaN,,90,NaN,NaN,,,NaN,72
331,,,,,NaN,,,NaN,NaN,,,NaN,
332,73,,,,NaN,,90,NaN,NaN,,,NaN,72
333,,,,,NaN,,,NaN,NaN,,,NaN,
334,73,,,,NaN,,90,NaN,NaN,,,NaN,72
335,,,,,NaN,,,NaN,NaN,,,NaN,
336,73,,,,NaN,,90,NaN,NaN,,,NaN,72
337,,,,,NaN,,,NaN,NaN,,,NaN,
338,73,,,,NaN,,90,NaN,NaN,,,NaN,72
339,,,,,NaN,,,NaN,NaN,,,NaN,
340,72,,,,NaN,,90,NaN,NaN,,,NaN,72
341,,,,,NaN,,,NaN,NaN,,,NaN,
342,72,,,,NaN,,90,NaN,NaN,,,NaN,72
343,,,,,NaN,,,NaN,NaN,,,NaN,
344,72,,,,NaN,,90,NaN,NaN,,,NaN,71
345,,,,,NaN,,,NaN,NaN,,,NaN,
346,72,,,,NaN,,90,NaN,NaN,,,NaN,71
347,,,,,NaN,,,NaN,NaN,,,NaN,
348,72,,,,NaN,,90,NaN,NaN,,,NaN,71
349,,,,,NaN,,,NaN,NaN,,,NaN,
350,71,,,,NaN,,90,NaN,NaN,,,NaN,71
351,,,,,NaN,,,NaN,NaN,,,NaN,
352,72,,,,NaN,,90,NaN,NaN,,,NaN,71
353,,,,,NaN,,,NaN,NaN,,,NaN,
354,72,,,,NaN,,90,NaN,NaN,,,NaN,71
355,,,,,NaN,,,NaN,NaN,,,NaN,
356,72,,,,NaN,,90,NaN,NaN,,,NaN,72
357,,,,,NaN,,,NaN,NaN,,,NaN,
358,72,,,,NaN,,90,NaN,NaN,,,NaN,72
359,,,,,NaN,,,NaN,NaN,,,NaN,
360,72,,,,NaN,,90,NaN,NaN,,,NaN,72
361,,,,,NaN,,,NaN,NaN,,,NaN,
362,72,,,,NaN,,90,NaN,NaN,,,NaN,72
363,,,,,NaN,,,NaN,NaN,,,NaN,
364,73,,,,NaN,,90,NaN,NaN,,,NaN,72
365,,,,,NaN,,,NaN,NaN,,,NaN,
366,73,,,,NaN,,90,NaN,NaN,,,NaN,73
367,,,,,NaN,,,NaN,NaN,,,NaN,
368,74,,,,NaN,,90,NaN,NaN,,,NaN,73
369,,,,,NaN,,,NaN,NaN,,,NaN,
370,74,,,,NaN,,90,NaN,NaN,,,NaN,74
371,,,,,NaN,,,NaN,NaN,,,NaN,
372,74,,,,NaN,,90,NaN,NaN,,,NaN,74
373,,,,,NaN,,,NaN,NaN,,,NaN,
374,74,,,,NaN,,90,NaN,NaN,,,NaN,73
375,,,,,NaN,,,NaN,NaN,,,NaN,
376,73,,,,NaN,,90,NaN,NaN,,,NaN,73
377,,,,,NaN,,,NaN,NaN,,,NaN,
378,73,,,,NaN,,90,NaN,NaN,,,NaN,73
379,,,,,NaN,,,NaN,NaN,,,NaN,
380,73,,,,NaN,,90,NaN,NaN,,,NaN,72
381,,,,,NaN,,,NaN,NaN,,,NaN,
382,72,,,,NaN,,90,NaN,NaN,,,NaN,72
383,,,,,NaN,,,NaN,NaN,,,NaN,
384,72,,,,NaN,,90,NaN,NaN,,,NaN,71
385,,,,,NaN,,,NaN,NaN,,,NaN,
386,71,,,,NaN,,90,NaN,NaN,,,NaN,71
387,,,,,NaN,,,NaN,NaN,,,NaN,
388,71,,,,NaN,,90,NaN,NaN,,,NaN,71
389,,,,,NaN,,,NaN,NaN,,,NaN,
390,72,,,,NaN,,90,NaN,NaN,,,NaN,71
391,,,,,NaN,,,NaN,NaN,,,NaN,
392,72,,,,NaN,,90,NaN,NaN,,,NaN,71
393,,,,,NaN,,,NaN,NaN,,,NaN,
394,72,,,,NaN,,90,NaN,NaN,,,NaN,72
395,,,,,NaN,,,NaN,NaN,,,NaN,
396,73,,,,NaN,,89,NaN,NaN,,,NaN,72
397,,,,,NaN,,,NaN,NaN,,,NaN,
398,73,,,,NaN,,89,NaN,NaN,,,NaN,73
399,,,,,NaN,,,NaN,NaN,,,NaN,
400,73,,,,NaN,,88,NaN,NaN,,,NaN,73
401,,,,,NaN,,,NaN,NaN,,,NaN,
402,74,,,,NaN,,88,NaN,NaN,,,NaN,73
403,,,,,NaN,,,NaN,NaN,,,NaN,
404,73,,,,NaN,,89,NaN,NaN,,,NaN,73
405,,,,,NaN,,,NaN,NaN,,,NaN,
406,73,,,,NaN,,89,NaN,NaN,,,NaN,73
407,,,,,NaN,,,NaN,NaN,,,NaN,
408,73,,,,NaN,,90,NaN,NaN,,,NaN,72
409,,,,,NaN,,,NaN,NaN,,,NaN,
410,72,,,,NaN,,90,NaN,NaN,,,NaN,72
411,,,,,NaN,,,NaN,NaN,,,NaN,
412,72,,,,NaN,,91,NaN,NaN,,,NaN,72
413,,,,,NaN,,,NaN,NaN,,,NaN,
414,72,,,,NaN,,91,NaN,NaN,,,NaN,72
415,,,,,NaN,,,NaN,NaN,,,NaN,
416,72,,,,NaN,,91,NaN,NaN,,,NaN,72
417,,,,,NaN,,,NaN,NaN,,,NaN,
418,73,,,,NaN,,91,NaN,NaN,,,NaN,72
419,,,,,NaN,,,NaN,NaN,,,NaN,
420,73,,,,NaN,,91,NaN,NaN,,,NaN,72
421,,,,,NaN,,,NaN,NaN,,,NaN,
422,73,,,,NaN,,91,NaN,NaN,,,NaN,72
423,,,,,NaN,,,NaN,NaN,,,NaN,
424,73,,,,NaN,,91,NaN,NaN,,,NaN,72
425,,,,,NaN,,,NaN,NaN,,,NaN,
426,73,,,,NaN,,91,NaN,NaN,,,NaN,72
427,,,,,NaN,,,NaN,NaN,,,NaN,
428,73,,,,NaN,,91,NaN,NaN,,,NaN,73
429,,,,,NaN,,,NaN,NaN,,,NaN,
430,74,,,,NaN,,91,NaN,NaN,,,NaN,73
431,,,,,NaN,,,NaN,NaN,,,NaN,
432,74,,,,NaN,,91,NaN,NaN,,,NaN,74
433,,,,,NaN,,,NaN,NaN,,,NaN,
434,75,,,,NaN,,91,NaN,NaN,,,NaN,74
435,,,,,NaN,,,NaN,NaN,,,NaN,
436,75,,,,NaN,,91,NaN,NaN,,,NaN,74
437,,,,,NaN,,,NaN,NaN,,,NaN,
438,74,,,,NaN,,90,NaN,NaN,,,NaN,74
439,,,,,NaN,,,NaN,NaN,,,NaN,
440,74,,,,NaN,,91,NaN,NaN,,,NaN,73
441,,,,,NaN,,,NaN,NaN,,,NaN,
442,74,,,,NaN,,91,NaN,NaN,,,NaN,73
443,,,,,NaN,,,NaN,NaN,,,NaN,
444,74,,,,NaN,,91,NaN,NaN,,,NaN,73
445,,,,,NaN,,,NaN,NaN,,,NaN,
446,74,,,,NaN,,91,NaN,NaN,,,NaN,73
447,,,,,NaN,,,NaN,NaN,,,NaN,
448,74,,,,NaN,,91,NaN,NaN,,,NaN,73
449,,,,,NaN,,,NaN,NaN,,,NaN,
450,73,,,,NaN,,91,NaN,NaN,,,NaN,73
451,,,,,NaN,,,NaN,NaN,,,NaN,
452,73,,,,NaN,,91,NaN,NaN,,,NaN,73
453,,,,,NaN,,,NaN,NaN,,,NaN,
454,73,,,,NaN,,91,NaN,NaN,,,NaN,73
455,,,,,NaN,,,NaN,NaN,,,NaN,
456,73,,,,NaN,,91,NaN,NaN,,,NaN,73
457,,,,,NaN,,,NaN,NaN,,,NaN,
458,73,,,,NaN,,91,NaN,NaN,,,NaN,73
459,,,,,NaN,,,NaN,NaN,,,NaN,
460,73,,,,NaN,,91,NaN,NaN,,,NaN,72
461,,,,,NaN,,,NaN,NaN,,,NaN,
462,73,,,,NaN,,91,NaN,NaN,,,NaN,73
463,,,,,NaN,,,NaN,NaN,,,NaN,
464,73,,,,NaN,,91,NaN,NaN,,,NaN,73
465,,,,,NaN,,,NaN,NaN,,,NaN,
466,73,,,,NaN,,91,NaN,NaN,,,NaN,73
467,,,,,NaN,,,NaN,NaN,,,NaN,
468,73,,,,NaN,,90,NaN,NaN,,,NaN,73
469,,,,,NaN,,,NaN,NaN,,,NaN,
470,73,,,,NaN,,90,NaN,NaN,,,NaN,73
471,,,,,NaN,,,NaN,NaN,,,NaN,
472,73,,,,NaN,,90,NaN,NaN,,,NaN,73
473,,,,,NaN,,,NaN,NaN,,,NaN,
474,73,,,,NaN,,90,NaN,NaN,,,NaN,73
475,,,,,NaN,,,NaN,NaN,,,NaN,
476,73,,,,NaN,,90,NaN,NaN,,,NaN,73
477,,,,,NaN,,,NaN,NaN,,,NaN,
478,74,,,,NaN,,90,NaN,NaN,,,NaN,73
479,,,,,NaN,,,NaN,NaN,,,NaN,
480,74,,,,NaN,,90,NaN,NaN,,,NaN,73
481,,,,,NaN,,,NaN,NaN,,,NaN,
482,73,,,,NaN,,90,NaN,NaN,,,NaN,73
483,,,,,NaN,,,NaN,NaN,,,NaN,
484,73,,,,NaN,,90,NaN,NaN,,,NaN,73
