time,Solar8000/ART_MBP,SNUADC/ECG_II,SNUADC/ART,Solar8000/PLETH_SPO2,Solar8000/CVP,SNUADC/CVP,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/ART_SBP,Solar8000/PLETH_HR,Solar8000/ETCO2,SNUADC/ECG_V5,Solar8000/HR
96,,NaN,NaN,,,NaN,,,,,,NaN,
97,11,NaN,NaN,85,-8,NaN,,,,96,0,NaN,105
98,,NaN,NaN,,,NaN,,,,,,NaN,
99,88,NaN,NaN,85,-8,NaN,,,,96,0,NaN,105
100,,NaN,NaN,,,NaN,,,,,,NaN,
101,131,NaN,NaN,85,-8,NaN,,,,98,0,NaN,106
102,,NaN,NaN,,,NaN,,,,,,NaN,
103,136,NaN,NaN,85,-8,NaN,,,,98,0,NaN,105
104,,NaN,NaN,,,NaN,,,,,,NaN,
105,128,NaN,NaN,,-8,NaN,61,,166,,0,NaN,105
106,,NaN,NaN,,,NaN,,,,,,NaN,
107,110,NaN,NaN,91,-8,NaN,84,,140,101,0,NaN,106
108,,NaN,NaN,,,NaN,,,,,,NaN,
109,105,NaN,NaN,91,-8,NaN,84,,138,104,0,NaN,107
110,,NaN,NaN,,,NaN,,,,,,NaN,
111,103,NaN,NaN,90,-8,NaN,85,,141,104,0,NaN,106
112,,NaN,NaN,,,NaN,,,,,,NaN,
113,102,NaN,NaN,92,-8,NaN,84,,137,110,0,NaN,105
114,,NaN,NaN,,,NaN,,,,,,NaN,
115,99,NaN,NaN,92,-8,NaN,84,,131,110,0,NaN,104
116,,NaN,NaN,,,NaN,,,,,,NaN,
117,100,NaN,NaN,92,-8,NaN,83,,135,110,0,NaN,104
118,,NaN,NaN,,,NaN,,,,,,NaN,
119,100,NaN,NaN,92,-8,NaN,87,,130,111,0,NaN,104
120,,NaN,NaN,,,NaN,,,,,,NaN,
121,103,NaN,NaN,92,-8,NaN,90,,137,113,0,NaN,105
122,,NaN,NaN,,,NaN,,,,,,NaN,
123,105,NaN,NaN,92,-8,NaN,91,,136,111,0,NaN,105
