time,Solar8000/PLETH_HR,Solar8000/RR_CO2,Solar8000/HR,Solar8000/ART_MBP,Solar8000/ETCO2,Solar8000/CVP,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/PLETH_SPO2,SNUADC/CVP,SNUADC/ECG_II,Solar8000/ART_SBP,SNUADC/ART
98,76,,75,1,,0,1,NaN,100,NaN,NaN,1,NaN
99,,,,,,,,NaN,,NaN,NaN,,NaN
100,76,,75,1,,0,1,NaN,100,NaN,NaN,1,NaN
101,,,,,,,,NaN,,NaN,NaN,,NaN
102,76,,76,1,,0,1,NaN,100,NaN,NaN,1,NaN
103,,,,,,,,NaN,,NaN,NaN,,NaN
104,77,,77,1,,0,1,NaN,100,NaN,NaN,1,NaN
105,,,,,,,,NaN,,NaN,NaN,,NaN
106,76,,76,1,0,0,1,NaN,100,NaN,NaN,1,NaN
107,,,,,,,,NaN,,NaN,NaN,,NaN
108,75,,74,1,0,0,1,NaN,100,NaN,NaN,1,NaN
109,,,,,,,,NaN,,NaN,NaN,,NaN
110,74,,72,1,0,0,1,NaN,100,NaN,NaN,1,NaN
111,,,,,,,,NaN,,NaN,NaN,,NaN
112,73,,72,1,0,0,1,NaN,100,NaN,NaN,1,NaN
113,,,,,,,,NaN,,NaN,NaN,,NaN
114,73,,73,1,0,0,1,NaN,100,NaN,NaN,1,NaN
115,,,,,,,,NaN,,NaN,NaN,,NaN
116,74,,74,1,0,0,1,NaN,100,NaN,NaN,1,NaN
117,,,,,,,,NaN,,NaN,NaN,,NaN
118,74,,74,1,0,0,1,NaN,100,NaN,NaN,1,NaN
119,,,,,,,,NaN,,NaN,NaN,,NaN
120,74,,74,1,0,0,1,NaN,100,NaN,NaN,1,NaN
121,,,,,,,,NaN,,NaN,NaN,,NaN
122,75,,75,1,0,0,1,NaN,100,NaN,NaN,1,NaN
123,,,,,,,,NaN,,NaN,NaN,,NaN
124,76,,78,1,0,0,1,NaN,100,NaN,NaN,1,NaN
125,,,,,,,,NaN,,NaN,NaN,,NaN
126,79,,80,1,0,0,1,NaN,100,NaN,NaN,1,NaN
127,,,,,,,,NaN,,NaN,NaN,,NaN
128,80,,80,1,0,0,1,NaN,100,NaN,NaN,1,NaN
129,,,,,,,,NaN,,NaN,NaN,,NaN
130,80,,79,1,0,0,1,NaN,100,NaN,NaN,1,NaN
131,,,,,,,,NaN,,NaN,NaN,,NaN
132,79,,78,1,0,0,1,NaN,100,NaN,NaN,1,NaN
133,,,,,,,,NaN,,NaN,NaN,,NaN
134,79,,78,1,0,0,1,NaN,100,NaN,NaN,1,NaN
135,,,,,,,,NaN,,NaN,NaN,,NaN
136,80,,80,1,0,0,1,NaN,100,NaN,NaN,1,NaN
137,,,,,,,,NaN,,NaN,NaN,,NaN
138,81,,81,1,0,0,1,NaN,100,NaN,NaN,1,NaN
139,,,,,,,,NaN,,NaN,NaN,,NaN
140,81,,81,1,0,0,1,NaN,100,NaN,NaN,1,NaN
141,,,,,,,,NaN,,NaN,NaN,,NaN
142,81,,80,0,0,0,0,NaN,100,NaN,NaN,0,NaN
143,,,,,,,,NaN,,NaN,NaN,,NaN
144,80,,79,0,0,0,0,NaN,100,NaN,NaN,0,NaN
145,,,,,,,,NaN,,NaN,NaN,,NaN
146,79,,78,0,0,0,0,NaN,100,NaN,NaN,0,NaN
147,,,,,,,,NaN,,NaN,NaN,,NaN
148,78,,78,0,0,0,0,NaN,100,NaN,NaN,0,NaN
149,,,,,,,,NaN,,NaN,NaN,,NaN
150,79,,78,1,0,0,1,NaN,100,NaN,NaN,1,NaN
151,,,,,,,,NaN,,NaN,NaN,,NaN
152,79,,79,1,0,0,1,NaN,100,NaN,NaN,1,NaN
153,,,,,,,,NaN,,NaN,NaN,,NaN
154,79,,79,1,0,0,1,NaN,100,NaN,NaN,1,NaN
155,,,,,,,,NaN,,NaN,NaN,,NaN
156,80,,80,1,0,0,1,NaN,100,NaN,NaN,1,NaN
157,,,,,,,,NaN,,NaN,NaN,,NaN
158,81,,80,1,0,0,1,NaN,100,NaN,NaN,1,NaN
159,,,,,,,,NaN,,NaN,NaN,,NaN
160,81,,81,1,0,0,1,NaN,100,NaN,NaN,1,NaN
161,,,,,,,,NaN,,NaN,NaN,,NaN
162,82,,81,1,0,0,1,NaN,100,NaN,NaN,1,NaN
163,,,,,,,,NaN,,NaN,NaN,,NaN
164,82,,82,1,0,0,1,NaN,100,NaN,NaN,1,NaN
