time,Solar8000/ART_SBP,SNUADC/ECG_V5,SNUADC/CVP,Solar8000/PLETH_SPO2,Solar8000/ART_MBP,Solar8000/RR_CO2,Solar8000/ART_DBP,SNUADC/ART,Solar8000/HR,Solar8000/CVP,Solar8000/ETCO2,SNUADC/ECG_II,Solar8000/PLETH_HR
95,,NaN,NaN,,,,,NaN,,,,NaN,
96,0,NaN,NaN,99,0,,0,NaN,101,0,,NaN,101
97,,NaN,NaN,,,,,NaN,,,,NaN,
98,0,NaN,NaN,99,0,,0,NaN,101,0,,NaN,101
99,,NaN,NaN,,,,,NaN,,,,NaN,
100,0,NaN,NaN,99,0,,0,NaN,100,0,,NaN,100
101,,NaN,NaN,,,,,NaN,,,,NaN,
102,0,NaN,NaN,99,0,,0,NaN,100,0,,NaN,100
103,,NaN,NaN,,,,,NaN,,,,NaN,
104,0,NaN,NaN,99,0,,0,NaN,99,0,,NaN,100
105,,NaN,NaN,,,,,NaN,,,,NaN,
106,0,NaN,NaN,99,0,,0,NaN,100,0,,NaN,101
107,,NaN,NaN,,,,,NaN,,,,NaN,
108,0,NaN,NaN,99,0,,0,NaN,101,0,,NaN,101
109,,NaN,NaN,,,,,NaN,,,,NaN,
110,0,NaN,NaN,99,0,,0,NaN,101,0,,NaN,102
111,,NaN,NaN,,,,,NaN,,,,NaN,
112,0,NaN,NaN,99,0,,0,NaN,101,0,,NaN,101
113,,NaN,NaN,,,,,NaN,,,,NaN,
114,0,NaN,NaN,99,0,,0,NaN,101,0,,NaN,101
115,,NaN,NaN,,,,,NaN,,,,NaN,
116,0,NaN,NaN,99,0,,0,NaN,115,0,,NaN,101
117,,NaN,NaN,,,,,NaN,,,,NaN,
118,0,NaN,NaN,99,0,,0,NaN,115,0,,NaN,100
119,,NaN,NaN,,,,,NaN,,,,NaN,
120,0,NaN,NaN,99,0,,0,NaN,104,0,,NaN,99
121,,NaN,NaN,,,,,NaN,,,,NaN,
122,0,NaN,NaN,99,0,,0,NaN,99,0,,NaN,99
123,,NaN,NaN,,,,,NaN,,,,NaN,
124,0,NaN,NaN,99,0,,0,NaN,99,0,,NaN,100
125,,NaN,NaN,,,,,NaN,,,,NaN,
126,0,NaN,NaN,99,0,,0,NaN,99,0,,NaN,100
127,,NaN,NaN,,,,,NaN,,,,NaN,
128,0,NaN,NaN,99,0,,0,NaN,99,0,,NaN,100
129,,NaN,NaN,,,,,NaN,,,,NaN,
130,0,NaN,NaN,99,0,,0,NaN,99,0,,NaN,100
131,,NaN,NaN,,,,,NaN,,,,NaN,
132,0,NaN,NaN,99,0,,0,NaN,100,0,,NaN,100
133,,NaN,NaN,,,,,NaN,,,,NaN,
134,0,NaN,NaN,99,0,,0,NaN,100,0,,NaN,100
135,,NaN,NaN,,,,,NaN,,,,NaN,
136,0,NaN,NaN,99,0,,0,NaN,99,1,,NaN,99
137,,NaN,NaN,,,,,NaN,,,,NaN,
138,0,NaN,NaN,99,0,,0,NaN,98,1,,NaN,98
139,,NaN,NaN,,,,,NaN,,,,NaN,
140,0,NaN,NaN,99,0,,0,NaN,98,1,,NaN,99
141,,NaN,NaN,,,,,NaN,,,,NaN,
142,0,NaN,NaN,99,0,,0,NaN,98,1,,NaN,99
143,,NaN,NaN,,,,,NaN,,,,NaN,
144,0,NaN,NaN,99,0,,0,NaN,98,0,,NaN,99
145,,NaN,NaN,,,,,NaN,,,,NaN,
146,0,NaN,NaN,99,0,,0,NaN,106,0,,NaN,99
147,,NaN,NaN,,,,,NaN,,,,NaN,
148,0,NaN,NaN,99,0,,0,NaN,106,1,,NaN,101
149,,NaN,NaN,,,,,NaN,,,,NaN,
150,0,NaN,NaN,99,0,,0,NaN,107,1,,NaN,102
151,,NaN,NaN,,,,,NaN,,,,NaN,
152,0,NaN,NaN,99,0,,0,NaN,108,1,,NaN,103
153,,NaN,NaN,,,,,NaN,,,,NaN,
154,0,NaN,NaN,99,0,,0,NaN,101,0,,NaN,103
155,,NaN,NaN,,,,,NaN,,,,NaN,
156,0,NaN,NaN,99,0,,0,NaN,103,0,,NaN,104
157,,NaN,NaN,,,,,NaN,,,,NaN,
158,0,NaN,NaN,99,0,,0,NaN,103,0,,NaN,104
159,,NaN,NaN,,,,,NaN,,,,NaN,
160,0,NaN,NaN,99,0,,0,NaN,103,0,,NaN,103
161,,NaN,NaN,,,,,NaN,,,,NaN,
162,0,NaN,NaN,99,0,,0,NaN,103,0,,NaN,102
163,,NaN,NaN,,,,,NaN,,,,NaN,
164,0,NaN,NaN,99,0,,0,NaN,102,0,,NaN,101
165,,NaN,NaN,,,,,NaN,,,,NaN,
166,0,NaN,NaN,99,0,,0,NaN,101,0,,NaN,100
167,,NaN,NaN,,,,,NaN,,,,NaN,
168,0,NaN,NaN,99,0,,0,NaN,100,0,,NaN,99
169,,NaN,NaN,,,,,NaN,,,,NaN,
170,0,NaN,NaN,99,0,,0,NaN,98,0,,NaN,99
171,,NaN,NaN,,,,,NaN,,,,NaN,
172,0,NaN,NaN,99,0,,0,NaN,98,0,,NaN,99
173,,NaN,NaN,,,,,NaN,,,,NaN,
174,0,NaN,NaN,99,0,,0,NaN,98,0,,NaN,99
175,,NaN,NaN,,,,,NaN,,,,NaN,
176,0,NaN,NaN,99,0,,0,NaN,98,0,,NaN,99
177,,NaN,NaN,,,,,NaN,,,,NaN,
178,0,NaN,NaN,99,0,,0,NaN,98,0,,NaN,99
179,,NaN,NaN,,,,,NaN,,,,NaN,
180,0,NaN,NaN,99,0,,0,NaN,99,0,,NaN,100
181,,NaN,NaN,,,,,NaN,,,,NaN,
182,0,NaN,NaN,99,0,,0,NaN,99,0,,NaN,102
183,,NaN,NaN,,,,,NaN,,,,NaN,
184,0,NaN,NaN,100,0,,0,NaN,101,0,,NaN,103
185,,NaN,NaN,,,,,NaN,,,,NaN,
186,0,NaN,NaN,100,0,,0,NaN,102,0,,NaN,102
187,,NaN,NaN,,,,,NaN,,,,NaN,
188,0,NaN,NaN,100,0,,0,NaN,101,0,,NaN,101
189,,NaN,NaN,,,,,NaN,,,,NaN,
190,0,NaN,NaN,100,0,,0,NaN,100,0,,NaN,99
191,,NaN,NaN,,,,,NaN,,,,NaN,
192,0,NaN,NaN,100,0,,0,NaN,100,0,,NaN,99
193,,NaN,NaN,,,,,NaN,,,,NaN,
194,0,NaN,NaN,100,0,,0,NaN,99,0,,NaN,98
195,,NaN,NaN,,,,,NaN,,,,NaN,
196,0,NaN,NaN,100,0,,0,NaN,99,1,,NaN,98
197,,NaN,NaN,,,,,NaN,,,,NaN,
198,0,NaN,NaN,100,0,,0,NaN,99,1,,NaN,99
199,,NaN,NaN,,,,,NaN,,,,NaN,
200,0,NaN,NaN,100,0,,0,NaN,99,0,,NaN,101
201,,NaN,NaN,,,,,NaN,,,,NaN,
202,0,NaN,NaN,100,0,,0,NaN,101,0,,NaN,102
203,,NaN,NaN,,,,,NaN,,,,NaN,
204,0,NaN,NaN,100,0,,0,NaN,102,0,,NaN,102
205,,NaN,NaN,,,,,NaN,,,,NaN,
206,0,NaN,NaN,100,0,,0,NaN,101,0,,NaN,101
207,,NaN,NaN,,,,,NaN,,,,NaN,
208,0,NaN,NaN,100,0,,0,NaN,100,0,,NaN,100
209,,NaN,NaN,,,,,NaN,,,,NaN,
210,0,NaN,NaN,100,0,,0,NaN,99,0,,NaN,99
211,,NaN,NaN,,,,,NaN,,,,NaN,
212,0,NaN,NaN,100,0,,0,NaN,98,0,,NaN,98
213,,NaN,NaN,,,,,NaN,,,,NaN,
214,0,NaN,NaN,100,0,,0,NaN,97,0,,NaN,97
215,,NaN,NaN,,,,,NaN,,,,NaN,
