time,Solar8000/ART_SBP,SNUADC/ECG_V5,SNUADC/CVP,Solar8000/PLETH_SPO2,Solar8000/ART_MBP,Solar8000/RR_CO2,Solar8000/ART_DBP,SNUADC/ART,Solar8000/HR,Solar8000/CVP,Solar8000/ETCO2,SNUADC/ECG_II,Solar8000/PLETH_HR
1344,111,NaN,NaN,100,81,12,63,NaN,85,-9,41,NaN,85
1345,,NaN,NaN,,,,,NaN,,,,NaN,
1346,108,NaN,NaN,100,80,12,61,NaN,84,-9,41,NaN,85
1347,,NaN,NaN,,,,,NaN,,,,NaN,
1348,108,NaN,NaN,100,79,12,61,NaN,84,-9,41,NaN,85
1349,,NaN,NaN,,,,,NaN,,,,NaN,
1350,109,NaN,NaN,100,79,12,61,NaN,84,-9,41,NaN,84
1351,,NaN,NaN,,,,,NaN,,,,NaN,
1352,105,NaN,NaN,100,78,12,59,NaN,83,-10,41,NaN,84
1353,,NaN,NaN,,,,,NaN,,,,NaN,
1354,107,NaN,NaN,100,78,12,60,NaN,83,-10,41,NaN,84
1355,,NaN,NaN,,,,,NaN,,,,NaN,
1356,105,NaN,NaN,100,77,12,59,NaN,83,-10,41,NaN,84
1357,,NaN,NaN,,,,,NaN,,,,NaN,
1358,104,NaN,NaN,100,76,12,59,NaN,83,-10,41,NaN,83
1359,,NaN,NaN,,,,,NaN,,,,NaN,
1360,105,NaN,NaN,100,76,12,59,NaN,83,-10,41,NaN,83
1361,,NaN,NaN,,,,,NaN,,,,NaN,
1362,102,NaN,NaN,100,75,12,58,NaN,83,-10,41,NaN,83
1363,,NaN,NaN,,,,,NaN,,,,NaN,
1364,104,NaN,NaN,100,76,12,59,NaN,82,-9,41,NaN,83
1365,,NaN,NaN,,,,,NaN,,,,NaN,
1366,103,NaN,NaN,100,75,12,59,NaN,82,-9,41,NaN,83
1367,,NaN,NaN,,,,,NaN,,,,NaN,
1368,103,NaN,NaN,100,75,12,59,NaN,82,-9,41,NaN,83
1369,,NaN,NaN,,,,,NaN,,,,NaN,
1370,105,NaN,NaN,100,76,12,59,NaN,82,-9,41,NaN,83
1371,,NaN,NaN,,,,,NaN,,,,NaN,
1372,102,NaN,NaN,100,75,12,58,NaN,82,-9,41,NaN,82
1373,,NaN,NaN,,,,,NaN,,,,NaN,
1374,104,NaN,NaN,100,75,12,59,NaN,82,-9,41,NaN,82
1375,,NaN,NaN,,,,,NaN,,,,NaN,
1376,103,NaN,NaN,100,75,12,58,NaN,82,-9,41,NaN,82
1377,,NaN,NaN,,,,,NaN,,,,NaN,
1378,101,NaN,NaN,100,74,12,57,NaN,81,-10,41,NaN,82
1379,,NaN,NaN,,,,,NaN,,,,NaN,
1380,103,NaN,NaN,100,75,12,58,NaN,81,-10,41,NaN,82
1381,,NaN,NaN,,,,,NaN,,,,NaN,
1382,99,NaN,NaN,100,73,12,56,NaN,80,-10,41,NaN,81
1383,,NaN,NaN,,,,,NaN,,,,NaN,
1384,100,NaN,NaN,100,73,12,57,NaN,80,-10,41,NaN,81
1385,,NaN,NaN,,,,,NaN,,,,NaN,
1386,100,NaN,NaN,100,73,12,56,NaN,80,-10,41,NaN,81
1387,,NaN,NaN,,,,,NaN,,,,NaN,
1388,100,NaN,NaN,100,73,12,57,NaN,80,-10,41,NaN,80
1389,,NaN,NaN,,,,,NaN,,,,NaN,
1390,102,NaN,NaN,100,73,12,57,NaN,80,-10,41,NaN,81
1391,,NaN,NaN,,,,,NaN,,,,NaN,
1392,98,NaN,NaN,100,72,12,56,NaN,80,-10,40,NaN,80
1393,,NaN,NaN,,,,,NaN,,,,NaN,
1394,101,NaN,NaN,100,73,12,58,NaN,80,-9,40,NaN,80
1395,,NaN,NaN,,,,,NaN,,,,NaN,
1396,99,NaN,NaN,100,73,12,56,NaN,80,-9,40,NaN,80
1397,,NaN,NaN,,,,,NaN,,,,NaN,
1398,99,NaN,NaN,100,73,12,57,NaN,80,-9,40,NaN,80
1399,,NaN,NaN,,,,,NaN,,,,NaN,
1400,101,NaN,NaN,100,73,12,57,NaN,80,-9,41,NaN,80
1401,,NaN,NaN,,,,,NaN,,,,NaN,
1402,98,NaN,NaN,100,72,12,56,NaN,80,-9,41,NaN,80
1403,,NaN,NaN,,,,,NaN,,,,NaN,
1404,100,NaN,NaN,100,73,12,57,NaN,80,-9,41,NaN,80
1405,,NaN,NaN,,,,,NaN,,,,NaN,
1406,99,NaN,NaN,100,72,12,56,NaN,80,-9,41,NaN,80
1407,,NaN,NaN,,,,,NaN,,,,NaN,
1408,99,NaN,NaN,100,72,12,58,NaN,80,-10,41,NaN,80
1409,,NaN,NaN,,,,,NaN,,,,NaN,
1410,102,NaN,NaN,100,74,12,58,NaN,80,-10,41,NaN,81
1411,,NaN,NaN,,,,,NaN,,,,NaN,
1412,101,NaN,NaN,100,73,12,57,NaN,80,-10,41,NaN,81
1413,,NaN,NaN,,,,,NaN,,,,NaN,
1414,102,NaN,NaN,100,74,12,58,NaN,80,-10,41,NaN,81
1415,,NaN,NaN,,,,,NaN,,,,NaN,
1416,100,NaN,NaN,100,73,12,56,NaN,79,-10,41,NaN,83
1417,,NaN,NaN,,,,,NaN,,,,NaN,
1418,98,NaN,NaN,100,72,12,56,NaN,78,-10,41,NaN,83
1419,,NaN,NaN,,,,,NaN,,,,NaN,
1420,99,NaN,NaN,94,73,12,57,NaN,78,-10,41,NaN,83
1421,,NaN,NaN,,,,,NaN,,,,NaN,
1422,97,NaN,NaN,94,71,12,56,NaN,77,-10,41,NaN,83
1423,,NaN,NaN,,,,,NaN,,,,NaN,
1424,98,NaN,NaN,94,72,12,56,NaN,78,-10,41,NaN,83
1425,,NaN,NaN,,,,,NaN,,,,NaN,
1426,97,NaN,NaN,94,71,12,55,NaN,78,-10,41,NaN,83
1427,,NaN,NaN,,,,,NaN,,,,NaN,
1428,95,NaN,NaN,91,71,12,56,NaN,78,-9,41,NaN,82
1429,,NaN,NaN,,,,,NaN,,,,NaN,
1430,98,NaN,NaN,91,71,12,56,NaN,78,-9,41,NaN,82
1431,,NaN,NaN,,,,,NaN,,,,NaN,
1432,96,NaN,NaN,,70,12,55,NaN,78,-9,41,NaN,
1433,,NaN,NaN,,,,,NaN,,,,NaN,
1434,99,NaN,NaN,,71,12,57,NaN,77,-10,41,NaN,
1435,,NaN,NaN,,,,,NaN,,,,NaN,
1436,100,NaN,NaN,,73,12,58,NaN,89,-10,41,NaN,
1437,,NaN,NaN,,,,,NaN,,,,NaN,
1438,102,NaN,NaN,99,74,12,58,NaN,89,-10,41,NaN,80
1439,,NaN,NaN,,,,,NaN,,,,NaN,
1440,102,NaN,NaN,99,74,12,58,NaN,90,-10,41,NaN,79
1441,,NaN,NaN,,,,,NaN,,,,NaN,
1442,100,NaN,NaN,99,73,12,57,NaN,80,-10,41,NaN,80
1443,,NaN,NaN,,,,,NaN,,,,NaN,
1444,101,NaN,NaN,99,74,12,58,NaN,81,-10,41,NaN,81
1445,,NaN,NaN,,,,,NaN,,,,NaN,
1446,101,NaN,NaN,99,74,12,59,NaN,82,-10,41,NaN,82
1447,,NaN,NaN,,,,,NaN,,,,NaN,
1448,101,NaN,NaN,99,74,12,59,NaN,82,-10,41,NaN,83
1449,,NaN,NaN,,,,,NaN,,,,NaN,
1450,102,NaN,NaN,99,75,12,60,NaN,83,-10,41,NaN,83
1451,,NaN,NaN,,,,,NaN,,,,NaN,
1452,102,NaN,NaN,99,75,12,60,NaN,83,-10,40,NaN,84
1453,,NaN,NaN,,,,,NaN,,,,NaN,
1454,104,NaN,NaN,99,76,12,60,NaN,84,-10,40,NaN,85
1455,,NaN,NaN,,,,,NaN,,,,NaN,
1456,105,NaN,NaN,99,77,12,61,NaN,84,-10,40,NaN,85
1457,,NaN,NaN,,,,,NaN,,,,NaN,
1458,105,NaN,NaN,99,77,12,61,NaN,84,-9,40,NaN,85
1459,,NaN,NaN,,,,,NaN,,,,NaN,
1460,105,NaN,NaN,99,77,12,61,NaN,84,-9,40,NaN,85
1461,,NaN,NaN,,,,,NaN,,,,NaN,
1462,103,NaN,NaN,99,76,12,60,NaN,84,-10,40,NaN,85
1463,,NaN,NaN,,,,,NaN,,,,NaN,
1464,103,NaN,NaN,99,76,12,60,NaN,84,-10,40,NaN,85
1465,,NaN,NaN,,,,,NaN,,,,NaN,
1466,103,NaN,NaN,99,76,12,60,NaN,83,-10,41,NaN,84
1467,,NaN,NaN,,,,,NaN,,,,NaN,
1468,103,NaN,NaN,99,76,12,60,NaN,83,-10,41,NaN,84
1469,,NaN,NaN,,,,,NaN,,,,NaN,
1470,105,NaN,NaN,99,77,12,60,NaN,83,-10,41,NaN,84
1471,,NaN,NaN,,,,,NaN,,,,NaN,
1472,101,NaN,NaN,99,75,12,59,NaN,83,-10,41,NaN,83
1473,,NaN,NaN,,,,,NaN,,,,NaN,
1474,102,NaN,NaN,99,75,12,59,NaN,82,-10,41,NaN,83
1475,,NaN,NaN,,,,,NaN,,,,NaN,
1476,102,NaN,NaN,99,75,12,59,NaN,82,-10,41,NaN,83
1477,,NaN,NaN,,,,,NaN,,,,NaN,
1478,105,NaN,NaN,99,77,12,58,NaN,82,-10,41,NaN,83
1479,,NaN,NaN,,,,,NaN,,,,NaN,
1480,105,NaN,NaN,99,77,12,58,NaN,82,-10,41,NaN,83
1481,,NaN,NaN,,,,,NaN,,,,NaN,
1482,104,NaN,NaN,99,75,12,58,NaN,82,-10,41,NaN,83
1483,,NaN,NaN,,,,,NaN,,,,NaN,
1484,103,NaN,NaN,99,76,12,59,NaN,82,-10,41,NaN,83
1485,,NaN,NaN,,,,,NaN,,,,NaN,
1486,103,NaN,NaN,99,76,12,59,NaN,83,-10,41,NaN,83
1487,,NaN,NaN,,,,,NaN,,,,NaN,
1488,104,NaN,NaN,99,76,12,59,NaN,83,-9,41,NaN,83
1489,,NaN,NaN,,,,,NaN,,,,NaN,
1490,101,NaN,NaN,99,74,12,54,NaN,83,-9,41,NaN,83
1491,,NaN,NaN,,,,,NaN,,,,NaN,
1492,117,NaN,NaN,99,75,12,57,NaN,83,-10,41,NaN,83
1493,,NaN,NaN,,,,,NaN,,,,NaN,
1494,108,NaN,NaN,99,74,12,58,NaN,83,-10,41,NaN,84
1495,,NaN,NaN,,,,,NaN,,,,NaN,
1496,108,NaN,NaN,99,74,12,58,NaN,83,-10,41,NaN,83
1497,,NaN,NaN,,,,,NaN,,,,NaN,
1498,97,NaN,NaN,99,73,12,40,NaN,83,-10,41,NaN,84
1499,,NaN,NaN,,,,,NaN,,,,NaN,
1500,99,NaN,NaN,99,72,12,56,NaN,83,-10,41,NaN,84
1501,,NaN,NaN,,,,,NaN,,,,NaN,
1502,99,NaN,NaN,99,73,12,58,NaN,83,-10,41,NaN,83
1503,,NaN,NaN,,,,,NaN,,,,NaN,
1504,98,NaN,NaN,99,72,12,57,NaN,82,-10,41,NaN,83
1505,,NaN,NaN,,,,,NaN,,,,NaN,
1506,103,NaN,NaN,99,70,12,51,NaN,82,-11,41,NaN,82
1507,,NaN,NaN,,,,,NaN,,,,NaN,
1508,103,NaN,NaN,99,70,12,51,NaN,82,-11,41,NaN,82
1509,,NaN,NaN,,,,,NaN,,,,NaN,
1510,100,NaN,NaN,99,72,12,56,NaN,81,-11,41,NaN,82
1511,,NaN,NaN,,,,,NaN,,,,NaN,
1512,98,NaN,NaN,99,71,12,52,NaN,81,-11,41,NaN,81
1513,,NaN,NaN,,,,,NaN,,,,NaN,
1514,91,NaN,NaN,99,68,12,45,NaN,80,-11,41,NaN,81
1515,,NaN,NaN,,,,,NaN,,,,NaN,
1516,91,NaN,NaN,99,68,12,45,NaN,80,-11,41,NaN,80
1517,,NaN,NaN,,,,,NaN,,,,NaN,
1518,94,NaN,NaN,99,69,12,54,NaN,80,-10,41,NaN,79
1519,,NaN,NaN,,,,,NaN,,,,NaN,
1520,94,NaN,NaN,99,69,12,54,NaN,79,-10,41,NaN,79
1521,,NaN,NaN,,,,,NaN,,,,NaN,
1522,96,NaN,NaN,99,70,12,55,NaN,79,-10,41,NaN,79
1523,,NaN,NaN,,,,,NaN,,,,NaN,
1524,94,NaN,NaN,99,69,12,54,NaN,79,-10,41,NaN,80
1525,,NaN,NaN,,,,,NaN,,,,NaN,
1526,94,NaN,NaN,99,69,12,55,NaN,79,-10,41,NaN,79
1527,,NaN,NaN,,,,,NaN,,,,NaN,
1528,94,NaN,NaN,99,69,12,55,NaN,79,-10,41,NaN,79
1529,,NaN,NaN,,,,,NaN,,,,NaN,
1530,96,NaN,NaN,99,70,12,55,NaN,79,-10,41,NaN,79
1531,,NaN,NaN,,,,,NaN,,,,NaN,
1532,93,NaN,NaN,99,69,12,54,NaN,79,-10,41,NaN,79
1533,,NaN,NaN,,,,,NaN,,,,NaN,
1534,94,NaN,NaN,99,69,12,54,NaN,78,-10,41,NaN,79
1535,,NaN,NaN,,,,,NaN,,,,NaN,
1536,93,NaN,NaN,99,69,12,54,NaN,78,-10,41,NaN,79
1537,,NaN,NaN,,,,,NaN,,,,NaN,
1538,95,NaN,NaN,99,70,12,55,NaN,78,-10,41,NaN,79
1539,,NaN,NaN,,,,,NaN,,,,NaN,
1540,93,NaN,NaN,99,69,12,54,NaN,78,-11,41,NaN,79
1541,,NaN,NaN,,,,,NaN,,,,NaN,
1542,93,NaN,NaN,99,69,12,54,NaN,78,-11,40,NaN,78
1543,,NaN,NaN,,,,,NaN,,,,NaN,
1544,94,NaN,NaN,99,70,12,55,NaN,78,-11,40,NaN,79
1545,,NaN,NaN,,,,,NaN,,,,NaN,
1546,95,NaN,NaN,99,70,12,56,NaN,78,-11,40,NaN,79
1547,,NaN,NaN,,,,,NaN,,,,NaN,
1548,95,NaN,NaN,99,70,12,56,NaN,78,-11,41,NaN,79
1549,,NaN,NaN,,,,,NaN,,,,NaN,
1550,94,NaN,NaN,99,69,12,55,NaN,78,-11,41,NaN,79
1551,,NaN,NaN,,,,,NaN,,,,NaN,
1552,95,NaN,NaN,99,70,12,56,NaN,78,-10,41,NaN,79
1553,,NaN,NaN,,,,,NaN,,,,NaN,
1554,95,NaN,NaN,99,70,12,56,NaN,78,-10,40,NaN,79
1555,,NaN,NaN,,,,,NaN,,,,NaN,
1556,93,NaN,NaN,99,69,12,54,NaN,77,-10,40,NaN,78
1557,,NaN,NaN,,,,,NaN,,,,NaN,
1558,93,NaN,NaN,99,69,12,54,NaN,77,-10,40,NaN,78
1559,,NaN,NaN,,,,,NaN,,,,NaN,
1560,93,NaN,NaN,99,68,12,53,NaN,77,-10,40,NaN,78
1561,,NaN,NaN,,,,,NaN,,,,NaN,
1562,93,NaN,NaN,99,68,12,53,NaN,77,-10,41,NaN,77
1563,,NaN,NaN,,,,,NaN,,,,NaN,
1564,93,NaN,NaN,99,68,12,53,NaN,76,-10,41,NaN,77
1565,,NaN,NaN,,,,,NaN,,,,NaN,
1566,92,NaN,NaN,99,68,12,53,NaN,76,-10,41,NaN,77
1567,,NaN,NaN,,,,,NaN,,,,NaN,
1568,100,NaN,NaN,99,68,12,52,NaN,76,-10,41,NaN,76
1569,,NaN,NaN,,,,,NaN,,,,NaN,
1570,93,NaN,NaN,99,67,12,48,NaN,76,-11,41,NaN,77
1571,,NaN,NaN,,,,,NaN,,,,NaN,
1572,93,NaN,NaN,99,67,12,48,NaN,76,-11,41,NaN,76
1573,,NaN,NaN,,,,,NaN,,,,NaN,
1574,93,NaN,NaN,99,68,12,53,NaN,76,-11,41,NaN,76
1575,,NaN,NaN,,,,,NaN,,,,NaN,
1576,92,NaN,NaN,99,67,12,53,NaN,76,-11,41,NaN,77
1577,,NaN,NaN,,,,,NaN,,,,NaN,
1578,94,NaN,NaN,99,68,12,54,NaN,76,-11,41,NaN,77
1579,,NaN,NaN,,,,,NaN,,,,NaN,
1580,94,NaN,NaN,99,68,12,54,NaN,76,-11,41,NaN,77
1581,,NaN,NaN,,,,,NaN,,,,NaN,
1582,94,NaN,NaN,99,69,12,55,NaN,76,-11,41,NaN,76
1583,,NaN,NaN,,,,,NaN,,,,NaN,
1584,94,NaN,NaN,99,69,12,55,NaN,76,-11,40,NaN,77
1585,,NaN,NaN,,,,,NaN,,,,NaN,
1586,92,NaN,NaN,99,68,12,54,NaN,76,-10,40,NaN,76
1587,,NaN,NaN,,,,,NaN,,,,NaN,
1588,94,NaN,NaN,99,69,12,54,NaN,76,-10,40,NaN,76
1589,,NaN,NaN,,,,,NaN,,,,NaN,
1590,92,NaN,NaN,99,68,12,53,NaN,76,-10,41,NaN,76
1591,,NaN,NaN,,,,,NaN,,,,NaN,
1592,92,NaN,NaN,99,68,12,53,NaN,76,-10,41,NaN,76
1593,,NaN,NaN,,,,,NaN,,,,NaN,
1594,92,NaN,NaN,99,67,12,53,NaN,76,-10,41,NaN,76
1595,,NaN,NaN,,,,,NaN,,,,NaN,
1596,91,NaN,NaN,99,67,12,53,NaN,75,-9,41,NaN,76
1597,,NaN,NaN,,,,,NaN,,,,NaN,
1598,91,NaN,NaN,99,67,12,53,NaN,75,-9,40,NaN,76
1599,,NaN,NaN,,,,,NaN,,,,NaN,
1600,92,NaN,NaN,99,67,12,53,NaN,75,-10,40,NaN,76
1601,,NaN,NaN,,,,,NaN,,,,NaN,
1602,93,NaN,NaN,99,68,12,54,NaN,75,-10,40,NaN,76
1603,,NaN,NaN,,,,,NaN,,,,NaN,
1604,93,NaN,NaN,99,68,12,53,NaN,75,-11,41,NaN,76
1605,,NaN,NaN,,,,,NaN,,,,NaN,
1606,91,NaN,NaN,99,67,12,53,NaN,75,-11,41,NaN,76
1607,,NaN,NaN,,,,,NaN,,,,NaN,
1608,92,NaN,NaN,99,67,12,53,NaN,75,-11,41,NaN,76
1609,,NaN,NaN,,,,,NaN,,,,NaN,
1610,92,NaN,NaN,99,67,12,53,NaN,75,-11,41,NaN,76
1611,,NaN,NaN,,,,,NaN,,,,NaN,
1612,92,NaN,NaN,99,67,12,54,NaN,75,-10,40,NaN,74
1613,,NaN,NaN,,,,,NaN,,,,NaN,
1614,92,NaN,NaN,99,67,12,54,NaN,75,-10,40,NaN,75
1615,,NaN,NaN,,,,,NaN,,,,NaN,
1616,90,NaN,NaN,99,66,12,53,NaN,75,-10,40,NaN,75
1617,,NaN,NaN,,,,,NaN,,,,NaN,
1618,90,NaN,NaN,99,66,12,53,NaN,75,-10,41,NaN,75
1619,,NaN,NaN,,,,,NaN,,,,NaN,
1620,90,NaN,NaN,99,66,12,52,NaN,75,-10,41,NaN,77
1621,,NaN,NaN,,,,,NaN,,,,NaN,
1622,91,NaN,NaN,99,67,12,54,NaN,75,-10,41,NaN,76
1623,,NaN,NaN,,,,,NaN,,,,NaN,
1624,91,NaN,NaN,99,67,12,54,NaN,76,-10,41,NaN,75
1625,,NaN,NaN,,,,,NaN,,,,NaN,
1626,93,NaN,NaN,99,68,12,49,NaN,76,-10,40,NaN,76
1627,,NaN,NaN,,,,,NaN,,,,NaN,
1628,98,NaN,NaN,99,67,12,44,NaN,76,-10,40,NaN,76
1629,,NaN,NaN,,,,,NaN,,,,NaN,
1630,92,NaN,NaN,99,66,12,46,NaN,76,-10,40,NaN,76
1631,,NaN,NaN,,,,,NaN,,,,NaN,
1632,86,NaN,NaN,99,65,12,45,NaN,76,-11,40,NaN,77
1633,,NaN,NaN,,,,,NaN,,,,NaN,
1634,86,NaN,NaN,99,65,12,45,NaN,76,-11,40,NaN,78
1635,,NaN,NaN,,,,,NaN,,,,NaN,
1636,95,NaN,NaN,99,67,12,52,NaN,77,-11,40,NaN,78
1637,,NaN,NaN,,,,,NaN,,,,NaN,
1638,97,NaN,NaN,100,63,12,38,NaN,84,-11,40,NaN,78
1639,,NaN,NaN,,,,,NaN,,,,NaN,
1640,91,NaN,NaN,100,64,,47,NaN,83,-11,40,NaN,77
1641,,NaN,NaN,,,,,NaN,,,,NaN,
1642,92,NaN,NaN,100,66,,50,NaN,83,-11,40,NaN,76
1643,,NaN,NaN,,,,,NaN,,,,NaN,
1644,92,NaN,NaN,100,66,,50,NaN,76,-11,40,NaN,77
1645,,NaN,NaN,,,,,NaN,,,,NaN,
1646,92,NaN,NaN,100,66,,49,NaN,75,-10,40,NaN,76
1647,,NaN,NaN,,,,,NaN,,,,NaN,
1648,92,NaN,NaN,100,67,8,53,NaN,86,-10,41,NaN,76
1649,,NaN,NaN,,,,,NaN,,,,NaN,
1650,89,NaN,NaN,100,66,8,52,NaN,86,-10,41,NaN,76
1651,,NaN,NaN,,,,,NaN,,,,NaN,
1652,90,NaN,NaN,100,66,8,54,NaN,86,-10,41,NaN,76
1653,,NaN,NaN,,,,,NaN,,,,NaN,
1654,90,NaN,NaN,100,66,8,54,NaN,75,-10,41,NaN,76
1655,,NaN,NaN,,,,,NaN,,,,NaN,
1656,89,NaN,NaN,100,66,7,52,NaN,75,-10,41,NaN,76
1657,,NaN,NaN,,,,,NaN,,,,NaN,
1658,92,NaN,NaN,100,67,7,53,NaN,75,-10,41,NaN,75
1659,,NaN,NaN,,,,,NaN,,,,NaN,
1660,92,NaN,NaN,100,67,7,53,NaN,75,-10,41,NaN,76
1661,,NaN,NaN,,,,,NaN,,,,NaN,
1662,91,NaN,NaN,100,67,8,54,NaN,75,-10,41,NaN,75
1663,,NaN,NaN,,,,,NaN,,,,NaN,
1664,92,NaN,NaN,100,67,8,53,NaN,75,-11,41,NaN,75
1665,,NaN,NaN,,,,,NaN,,,,NaN,
1666,91,NaN,NaN,100,67,8,54,NaN,75,-11,41,NaN,75
1667,,NaN,NaN,,,,,NaN,,,,NaN,
1668,93,NaN,NaN,100,68,8,54,NaN,75,-11,41,NaN,75
1669,,NaN,NaN,,,,,NaN,,,,NaN,
1670,90,NaN,NaN,100,67,10,52,NaN,75,-11,40,NaN,75
1671,,NaN,NaN,,,,,NaN,,,,NaN,
1672,91,NaN,NaN,100,67,10,53,NaN,75,-11,40,NaN,75
1673,,NaN,NaN,,,,,NaN,,,,NaN,
1674,95,NaN,NaN,100,67,10,53,NaN,74,-11,40,NaN,75
1675,,NaN,NaN,,,,,NaN,,,,NaN,
1676,90,NaN,NaN,100,66,10,53,NaN,74,-10,40,NaN,75
1677,,NaN,NaN,,,,,NaN,,,,NaN,
1678,92,NaN,NaN,100,67,11,53,NaN,74,-10,40,NaN,74
1679,,NaN,NaN,,,,,NaN,,,,NaN,
1680,89,NaN,NaN,100,66,11,52,NaN,74,-10,40,NaN,75
1681,,NaN,NaN,,,,,NaN,,,,NaN,
1682,91,NaN,NaN,100,67,11,53,NaN,74,-10,40,NaN,74
1683,,NaN,NaN,,,,,NaN,,,,NaN,
1684,90,NaN,NaN,100,67,12,53,NaN,74,-10,40,NaN,74
1685,,NaN,NaN,,,,,NaN,,,,NaN,
1686,90,NaN,NaN,100,67,12,53,NaN,74,-10,40,NaN,74
1687,,NaN,NaN,,,,,NaN,,,,NaN,
1688,92,NaN,NaN,100,67,12,54,NaN,73,-10,40,NaN,74
1689,,NaN,NaN,,,,,NaN,,,,NaN,
1690,90,NaN,NaN,100,66,12,53,NaN,73,-10,40,NaN,74
1691,,NaN,NaN,,,,,NaN,,,,NaN,
1692,91,NaN,NaN,100,67,12,54,NaN,74,-10,40,NaN,74
1693,,NaN,NaN,,,,,NaN,,,,NaN,
1694,90,NaN,NaN,100,67,12,53,NaN,74,-11,40,NaN,74
1695,,NaN,NaN,,,,,NaN,,,,NaN,
1696,90,NaN,NaN,100,67,12,53,NaN,74,-11,40,NaN,74
1697,,NaN,NaN,,,,,NaN,,,,NaN,
1698,93,NaN,NaN,100,68,12,53,NaN,74,-11,40,NaN,75
1699,,NaN,NaN,,,,,NaN,,,,NaN,
1700,90,NaN,NaN,100,67,12,52,NaN,74,-11,40,NaN,75
1701,,NaN,NaN,,,,,NaN,,,,NaN,
1702,92,NaN,NaN,100,68,12,54,NaN,74,-11,40,NaN,75
1703,,NaN,NaN,,,,,NaN,,,,NaN,
1704,91,NaN,NaN,100,67,12,53,NaN,74,-11,40,NaN,75
1705,,NaN,NaN,,,,,NaN,,,,NaN,
1706,92,NaN,NaN,100,68,12,54,NaN,74,-11,40,NaN,75
1707,,NaN,NaN,,,,,NaN,,,,NaN,
1708,92,NaN,NaN,100,68,12,54,NaN,75,-11,40,NaN,75
1709,,NaN,NaN,,,,,NaN,,,,NaN,
1710,93,NaN,NaN,100,68,12,54,NaN,75,-9,40,NaN,75
1711,,NaN,NaN,,,,,NaN,,,,NaN,
1712,93,NaN,NaN,100,68,12,54,NaN,75,-9,40,NaN,75
1713,,NaN,NaN,,,,,NaN,,,,NaN,
1714,92,NaN,NaN,100,68,12,54,NaN,75,-10,40,NaN,75
1715,,NaN,NaN,,,,,NaN,,,,NaN,
1716,92,NaN,NaN,100,68,12,54,NaN,75,-10,40,NaN,75
1717,,NaN,NaN,,,,,NaN,,,,NaN,
1718,94,NaN,NaN,100,69,12,55,NaN,74,-10,40,NaN,75
1719,,NaN,NaN,,,,,NaN,,,,NaN,
1720,91,NaN,NaN,100,67,12,53,NaN,74,-10,40,NaN,75
1721,,NaN,NaN,,,,,NaN,,,,NaN,
1722,92,NaN,NaN,100,68,12,54,NaN,74,-10,40,NaN,74
1723,,NaN,NaN,,,,,NaN,,,,NaN,
1724,92,NaN,NaN,100,68,12,54,NaN,74,-11,40,NaN,74
1725,,NaN,NaN,,,,,NaN,,,,NaN,
1726,90,NaN,NaN,100,67,12,53,NaN,73,-11,40,NaN,74
1727,,NaN,NaN,,,,,NaN,,,,NaN,
1728,92,NaN,NaN,100,67,12,53,NaN,73,-11,41,NaN,73
1729,,NaN,NaN,,,,,NaN,,,,NaN,
1730,90,NaN,NaN,100,66,12,52,NaN,73,-11,41,NaN,74
1731,,NaN,NaN,,,,,NaN,,,,NaN,
1732,92,NaN,NaN,100,67,12,54,NaN,73,-11,41,NaN,73
1733,,NaN,NaN,,,,,NaN,,,,NaN,
1734,91,NaN,NaN,100,67,12,53,NaN,73,-11,40,NaN,74
1735,,NaN,NaN,,,,,NaN,,,,NaN,
1736,90,NaN,NaN,100,66,12,53,NaN,73,-11,40,NaN,74
1737,,NaN,NaN,,,,,NaN,,,,NaN,
1738,90,NaN,NaN,100,66,12,53,NaN,73,-11,40,NaN,73
1739,,NaN,NaN,,,,,NaN,,,,NaN,
1740,89,NaN,NaN,100,66,12,52,NaN,73,-10,40,NaN,73
1741,,NaN,NaN,,,,,NaN,,,,NaN,
1742,91,NaN,NaN,100,67,12,54,NaN,73,-10,40,NaN,73
1743,,NaN,NaN,,,,,NaN,,,,NaN,
1744,91,NaN,NaN,100,67,12,53,NaN,73,-10,40,NaN,73
1745,,NaN,NaN,,,,,NaN,,,,NaN,
1746,91,NaN,NaN,100,67,12,53,NaN,73,-10,40,NaN,73
1747,,NaN,NaN,,,,,NaN,,,,NaN,
1748,93,NaN,NaN,100,68,12,54,NaN,73,-10,40,NaN,73
1749,,NaN,NaN,,,,,NaN,,,,NaN,
1750,90,NaN,NaN,100,67,12,53,NaN,73,-10,40,NaN,74
1751,,NaN,NaN,,,,,NaN,,,,NaN,
1752,92,NaN,NaN,100,68,12,55,NaN,74,-11,40,NaN,74
1753,,NaN,NaN,,,,,NaN,,,,NaN,
1754,91,NaN,NaN,100,67,12,53,NaN,74,-11,40,NaN,74
1755,,NaN,NaN,,,,,NaN,,,,NaN,
1756,90,NaN,NaN,100,67,12,53,NaN,74,-11,40,NaN,74
1757,,NaN,NaN,,,,,NaN,,,,NaN,
1758,92,NaN,NaN,100,68,12,54,NaN,74,-11,40,NaN,74
1759,,NaN,NaN,,,,,NaN,,,,NaN,
1760,92,NaN,NaN,100,68,12,54,NaN,74,-11,40,NaN,74
1761,,NaN,NaN,,,,,NaN,,,,NaN,
1762,92,NaN,NaN,100,68,12,55,NaN,73,-11,40,NaN,74
