time,Solar8000/PLETH_SPO2,Solar8000/HR,SNUADC/ART,Solar8000/ETCO2,Solar8000/ART_MBP,SNUADC/CVP,SNUADC/ECG_V5,SNUADC/ECG_II,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/CVP,Solar8000/PLETH_HR,Solar8000/ART_SBP
93,,,NaN,,,NaN,NaN,NaN,,,,,
94,100,77,NaN,0,-4,NaN,NaN,NaN,-4,,-10,77,-4
95,,,NaN,,,NaN,NaN,NaN,,,,,
96,100,76,NaN,0,-4,NaN,NaN,NaN,-4,,-10,77,-4
97,,,NaN,,,NaN,NaN,NaN,,,,,
98,100,76,NaN,0,-4,NaN,NaN,NaN,-4,,-10,77,-4
99,,,NaN,,,NaN,NaN,NaN,,,,,
100,100,75,NaN,0,-4,NaN,NaN,NaN,-4,,-10,76,-4
101,,,NaN,,,NaN,NaN,NaN,,,,,
102,100,75,NaN,0,-4,NaN,NaN,NaN,-4,,-9,76,-4
103,,,NaN,,,NaN,NaN,NaN,,,,,
104,100,75,NaN,0,-4,NaN,NaN,NaN,-4,,-9,76,-4
105,,,NaN,,,NaN,NaN,NaN,,,,,
106,100,75,NaN,0,-3,NaN,NaN,NaN,-3,,-9,76,-3
107,,,NaN,,,NaN,NaN,NaN,,,,,
108,100,76,NaN,0,-3,NaN,NaN,NaN,-3,,-9,76,-3
109,,,NaN,,,NaN,NaN,NaN,,,,,
110,100,76,NaN,0,-3,NaN,NaN,NaN,-3,,-9,76,-3
111,,,NaN,,,NaN,NaN,NaN,,,,,
112,100,77,NaN,0,-4,NaN,NaN,NaN,-5,,-9,77,-2
113,,,NaN,,,NaN,NaN,NaN,,,,,
114,100,78,NaN,0,-4,NaN,NaN,NaN,-6,,-9,78,-2
115,,,NaN,,,NaN,NaN,NaN,,,,,
116,100,79,NaN,0,-4,NaN,NaN,NaN,-5,,-9,79,-2
117,,,NaN,,,NaN,NaN,NaN,,,,,
118,100,80,NaN,0,-4,NaN,NaN,NaN,-5,,-9,80,-2
119,,,NaN,,,NaN,NaN,NaN,,,,,
120,100,82,NaN,0,-4,NaN,NaN,NaN,-4,,-9,81,-4
121,,,NaN,,,NaN,NaN,NaN,,,,,
122,100,82,NaN,0,-4,NaN,NaN,NaN,-4,,-9,82,-4
123,,,NaN,,,NaN,NaN,NaN,,,,,
124,100,81,NaN,0,-4,NaN,NaN,NaN,-4,,-9,82,-4
125,,,NaN,,,NaN,NaN,NaN,,,,,
126,100,81,NaN,0,-4,NaN,NaN,NaN,-4,,-9,81,-4
127,,,NaN,,,NaN,NaN,NaN,,,,,
128,100,78,NaN,0,-4,NaN,NaN,NaN,-4,,-9,79,-4
129,,,NaN,,,NaN,NaN,NaN,,,,,
130,100,77,NaN,0,-4,NaN,NaN,NaN,-4,,-9,78,-4
131,,,NaN,,,NaN,NaN,NaN,,,,,
132,100,77,NaN,0,-3,NaN,NaN,NaN,-3,,-9,78,-3
133,,,NaN,,,NaN,NaN,NaN,,,,,
134,100,77,NaN,0,-3,NaN,NaN,NaN,-3,,-9,78,-3
135,,,NaN,,,NaN,NaN,NaN,,,,,
136,100,78,NaN,0,-3,NaN,NaN,NaN,-3,,-8,78,-3
137,,,NaN,,,NaN,NaN,NaN,,,,,
138,100,78,NaN,0,-3,NaN,NaN,NaN,-3,,-8,79,-3
139,,,NaN,,,NaN,NaN,NaN,,,,,
140,100,78,NaN,0,-3,NaN,NaN,NaN,-3,,-9,79,-3
141,,,NaN,,,NaN,NaN,NaN,,,,,
142,100,79,NaN,0,-3,NaN,NaN,NaN,-3,,-9,79,-3
143,,,NaN,,,NaN,NaN,NaN,,,,,
144,100,79,NaN,0,-3,NaN,NaN,NaN,-3,,-9,79,-3
145,,,NaN,,,NaN,NaN,NaN,,,,,
146,100,80,NaN,0,-3,NaN,NaN,NaN,-3,,-9,80,-3
147,,,NaN,,,NaN,NaN,NaN,,,,,
148,100,80,NaN,0,-3,NaN,NaN,NaN,-3,,-9,80,-3
149,,,NaN,,,NaN,NaN,NaN,,,,,
150,100,79,NaN,0,-3,NaN,NaN,NaN,-3,,-9,80,-3
151,,,NaN,,,NaN,NaN,NaN,,,,,
152,100,78,NaN,0,-3,NaN,NaN,NaN,-3,,-9,79,-3
153,,,NaN,,,NaN,NaN,NaN,,,,,
154,100,78,NaN,0,-3,NaN,NaN,NaN,-3,,-9,78,-3
155,,,NaN,,,NaN,NaN,NaN,,,,,
156,100,77,NaN,0,-3,NaN,NaN,NaN,-3,,-9,78,-3
157,,,NaN,,,NaN,NaN,NaN,,,,,
158,100,76,NaN,0,-3,NaN,NaN,NaN,-3,,-9,77,-3
159,,,NaN,,,NaN,NaN,NaN,,,,,
160,100,76,NaN,0,-2,NaN,NaN,NaN,-2,,-9,77,-2
161,,,NaN,,,NaN,NaN,NaN,,,,,
162,100,76,NaN,0,-2,NaN,NaN,NaN,-2,,-9,77,-2
163,,,NaN,,,NaN,NaN,NaN,,,,,
164,100,76,NaN,0,-2,NaN,NaN,NaN,-2,,-9,76,-2
165,,,NaN,,,NaN,NaN,NaN,,,,,
166,100,76,NaN,0,-2,NaN,NaN,NaN,-2,,-8,76,-2
167,,,NaN,,,NaN,NaN,NaN,,,,,
168,100,75,NaN,0,-3,NaN,NaN,NaN,-3,,-8,76,-3
169,,,NaN,,,NaN,NaN,NaN,,,,,
170,100,74,NaN,0,-3,NaN,NaN,NaN,-3,,-8,75,-3
171,,,NaN,,,NaN,NaN,NaN,,,,,
172,100,75,NaN,0,-3,NaN,NaN,NaN,-3,,-8,76,-3
173,,,NaN,,,NaN,NaN,NaN,,,,,
174,100,77,NaN,0,-3,NaN,NaN,NaN,-3,,-8,77,-3
175,,,NaN,,,NaN,NaN,NaN,,,,,
176,100,78,NaN,0,-3,NaN,NaN,NaN,-3,,-8,77,-3
177,,,NaN,,,NaN,NaN,NaN,,,,,
178,100,78,NaN,0,-3,NaN,NaN,NaN,-3,,-9,78,-3
179,,,NaN,,,NaN,NaN,NaN,,,,,
180,100,78,NaN,0,-3,NaN,NaN,NaN,-3,,-9,79,-3
181,,,NaN,,,NaN,NaN,NaN,,,,,
182,100,78,NaN,0,-3,NaN,NaN,NaN,-3,,-9,79,-3
183,,,NaN,,,NaN,NaN,NaN,,,,,
184,100,79,NaN,0,-3,NaN,NaN,NaN,-3,,-9,79,-3
185,,,NaN,,,NaN,NaN,NaN,,,,,
186,100,79,NaN,0,-3,NaN,NaN,NaN,-3,,-9,80,-3
187,,,NaN,,,NaN,NaN,NaN,,,,,
188,100,80,NaN,0,-3,NaN,NaN,NaN,-3,,-9,80,-3
189,,,NaN,,,NaN,NaN,NaN,,,,,
190,100,79,NaN,0,-2,NaN,NaN,NaN,-4,,-9,80,1
191,,,NaN,,,NaN,NaN,NaN,,,,,
192,100,80,NaN,0,-3,NaN,NaN,NaN,-5,,-9,81,1
193,,,NaN,,,NaN,NaN,NaN,,,,,
194,100,81,NaN,0,-3,NaN,NaN,NaN,-5,,-9,81,1
195,,,NaN,,,NaN,NaN,NaN,,,,,
196,100,83,NaN,0,-3,NaN,NaN,NaN,-3,,-9,83,-3
197,,,NaN,,,NaN,NaN,NaN,,,,,
198,100,82,NaN,0,-3,NaN,NaN,NaN,-3,,-9,83,-3
199,,,NaN,,,NaN,NaN,NaN,,,,,
200,100,82,NaN,0,-3,NaN,NaN,NaN,-3,,-9,82,-3
201,,,NaN,,,NaN,NaN,NaN,,,,,
202,100,81,NaN,0,-3,NaN,NaN,NaN,-3,,-9,82,-3
203,,,NaN,,,NaN,NaN,NaN,,,,,
204,100,81,NaN,0,-3,NaN,NaN,NaN,-3,,-9,82,-3
205,,,NaN,,,NaN,NaN,NaN,,,,,
206,100,82,NaN,0,-3,NaN,NaN,NaN,-5,,-9,83,-3
207,,,NaN,,,NaN,NaN,NaN,,,,,
208,100,85,NaN,0,-3,NaN,NaN,NaN,-4,,-9,84,-2
209,,,NaN,,,NaN,NaN,NaN,,,,,
210,100,85,NaN,0,-3,NaN,NaN,NaN,-6,,-9,85,0
211,,,NaN,,,NaN,NaN,NaN,,,,,
212,100,85,NaN,0,-3,NaN,NaN,NaN,-6,,-10,86,0
213,,,NaN,,,NaN,NaN,NaN,,,,,
214,100,82,NaN,0,-3,NaN,NaN,NaN,-4,,-10,84,0
215,,,NaN,,,NaN,NaN,NaN,,,,,
216,100,80,NaN,0,-3,NaN,NaN,NaN,-4,,-10,81,0
217,,,NaN,,,NaN,NaN,NaN,,,,,
218,100,78,NaN,0,-3,NaN,NaN,NaN,-4,,-10,80,0
219,,,NaN,,,NaN,NaN,NaN,,,,,
220,100,78,NaN,0,-2,NaN,NaN,NaN,-2,,-10,78,-2
221,,,NaN,,,NaN,NaN,NaN,,,,,
222,100,77,NaN,0,-2,NaN,NaN,NaN,-2,,-10,78,-2
223,,,NaN,,,NaN,NaN,NaN,,,,,
224,100,78,NaN,0,-3,NaN,NaN,NaN,-3,,-10,78,-3
225,,,NaN,,,NaN,NaN,NaN,,,,,
226,100,79,NaN,0,-3,NaN,NaN,NaN,-3,,-9,79,-3
227,,,NaN,,,NaN,NaN,NaN,,,,,
228,100,81,NaN,0,-3,NaN,NaN,NaN,-3,,-9,81,-3
229,,,NaN,,,NaN,NaN,NaN,,,,,
230,100,83,NaN,0,-3,NaN,NaN,NaN,-3,,-9,82,-3
231,,,NaN,,,NaN,NaN,NaN,,,,,
232,100,84,NaN,0,-3,NaN,NaN,NaN,-3,,-9,84,-3
233,,,NaN,,,NaN,NaN,NaN,,,,,
234,100,84,NaN,0,-3,NaN,NaN,NaN,-3,,-10,85,-3
235,,,NaN,,,NaN,NaN,NaN,,,,,
236,100,84,NaN,0,-3,NaN,NaN,NaN,-3,,-10,85,-3
237,,,NaN,,,NaN,NaN,NaN,,,,,
238,100,84,NaN,0,-3,NaN,NaN,NaN,-3,,-10,85,-3
239,,,NaN,,,NaN,NaN,NaN,,,,,
240,100,85,NaN,0,-2,NaN,NaN,NaN,-2,,-10,85,-2
241,,,NaN,,,NaN,NaN,NaN,,,,,
242,100,86,NaN,0,-2,NaN,NaN,NaN,-2,,-10,86,-2
243,,,NaN,,,NaN,NaN,NaN,,,,,
244,100,85,NaN,0,-2,NaN,NaN,NaN,-2,,-10,86,-2
245,,,NaN,,,NaN,NaN,NaN,,,,,
246,100,83,NaN,0,-2,NaN,NaN,NaN,-2,,-10,84,-2
247,,,NaN,,,NaN,NaN,NaN,,,,,
248,100,81,NaN,0,-3,NaN,NaN,NaN,-3,,-10,83,-3
249,,,NaN,,,NaN,NaN,NaN,,,,,
250,100,81,NaN,0,-3,NaN,NaN,NaN,-3,,-10,82,-3
251,,,NaN,,,NaN,NaN,NaN,,,,,
252,100,82,NaN,0,-3,NaN,NaN,NaN,-3,,-11,82,-3
253,,,NaN,,,NaN,NaN,NaN,,,,,
254,100,83,NaN,0,-3,NaN,NaN,NaN,-3,,-11,83,-3
255,,,NaN,,,NaN,NaN,NaN,,,,,
256,100,84,NaN,0,-3,NaN,NaN,NaN,-3,,-10,84,-3
257,,,NaN,,,NaN,NaN,NaN,,,,,
258,100,83,NaN,0,-3,NaN,NaN,NaN,-3,,-10,84,-3
259,,,NaN,,,NaN,NaN,NaN,,,,,
260,100,83,NaN,0,-3,NaN,NaN,NaN,-3,,-10,84,-3
261,,,NaN,,,NaN,NaN,NaN,,,,,
262,100,82,NaN,0,-3,NaN,NaN,NaN,-3,,-10,83,-3
263,,,NaN,,,NaN,NaN,NaN,,,,,
264,100,83,NaN,0,-3,NaN,NaN,NaN,-3,,-10,83,-3
265,,,NaN,,,NaN,NaN,NaN,,,,,
266,100,83,NaN,0,-3,NaN,NaN,NaN,-3,,-10,84,-3
267,,,NaN,,,NaN,NaN,NaN,,,,,
268,100,83,NaN,0,-2,NaN,NaN,NaN,-2,,-11,84,-2
269,,,NaN,,,NaN,NaN,NaN,,,,,
270,100,83,NaN,0,-2,NaN,NaN,NaN,-2,,-11,84,-2
271,,,NaN,,,NaN,NaN,NaN,,,,,
272,100,83,NaN,0,-2,NaN,NaN,NaN,-2,,-11,84,-2
273,,,NaN,,,NaN,NaN,NaN,,,,,
274,100,84,NaN,0,-2,NaN,NaN,NaN,-2,,-11,84,-2
275,,,NaN,,,NaN,NaN,NaN,,,,,
276,100,83,NaN,0,-3,NaN,NaN,NaN,-3,,-11,84,-3
277,,,NaN,,,NaN,NaN,NaN,,,,,
278,100,82,NaN,0,-3,NaN,NaN,NaN,-3,,-11,84,-3
279,,,NaN,,,NaN,NaN,NaN,,,,,
280,100,82,NaN,0,-3,NaN,NaN,NaN,-3,,-11,83,-3
281,,,NaN,,,NaN,NaN,NaN,,,,,
282,100,82,NaN,0,-3,NaN,NaN,NaN,-3,,-11,82,-3
283,,,NaN,,,NaN,NaN,NaN,,,,,
284,100,83,NaN,0,-3,NaN,NaN,NaN,-3,,-11,83,-3
285,,,NaN,,,NaN,NaN,NaN,,,,,
286,100,83,NaN,0,-3,NaN,NaN,NaN,-3,,-11,83,-3
287,,,NaN,,,NaN,NaN,NaN,,,,,
288,100,80,NaN,,-3,NaN,NaN,NaN,-3,,-11,81,-3
289,,,NaN,,,NaN,NaN,NaN,,,,,
290,100,79,NaN,,-3,NaN,NaN,NaN,-3,,-10,81,-3
291,,,NaN,,,NaN,NaN,NaN,,,,,
292,100,80,NaN,,-2,NaN,NaN,NaN,-2,,-10,81,-2
293,,,NaN,,,NaN,NaN,NaN,,,,,
294,100,81,NaN,,-2,NaN,NaN,NaN,-2,,-11,80,-2
295,,,NaN,,,NaN,NaN,NaN,,,,,
296,100,80,NaN,,-1,NaN,NaN,NaN,-1,,-11,81,-1
297,,,NaN,,,NaN,NaN,NaN,,,,,
298,100,79,NaN,,-1,NaN,NaN,NaN,-1,,-11,81,-1
299,,,NaN,,,NaN,NaN,NaN,,,,,
300,100,80,NaN,,-2,NaN,NaN,NaN,-2,,-11,80,-2
301,,,NaN,,,NaN,NaN,NaN,,,,,
302,100,82,NaN,,-2,NaN,NaN,NaN,-2,,-11,82,-2
303,,,NaN,,,NaN,NaN,NaN,,,,,
304,100,81,NaN,,-3,NaN,NaN,NaN,-3,,-11,82,-3
305,,,NaN,,,NaN,NaN,NaN,,,,,
306,100,81,NaN,,-3,NaN,NaN,NaN,-3,,-11,82,-3
307,,,NaN,,,NaN,NaN,NaN,,,,,
308,100,81,NaN,,-3,NaN,NaN,NaN,-3,,-11,82,-3
309,,,NaN,,,NaN,NaN,NaN,,,,,
310,100,81,NaN,,-3,NaN,NaN,NaN,-3,,-11,81,-3
311,,,NaN,,,NaN,NaN,NaN,,,,,
312,100,81,NaN,,-3,NaN,NaN,NaN,-3,,-11,82,-3
313,,,NaN,,,NaN,NaN,NaN,,,,,
314,100,82,NaN,,-3,NaN,NaN,NaN,-3,,-11,82,-3
315,,,NaN,,,NaN,NaN,NaN,,,,,
316,100,82,NaN,,-3,NaN,NaN,NaN,-3,,-11,82,-3
317,,,NaN,,,NaN,NaN,NaN,,,,,
318,100,82,NaN,,-3,NaN,NaN,NaN,-3,,-11,82,-3
319,,,NaN,,,NaN,NaN,NaN,,,,,
320,100,81,NaN,,-2,NaN,NaN,NaN,-2,,-10,82,-2
321,,,NaN,,,NaN,NaN,NaN,,,,,
322,100,81,NaN,,-2,NaN,NaN,NaN,-2,,-10,81,-2
323,,,NaN,,,NaN,NaN,NaN,,,,,
324,100,80,NaN,,-2,NaN,NaN,NaN,-2,,-11,81,-2
325,,,NaN,,,NaN,NaN,NaN,,,,,
326,100,81,NaN,,-2,NaN,NaN,NaN,-2,,-11,81,-2
327,,,NaN,,,NaN,NaN,NaN,,,,,
328,100,80,NaN,,-3,NaN,NaN,NaN,-3,,-11,81,-3
329,,,NaN,,,NaN,NaN,NaN,,,,,
330,100,80,NaN,,-3,NaN,NaN,NaN,-3,,-11,81,-3
331,,,NaN,,,NaN,NaN,NaN,,,,,
332,100,81,NaN,,-3,NaN,NaN,NaN,-3,,-11,81,-3
333,,,NaN,,,NaN,NaN,NaN,,,,,
334,100,81,NaN,,-3,NaN,NaN,NaN,-3,,-11,81,-3
335,,,NaN,,,NaN,NaN,NaN,,,,,
336,100,81,NaN,,-3,NaN,NaN,NaN,-3,,-11,81,-3
337,,,NaN,,,NaN,NaN,NaN,,,,,
338,100,81,NaN,,-3,NaN,NaN,NaN,-3,,-11,81,-3
339,,,NaN,,,NaN,NaN,NaN,,,,,
340,100,81,NaN,,-3,NaN,NaN,NaN,-3,,-11,81,-3
341,,,NaN,,,NaN,NaN,NaN,,,,,
342,100,82,NaN,,-3,NaN,NaN,NaN,-3,,-11,82,-3
343,,,NaN,,,NaN,NaN,NaN,,,,,
344,100,82,NaN,,-2,NaN,NaN,NaN,-2,,-11,82,-2
345,,,NaN,,,NaN,NaN,NaN,,,,,
346,100,82,NaN,,-2,NaN,NaN,NaN,-2,,-12,83,-2
347,,,NaN,,,NaN,NaN,NaN,,,,,
348,100,82,NaN,,-2,NaN,NaN,NaN,-2,,-12,83,-2
349,,,NaN,,,NaN,NaN,NaN,,,,,
350,100,83,NaN,,-2,NaN,NaN,NaN,-2,,-11,83,-2
351,,,NaN,,,NaN,NaN,NaN,,,,,
352,100,83,NaN,,-2,NaN,NaN,NaN,-2,,-11,83,-2
353,,,NaN,,,NaN,NaN,NaN,,,,,
354,100,82,NaN,,-3,NaN,NaN,NaN,-4,,-11,83,-2
355,,,NaN,,,NaN,NaN,NaN,,,,,
356,100,83,NaN,,-3,NaN,NaN,NaN,-4,,-11,83,-2
357,,,NaN,,,NaN,NaN,NaN,,,,,
358,100,82,NaN,,-3,NaN,NaN,NaN,-3,,-11,83,-3
359,,,NaN,,,NaN,NaN,NaN,,,,,
360,100,82,NaN,,-3,NaN,NaN,NaN,-3,,-11,83,-3
361,,,NaN,,,NaN,NaN,NaN,,,,,
362,100,82,NaN,,-3,NaN,NaN,NaN,-3,,-12,82,-3
363,,,NaN,,,NaN,NaN,NaN,,,,,
364,100,80,NaN,,-3,NaN,NaN,NaN,-3,,-12,81,-3
365,,,NaN,,,NaN,NaN,NaN,,,,,
366,100,79,NaN,,-3,NaN,NaN,NaN,-3,,-12,80,-3
367,,,NaN,,,NaN,NaN,NaN,,,,,
368,100,78,NaN,,-3,NaN,NaN,NaN,-3,,-12,79,-3
369,,,NaN,,,NaN,NaN,NaN,,,,,
370,100,78,NaN,,-1,NaN,NaN,NaN,-1,,-12,79,-1
371,,,NaN,,,NaN,NaN,NaN,,,,,
372,100,78,NaN,,-1,NaN,NaN,NaN,-1,,-12,79,-1
373,,,NaN,,,NaN,NaN,NaN,,,,,
374,100,80,NaN,,-2,NaN,NaN,NaN,-2,,-12,79,-2
375,,,NaN,,,NaN,NaN,NaN,,,,,
376,100,80,NaN,,-2,NaN,NaN,NaN,-2,,-12,80,-2
377,,,NaN,,,NaN,NaN,NaN,,,,,
378,100,80,NaN,,-2,NaN,NaN,NaN,-2,,-12,81,-2
379,,,NaN,,,NaN,NaN,NaN,,,,,
380,100,82,NaN,,-2,NaN,NaN,NaN,-2,,-11,82,-2
381,,,NaN,,,NaN,NaN,NaN,,,,,
382,100,83,NaN,,-3,NaN,NaN,NaN,-3,,-11,83,-3
383,,,NaN,,,NaN,NaN,NaN,,,,,
384,100,83,NaN,,-3,NaN,NaN,NaN,-4,,-11,84,-1
385,,,NaN,,,NaN,NaN,NaN,,,,,
386,100,82,NaN,,-3,NaN,NaN,NaN,-4,,-11,83,-1
387,,,NaN,,,NaN,NaN,NaN,,,,,
388,100,80,NaN,,-3,NaN,NaN,NaN,-4,,-11,81,-1
389,,,NaN,,,NaN,NaN,NaN,,,,,
390,100,79,NaN,,-3,NaN,NaN,NaN,-3,,-11,80,-3
391,,,NaN,,,NaN,NaN,NaN,,,,,
