time,SNUADC/ECG_II,SNUADC/CVP,SNUADC/ART,Solar8000/RR_CO2,Solar8000/ETCO2,Solar8000/CVP,Solar8000/HR,Solar8000/ART_MBP,Solar8000/PLETH_HR,Solar8000/ART_SBP,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/PLETH_SPO2
0,NaN,NaN,NaN,,,,,,,,,NaN,
1,-4.9562602043151855,-495.6260070800781,-496.78717041015625,,,,,,,,,-4.9562602043151855,
2,-4.956240177154541,-495.6240234375,-496.7851867675781,,,,,,,,,-4.956240177154541,
3,NaN,NaN,NaN,,,,,,,,,NaN,
4,NaN,NaN,NaN,,,,,,,,,NaN,
5,NaN,NaN,NaN,,,,88,,81,,,NaN,95
6,NaN,NaN,NaN,,,,,,,,,NaN,
7,NaN,NaN,NaN,,,,110,,81,,,NaN,95
8,NaN,NaN,NaN,,,,,,,,,NaN,
9,NaN,NaN,NaN,,,,108,,81,,,NaN,95
10,NaN,NaN,NaN,,,,,,,,,NaN,
11,NaN,NaN,NaN,,,,92,,82,,,NaN,95
12,NaN,NaN,NaN,,,,,,,,,NaN,
13,NaN,NaN,NaN,,,,87,,83,,,NaN,95
14,NaN,NaN,NaN,,,,,,,,,NaN,
15,NaN,NaN,NaN,,,,83,,85,,,NaN,95
16,NaN,NaN,NaN,,,,,,,,,NaN,
17,NaN,NaN,NaN,,,,83,,86,,,NaN,95
18,NaN,NaN,NaN,,,,,,,,,NaN,
19,NaN,NaN,NaN,,,,93,,86,,,NaN,95
20,NaN,NaN,NaN,,,,,,,,,NaN,
21,NaN,NaN,NaN,,,,93,,87,,,NaN,95
22,NaN,NaN,NaN,,,,,,,,,NaN,
23,NaN,NaN,NaN,,,,90,,88,,,NaN,95
24,NaN,NaN,NaN,,,,,,,,,NaN,
25,NaN,NaN,NaN,,,,88,,89,,,NaN,95
26,NaN,NaN,NaN,,,,,,,,,NaN,
27,NaN,NaN,NaN,,,,90,,90,,,NaN,94
28,NaN,NaN,NaN,,,,,,,,,NaN,
29,NaN,NaN,NaN,,,,90,,92,,,NaN,94
30,NaN,NaN,NaN,,,,,,,,,NaN,
31,NaN,NaN,NaN,,,,89,,90,,,NaN,95
32,NaN,NaN,NaN,,,,,,,,,NaN,
33,NaN,NaN,NaN,,,,87,,87,,,NaN,95
