time,SNUADC/CVP,Solar8000/ETCO2,SNUADC/ART,Solar8000/ART_SBP,Solar8000/HR,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,Solar8000/ART_MBP,Solar8000/RR_CO2,Solar8000/PLETH_HR,Solar8000/ART_DBP,Solar8000/CVP,SNUADC/ECG_II
93,NaN,,NaN,,,,NaN,,,,,,NaN
94,NaN,2,NaN,,56,99,NaN,-17,,57,,-38,NaN
95,NaN,,NaN,,,,NaN,,,,,,NaN
96,NaN,2,NaN,,57,99,NaN,-16,,57,,-38,NaN
97,NaN,,NaN,,,,NaN,,,,,,NaN
98,NaN,2,NaN,-15,57,98,NaN,-16,,57,-17,-38,NaN
99,NaN,,NaN,,,,NaN,,,,,,NaN
100,NaN,2,NaN,-15,57,98,NaN,-16,,57,-18,-38,NaN
101,NaN,,NaN,,,,NaN,,,,,,NaN
102,NaN,2,NaN,-15,57,98,NaN,-16,,58,-18,-38,NaN
103,NaN,,NaN,,,,NaN,,,,,,NaN
104,NaN,2,NaN,-15,57,98,NaN,-16,,58,-18,-37,NaN
105,NaN,,NaN,,,,NaN,,,,,,NaN
106,NaN,2,NaN,-15,57,98,NaN,-17,,58,-18,-37,NaN
107,NaN,,NaN,,,,NaN,,,,,,NaN
108,NaN,2,NaN,-16,57,98,NaN,-17,,58,-18,-37,NaN
109,NaN,,NaN,,,,NaN,,,,,,NaN
110,NaN,2,NaN,-15,57,98,NaN,-17,,58,-18,-37,NaN
111,NaN,,NaN,,,,NaN,,,,,,NaN
112,NaN,2,NaN,-16,57,98,NaN,-17,,58,-18,-37,NaN
113,NaN,,NaN,,,,NaN,,,,,,NaN
114,NaN,2,NaN,-15,57,97,NaN,-17,,58,-18,-37,NaN
115,NaN,,NaN,,,,NaN,,,,,,NaN
116,NaN,2,NaN,-15,58,97,NaN,-16,,59,-17,-37,NaN
117,NaN,,NaN,,,,NaN,,,,,,NaN
118,NaN,2,NaN,-15,59,97,NaN,-16,,60,-17,-38,NaN
119,NaN,,NaN,,,,NaN,,,,,,NaN
120,NaN,2,NaN,-14,61,97,NaN,-16,,61,-17,-38,NaN
121,NaN,,NaN,,,,NaN,,,,,,NaN
122,NaN,2,NaN,-14,62,97,NaN,-16,,62,-17,-38,NaN
123,NaN,,NaN,,,,NaN,,,,,,NaN
124,NaN,2,NaN,-14,61,96,NaN,-16,,62,-17,-38,NaN
125,NaN,,NaN,,,,NaN,,,,,,NaN
126,NaN,2,NaN,-16,61,96,NaN,-16,,61,-16,-38,NaN
127,NaN,,NaN,,,,NaN,,,,,,NaN
128,NaN,2,NaN,-16,60,97,NaN,-16,,61,-16,-38,NaN
129,NaN,,NaN,,,,NaN,,,,,,NaN
130,NaN,2,NaN,-17,59,97,NaN,-17,,60,-17,-38,NaN
131,NaN,,NaN,,,,NaN,,,,,,NaN
132,NaN,2,NaN,-17,59,97,NaN,-17,,60,-17,-38,NaN
133,NaN,,NaN,,,,NaN,,,,,,NaN
134,NaN,2,NaN,-17,59,97,NaN,-17,,60,-17,-37,NaN
135,NaN,,NaN,,,,NaN,,,,,,NaN
136,NaN,2,NaN,-17,58,97,NaN,-17,,59,-17,-37,NaN
137,NaN,,NaN,,,,NaN,,,,,,NaN
138,NaN,2,NaN,-17,57,97,NaN,-17,,59,-17,-37,NaN
139,NaN,,NaN,,,,NaN,,,,,,NaN
140,NaN,2,NaN,-17,56,97,NaN,-17,,59,-17,-37,NaN
141,NaN,,NaN,,,,NaN,,,,,,NaN
142,NaN,2,NaN,-16,56,98,NaN,-16,,58,-16,-38,NaN
143,NaN,,NaN,,,,NaN,,,,,,NaN
144,NaN,2,NaN,-16,56,98,NaN,-16,,57,-16,-38,NaN
145,NaN,,NaN,,,,NaN,,,,,,NaN
146,NaN,2,NaN,-16,56,98,NaN,-16,,57,-16,-38,NaN
147,NaN,,NaN,,,,NaN,,,,,,NaN
148,NaN,2,NaN,-16,56,98,NaN,-16,,56,-16,-38,NaN
149,NaN,,NaN,,,,NaN,,,,,,NaN
150,NaN,,NaN,-17,55,98,NaN,-17,,56,-17,-38,NaN
151,NaN,,NaN,,,,NaN,,,,,,NaN
152,NaN,,NaN,-17,56,98,NaN,-17,,56,-17,-38,NaN
153,NaN,,NaN,,,,NaN,,,,,,NaN
154,NaN,,NaN,-17,56,98,NaN,-17,,56,-17,-38,NaN
155,NaN,,NaN,,,,NaN,,,,,,NaN
156,NaN,,NaN,-17,56,98,NaN,-17,,56,-17,-38,NaN
157,NaN,,NaN,,,,NaN,,,,,,NaN
158,NaN,,NaN,-17,56,99,NaN,-17,,56,-17,-38,NaN
159,NaN,,NaN,,,,NaN,,,,,,NaN
160,NaN,,NaN,-17,56,99,NaN,-17,,57,-17,-37,NaN
161,NaN,,NaN,,,,NaN,,,,,,NaN
162,NaN,,NaN,-17,56,99,NaN,-17,,56,-17,-37,NaN
163,NaN,,NaN,,,,NaN,,,,,,NaN
164,NaN,,NaN,-17,56,99,NaN,-17,,56,-17,-38,NaN
165,NaN,,NaN,,,,NaN,,,,,,NaN
166,NaN,,NaN,-16,56,99,NaN,-16,,56,-16,-38,NaN
167,NaN,,NaN,,,,NaN,,,,,,NaN
168,NaN,,NaN,-16,56,99,NaN,-16,,56,-16,-37,NaN
169,NaN,,NaN,,,,NaN,,,,,,NaN
170,NaN,,NaN,-16,57,99,NaN,-16,,57,-16,-37,NaN
171,NaN,,NaN,,,,NaN,,,,,,NaN
172,NaN,,NaN,-16,58,99,NaN,-16,,57,-16,-37,NaN
173,NaN,,NaN,,,,NaN,,,,,,NaN
174,NaN,,NaN,-17,58,99,NaN,-17,,58,-17,-37,NaN
175,NaN,,NaN,,,,NaN,,,,,,NaN
176,NaN,,NaN,-17,59,99,NaN,-17,,59,-17,-38,NaN
177,NaN,,NaN,,,,NaN,,,,,,NaN
178,NaN,,NaN,-17,59,99,NaN,-17,,59,-17,-38,NaN
179,NaN,,NaN,,,,NaN,,,,,,NaN
180,NaN,,NaN,-17,58,99,NaN,-17,,59,-17,-38,NaN
181,NaN,,NaN,,,,NaN,,,,,,NaN
182,NaN,,NaN,-17,58,99,NaN,-17,,59,-17,-38,NaN
183,NaN,,NaN,,,,NaN,,,,,,NaN
184,NaN,,NaN,-17,57,99,NaN,-17,,58,-17,-38,NaN
185,NaN,,NaN,,,,NaN,,,,,,NaN
186,NaN,,NaN,-16,57,99,NaN,-16,,58,-16,-38,NaN
187,NaN,,NaN,,,,NaN,,,,,,NaN
188,NaN,,NaN,-16,57,99,NaN,-16,,58,-16,-38,NaN
189,NaN,,NaN,,,,NaN,,,,,,NaN
190,NaN,,NaN,-15,57,99,NaN,-15,,58,-15,-38,NaN
191,NaN,,NaN,,,,NaN,,,,,,NaN
192,NaN,,NaN,-15,58,99,NaN,-15,,58,-15,-38,NaN
193,NaN,,NaN,,,,NaN,,,,,,NaN
194,NaN,,NaN,-16,58,99,NaN,-16,,58,-16,-37,NaN
195,NaN,,NaN,,,,NaN,,,,,,NaN
196,NaN,,NaN,-16,58,99,NaN,-16,,59,-16,-37,NaN
197,NaN,,NaN,,,,NaN,,,,,,NaN
198,NaN,,NaN,-17,58,98,NaN,-17,,59,-17,-38,NaN
199,NaN,,NaN,,,,NaN,,,,,,NaN
200,NaN,,NaN,-17,58,98,NaN,-17,,59,-17,-38,NaN
201,NaN,,NaN,,,,NaN,,,,,,NaN
202,NaN,,NaN,-17,58,98,NaN,-17,,59,-17,-38,NaN
203,NaN,,NaN,,,,NaN,,,,,,NaN
204,NaN,,NaN,-17,58,98,NaN,-17,,59,-17,-38,NaN
205,NaN,,NaN,,,,NaN,,,,,,NaN
206,NaN,,NaN,-17,58,98,NaN,-17,,59,-17,-38,NaN
207,NaN,,NaN,,,,NaN,,,,,,NaN
208,NaN,,NaN,-17,58,98,NaN,-17,,59,-17,-38,NaN
209,NaN,,NaN,,,,NaN,,,,,,NaN
210,NaN,,NaN,-16,57,98,NaN,-16,,58,-16,-38,NaN
211,NaN,,NaN,,,,NaN,,,,,,NaN
212,NaN,,NaN,-14,57,98,NaN,-16,,58,-17,-38,NaN
213,NaN,,NaN,,,,NaN,,,,,,NaN
214,NaN,,NaN,-14,57,99,NaN,-16,,58,-17,-38,NaN
215,NaN,,NaN,,,,NaN,,,,,,NaN
216,NaN,,NaN,-16,57,98,NaN,-16,,58,-16,-37,NaN
217,NaN,,NaN,,,,NaN,,,,,,NaN
218,NaN,,NaN,-16,57,98,NaN,-16,,58,-16,-37,NaN
219,NaN,,NaN,,,,NaN,,,,,,NaN
220,NaN,,NaN,-16,57,99,NaN,-16,,57,-16,-38,NaN
221,NaN,,NaN,,,,NaN,,,,,,NaN
222,NaN,,NaN,-17,57,98,NaN,-17,,57,-17,-38,NaN
223,NaN,,NaN,,,,NaN,,,,,,NaN
224,NaN,,NaN,-15,57,98,NaN,-17,,57,-19,-38,NaN
225,NaN,,NaN,,,,NaN,,,,,,NaN
226,NaN,,NaN,-15,57,99,NaN,-17,,57,-19,-38,NaN
227,NaN,,NaN,,,,NaN,,,,,,NaN
228,NaN,,NaN,-17,57,99,NaN,-17,,57,-17,-38,NaN
229,NaN,,NaN,,,,NaN,,,,,,NaN
230,NaN,,NaN,-17,57,99,NaN,-17,,57,-17,-38,NaN
231,NaN,,NaN,,,,NaN,,,,,,NaN
232,NaN,,NaN,-17,57,99,NaN,-17,,57,-17,-38,NaN
233,NaN,,NaN,,,,NaN,,,,,,NaN
234,NaN,,NaN,-17,57,99,NaN,-17,,56,-17,-38,NaN
235,NaN,,NaN,,,,NaN,,,,,,NaN
236,NaN,,NaN,-15,56,99,NaN,-15,,56,-15,-38,NaN
237,NaN,,NaN,,,,NaN,,,,,,NaN
238,NaN,,NaN,-15,56,99,NaN,-15,,56,-15,-38,NaN
239,NaN,,NaN,,,,NaN,,,,,,NaN
240,NaN,,NaN,-16,55,99,NaN,-16,,56,-16,-37,NaN
241,NaN,,NaN,,,,NaN,,,,,,NaN
242,NaN,,NaN,-16,55,99,NaN,-16,,56,-16,-37,NaN
243,NaN,,NaN,,,,NaN,,,,,,NaN
244,NaN,,NaN,-17,55,99,NaN,-17,,55,-17,-37,NaN
245,NaN,,NaN,,,,NaN,,,,,,NaN
246,NaN,,NaN,-17,55,99,NaN,-17,,55,-17,-38,NaN
247,NaN,,NaN,,,,NaN,,,,,,NaN
248,NaN,,NaN,-17,55,99,NaN,-17,,55,-17,-38,NaN
249,NaN,,NaN,,,,NaN,,,,,,NaN
250,NaN,,NaN,-17,55,99,NaN,-17,,56,-17,-38,NaN
251,NaN,,NaN,,,,NaN,,,,,,NaN
252,NaN,,NaN,-17,55,99,NaN,-17,,56,-17,-38,NaN
253,NaN,,NaN,,,,NaN,,,,,,NaN
254,NaN,,NaN,-17,55,99,NaN,-17,,56,-17,-37,NaN
255,NaN,,NaN,,,,NaN,,,,,,NaN
256,NaN,,NaN,-16,56,99,NaN,-16,,56,-16,-37,NaN
257,NaN,,NaN,,,,NaN,,,,,,NaN
258,NaN,,NaN,-16,56,100,NaN,-16,,56,-16,-38,NaN
259,NaN,,NaN,,,,NaN,,,,,,NaN
260,NaN,,NaN,-14,56,100,NaN,-16,,56,-18,-38,NaN
261,NaN,,NaN,,,,NaN,,,,,,NaN
262,NaN,,NaN,-14,56,100,NaN,-16,,56,-18,-38,NaN
263,NaN,,NaN,,,,NaN,,,,,,NaN
264,NaN,,NaN,-17,56,100,NaN,-17,,56,-17,-38,NaN
265,NaN,,NaN,,,,NaN,,,,,,NaN
266,NaN,,NaN,-17,56,100,NaN,-17,,57,-17,-39,NaN
267,NaN,,NaN,,,,NaN,,,,,,NaN
268,NaN,,NaN,-17,56,100,NaN,-17,,57,-17,-39,NaN
269,NaN,,NaN,,,,NaN,,,,,,NaN
270,NaN,,NaN,-17,56,100,NaN,-17,,57,-17,-39,NaN
271,NaN,,NaN,,,,NaN,,,,,,NaN
272,NaN,,NaN,-17,57,100,NaN,-17,,57,-17,-39,NaN
273,NaN,,NaN,,,,NaN,,,,,,NaN
274,NaN,,NaN,-16,58,100,NaN,-17,,58,-18,-39,NaN
275,NaN,,NaN,,,,NaN,,,,,,NaN
276,NaN,,NaN,-16,59,100,NaN,-17,,59,-18,-39,NaN
277,NaN,,NaN,,,,NaN,,,,,,NaN
278,NaN,,NaN,-13,61,100,NaN,-17,,61,-20,-39,NaN
279,NaN,,NaN,,,,NaN,,,,,,NaN
280,NaN,,NaN,-13,63,100,NaN,-17,,62,-20,-38,NaN
281,NaN,,NaN,,,,NaN,,,,,,NaN
282,NaN,,NaN,-13,63,100,NaN,-17,,64,-20,-38,NaN
283,NaN,,NaN,,,,NaN,,,,,,NaN
284,NaN,,NaN,-17,65,100,NaN,-17,,66,-17,-38,NaN
285,NaN,,NaN,,,,NaN,,,,,,NaN
286,NaN,,NaN,-17,66,100,NaN,-17,,67,-17,-38,NaN
287,NaN,,NaN,,,,NaN,,,,,,NaN
288,NaN,,NaN,-17,67,100,NaN,-17,,67,-17,-38,NaN
289,NaN,,NaN,,,,NaN,,,,,,NaN
290,NaN,,NaN,-17,67,100,NaN,-17,,67,-17,-38,NaN
291,NaN,,NaN,,,,NaN,,,,,,NaN
292,NaN,,NaN,-17,66,100,NaN,-17,,67,-17,-38,NaN
293,NaN,,NaN,,,,NaN,,,,,,NaN
