time,Solar8000/RR_CO2,SNUADC/ECG_II,SNUADC/CVP,Solar8000/HR,Solar8000/PLETH_HR,Solar8000/ART_SBP,Solar8000/CVP,SNUADC/ECG_V5,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,Solar8000/ART_DBP,Solar8000/ETCO2,SNUADC/ART
0,,NaN,NaN,,,,,NaN,,,,,NaN
1,,-4.9562602043151855,-495.6260070800781,,,,,-4.9562602043151855,,,,,-498.6846008300781
2,,-4.956240177154541,-495.6240234375,47,47,1,-4,-4.956240177154541,1,97,1,,-498.6826477050781
3,,NaN,NaN,,,,,NaN,,,,,NaN
4,,NaN,NaN,47,47,1,-4,NaN,1,96,1,,NaN
5,,NaN,NaN,,,,,NaN,,,,,NaN
6,,NaN,NaN,47,47,1,-4,NaN,1,96,1,,NaN
7,,NaN,NaN,,,,,NaN,,,,,NaN
8,,NaN,NaN,47,47,1,-4,NaN,1,97,1,,NaN
9,,NaN,NaN,,,,,NaN,,,,,NaN
10,,NaN,NaN,47,47,1,-4,NaN,1,97,1,,NaN
11,,NaN,NaN,,,,,NaN,,,,,NaN
12,,NaN,NaN,47,47,1,-4,NaN,1,96,1,,NaN
13,,NaN,NaN,,,,,NaN,,,,,NaN
14,,NaN,NaN,47,47,1,-4,NaN,1,96,1,,NaN
15,,NaN,NaN,,,,,NaN,,,,,NaN
16,,NaN,NaN,47,48,1,-4,NaN,1,96,1,,NaN
17,,NaN,NaN,,,,,NaN,,,,,NaN
18,,NaN,NaN,47,48,1,-4,NaN,1,96,1,,NaN
19,,NaN,NaN,,,,,NaN,,,,,NaN
20,,NaN,NaN,47,48,1,-4,NaN,1,96,1,,NaN
21,,NaN,NaN,,,,,NaN,,,,,NaN
22,,NaN,NaN,47,48,1,-4,NaN,1,96,1,,NaN
23,,NaN,NaN,,,,,NaN,,,,,NaN
24,,NaN,NaN,47,48,1,-4,NaN,1,96,1,,NaN
25,,NaN,NaN,,,,,NaN,,,,,NaN
26,,NaN,NaN,48,48,1,-4,NaN,1,96,1,,NaN
27,,NaN,NaN,,,,,NaN,,,,,NaN
28,,NaN,NaN,48,48,1,-4,NaN,1,96,1,,NaN
29,,NaN,NaN,,,,,NaN,,,,,NaN
30,,NaN,NaN,48,48,1,-4,NaN,1,96,1,,NaN
31,,NaN,NaN,,,,,NaN,,,,,NaN
32,,NaN,NaN,48,49,1,-4,NaN,1,96,1,,NaN
33,,NaN,NaN,,,,,NaN,,,,,NaN
34,,NaN,NaN,48,49,1,-4,NaN,1,96,1,,NaN
35,,NaN,NaN,,,,,NaN,,,,,NaN
36,,NaN,NaN,48,49,1,-4,NaN,1,96,1,,NaN
37,,NaN,NaN,,,,,NaN,,,,,NaN
38,,NaN,NaN,49,49,1,-4,NaN,1,86,1,,NaN
39,,NaN,NaN,,,,,NaN,,,,,NaN
40,,NaN,NaN,48,50,1,-4,NaN,1,81,1,,NaN
41,,NaN,NaN,,,,,NaN,,,,,NaN
42,,NaN,NaN,48,50,1,-4,NaN,1,82,1,,NaN
43,,NaN,NaN,,,,,NaN,,,,,NaN
44,,NaN,NaN,48,50,1,-4,NaN,1,82,1,,NaN
45,,NaN,NaN,,,,,NaN,,,,,NaN
46,,NaN,NaN,48,50,1,-5,NaN,1,82,1,,NaN
47,,NaN,NaN,,,,,NaN,,,,,NaN
48,,NaN,NaN,48,50,1,-5,NaN,1,82,1,,NaN
49,,NaN,NaN,,,,,NaN,,,,,NaN
50,,NaN,NaN,48,50,1,-4,NaN,1,82,1,,NaN
51,,NaN,NaN,,,,,NaN,,,,,NaN
52,,NaN,NaN,47,50,1,-4,NaN,1,82,1,,NaN
53,,NaN,NaN,,,,,NaN,,,,,NaN
54,,NaN,NaN,47,50,1,-3,NaN,1,82,1,,NaN
55,,NaN,NaN,,,,,NaN,,,,,NaN
56,,NaN,NaN,48,,0,-3,NaN,0,,0,,NaN
57,,NaN,NaN,,,,,NaN,,,,,NaN
58,,NaN,NaN,48,,0,-4,NaN,0,,0,,NaN
59,,NaN,NaN,,,,,NaN,,,,,NaN
60,,NaN,NaN,48,,0,-4,NaN,0,,0,,NaN
61,,NaN,NaN,,,,,NaN,,,,,NaN
62,,NaN,NaN,48,,0,-4,NaN,0,,0,,NaN
63,,NaN,NaN,,,,,NaN,,,,,NaN
64,,NaN,NaN,48,,0,-4,NaN,0,,0,,NaN
65,,NaN,NaN,,,,,NaN,,,,,NaN
66,,NaN,NaN,48,,0,-4,NaN,0,,0,,NaN
67,,NaN,NaN,,,,,NaN,,,,,NaN
68,,NaN,NaN,48,50,0,-4,NaN,0,96,0,,NaN
69,,NaN,NaN,,,,,NaN,,,,,NaN
70,,NaN,NaN,48,50,0,-4,NaN,0,96,0,,NaN
71,,NaN,NaN,,,,,NaN,,,,,NaN
72,,NaN,NaN,48,49,1,-5,NaN,1,97,1,,NaN
73,,NaN,NaN,,,,,NaN,,,,,NaN
74,,NaN,NaN,48,49,1,-5,NaN,1,98,1,,NaN
75,,NaN,NaN,,,,,NaN,,,,,NaN
76,,NaN,NaN,47,48,1,-5,NaN,1,98,1,,NaN
77,,NaN,NaN,,,,,NaN,,,,,NaN
78,,NaN,NaN,48,48,1,-5,NaN,1,98,1,,NaN
79,,NaN,NaN,,,,,NaN,,,,,NaN
80,,NaN,NaN,48,48,0,-4,NaN,0,98,0,,NaN
81,,NaN,NaN,,,,,NaN,,,,,NaN
82,,NaN,NaN,48,48,0,-4,NaN,0,98,0,,NaN
83,,NaN,NaN,,,,,NaN,,,,,NaN
84,,NaN,NaN,48,48,0,-4,NaN,0,98,0,,NaN
85,,NaN,NaN,,,,,NaN,,,,,NaN
86,,NaN,NaN,48,48,0,-4,NaN,0,98,0,,NaN
87,,NaN,NaN,,,,,NaN,,,,,NaN
88,,NaN,NaN,48,49,0,-4,NaN,0,98,0,,NaN
89,,NaN,NaN,,,,,NaN,,,,,NaN
90,,NaN,NaN,48,48,0,-4,NaN,0,98,0,,NaN
91,,NaN,NaN,,,,,NaN,,,,,NaN
92,,NaN,NaN,48,48,0,-4,NaN,0,98,0,,NaN
93,,NaN,NaN,,,,,NaN,,,,,NaN
94,,NaN,NaN,48,49,0,-4,NaN,0,98,0,,NaN
95,,NaN,NaN,,,,,NaN,,,,,NaN
96,,NaN,NaN,48,48,0,-5,NaN,0,98,0,,NaN
97,,NaN,NaN,,,,,NaN,,,,,NaN
98,,NaN,NaN,48,48,0,-5,NaN,0,98,0,,NaN
99,,NaN,NaN,,,,,NaN,,,,,NaN
100,,NaN,NaN,47,48,0,-5,NaN,0,98,0,,NaN
101,,NaN,NaN,,,,,NaN,,,,,NaN
102,,NaN,NaN,47,48,0,-5,NaN,0,98,0,,NaN
103,,NaN,NaN,,,,,NaN,,,,,NaN
104,,NaN,NaN,47,48,0,-5,NaN,0,98,0,,NaN
105,,NaN,NaN,,,,,NaN,,,,,NaN
106,,NaN,NaN,47,48,0,-5,NaN,0,98,0,,NaN
107,,NaN,NaN,,,,,NaN,,,,,NaN
108,,NaN,NaN,47,48,0,-5,NaN,0,98,0,,NaN
109,,NaN,NaN,,,,,NaN,,,,,NaN
110,,NaN,NaN,47,48,0,-4,NaN,0,98,0,,NaN
111,,NaN,NaN,,,,,NaN,,,,,NaN
112,,NaN,NaN,47,48,1,-4,NaN,1,98,1,,NaN
113,,NaN,NaN,,,,,NaN,,,,,NaN
114,,NaN,NaN,47,48,1,-4,NaN,1,98,1,,NaN
115,,NaN,NaN,,,,,NaN,,,,,NaN
116,,NaN,NaN,47,48,1,-4,NaN,1,98,1,,NaN
117,,NaN,NaN,,,,,NaN,,,,,NaN
118,,NaN,NaN,47,48,1,-4,NaN,1,98,1,,NaN
119,,NaN,NaN,,,,,NaN,,,,,NaN
120,,NaN,NaN,47,48,0,-4,NaN,0,98,0,,NaN
121,,NaN,NaN,,,,,NaN,,,,,NaN
122,,NaN,NaN,47,48,0,-5,NaN,0,98,0,,NaN
123,,NaN,NaN,,,,,NaN,,,,,NaN
124,,NaN,NaN,47,48,0,-5,NaN,0,98,0,,NaN
125,,NaN,NaN,,,,,NaN,,,,,NaN
126,,NaN,NaN,47,48,0,-5,NaN,0,98,0,,NaN
127,,NaN,NaN,,,,,NaN,,,,,NaN
128,,NaN,NaN,48,48,0,-5,NaN,0,98,0,,NaN
129,,NaN,NaN,,,,,NaN,,,,,NaN
130,,NaN,NaN,48,48,0,-5,NaN,0,98,0,,NaN
131,,NaN,NaN,,,,,NaN,,,,,NaN
132,,NaN,NaN,48,48,0,-5,NaN,0,98,0,,NaN
133,,NaN,NaN,,,,,NaN,,,,,NaN
134,,NaN,NaN,48,48,0,-5,NaN,0,98,0,,NaN
135,,NaN,NaN,,,,,NaN,,,,,NaN
136,,NaN,NaN,48,48,0,-4,NaN,0,98,0,,NaN
137,,NaN,NaN,,,,,NaN,,,,,NaN
138,,NaN,NaN,48,49,0,-4,NaN,0,98,0,,NaN
139,,NaN,NaN,,,,,NaN,,,,,NaN
140,,NaN,NaN,48,49,0,-4,NaN,0,98,0,,NaN
141,,NaN,NaN,,,,,NaN,,,,,NaN
142,,NaN,NaN,48,49,0,-4,NaN,0,98,0,,NaN
143,,NaN,NaN,,,,,NaN,,,,,NaN
144,,NaN,NaN,48,49,0,-4,NaN,0,98,0,,NaN
145,,NaN,NaN,,,,,NaN,,,,,NaN
146,,NaN,NaN,49,49,0,-4,NaN,0,98,0,,NaN
147,,NaN,NaN,,,,,NaN,,,,,NaN
148,,NaN,NaN,49,49,0,-5,NaN,0,98,0,,NaN
149,,NaN,NaN,,,,,NaN,,,,,NaN
150,,NaN,NaN,49,49,0,-5,NaN,0,98,0,,NaN
151,,NaN,NaN,,,,,NaN,,,,,NaN
152,,NaN,NaN,49,49,1,-5,NaN,1,98,1,,NaN
153,,NaN,NaN,,,,,NaN,,,,,NaN
154,,NaN,NaN,49,49,1,-5,NaN,1,98,1,,NaN
155,,NaN,NaN,,,,,NaN,,,,,NaN
156,,NaN,NaN,48,49,0,-5,NaN,0,98,0,,NaN
157,,NaN,NaN,,,,,NaN,,,,,NaN
158,,NaN,NaN,48,49,0,-5,NaN,0,98,0,,NaN
159,,NaN,NaN,,,,,NaN,,,,,NaN
160,,NaN,NaN,48,49,0,-5,NaN,0,98,0,,NaN
161,,NaN,NaN,,,,,NaN,,,,,NaN
162,,NaN,NaN,48,49,0,-5,NaN,0,98,0,,NaN
163,,NaN,NaN,,,,,NaN,,,,,NaN
164,,NaN,NaN,48,49,0,-4,NaN,0,98,0,,NaN
165,,NaN,NaN,,,,,NaN,,,,,NaN
166,,NaN,NaN,48,49,0,-4,NaN,0,98,0,,NaN
167,,NaN,NaN,,,,,NaN,,,,,NaN
168,,NaN,NaN,49,49,0,-4,NaN,0,98,0,,NaN
169,,NaN,NaN,,,,,NaN,,,,,NaN
170,,NaN,NaN,49,49,0,-4,NaN,0,98,0,,NaN
171,,NaN,NaN,,,,,NaN,,,,,NaN
172,,NaN,NaN,49,49,0,-4,NaN,0,98,0,,NaN
173,,NaN,NaN,,,,,NaN,,,,,NaN
174,,NaN,NaN,48,49,0,-4,NaN,0,98,0,,NaN
175,,NaN,NaN,,,,,NaN,,,,,NaN
176,,NaN,NaN,48,49,0,-4,NaN,0,98,0,,NaN
177,,NaN,NaN,,,,,NaN,,,,,NaN
178,,NaN,NaN,48,49,0,-4,NaN,0,98,0,,NaN
179,,NaN,NaN,,,,,NaN,,,,,NaN
180,,NaN,NaN,48,49,0,-4,NaN,0,98,0,,NaN
181,,NaN,NaN,,,,,NaN,,,,,NaN
182,,NaN,NaN,48,48,0,-4,NaN,0,98,0,,NaN
183,,NaN,NaN,,,,,NaN,,,,,NaN
184,,NaN,NaN,48,48,0,-4,NaN,0,98,0,,NaN
185,,NaN,NaN,,,,,NaN,,,,,NaN
186,,NaN,NaN,48,48,0,-4,NaN,0,98,0,,NaN
187,,NaN,NaN,,,,,NaN,,,,,NaN
188,,NaN,NaN,48,48,0,-4,NaN,0,98,0,,NaN
189,,NaN,NaN,,,,,NaN,,,,,NaN
190,,NaN,NaN,48,48,0,-4,NaN,0,98,0,,NaN
191,,NaN,NaN,,,,,NaN,,,,,NaN
192,,NaN,NaN,48,49,1,-4,NaN,1,98,1,,NaN
193,,NaN,NaN,,,,,NaN,,,,,NaN
194,,NaN,NaN,48,49,1,-3,NaN,1,98,1,,NaN
195,,NaN,NaN,,,,,NaN,,,,,NaN
196,,NaN,NaN,48,49,1,-3,NaN,1,97,1,,NaN
197,,NaN,NaN,,,,,NaN,,,,,NaN
198,,NaN,NaN,48,49,1,-3,NaN,1,97,1,,NaN
199,,NaN,NaN,,,,,NaN,,,,,NaN
200,,NaN,NaN,49,49,0,-4,NaN,0,97,0,,NaN
201,,NaN,NaN,,,,,NaN,,,,,NaN
202,,NaN,NaN,48,49,0,-4,NaN,0,97,0,,NaN
203,,NaN,NaN,,,,,NaN,,,,,NaN
204,,NaN,NaN,48,49,1,-4,NaN,1,97,1,,NaN
205,,NaN,NaN,,,,,NaN,,,,,NaN
206,,NaN,NaN,48,48,1,-4,NaN,1,97,1,,NaN
207,,NaN,NaN,,,,,NaN,,,,,NaN
208,,NaN,NaN,48,48,0,-4,NaN,0,98,0,,NaN
209,,NaN,NaN,,,,,NaN,,,,,NaN
210,,NaN,NaN,48,48,0,-4,NaN,0,98,0,,NaN
211,,NaN,NaN,,,,,NaN,,,,,NaN
212,,NaN,NaN,48,48,0,-4,NaN,0,98,0,,NaN
213,,NaN,NaN,,,,,NaN,,,,,NaN
214,,NaN,NaN,48,49,0,-4,NaN,0,98,0,,NaN
215,,NaN,NaN,,,,,NaN,,,,,NaN
216,,NaN,NaN,48,49,0,-4,NaN,0,98,0,,NaN
217,,NaN,NaN,,,,,NaN,,,,,NaN
218,,NaN,NaN,48,48,0,-4,NaN,0,98,0,,NaN
219,,NaN,NaN,,,,,NaN,,,,,NaN
220,,NaN,NaN,48,48,0,-3,NaN,0,98,0,,NaN
221,,NaN,NaN,,,,,NaN,,,,,NaN
222,,NaN,NaN,48,48,0,-3,NaN,0,98,0,,NaN
223,,NaN,NaN,,,,,NaN,,,,,NaN
224,,NaN,NaN,48,48,1,-3,NaN,1,98,1,,NaN
225,,NaN,NaN,,,,,NaN,,,,,NaN
226,,NaN,NaN,48,48,1,-3,NaN,1,98,1,,NaN
227,,NaN,NaN,,,,,NaN,,,,,NaN
228,,NaN,NaN,48,48,1,-3,NaN,1,98,1,,NaN
229,,NaN,NaN,,,,,NaN,,,,,NaN
230,,NaN,NaN,48,48,1,-3,NaN,1,98,1,,NaN
231,,NaN,NaN,,,,,NaN,,,,,NaN
232,,NaN,NaN,48,48,0,-3,NaN,0,98,0,,NaN
233,,NaN,NaN,,,,,NaN,,,,,NaN
234,,NaN,NaN,48,48,0,-4,NaN,0,98,0,,NaN
235,,NaN,NaN,,,,,NaN,,,,,NaN
236,,NaN,NaN,47,48,1,-4,NaN,1,98,1,,NaN
237,,NaN,NaN,,,,,NaN,,,,,NaN
238,,NaN,NaN,48,48,1,-4,NaN,1,98,1,,NaN
239,,NaN,NaN,,,,,NaN,,,,,NaN
240,,NaN,NaN,48,48,1,-4,NaN,1,98,1,,NaN
241,,NaN,NaN,,,,,NaN,,,,,NaN
242,,NaN,NaN,48,48,1,-4,NaN,1,98,1,,NaN
243,,NaN,NaN,,,,,NaN,,,,,NaN
244,,NaN,NaN,48,48,0,-4,NaN,0,98,0,,NaN
245,,NaN,NaN,,,,,NaN,,,,,NaN
246,,NaN,NaN,48,48,0,-4,NaN,0,98,0,,NaN
247,,NaN,NaN,,,,,NaN,,,,,NaN
248,,NaN,NaN,48,48,0,-4,NaN,0,98,0,,NaN
249,,NaN,NaN,,,,,NaN,,,,,NaN
250,,NaN,NaN,48,48,0,-3,NaN,0,98,0,,NaN
251,,NaN,NaN,,,,,NaN,,,,,NaN
252,,NaN,NaN,48,48,1,-3,NaN,1,98,1,,NaN
253,,NaN,NaN,,,,,NaN,,,,,NaN
254,,NaN,NaN,47,48,1,-3,NaN,1,98,1,,NaN
255,,NaN,NaN,,,,,NaN,,,,,NaN
256,,NaN,NaN,47,48,0,-3,NaN,0,98,0,,NaN
257,,NaN,NaN,,,,,NaN,,,,,NaN
258,,NaN,NaN,47,48,0,-3,NaN,0,98,0,,NaN
259,,NaN,NaN,,,,,NaN,,,,,NaN
260,,NaN,NaN,47,48,0,-3,NaN,0,98,0,,NaN
261,,NaN,NaN,,,,,NaN,,,,,NaN
262,,NaN,NaN,47,48,0,-3,NaN,0,98,0,,NaN
263,,NaN,NaN,,,,,NaN,,,,,NaN
264,,NaN,NaN,47,48,1,-3,NaN,1,98,1,,NaN
265,,NaN,NaN,,,,,NaN,,,,,NaN
266,,NaN,NaN,47,48,1,-3,NaN,1,98,1,,NaN
267,,NaN,NaN,,,,,NaN,,,,,NaN
268,,NaN,NaN,47,48,1,-4,NaN,1,98,1,,NaN
269,,NaN,NaN,,,,,NaN,,,,,NaN
270,,NaN,NaN,47,48,1,-4,NaN,1,98,1,,NaN
271,,NaN,NaN,,,,,NaN,,,,,NaN
272,,NaN,NaN,47,48,1,-4,NaN,1,98,1,,NaN
273,,NaN,NaN,,,,,NaN,,,,,NaN
274,,NaN,NaN,47,48,1,-4,NaN,1,98,1,,NaN
275,,NaN,NaN,,,,,NaN,,,,,NaN
276,,NaN,NaN,47,48,2,-4,NaN,2,98,2,,NaN
277,,NaN,NaN,,,,,NaN,,,,,NaN
278,,NaN,NaN,49,48,2,-4,NaN,2,98,2,,NaN
279,,NaN,NaN,,,,,NaN,,,,,NaN
280,,NaN,NaN,48,48,1,-2,NaN,1,98,1,,NaN
281,,NaN,NaN,,,,,NaN,,,,,NaN
282,,NaN,NaN,48,48,1,-2,NaN,1,98,1,,NaN
283,,NaN,NaN,,,,,NaN,,,,,NaN
284,,NaN,NaN,48,48,1,-3,NaN,1,98,1,,NaN
285,,NaN,NaN,,,,,NaN,,,,,NaN
286,,NaN,NaN,49,48,1,-3,NaN,1,98,1,,NaN
287,,NaN,NaN,,,,,NaN,,,,,NaN
288,,NaN,NaN,47,49,1,-3,NaN,1,98,1,,NaN
289,,NaN,NaN,,,,,NaN,,,,,NaN
290,,NaN,NaN,49,48,1,-3,NaN,1,98,1,,NaN
291,,NaN,NaN,,,,,NaN,,,,,NaN
292,,NaN,NaN,48,49,1,-3,NaN,1,98,1,,NaN
293,,NaN,NaN,,,,,NaN,,,,,NaN
294,,NaN,NaN,48,49,1,-3,NaN,1,98,1,,NaN
295,,NaN,NaN,,,,,NaN,,,,,NaN
296,,NaN,NaN,48,49,1,-3,NaN,1,98,1,,NaN
297,,NaN,NaN,,,,,NaN,,,,,NaN
298,,NaN,NaN,49,49,1,-3,NaN,1,98,1,,NaN
299,,NaN,NaN,,,,,NaN,,,,,NaN
300,,NaN,NaN,49,49,1,-3,NaN,1,97,1,,NaN
301,,NaN,NaN,,,,,NaN,,,,,NaN
302,,NaN,NaN,49,49,1,-4,NaN,1,97,1,,NaN
303,,NaN,NaN,,,,,NaN,,,,,NaN
304,,NaN,NaN,49,49,1,-4,NaN,1,98,1,,NaN
305,,NaN,NaN,,,,,NaN,,,,,NaN
306,,NaN,NaN,48,49,1,-3,NaN,1,98,1,,NaN
307,,NaN,NaN,,,,,NaN,,,,,NaN
308,,NaN,NaN,48,49,1,-3,NaN,1,98,1,,NaN
309,,NaN,NaN,,,,,NaN,,,,,NaN
310,,NaN,NaN,48,48,1,-2,NaN,1,98,1,,NaN
311,,NaN,NaN,,,,,NaN,,,,,NaN
312,,NaN,NaN,47,48,1,-2,NaN,1,98,1,,NaN
313,,NaN,NaN,,,,,NaN,,,,,NaN
314,,NaN,NaN,47,48,1,-3,NaN,1,98,1,,NaN
315,,NaN,NaN,,,,,NaN,,,,,NaN
316,,NaN,NaN,47,48,1,-3,NaN,1,98,1,,NaN
317,,NaN,NaN,,,,,NaN,,,,,NaN
318,,NaN,NaN,47,48,1,-3,NaN,1,98,1,,NaN
319,,NaN,NaN,,,,,NaN,,,,,NaN
320,,NaN,NaN,47,47,1,-3,NaN,1,98,1,,NaN
321,,NaN,NaN,,,,,NaN,,,,,NaN
322,,NaN,NaN,47,47,1,-3,NaN,1,98,1,,NaN
323,,NaN,NaN,,,,,NaN,,,,,NaN
324,,NaN,NaN,47,47,1,-3,NaN,1,98,1,,NaN
325,,NaN,NaN,,,,,NaN,,,,,NaN
326,,NaN,NaN,47,47,1,-3,NaN,1,98,1,,NaN
327,,NaN,NaN,,,,,NaN,,,,,NaN
328,,NaN,NaN,47,47,1,-3,NaN,1,98,1,,NaN
329,,NaN,NaN,,,,,NaN,,,,,NaN
330,,NaN,NaN,47,48,0,-3,NaN,0,98,0,,NaN
331,,NaN,NaN,,,,,NaN,,,,,NaN
332,,NaN,NaN,47,48,0,-3,NaN,0,98,0,,NaN
333,,NaN,NaN,,,,,NaN,,,,,NaN
334,,NaN,NaN,47,48,0,-3,NaN,0,98,0,,NaN
335,,NaN,NaN,,,,,NaN,,,,,NaN
336,,NaN,NaN,48,48,0,-2,NaN,0,98,0,,NaN
337,,NaN,NaN,,,,,NaN,,,,,NaN
338,,NaN,NaN,48,48,0,-2,NaN,0,98,0,,NaN
339,,NaN,NaN,,,,,NaN,,,,,NaN
340,,NaN,NaN,48,48,0,-2,NaN,0,98,0,,NaN
341,,NaN,NaN,,,,,NaN,,,,,NaN
342,,NaN,NaN,48,48,0,-2,NaN,0,98,0,,NaN
343,,NaN,NaN,,,,,NaN,,,,,NaN
344,,NaN,NaN,48,48,0,-3,NaN,0,98,0,,NaN
345,,NaN,NaN,,,,,NaN,,,,,NaN
346,,NaN,NaN,48,48,0,-3,NaN,0,98,0,,NaN
347,,NaN,NaN,,,,,NaN,,,,,NaN
348,,NaN,NaN,48,48,0,-3,NaN,0,98,0,,NaN
349,,NaN,NaN,,,,,NaN,,,,,NaN
350,,NaN,NaN,47,48,0,-3,NaN,0,98,0,,NaN
351,,NaN,NaN,,,,,NaN,,,,,NaN
352,,NaN,NaN,47,48,0,-3,NaN,0,98,0,,NaN
353,,NaN,NaN,,,,,NaN,,,,,NaN
354,,NaN,NaN,47,48,0,-3,NaN,0,98,0,,NaN
355,,NaN,NaN,,,,,NaN,,,,,NaN
356,,NaN,NaN,47,48,0,-3,NaN,0,98,0,,NaN
357,,NaN,NaN,,,,,NaN,,,,,NaN
358,,NaN,NaN,47,48,0,-3,NaN,0,98,0,,NaN
359,,NaN,NaN,,,,,NaN,,,,,NaN
360,,NaN,NaN,47,48,0,-3,NaN,0,98,0,,NaN
361,,NaN,NaN,,,,,NaN,,,,,NaN
362,,NaN,NaN,48,48,1,-3,NaN,1,98,1,,NaN
363,,NaN,NaN,,,,,NaN,,,,,NaN
364,,NaN,NaN,48,48,1,-3,NaN,1,98,1,,NaN
365,,NaN,NaN,,,,,NaN,,,,,NaN
366,,NaN,NaN,48,49,0,-2,NaN,0,98,0,,NaN
367,,NaN,NaN,,,,,NaN,,,,,NaN
368,,NaN,NaN,48,49,0,-2,NaN,0,98,0,,NaN
369,,NaN,NaN,,,,,NaN,,,,,NaN
370,,NaN,NaN,49,49,0,-2,NaN,0,98,0,,NaN
371,,NaN,NaN,,,,,NaN,,,,,NaN
372,,NaN,NaN,49,49,0,-2,NaN,0,98,0,,NaN
373,,NaN,NaN,,,,,NaN,,,,,NaN
374,,NaN,NaN,49,49,0,-3,NaN,0,99,0,,NaN
375,,NaN,NaN,,,,,NaN,,,,,NaN
376,,NaN,NaN,49,49,0,-3,NaN,0,99,0,,NaN
377,,NaN,NaN,,,,,NaN,,,,,NaN
378,,NaN,NaN,49,49,0,-3,NaN,0,98,0,,NaN
379,,NaN,NaN,,,,,NaN,,,,,NaN
380,,NaN,NaN,49,49,0,-3,NaN,0,98,0,,NaN
381,,NaN,NaN,,,,,NaN,,,,,NaN
382,,NaN,NaN,48,49,0,-3,NaN,0,98,0,,NaN
383,,NaN,NaN,,,,,NaN,,,,,NaN
384,,NaN,NaN,48,49,0,-3,NaN,0,98,0,,NaN
385,,NaN,NaN,,,,,NaN,,,,,NaN
386,,NaN,NaN,48,49,0,-3,NaN,0,98,0,,NaN
387,,NaN,NaN,,,,,NaN,,,,,NaN
388,,NaN,NaN,48,50,0,-3,NaN,0,98,0,,NaN
389,,NaN,NaN,,,,,NaN,,,,,NaN
390,,NaN,NaN,48,50,0,-3,NaN,0,98,0,,NaN
391,,NaN,NaN,,,,,NaN,,,,,NaN
392,,NaN,NaN,47,49,0,-3,NaN,0,98,0,,NaN
393,,NaN,NaN,,,,,NaN,,,,,NaN
394,,NaN,NaN,47,49,0,-3,NaN,0,98,0,,NaN
395,,NaN,NaN,,,,,NaN,,,,,NaN
396,,NaN,NaN,47,49,0,-2,NaN,0,98,0,,NaN
397,,NaN,NaN,,,,,NaN,,,,,NaN
398,,NaN,NaN,47,48,1,-2,NaN,1,98,1,,NaN
399,,NaN,NaN,,,,,NaN,,,,,NaN
400,,NaN,NaN,47,48,1,-2,NaN,1,98,1,,NaN
401,,NaN,NaN,,,,,NaN,,,,,NaN
402,,NaN,NaN,47,48,0,-2,NaN,0,98,0,,NaN
403,,NaN,NaN,,,,,NaN,,,,,NaN
404,,NaN,NaN,47,48,0,-3,NaN,0,98,0,,NaN
405,,NaN,NaN,,,,,NaN,,,,,NaN
406,,NaN,NaN,48,48,1,-3,NaN,1,98,1,,NaN
407,,NaN,NaN,,,,,NaN,,,,,NaN
408,,NaN,NaN,48,48,1,-3,NaN,1,98,1,,NaN
409,,NaN,NaN,,,,,NaN,,,,,NaN
410,,NaN,NaN,48,48,0,-3,NaN,0,98,0,,NaN
411,,NaN,NaN,,,,,NaN,,,,,NaN
412,,NaN,NaN,48,48,0,-3,NaN,0,98,0,,NaN
413,,NaN,NaN,,,,,NaN,,,,,NaN
414,,NaN,NaN,48,48,0,-3,NaN,0,98,0,,NaN
415,,NaN,NaN,,,,,NaN,,,,,NaN
416,,NaN,NaN,48,48,0,-3,NaN,0,97,0,,NaN
417,,NaN,NaN,,,,,NaN,,,,,NaN
418,,NaN,NaN,47,48,2,-3,NaN,1,98,-2,,NaN
419,,NaN,NaN,,,,,NaN,,,,,NaN
420,,NaN,NaN,47,48,3,-2,NaN,1,98,1,,NaN
421,,NaN,NaN,,,,,NaN,,,,,NaN
422,,NaN,NaN,47,48,3,-2,NaN,1,98,1,,NaN
423,,NaN,NaN,,,,,NaN,,,,,NaN
424,,NaN,NaN,47,47,3,-2,NaN,1,98,1,,NaN
425,,NaN,NaN,,,,,NaN,,,,,NaN
426,,NaN,NaN,47,47,3,-3,NaN,1,98,1,,NaN
427,,NaN,NaN,,,,,NaN,,,,,NaN
428,,NaN,NaN,47,47,1,-3,NaN,1,98,1,,NaN
429,,NaN,NaN,,,,,NaN,,,,,NaN
430,,NaN,NaN,46,47,1,-3,NaN,1,98,1,,NaN
431,,NaN,NaN,,,,,NaN,,,,,NaN
432,,NaN,NaN,46,48,1,-3,NaN,1,98,1,,NaN
433,,NaN,NaN,,,,,NaN,,,,,NaN
434,,NaN,NaN,46,48,1,-2,NaN,1,98,1,,NaN
435,,NaN,NaN,,,,,NaN,,,,,NaN
436,,NaN,NaN,47,48,1,-2,NaN,1,98,1,,NaN
437,,NaN,NaN,,,,,NaN,,,,,NaN
438,,NaN,NaN,47,48,1,-2,NaN,1,98,1,,NaN
439,,NaN,NaN,,,,,NaN,,,,,NaN
440,,NaN,NaN,47,48,1,-2,NaN,1,98,1,,NaN
441,,NaN,NaN,,,,,NaN,,,,,NaN
442,,NaN,NaN,47,48,33,-2,NaN,0,98,-31,,NaN
443,,NaN,NaN,,,,,NaN,,,,,NaN
444,,NaN,NaN,47,47,33,-2,NaN,0,97,-31,,NaN
