time,SNUADC/ART,SNUADC/ECG_V5,Solar8000/ART_MBP,Solar8000/ART_SBP,Solar8000/HR,Solar8000/PLETH_SPO2,SNUADC/CVP,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/ETCO2,Solar8000/PLETH_HR,SNUADC/ECG_II,Solar8000/CVP
0,NaN,NaN,,,,,NaN,,,,,NaN,
1,-494.5040283203125,-4.9562602043151855,,,,,-495.6260070800781,,,,,-4.9562602043151855,
2,-494.5020446777344,-4.956240177154541,,,,,-495.6240234375,,,,,-4.956240177154541,
3,NaN,NaN,,,,,NaN,,,,,NaN,
4,NaN,NaN,,,,,NaN,,,,,NaN,
5,NaN,NaN,-2,-2,118,,NaN,-2,,,,NaN,-9
6,NaN,NaN,,,,,NaN,,,,,NaN,
7,NaN,NaN,-2,-2,117,,NaN,-2,,,,NaN,-9
8,NaN,NaN,,,,,NaN,,,,,NaN,
9,NaN,NaN,-2,-2,117,,NaN,-2,,,,NaN,-9
10,NaN,NaN,,,,,NaN,,,,,NaN,
11,NaN,NaN,-2,-2,116,,NaN,-2,,,,NaN,-9
12,NaN,NaN,,,,,NaN,,,,,NaN,
13,NaN,NaN,-2,-2,116,,NaN,-2,,,,NaN,-9
14,NaN,NaN,,,,,NaN,,,,,NaN,
15,NaN,NaN,-2,-2,117,94,NaN,-2,,,68,NaN,-9
16,NaN,NaN,,,,,NaN,,,,,NaN,
17,NaN,NaN,-2,-2,118,95,NaN,-2,,,103,NaN,-9
18,NaN,NaN,,,,,NaN,,,,,NaN,
19,NaN,NaN,-3,-3,119,95,NaN,-3,,,119,NaN,-9
20,NaN,NaN,,,,,NaN,,,,,NaN,
21,NaN,NaN,-3,-3,119,95,NaN,-3,,,120,NaN,-9
22,NaN,NaN,,,,,NaN,,,,,NaN,
23,NaN,NaN,-3,-3,119,95,NaN,-3,,,120,NaN,-9
24,NaN,NaN,,,,,NaN,,,,,NaN,
25,NaN,NaN,-3,-3,119,95,NaN,-3,,,120,NaN,-9
26,NaN,NaN,,,,,NaN,,,,,NaN,
27,NaN,NaN,-3,-3,118,94,NaN,-3,,,119,NaN,-9
28,NaN,NaN,,,,,NaN,,,,,NaN,
29,NaN,NaN,-3,-3,118,94,NaN,-3,,,119,NaN,-9
30,NaN,NaN,,,,,NaN,,,,,NaN,
31,NaN,NaN,-3,-3,118,94,NaN,-3,,,118,NaN,-9
32,NaN,NaN,,,,,NaN,,,,,NaN,
33,NaN,NaN,-3,-3,117,94,NaN,-3,,,118,NaN,-9
34,NaN,NaN,,,,,NaN,,,,,NaN,
35,NaN,NaN,-3,-3,117,94,NaN,-3,,,118,NaN,-9
36,NaN,NaN,,,,,NaN,,,,,NaN,
37,NaN,NaN,-3,-3,118,94,NaN,-3,,,118,NaN,-9
38,NaN,NaN,,,,,NaN,,,,,NaN,
39,NaN,NaN,-3,-3,119,94,NaN,-3,,,119,NaN,-9
40,NaN,NaN,,,,,NaN,,,,,NaN,
41,NaN,NaN,-3,-3,119,94,NaN,-3,,,120,NaN,-9
42,NaN,NaN,,,,,NaN,,,,,NaN,
43,NaN,NaN,-3,-3,119,95,NaN,-3,,,119,NaN,-9
44,NaN,NaN,,,,,NaN,,,,,NaN,
45,NaN,NaN,-3,-3,119,94,NaN,-3,,,119,NaN,-9
46,NaN,NaN,,,,,NaN,,,,,NaN,
47,NaN,NaN,-3,-3,118,94,NaN,-3,,,119,NaN,-9
48,NaN,NaN,,,,,NaN,,,,,NaN,
49,NaN,NaN,-3,-3,119,94,NaN,-3,,,120,NaN,-9
50,NaN,NaN,,,,,NaN,,,,,NaN,
51,NaN,NaN,-3,-3,120,94,NaN,-3,,,120,NaN,-9
52,NaN,NaN,,,,,NaN,,,,,NaN,
53,NaN,NaN,-3,-3,119,94,NaN,-3,,,120,NaN,-9
54,NaN,NaN,,,,,NaN,,,,,NaN,
55,NaN,NaN,-3,-3,119,94,NaN,-3,,,120,NaN,-9
56,NaN,NaN,,,,,NaN,,,,,NaN,
57,NaN,NaN,-3,-3,119,94,NaN,-3,,,120,NaN,-9
58,NaN,NaN,,,,,NaN,,,,,NaN,
59,NaN,NaN,-2,-2,118,93,NaN,-2,,,118,NaN,-9
60,NaN,NaN,,,,,NaN,,,,,NaN,
61,NaN,NaN,-2,-2,118,93,NaN,-2,,,117,NaN,-9
62,NaN,NaN,,,,,NaN,,,,,NaN,
63,NaN,NaN,-3,-3,117,93,NaN,-3,,,125,NaN,-9
64,NaN,NaN,,,,,NaN,,,,,NaN,
65,NaN,NaN,-3,-3,117,93,NaN,-3,,,125,NaN,-9
66,NaN,NaN,,,,,NaN,,,,,NaN,
67,NaN,NaN,-3,-3,116,93,NaN,-3,,,123,NaN,-9
68,NaN,NaN,,,,,NaN,,,,,NaN,
69,NaN,NaN,-3,-3,117,95,NaN,-3,,,124,NaN,-8
70,NaN,NaN,,,,,NaN,,,,,NaN,
71,NaN,NaN,-3,-3,,95,NaN,-3,,,118,NaN,-8
72,NaN,NaN,,,,,NaN,,,,,NaN,
73,NaN,NaN,-3,-3,,95,NaN,-3,,,118,NaN,-8
74,NaN,NaN,,,,,NaN,,,,,NaN,
75,NaN,NaN,-2,-2,,95,NaN,-2,,,118,NaN,-8
76,NaN,NaN,,,,,NaN,,,,,NaN,
77,NaN,NaN,-2,-2,,95,NaN,-2,,,118,NaN,-8
78,NaN,NaN,,,,,NaN,,,,,NaN,
79,NaN,NaN,-2,-2,,95,NaN,-2,,,119,NaN,-8
80,NaN,NaN,,,,,NaN,,,,,NaN,
81,NaN,NaN,-2,-2,,95,NaN,-2,,,119,NaN,-8
82,NaN,NaN,,,,,NaN,,,,,NaN,
83,NaN,NaN,-2,-2,,95,NaN,-2,,,119,NaN,-8
84,NaN,NaN,,,,,NaN,,,,,NaN,
85,NaN,NaN,-2,-2,,95,NaN,-2,,,117,NaN,-8
86,NaN,NaN,,,,,NaN,,,,,NaN,
87,NaN,NaN,-2,-2,,94,NaN,-2,,,116,NaN,-8
88,NaN,NaN,,,,,NaN,,,,,NaN,
89,NaN,NaN,-2,-2,,94,NaN,-2,,,116,NaN,-8
90,NaN,NaN,,,,,NaN,,,,,NaN,
91,NaN,NaN,-2,-2,,94,NaN,-2,,,115,NaN,-8
92,NaN,NaN,,,,,NaN,,,,,NaN,
93,NaN,NaN,-2,-2,,94,NaN,-2,,,116,NaN,-8
94,NaN,NaN,,,,,NaN,,,,,NaN,
95,NaN,NaN,-2,-2,,95,NaN,-2,,,117,NaN,-7
96,NaN,NaN,,,,,NaN,,,,,NaN,
97,NaN,NaN,-2,-2,,95,NaN,-2,,,118,NaN,-7
98,NaN,NaN,,,,,NaN,,,,,NaN,
99,NaN,NaN,-2,-2,,95,NaN,-2,,,118,NaN,-7
100,NaN,NaN,,,,,NaN,,,,,NaN,
101,NaN,NaN,-2,-2,116,95,NaN,-2,,,117,NaN,-7
102,NaN,NaN,,,,,NaN,,,,,NaN,
103,NaN,NaN,-2,-2,116,95,NaN,-2,,,117,NaN,-7
104,NaN,NaN,,,,,NaN,,,,,NaN,
105,NaN,NaN,-2,-2,117,95,NaN,-2,,,117,NaN,-7
106,NaN,NaN,,,,,NaN,,,,,NaN,
107,NaN,NaN,-2,-2,117,95,NaN,-2,,,117,NaN,-6
108,NaN,NaN,,,,,NaN,,,,,NaN,
109,NaN,NaN,-2,-2,117,95,NaN,-2,,,117,NaN,-6
110,NaN,NaN,,,,,NaN,,,,,NaN,
111,NaN,NaN,-2,-2,117,95,NaN,-2,,,117,NaN,-7
112,NaN,NaN,,,,,NaN,,,,,NaN,
113,NaN,NaN,-2,-2,117,95,NaN,-2,,,117,NaN,-7
114,NaN,NaN,,,,,NaN,,,,,NaN,
115,NaN,NaN,-2,-2,117,95,NaN,-2,,,117,NaN,-7
116,NaN,NaN,,,,,NaN,,,,,NaN,
117,NaN,NaN,-2,-2,117,95,NaN,-2,,,117,NaN,-7
118,NaN,NaN,,,,,NaN,,,,,NaN,
119,NaN,NaN,-2,-2,117,95,NaN,-2,,,117,NaN,-7
120,NaN,NaN,,,,,NaN,,,,,NaN,
121,NaN,NaN,-2,-2,117,95,NaN,-2,,,118,NaN,-7
122,NaN,NaN,,,,,NaN,,,,,NaN,
123,NaN,NaN,-2,-2,118,95,NaN,-2,,,118,NaN,-7
124,NaN,NaN,,,,,NaN,,,,,NaN,
125,NaN,NaN,-2,-2,117,95,NaN,-2,,,117,NaN,-7
126,NaN,NaN,,,,,NaN,,,,,NaN,
127,NaN,NaN,-2,-2,117,95,NaN,-2,,,118,NaN,-7
128,NaN,NaN,,,,,NaN,,,,,NaN,
129,NaN,NaN,-2,-2,118,95,NaN,-2,,,118,NaN,-7
130,NaN,NaN,,,,,NaN,,,,,NaN,
131,NaN,NaN,-2,0,117,95,NaN,-5,,,118,NaN,-7
132,NaN,NaN,,,,,NaN,,,,,NaN,
133,NaN,NaN,-2,1,117,95,NaN,-5,,,118,NaN,-7
134,NaN,NaN,,,,,NaN,,,,,NaN,
135,NaN,NaN,-2,1,118,95,NaN,-5,,,118,NaN,-7
136,NaN,NaN,,,,,NaN,,,,,NaN,
137,NaN,NaN,-2,-2,118,95,NaN,-2,,0,118,NaN,-8
138,NaN,NaN,,,,,NaN,,,,,NaN,
139,NaN,NaN,-2,-2,118,95,NaN,-2,,0,118,NaN,-8
140,NaN,NaN,,,,,NaN,,,,,NaN,
141,NaN,NaN,-2,-2,118,95,NaN,-2,,0,118,NaN,-7
142,NaN,NaN,,,,,NaN,,,,,NaN,
143,NaN,NaN,-2,-2,118,95,NaN,-2,,0,119,NaN,-7
144,NaN,NaN,,,,,NaN,,,,,NaN,
145,NaN,NaN,-2,-2,118,95,NaN,-2,,0,119,NaN,-8
146,NaN,NaN,,,,,NaN,,,,,NaN,
147,NaN,NaN,-2,2,118,95,NaN,-6,,0,119,NaN,-8
148,NaN,NaN,,,,,NaN,,,,,NaN,
149,NaN,NaN,-2,2,118,95,NaN,-6,,0,118,NaN,-8
150,NaN,NaN,,,,,NaN,,,,,NaN,
151,NaN,NaN,-2,-2,118,95,NaN,-2,,0,118,NaN,-8
152,NaN,NaN,,,,,NaN,,,,,NaN,
153,NaN,NaN,-2,-2,118,95,NaN,-3,,0,118,NaN,-8
154,NaN,NaN,,,,,NaN,,,,,NaN,
155,NaN,NaN,-2,1,118,95,NaN,-4,,0,118,NaN,-8
156,NaN,NaN,,,,,NaN,,,,,NaN,
157,NaN,NaN,-2,0,118,95,NaN,-4,,0,118,NaN,-8
158,NaN,NaN,,,,,NaN,,,,,NaN,
159,NaN,NaN,-2,0,118,94,NaN,-4,,0,118,NaN,-8
160,NaN,NaN,,,,,NaN,,,,,NaN,
161,NaN,NaN,-2,1,118,95,NaN,-5,,0,117,NaN,-8
162,NaN,NaN,,,,,NaN,,,,,NaN,
163,NaN,NaN,-2,-1,118,95,NaN,-5,,0,118,NaN,-8
164,NaN,NaN,,,,,NaN,,,,,NaN,
165,NaN,NaN,-2,-1,118,95,NaN,-5,,0,118,NaN,-8
166,NaN,NaN,,,,,NaN,,,,,NaN,
167,NaN,NaN,-2,-2,118,95,NaN,-2,,0,118,NaN,-8
168,NaN,NaN,,,,,NaN,,,,,NaN,
169,NaN,NaN,-2,-2,119,95,NaN,-2,,0,119,NaN,-8
170,NaN,NaN,,,,,NaN,,,,,NaN,
171,NaN,NaN,-2,-2,119,95,NaN,-2,,0,119,NaN,-8
172,NaN,NaN,,,,,NaN,,,,,NaN,
173,NaN,NaN,-2,-1,118,95,NaN,-4,,0,118,NaN,-8
174,NaN,NaN,,,,,NaN,,,,,NaN,
175,NaN,NaN,-2,-1,117,95,NaN,-4,,0,118,NaN,-8
176,NaN,NaN,,,,,NaN,,,,,NaN,
177,NaN,NaN,-2,-2,117,95,NaN,-2,,0,117,NaN,-8
178,NaN,NaN,,,,,NaN,,,,,NaN,
179,NaN,NaN,-2,-2,116,95,NaN,-2,,0,117,NaN,-8
180,NaN,NaN,,,,,NaN,,,,,NaN,
181,NaN,NaN,-2,-2,116,95,NaN,-2,,0,117,NaN,-8
182,NaN,NaN,,,,,NaN,,,,,NaN,
183,NaN,NaN,-2,-2,115,95,NaN,-2,,0,116,NaN,-8
184,NaN,NaN,,,,,NaN,,,,,NaN,
185,NaN,NaN,-2,-2,115,95,NaN,-2,,0,116,NaN,-8
186,NaN,NaN,,,,,NaN,,,,,NaN,
187,NaN,NaN,-2,-2,115,95,NaN,-2,,0,116,NaN,-8
188,NaN,NaN,,,,,NaN,,,,,NaN,
189,NaN,NaN,-2,-2,115,95,NaN,-2,,0,116,NaN,-8
190,NaN,NaN,,,,,NaN,,,,,NaN,
191,NaN,NaN,-2,-2,115,95,NaN,-2,,0,116,NaN,-8
192,NaN,NaN,,,,,NaN,,,,,NaN,
193,NaN,NaN,-7,2,115,95,NaN,-35,,0,116,NaN,-8
194,NaN,NaN,,,,,NaN,,,,,NaN,
195,NaN,NaN,-7,10,116,95,NaN,-21,,0,116,NaN,-8
196,NaN,NaN,,,,,NaN,,,,,NaN,
197,NaN,NaN,-5,12,116,95,NaN,-23,,0,117,NaN,-9
198,NaN,NaN,,,,,NaN,,,,,NaN,
199,NaN,NaN,-5,12,116,95,NaN,-23,,0,117,NaN,-9
200,NaN,NaN,,,,,NaN,,,,,NaN,
201,NaN,NaN,-3,2,116,95,NaN,-11,,0,117,NaN,-9
202,NaN,NaN,,,,,NaN,,,,,NaN,
203,NaN,NaN,-4,9,116,95,NaN,-13,,0,116,NaN,-9
204,NaN,NaN,,,,,NaN,,,,,NaN,
205,NaN,NaN,-4,9,116,95,NaN,-13,,0,116,NaN,-8
206,NaN,NaN,,,,,NaN,,,,,NaN,
207,NaN,NaN,-3,-3,116,95,NaN,-3,,0,116,NaN,-8
208,NaN,NaN,,,,,NaN,,,,,NaN,
209,NaN,NaN,-3,,116,95,NaN,,,0,116,NaN,-7
210,NaN,NaN,,,,,NaN,,,,,NaN,
211,NaN,NaN,-3,,116,95,NaN,,,0,117,NaN,-7
212,NaN,NaN,,,,,NaN,,,,,NaN,
213,NaN,NaN,-3,,116,95,NaN,,,0,117,NaN,-7
214,NaN,NaN,,,,,NaN,,,,,NaN,
215,NaN,NaN,-3,,115,95,NaN,,,0,116,NaN,-7
216,NaN,NaN,,,,,NaN,,,,,NaN,
217,NaN,NaN,-3,,115,95,NaN,,,,115,NaN,-7
218,NaN,NaN,,,,,NaN,,,,,NaN,
219,NaN,NaN,-3,,114,95,NaN,,,,115,NaN,-7
220,NaN,NaN,,,,,NaN,,,,,NaN,
221,NaN,NaN,-3,-3,114,95,NaN,-3,,,114,NaN,-7
222,NaN,NaN,,,,,NaN,,,,,NaN,
223,NaN,NaN,-4,-2,114,95,NaN,-5,,,114,NaN,-8
224,NaN,NaN,,,,,NaN,,,,,NaN,
225,NaN,NaN,-4,-2,113,95,NaN,-6,,,114,NaN,-8
226,NaN,NaN,,,,,NaN,,,,,NaN,
227,NaN,NaN,-4,1,113,95,NaN,-6,,,114,NaN,-9
228,NaN,NaN,,,,,NaN,,,,,NaN,
229,NaN,NaN,-3,1,113,95,NaN,-5,,,114,NaN,-9
230,NaN,NaN,,,,,NaN,,,,,NaN,
231,NaN,NaN,-5,,113,97,NaN,,,,113,NaN,-9
232,NaN,NaN,,,,,NaN,,,,,NaN,
233,NaN,NaN,-6,,112,98,NaN,,,,113,NaN,-9
234,NaN,NaN,,,,,NaN,,,,,NaN,
235,NaN,NaN,-6,,113,100,NaN,,,,113,NaN,-8
236,NaN,NaN,,,,,NaN,,,,,NaN,
237,NaN,NaN,-6,,113,100,NaN,,,,113,NaN,-8
238,NaN,NaN,,,,,NaN,,,,,NaN,
239,NaN,NaN,-7,,112,100,NaN,,,,113,NaN,-7
240,NaN,NaN,,,,,NaN,,,,,NaN,
241,NaN,NaN,-7,,112,100,NaN,,,,113,NaN,-7
242,NaN,NaN,,,,,NaN,,,,,NaN,
243,NaN,NaN,-7,-3,112,100,NaN,-12,,,113,NaN,-6
244,NaN,NaN,,,,,NaN,,,,,NaN,
245,NaN,NaN,-7,-5,112,100,NaN,-10,,,112,NaN,-6
246,NaN,NaN,,,,,NaN,,,,,NaN,
247,NaN,NaN,-7,-5,112,100,NaN,-9,,,112,NaN,-6
248,NaN,NaN,,,,,NaN,,,,,NaN,
249,NaN,NaN,-7,-5,112,100,NaN,-9,,,113,NaN,-6
250,NaN,NaN,,,,,NaN,,,,,NaN,
251,NaN,NaN,-7,-5,112,100,NaN,-8,,,113,NaN,-6
252,NaN,NaN,,,,,NaN,,,,,NaN,
253,NaN,NaN,-8,,112,100,NaN,,,,113,NaN,-6
254,NaN,NaN,,,,,NaN,,,,,NaN,
255,NaN,NaN,-8,,112,100,NaN,,,,113,NaN,-6
256,NaN,NaN,,,,,NaN,,,,,NaN,
257,NaN,NaN,-8,,112,100,NaN,,,,113,NaN,-7
258,NaN,NaN,,,,,NaN,,,,,NaN,
259,NaN,NaN,-8,,112,100,NaN,,,,113,NaN,-7
260,NaN,NaN,,,,,NaN,,,,,NaN,
261,NaN,NaN,-7,,113,100,NaN,,,,107,NaN,-6
262,NaN,NaN,,,,,NaN,,,,,NaN,
263,NaN,NaN,-7,,113,100,NaN,,,,107,NaN,-6
264,NaN,NaN,,,,,NaN,,,,,NaN,
265,NaN,NaN,-7,-7,113,100,NaN,-7,,,107,NaN,-5
266,NaN,NaN,,,,,NaN,,,,,NaN,
267,NaN,NaN,-7,-7,112,100,NaN,-7,,,107,NaN,-5
268,NaN,NaN,,,,,NaN,,,,,NaN,
269,NaN,NaN,-7,-7,112,100,NaN,-7,,,106,NaN,-5
270,NaN,NaN,,,,,NaN,,,,,NaN,
271,NaN,NaN,-7,-7,111,100,NaN,-7,,,105,NaN,-5
272,NaN,NaN,,,,,NaN,,,,,NaN,
273,NaN,NaN,-7,-7,111,100,NaN,-7,,,113,NaN,-5
274,NaN,NaN,,,,,NaN,,,,,NaN,
275,NaN,NaN,-7,-7,111,100,NaN,-7,,,113,NaN,-5
276,NaN,NaN,,,,,NaN,,,,,NaN,
277,NaN,NaN,-7,-7,112,100,NaN,-7,,,114,NaN,-5
278,NaN,NaN,,,,,NaN,,,,,NaN,
279,NaN,NaN,-7,-7,112,100,NaN,-7,,,114,NaN,-5
280,NaN,NaN,,,,,NaN,,,,,NaN,
281,NaN,NaN,-7,-7,112,100,NaN,-7,,,113,NaN,-5
282,NaN,NaN,,,,,NaN,,,,,NaN,
283,NaN,NaN,-7,-7,112,100,NaN,-7,,,112,NaN,-5
284,NaN,NaN,,,,,NaN,,,,,NaN,
285,NaN,NaN,-7,-7,111,100,NaN,-7,,,112,NaN,-5
286,NaN,NaN,,,,,NaN,,,,,NaN,
287,NaN,NaN,-7,-7,111,100,NaN,-7,,,112,NaN,-4
288,NaN,NaN,,,,,NaN,,,,,NaN,
289,NaN,NaN,-7,-7,112,100,NaN,-7,,,112,NaN,-4
290,NaN,NaN,,,,,NaN,,,,,NaN,
291,NaN,NaN,-7,-7,111,100,NaN,-7,,,112,NaN,-4
292,NaN,NaN,,,,,NaN,,,,,NaN,
293,NaN,NaN,-7,-7,111,100,NaN,-7,,,112,NaN,-4
294,NaN,NaN,,,,,NaN,,,,,NaN,
295,NaN,NaN,-7,-7,112,100,NaN,-7,,,112,NaN,-4
296,NaN,NaN,,,,,NaN,,,,,NaN,
297,NaN,NaN,-7,-7,112,100,NaN,-7,,,112,NaN,-4
298,NaN,NaN,,,,,NaN,,,,,NaN,
299,NaN,NaN,-7,-7,112,100,NaN,-7,,,112,NaN,-3
300,NaN,NaN,,,,,NaN,,,,,NaN,
301,NaN,NaN,-7,-7,112,100,NaN,-7,,,112,NaN,-3
302,NaN,NaN,,,,,NaN,,,,,NaN,
303,NaN,NaN,-7,-7,112,100,NaN,-7,,,112,NaN,-4
304,NaN,NaN,,,,,NaN,,,,,NaN,
305,NaN,NaN,-7,-7,112,100,NaN,-7,,,112,NaN,-4
306,NaN,NaN,,,,,NaN,,,,,NaN,
307,NaN,NaN,-7,-7,112,100,NaN,-7,,,113,NaN,-4
308,NaN,NaN,,,,,NaN,,,,,NaN,
309,NaN,NaN,-7,-7,112,100,NaN,-7,,,113,NaN,-4
310,NaN,NaN,,,,,NaN,,,,,NaN,
311,NaN,NaN,-7,-7,112,100,NaN,-7,,,113,NaN,-3
312,NaN,NaN,,,,,NaN,,,,,NaN,
313,NaN,NaN,-7,-7,112,100,NaN,-7,,,113,NaN,-3
314,NaN,NaN,,,,,NaN,,,,,NaN,
315,NaN,NaN,-7,-7,112,100,NaN,-7,,,113,NaN,-3
316,NaN,NaN,,,,,NaN,,,,,NaN,
317,NaN,NaN,-7,-7,113,100,NaN,-7,,,113,NaN,-3
318,NaN,NaN,,,,,NaN,,,,,NaN,
319,NaN,NaN,-7,-7,113,100,NaN,-7,,,113,NaN,-3
320,NaN,NaN,,,,,NaN,,,,,NaN,
321,NaN,NaN,-7,-7,113,100,NaN,-7,,,113,NaN,-3
322,NaN,NaN,,,,,NaN,,,,,NaN,
323,NaN,NaN,-7,-7,113,100,NaN,-7,,,113,NaN,-3
324,NaN,NaN,,,,,NaN,,,,,NaN,
325,NaN,NaN,-7,-7,113,100,NaN,-7,,,113,NaN,-3
326,NaN,NaN,,,,,NaN,,,,,NaN,
327,NaN,NaN,-7,-7,112,100,NaN,-7,,,113,NaN,-3
328,NaN,NaN,,,,,NaN,,,,,NaN,
329,NaN,NaN,-7,-7,112,100,NaN,-7,,,113,NaN,-3
330,NaN,NaN,,,,,NaN,,,,,NaN,
331,NaN,NaN,-7,-7,112,100,NaN,-7,,,112,NaN,-3
332,NaN,NaN,,,,,NaN,,,,,NaN,
333,NaN,NaN,-7,-7,111,100,NaN,-7,,,112,NaN,-2
334,NaN,NaN,,,,,NaN,,,,,NaN,
335,NaN,NaN,-7,-7,110,100,NaN,-7,,,111,NaN,-2
336,NaN,NaN,,,,,NaN,,,,,NaN,
337,NaN,NaN,-7,-7,110,99,NaN,-7,,,110,NaN,-2
338,NaN,NaN,,,,,NaN,,,,,NaN,
339,NaN,NaN,-7,-7,110,99,NaN,-7,,,110,NaN,-2
340,NaN,NaN,,,,,NaN,,,,,NaN,
341,NaN,NaN,-7,-7,110,100,NaN,-7,,,111,NaN,-2
342,NaN,NaN,,,,,NaN,,,,,NaN,
343,NaN,NaN,-7,-7,110,100,NaN,-7,,,111,NaN,-2
344,NaN,NaN,,,,,NaN,,,,,NaN,
345,NaN,NaN,-6,-6,110,100,NaN,-6,,,111,NaN,-2
346,NaN,NaN,,,,,NaN,,,,,NaN,
347,NaN,NaN,-6,-6,110,100,NaN,-6,,,111,NaN,-2
348,NaN,NaN,,,,,NaN,,,,,NaN,
349,NaN,NaN,-7,-7,111,100,NaN,-7,,,111,NaN,-2
350,NaN,NaN,,,,,NaN,,,,,NaN,
351,NaN,NaN,-7,-7,111,100,NaN,-7,,,112,NaN,-2
352,NaN,NaN,,,,,NaN,,,,,NaN,
353,NaN,NaN,-6,-6,112,100,NaN,-6,,,112,NaN,-2
354,NaN,NaN,,,,,NaN,,,,,NaN,
355,NaN,NaN,-6,-6,112,100,NaN,-6,,,112,NaN,-2
356,NaN,NaN,,,,,NaN,,,,,NaN,
357,NaN,NaN,-6,-6,112,100,NaN,-6,,,114,NaN,-2
358,NaN,NaN,,,,,NaN,,,,,NaN,
359,NaN,NaN,-6,-6,112,100,NaN,-6,,,114,NaN,-1
360,NaN,NaN,,,,,NaN,,,,,NaN,
361,NaN,NaN,-6,-6,112,99,NaN,-6,,,115,NaN,-1
362,NaN,NaN,,,,,NaN,,,,,NaN,
363,NaN,NaN,-6,-6,112,98,NaN,-6,,,118,NaN,-1
364,NaN,NaN,,,,,NaN,,,,,NaN,
365,NaN,NaN,-6,-6,112,98,NaN,-6,,,123,NaN,-1
366,NaN,NaN,,,,,NaN,,,,,NaN,
367,NaN,NaN,-7,-4,113,98,NaN,-12,,,123,NaN,-1
368,NaN,NaN,,,,,NaN,,,,,NaN,
369,NaN,NaN,-7,-5,113,98,NaN,-12,,,125,NaN,-1
370,NaN,NaN,,,,,NaN,,,,,NaN,
371,NaN,NaN,-7,-5,113,98,NaN,-10,,,126,NaN,1
372,NaN,NaN,,,,,NaN,,,,,NaN,
373,NaN,NaN,-7,-5,113,99,NaN,-10,,,122,NaN,1
374,NaN,NaN,,,,,NaN,,,,,NaN,
375,NaN,NaN,-6,-6,112,100,NaN,-6,,,114,NaN,1
376,NaN,NaN,,,,,NaN,,,,,NaN,
377,NaN,NaN,-6,-6,112,100,NaN,-6,,,113,NaN,1
378,NaN,NaN,,,,,NaN,,,,,NaN,
379,NaN,NaN,-6,-6,111,100,NaN,-6,,,112,NaN,1
380,NaN,NaN,,,,,NaN,,,,,NaN,
381,NaN,NaN,-6,-6,111,100,NaN,-6,,,112,NaN,1
382,NaN,NaN,,,,,NaN,,,,,NaN,
383,NaN,NaN,-6,-6,110,100,NaN,-6,,,111,NaN,1
384,NaN,NaN,,,,,NaN,,,,,NaN,
385,NaN,NaN,-6,-6,110,100,NaN,-6,,,111,NaN,1
386,NaN,NaN,,,,,NaN,,,,,NaN,
387,NaN,NaN,-6,-6,111,100,NaN,-6,,,111,NaN,1
388,NaN,NaN,,,,,NaN,,,,,NaN,
389,NaN,NaN,-6,-6,111,100,NaN,-6,,,111,NaN,0
390,NaN,NaN,,,,,NaN,,,,,NaN,
391,NaN,NaN,-6,-6,111,100,NaN,-6,,,112,NaN,0
392,NaN,NaN,,,,,NaN,,,,,NaN,
393,NaN,NaN,-6,-6,111,100,NaN,-6,,,112,NaN,0
394,NaN,NaN,,,,,NaN,,,,,NaN,
395,NaN,NaN,-6,-6,110,100,NaN,-6,,,111,NaN,0
396,NaN,NaN,,,,,NaN,,,,,NaN,
397,NaN,NaN,-6,-6,110,100,NaN,-6,,,111,NaN,0
398,NaN,NaN,,,,,NaN,,,,,NaN,
399,NaN,NaN,-6,-6,109,100,NaN,-6,,,110,NaN,0
400,NaN,NaN,,,,,NaN,,,,,NaN,
401,NaN,NaN,-1,-16,109,100,NaN,-17,,,110,NaN,0
402,NaN,NaN,,,,,NaN,,,,,NaN,
403,NaN,NaN,13,66,110,100,NaN,-26,,,109,NaN,0
404,NaN,NaN,,,,,NaN,,,,,NaN,
405,NaN,NaN,39,106,109,100,NaN,-10,,,109,NaN,1
406,NaN,NaN,,,,,NaN,,,,,NaN,
407,NaN,NaN,35,97,109,100,NaN,-13,,,110,NaN,1
408,NaN,NaN,,,,,NaN,,,,,NaN,
409,NaN,NaN,24,59,109,100,NaN,-5,,,110,NaN,0
410,NaN,NaN,,,,,NaN,,,,,NaN,
411,NaN,NaN,23,41,108,100,NaN,3,,,109,NaN,0
412,NaN,NaN,,,,,NaN,,,,,NaN,
413,NaN,NaN,20,34,109,100,NaN,1,,,109,NaN,0
414,NaN,NaN,,,,,NaN,,,,,NaN,
415,NaN,NaN,18,28,109,100,NaN,4,,,109,NaN,0
416,NaN,NaN,,,,,NaN,,,,,NaN,
417,NaN,NaN,18,29,108,100,NaN,7,,,109,NaN,0
418,NaN,NaN,,,,,NaN,,,,,NaN,
419,NaN,NaN,17,21,108,100,NaN,11,,,108,NaN,0
420,NaN,NaN,,,,,NaN,,,,,NaN,
421,NaN,NaN,17,21,108,100,NaN,14,,,108,NaN,0
422,NaN,NaN,,,,,NaN,,,,,NaN,
423,NaN,NaN,18,22,108,100,NaN,15,,,108,NaN,0
424,NaN,NaN,,,,,NaN,,,,,NaN,
425,NaN,NaN,18,20,108,100,NaN,15,,,108,NaN,0
426,NaN,NaN,,,,,NaN,,,,,NaN,
427,NaN,NaN,17,18,107,100,NaN,14,,,108,NaN,0
428,NaN,NaN,,,,,NaN,,,,,NaN,
