time,Solar8000/ART_DBP,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,SNUADC/ART,SNUADC/ECG_II,Solar8000/RR_CO2,Solar8000/ART_SBP,Solar8000/PLETH_HR,Solar8000/ETCO2,SNUADC/CVP,Solar8000/CVP,Solar8000/ART_MBP,Solar8000/HR
1276,54,100,NaN,NaN,NaN,12,124,79,34,NaN,0,82,76
1277,,,NaN,NaN,NaN,,,,,NaN,,,
1278,60,100,NaN,NaN,NaN,12,123,79,34,NaN,0,83,76
1279,,,NaN,NaN,NaN,,,,,NaN,,,
1280,60,100,NaN,NaN,NaN,12,124,80,34,NaN,0,86,76
1281,,,NaN,NaN,NaN,,,,,NaN,,,
1282,52,100,NaN,NaN,NaN,12,118,79,34,NaN,0,83,76
1283,,,NaN,NaN,NaN,,,,,NaN,,,
1284,,100,NaN,NaN,NaN,12,,80,34,NaN,0,83,77
1285,,,NaN,NaN,NaN,,,,,NaN,,,
1286,,100,NaN,NaN,NaN,12,,80,34,NaN,0,151,77
1287,,,NaN,NaN,NaN,,,,,NaN,,,
1288,,100,NaN,NaN,NaN,12,,80,34,NaN,0,151,77
1289,,,NaN,NaN,NaN,,,,,NaN,,,
1290,,100,NaN,NaN,NaN,12,,80,34,NaN,0,107,76
1291,,,NaN,NaN,NaN,,,,,NaN,,,
1292,,100,NaN,NaN,NaN,12,,79,34,NaN,0,96,75
1293,,,NaN,NaN,NaN,,,,,NaN,,,
1294,,100,NaN,NaN,NaN,12,,79,34,NaN,0,88,75
1295,,,NaN,NaN,NaN,,,,,NaN,,,
1296,,100,NaN,NaN,NaN,12,,78,34,NaN,0,85,75
1297,,,NaN,NaN,NaN,,,,,NaN,,,
1298,,100,NaN,NaN,NaN,12,,78,34,NaN,0,83,75
1299,,,NaN,NaN,NaN,,,,,NaN,,,
1300,43,100,NaN,NaN,NaN,12,103,78,34,NaN,0,78,75
1301,,,NaN,NaN,NaN,,,,,NaN,,,
1302,45,100,NaN,NaN,NaN,12,130,78,33,NaN,0,80,75
1303,,,NaN,NaN,NaN,,,,,NaN,,,
1304,52,100,NaN,NaN,NaN,12,131,79,33,NaN,0,86,75
1305,,,NaN,NaN,NaN,,,,,NaN,,,
1306,56,100,NaN,NaN,NaN,12,118,79,33,NaN,0,82,76
1307,,,NaN,NaN,NaN,,,,,NaN,,,
1308,57,100,NaN,NaN,NaN,12,126,79,34,NaN,0,83,76
1309,,,NaN,NaN,NaN,,,,,NaN,,,
1310,63,100,NaN,NaN,NaN,12,124,79,34,NaN,0,85,76
1311,,,NaN,NaN,NaN,,,,,NaN,,,
1312,61,100,NaN,NaN,NaN,12,111,79,34,NaN,0,81,76
1313,,,NaN,NaN,NaN,,,,,NaN,,,
1314,,100,NaN,NaN,NaN,12,,79,34,NaN,0,81,76
1315,,,NaN,NaN,NaN,,,,,NaN,,,
1316,,100,NaN,NaN,NaN,12,,79,33,NaN,0,165,76
1317,,,NaN,NaN,NaN,,,,,NaN,,,
1318,,100,NaN,NaN,NaN,12,,79,33,NaN,0,160,77
1319,,,NaN,NaN,NaN,,,,,NaN,,,
1320,,100,NaN,NaN,NaN,12,,80,33,NaN,0,114,77
1321,,,NaN,NaN,NaN,,,,,NaN,,,
1322,,100,NaN,NaN,NaN,12,,80,33,NaN,0,96,77
1323,,,NaN,NaN,NaN,,,,,NaN,,,
1324,,100,NaN,NaN,NaN,12,,80,34,NaN,0,91,77
1325,,,NaN,NaN,NaN,,,,,NaN,,,
1326,,100,NaN,NaN,NaN,12,,80,34,NaN,0,85,77
1327,,,NaN,NaN,NaN,,,,,NaN,,,
1328,,100,NaN,NaN,NaN,12,,80,34,NaN,0,84,76
1329,,,NaN,NaN,NaN,,,,,NaN,,,
1330,60,100,NaN,NaN,NaN,12,123,79,34,NaN,0,82,76
1331,,,NaN,NaN,NaN,,,,,NaN,,,
1332,60,100,NaN,NaN,NaN,12,123,79,33,NaN,0,81,75
1333,,,NaN,NaN,NaN,,,,,NaN,,,
1334,31,100,NaN,NaN,NaN,12,125,78,33,NaN,0,79,75
1335,,,NaN,NaN,NaN,,,,,NaN,,,
1336,,100,NaN,NaN,NaN,12,,78,33,NaN,0,48,75
1337,,,NaN,NaN,NaN,,,,,NaN,,,
1338,,100,NaN,NaN,NaN,12,,78,33,NaN,0,179,75
1339,,,NaN,NaN,NaN,,,,,NaN,,,
1340,,100,NaN,NaN,NaN,12,,79,33,NaN,0,166,76
1341,,,NaN,NaN,NaN,,,,,NaN,,,
1342,,100,NaN,NaN,NaN,12,,79,33,NaN,0,166,77
1343,,,NaN,NaN,NaN,,,,,NaN,,,
1344,,100,NaN,NaN,NaN,12,,80,33,NaN,0,166,77
1345,,,NaN,NaN,NaN,,,,,NaN,,,
1346,,100,NaN,NaN,NaN,12,,80,33,NaN,0,209,77
1347,,,NaN,NaN,NaN,,,,,NaN,,,
1348,,100,NaN,NaN,NaN,12,,79,33,NaN,0,187,75
1349,,,NaN,NaN,NaN,,,,,NaN,,,
1350,,100,NaN,NaN,NaN,12,,79,33,NaN,0,186,75
1351,,,NaN,NaN,NaN,,,,,NaN,,,
1352,,100,NaN,NaN,NaN,12,,78,33,NaN,0,161,74
1353,,,NaN,NaN,NaN,,,,,NaN,,,
1354,,100,NaN,NaN,NaN,12,,78,33,NaN,0,119,74
1355,,,NaN,NaN,NaN,,,,,NaN,,,
1356,,100,NaN,NaN,NaN,12,,78,33,NaN,0,97,74
1357,,,NaN,NaN,NaN,,,,,NaN,,,
1358,,100,NaN,NaN,NaN,12,,79,33,NaN,0,95,75
1359,,,NaN,NaN,NaN,,,,,NaN,,,
1360,61,100,NaN,NaN,NaN,12,125,79,33,NaN,0,87,76
1361,,,NaN,NaN,NaN,,,,,NaN,,,
1362,63,100,NaN,NaN,NaN,12,125,79,33,NaN,0,86,77
1363,,,NaN,NaN,NaN,,,,,NaN,,,
1364,63,100,NaN,NaN,NaN,12,128,80,33,NaN,0,85,77
1365,,,NaN,NaN,NaN,,,,,NaN,,,
1366,62,100,NaN,NaN,NaN,12,126,80,33,NaN,0,84,77
1367,,,NaN,NaN,NaN,,,,,NaN,,,
1368,63,100,NaN,NaN,NaN,12,128,80,33,NaN,0,84,76
1369,,,NaN,NaN,NaN,,,,,NaN,,,
1370,61,100,NaN,NaN,NaN,12,126,79,33,NaN,0,83,75
1371,,,NaN,NaN,NaN,,,,,NaN,,,
1372,62,100,NaN,NaN,NaN,12,125,78,33,NaN,0,82,75
1373,,,NaN,NaN,NaN,,,,,NaN,,,
1374,63,100,NaN,NaN,NaN,12,127,78,33,NaN,0,83,75
1375,,,NaN,NaN,NaN,,,,,NaN,,,
1376,63,100,NaN,NaN,NaN,12,126,78,33,NaN,0,83,75
1377,,,NaN,NaN,NaN,,,,,NaN,,,
1378,66,100,NaN,NaN,NaN,12,131,79,33,NaN,0,86,76
1379,,,NaN,NaN,NaN,,,,,NaN,,,
1380,65,100,NaN,NaN,NaN,12,130,80,33,NaN,0,85,77
1381,,,NaN,NaN,NaN,,,,,NaN,,,
1382,65,100,NaN,NaN,NaN,12,129,80,33,NaN,0,86,77
1383,,,NaN,NaN,NaN,,,,,NaN,,,
1384,65,100,NaN,NaN,NaN,12,131,80,33,NaN,0,86,77
1385,,,NaN,NaN,NaN,,,,,NaN,,,
1386,63,100,NaN,NaN,NaN,12,127,80,33,NaN,0,85,77
1387,,,NaN,NaN,NaN,,,,,NaN,,,
1388,64,100,NaN,NaN,NaN,12,128,79,33,NaN,0,85,76
1389,,,NaN,NaN,NaN,,,,,NaN,,,
1390,64,100,NaN,NaN,NaN,12,128,79,33,NaN,0,85,76
1391,,,NaN,NaN,NaN,,,,,NaN,,,
1392,66,100,NaN,NaN,NaN,12,131,79,33,NaN,0,86,76
1393,,,NaN,NaN,NaN,,,,,NaN,,,
1394,67,100,NaN,NaN,NaN,12,134,79,33,NaN,0,88,76
1395,,,NaN,NaN,NaN,,,,,NaN,,,
1396,66,100,NaN,NaN,NaN,12,132,80,33,NaN,0,87,77
1397,,,NaN,NaN,NaN,,,,,NaN,,,
1398,67,100,NaN,NaN,NaN,12,134,80,33,NaN,0,88,78
1399,,,NaN,NaN,NaN,,,,,NaN,,,
1400,65,100,NaN,NaN,NaN,12,131,81,33,NaN,0,87,78
1401,,,NaN,NaN,NaN,,,,,NaN,,,
1402,65,100,NaN,NaN,NaN,12,131,80,33,NaN,0,87,77
1403,,,NaN,NaN,NaN,,,,,NaN,,,
1404,66,100,NaN,NaN,NaN,12,132,80,33,NaN,0,87,76
1405,,,NaN,NaN,NaN,,,,,NaN,,,
1406,66,100,NaN,NaN,NaN,12,132,79,33,NaN,0,87,75
1407,,,NaN,NaN,NaN,,,,,NaN,,,
1408,67,100,NaN,NaN,NaN,12,136,79,33,NaN,0,88,76
1409,,,NaN,NaN,NaN,,,,,NaN,,,
1410,66,100,NaN,NaN,NaN,12,133,79,33,NaN,0,88,76
1411,,,NaN,NaN,NaN,,,,,NaN,,,
1412,66,100,NaN,NaN,NaN,12,132,79,33,NaN,0,87,76
1413,,,NaN,NaN,NaN,,,,,NaN,,,
1414,65,100,NaN,NaN,NaN,12,132,79,33,NaN,0,87,76
1415,,,NaN,NaN,NaN,,,,,NaN,,,
1416,64,100,NaN,NaN,NaN,12,129,79,33,NaN,0,86,75
1417,,,NaN,NaN,NaN,,,,,NaN,,,
1418,65,100,NaN,NaN,NaN,12,131,78,33,NaN,0,86,75
1419,,,NaN,NaN,NaN,,,,,NaN,,,
1420,64,100,NaN,NaN,NaN,12,129,78,33,NaN,0,86,75
1421,,,NaN,NaN,NaN,,,,,NaN,,,
1422,64,100,NaN,NaN,NaN,12,129,78,33,NaN,0,85,75
1423,,,NaN,NaN,NaN,,,,,NaN,,,
1424,64,100,NaN,NaN,NaN,12,130,78,33,NaN,0,85,75
1425,,,NaN,NaN,NaN,,,,,NaN,,,
1426,63,100,NaN,NaN,NaN,12,127,78,33,NaN,0,84,74
1427,,,NaN,NaN,NaN,,,,,NaN,,,
1428,64,100,NaN,NaN,NaN,12,129,77,33,NaN,0,85,74
1429,,,NaN,NaN,NaN,,,,,NaN,,,
1430,63,100,NaN,NaN,NaN,12,127,77,33,NaN,0,84,74
1431,,,NaN,NaN,NaN,,,,,NaN,,,
1432,64,100,NaN,NaN,NaN,12,128,77,33,NaN,0,85,74
1433,,,NaN,NaN,NaN,,,,,NaN,,,
1434,66,100,NaN,NaN,NaN,12,131,77,33,NaN,0,86,75
1435,,,NaN,NaN,NaN,,,,,NaN,,,
1436,66,100,NaN,NaN,NaN,12,132,78,33,NaN,0,86,75
1437,,,NaN,NaN,NaN,,,,,NaN,,,
1438,67,100,NaN,NaN,NaN,12,137,79,33,NaN,0,88,76
1439,,,NaN,NaN,NaN,,,,,NaN,,,
1440,66,100,NaN,NaN,NaN,12,135,80,33,NaN,0,88,77
1441,,,NaN,NaN,NaN,,,,,NaN,,,
1442,65,100,NaN,NaN,NaN,12,132,80,33,NaN,0,87,76
1443,,,NaN,NaN,NaN,,,,,NaN,,,
1444,65,100,NaN,NaN,NaN,12,133,79,33,NaN,0,87,76
1445,,,NaN,NaN,NaN,,,,,NaN,,,
1446,63,100,NaN,NaN,NaN,12,128,78,33,NaN,0,85,75
1447,,,NaN,NaN,NaN,,,,,NaN,,,
1448,64,100,NaN,NaN,NaN,12,129,77,33,NaN,0,85,74
1449,,,NaN,NaN,NaN,,,,,NaN,,,
1450,63,100,NaN,NaN,NaN,12,128,77,33,NaN,0,84,74
1451,,,NaN,NaN,NaN,,,,,NaN,,,
1452,63,100,NaN,NaN,NaN,12,128,77,33,NaN,0,84,74
1453,,,NaN,NaN,NaN,,,,,NaN,,,
1454,63,100,NaN,NaN,NaN,12,130,77,33,NaN,0,85,74
1455,,,NaN,NaN,NaN,,,,,NaN,,,
1456,62,100,NaN,NaN,NaN,12,127,77,33,NaN,0,83,74
1457,,,NaN,NaN,NaN,,,,,NaN,,,
1458,63,100,NaN,NaN,NaN,12,128,77,33,NaN,0,84,74
1459,,,NaN,NaN,NaN,,,,,NaN,,,
1460,,100,NaN,NaN,NaN,12,,77,33,NaN,0,84,74
1461,,,NaN,NaN,NaN,,,,,NaN,,,
1462,,100,NaN,NaN,NaN,12,,77,33,NaN,1,0,74
1463,,,NaN,NaN,NaN,,,,,NaN,,,
1464,,100,NaN,NaN,NaN,12,,77,33,NaN,1,0,74
1465,,,NaN,NaN,NaN,,,,,NaN,,,
1466,,100,NaN,NaN,NaN,12,,77,33,NaN,0,0,74
1467,,,NaN,NaN,NaN,,,,,NaN,,,
1468,,100,NaN,NaN,NaN,12,,77,33,NaN,0,17,75
1469,,,NaN,NaN,NaN,,,,,NaN,,,
1470,,100,NaN,NaN,NaN,12,,78,33,NaN,0,55,74
1471,,,NaN,NaN,NaN,,,,,NaN,,,
1472,,100,NaN,NaN,NaN,12,,77,33,NaN,0,67,73
1473,,,NaN,NaN,NaN,,,,,NaN,,,
1474,,100,NaN,NaN,NaN,12,,76,33,NaN,1,74,73
1475,,,NaN,NaN,NaN,,,,,NaN,,,
1476,,100,NaN,NaN,NaN,12,,76,33,NaN,1,78,72
1477,,,NaN,NaN,NaN,,,,,NaN,,,
1478,,100,NaN,NaN,NaN,12,,75,33,NaN,0,80,72
1479,,,NaN,NaN,NaN,,,,,NaN,,,
1480,61,100,NaN,NaN,NaN,12,124,76,33,NaN,0,81,73
1481,,,NaN,NaN,NaN,,,,,NaN,,,
1482,62,100,NaN,NaN,NaN,12,124,76,33,NaN,0,82,73
1483,,,NaN,NaN,NaN,,,,,NaN,,,
1484,63,100,NaN,NaN,NaN,12,126,76,33,NaN,0,83,73
1485,,,NaN,NaN,NaN,,,,,NaN,,,
1486,62,100,NaN,NaN,NaN,12,125,77,33,NaN,0,82,74
1487,,,NaN,NaN,NaN,,,,,NaN,,,
1488,63,100,NaN,NaN,NaN,12,127,77,33,NaN,0,83,74
1489,,,NaN,NaN,NaN,,,,,NaN,,,
1490,61,100,NaN,NaN,NaN,12,125,77,33,NaN,0,83,74
1491,,,NaN,NaN,NaN,,,,,NaN,,,
1492,61,100,NaN,NaN,NaN,12,124,77,33,NaN,1,82,74
1493,,,NaN,NaN,NaN,,,,,NaN,,,
1494,61,100,NaN,NaN,NaN,12,125,77,33,NaN,1,82,73
1495,,,NaN,NaN,NaN,,,,,NaN,,,
1496,60,100,NaN,NaN,NaN,12,122,76,33,NaN,1,81,72
1497,,,NaN,NaN,NaN,,,,,NaN,,,
1498,61,100,NaN,NaN,NaN,12,124,75,33,NaN,1,81,72
1499,,,NaN,NaN,NaN,,,,,NaN,,,
1500,60,100,NaN,NaN,NaN,12,123,75,33,NaN,1,81,72
1501,,,NaN,NaN,NaN,,,,,NaN,,,
1502,61,100,NaN,NaN,NaN,12,123,75,33,NaN,1,81,72
1503,,,NaN,NaN,NaN,,,,,NaN,,,
1504,62,100,NaN,NaN,NaN,12,126,75,33,NaN,0,82,72
1505,,,NaN,NaN,NaN,,,,,NaN,,,
1506,61,100,NaN,NaN,NaN,12,123,75,33,NaN,0,81,72
1507,,,NaN,NaN,NaN,,,,,NaN,,,
1508,63,100,NaN,NaN,NaN,12,126,76,33,NaN,0,83,73
1509,,,NaN,NaN,NaN,,,,,NaN,,,
1510,67,100,NaN,NaN,NaN,12,134,77,33,NaN,0,86,73
1511,,,NaN,NaN,NaN,,,,,NaN,,,
1512,70,100,NaN,NaN,NaN,12,142,78,33,NaN,0,89,75
1513,,,NaN,NaN,NaN,,,,,NaN,,,
1514,72,100,NaN,NaN,NaN,12,149,79,33,NaN,0,93,77
1515,,,NaN,NaN,NaN,,,,,NaN,,,
1516,72,100,NaN,NaN,NaN,12,147,81,32,NaN,0,94,79
1517,,,NaN,NaN,NaN,,,,,NaN,,,
1518,73,100,NaN,NaN,NaN,12,150,82,32,NaN,0,96,80
1519,,,NaN,NaN,NaN,,,,,NaN,,,
1520,72,100,NaN,NaN,NaN,12,147,84,32,NaN,1,95,81
1521,,,NaN,NaN,NaN,,,,,NaN,,,
1522,73,100,NaN,NaN,NaN,12,147,84,32,NaN,1,95,82
1523,,,NaN,NaN,NaN,,,,,NaN,,,
1524,73,100,NaN,NaN,NaN,12,149,85,32,NaN,1,96,83
1525,,,NaN,NaN,NaN,,,,,NaN,,,
1526,72,100,NaN,NaN,NaN,12,146,86,32,NaN,1,95,83
1527,,,NaN,NaN,NaN,,,,,NaN,,,
1528,74,100,NaN,NaN,NaN,12,148,86,32,NaN,1,97,84
1529,,,NaN,NaN,NaN,,,,,NaN,,,
1530,73,100,NaN,NaN,NaN,12,146,87,32,NaN,1,96,84
1531,,,NaN,NaN,NaN,,,,,NaN,,,
1532,75,100,NaN,NaN,NaN,12,150,87,32,NaN,1,97,84
1533,,,NaN,NaN,NaN,,,,,NaN,,,
1534,76,100,NaN,NaN,NaN,12,155,88,32,NaN,0,99,85
1535,,,NaN,NaN,NaN,,,,,NaN,,,
1536,75,100,NaN,NaN,NaN,12,152,88,33,NaN,0,99,86
1537,,,NaN,NaN,NaN,,,,,NaN,,,
1538,75,100,NaN,NaN,NaN,12,152,89,33,NaN,0,100,87
1539,,,NaN,NaN,NaN,,,,,NaN,,,
1540,72,100,NaN,NaN,NaN,12,146,89,33,NaN,0,97,86
1541,,,NaN,NaN,NaN,,,,,NaN,,,
1542,71,100,NaN,NaN,NaN,12,144,88,33,NaN,0,96,85
1543,,,NaN,NaN,NaN,,,,,NaN,,,
1544,70,100,NaN,NaN,NaN,12,143,87,33,NaN,0,95,83
1545,,,NaN,NaN,NaN,,,,,NaN,,,
1546,68,100,NaN,NaN,NaN,12,138,85,33,NaN,1,92,81
1547,,,NaN,NaN,NaN,,,,,NaN,,,
1548,69,100,NaN,NaN,NaN,12,138,83,33,NaN,1,92,80
1549,,,NaN,NaN,NaN,,,,,NaN,,,
1550,70,100,NaN,NaN,NaN,12,137,83,33,NaN,1,92,79
1551,,,NaN,NaN,NaN,,,,,NaN,,,
1552,76,100,NaN,NaN,NaN,12,146,82,33,NaN,1,96,79
1553,,,NaN,NaN,NaN,,,,,NaN,,,
1554,81,100,NaN,NaN,NaN,12,160,84,33,NaN,1,102,81
1555,,,NaN,NaN,NaN,,,,,NaN,,,
1556,84,100,NaN,NaN,NaN,12,165,86,33,NaN,1,106,83
1557,,,NaN,NaN,NaN,,,,,NaN,,,
1558,86,100,NaN,NaN,NaN,12,170,88,33,NaN,1,110,85
1559,,,NaN,NaN,NaN,,,,,NaN,,,
1560,84,100,NaN,NaN,NaN,12,167,89,33,NaN,1,110,87
1561,,,NaN,NaN,NaN,,,,,NaN,,,
1562,85,100,NaN,NaN,NaN,12,167,89,33,NaN,1,110,87
1563,,,NaN,NaN,NaN,,,,,NaN,,,
1564,85,100,NaN,NaN,NaN,12,170,89,33,NaN,1,111,86
1565,,,NaN,NaN,NaN,,,,,NaN,,,
1566,83,100,NaN,NaN,NaN,12,167,88,33,NaN,1,109,85
1567,,,NaN,NaN,NaN,,,,,NaN,,,
1568,82,100,NaN,NaN,NaN,12,168,87,33,NaN,1,109,84
1569,,,NaN,NaN,NaN,,,,,NaN,,,
1570,79,100,NaN,NaN,NaN,12,163,86,32,NaN,1,107,82
1571,,,NaN,NaN,NaN,,,,,NaN,,,
1572,80,100,NaN,NaN,NaN,12,162,85,32,NaN,1,106,81
1573,,,NaN,NaN,NaN,,,,,NaN,,,
1574,80,100,NaN,NaN,NaN,12,165,84,32,NaN,1,106,79
1575,,,NaN,NaN,NaN,,,,,NaN,,,
1576,81,100,NaN,NaN,NaN,12,164,82,32,NaN,1,106,79
1577,,,NaN,NaN,NaN,,,,,NaN,,,
1578,83,100,NaN,NaN,NaN,12,167,82,32,NaN,1,107,80
1579,,,NaN,NaN,NaN,,,,,NaN,,,
1580,81,100,NaN,NaN,NaN,12,165,83,32,NaN,1,107,81
1581,,,NaN,NaN,NaN,,,,,NaN,,,
1582,81,100,NaN,NaN,NaN,12,164,84,32,NaN,1,107,81
1583,,,NaN,NaN,NaN,,,,,NaN,,,
1584,82,100,NaN,NaN,NaN,12,167,84,32,NaN,1,108,81
1585,,,NaN,NaN,NaN,,,,,NaN,,,
1586,83,100,NaN,NaN,NaN,12,167,84,32,NaN,1,108,81
1587,,,NaN,NaN,NaN,,,,,NaN,,,
1588,84,100,NaN,NaN,NaN,12,171,84,32,NaN,1,110,81
1589,,,NaN,NaN,NaN,,,,,NaN,,,
1590,82,100,NaN,NaN,NaN,12,168,84,32,NaN,1,109,81
1591,,,NaN,NaN,NaN,,,,,NaN,,,
1592,78,100,NaN,NaN,NaN,12,164,84,32,NaN,1,107,81
1593,,,NaN,NaN,NaN,,,,,NaN,,,
1594,76,100,NaN,NaN,NaN,12,163,84,32,NaN,1,105,79
1595,,,NaN,NaN,NaN,,,,,NaN,,,
1596,75,100,NaN,NaN,NaN,12,157,82,32,NaN,1,102,76
1597,,,NaN,NaN,NaN,,,,,NaN,,,
1598,76,100,NaN,NaN,NaN,12,159,78,32,NaN,1,102,74
1599,,,NaN,NaN,NaN,,,,,NaN,,,
1600,74,100,NaN,NaN,NaN,12,158,77,33,NaN,1,103,72
1601,,,NaN,NaN,NaN,,,,,NaN,,,
1602,84,100,NaN,NaN,NaN,12,163,76,33,NaN,4,107,73
1603,,,NaN,NaN,NaN,,,,,NaN,,,
1604,88,100,NaN,NaN,NaN,12,171,77,33,NaN,4,111,74
1605,,,NaN,NaN,NaN,,,,,NaN,,,
1606,88,100,NaN,NaN,NaN,12,172,79,33,NaN,8,113,76
1607,,,NaN,NaN,NaN,,,,,NaN,,,
1608,88,100,NaN,NaN,NaN,12,173,80,33,NaN,8,114,78
1609,,,NaN,NaN,NaN,,,,,NaN,,,
1610,86,100,NaN,NaN,NaN,12,171,82,33,NaN,7,113,79
1611,,,NaN,NaN,NaN,,,,,NaN,,,
1612,86,100,NaN,NaN,NaN,12,170,81,33,NaN,7,113,78
1613,,,NaN,NaN,NaN,,,,,NaN,,,
1614,85,100,NaN,NaN,NaN,12,170,81,33,NaN,7,112,78
1615,,,NaN,NaN,NaN,,,,,NaN,,,
1616,84,100,NaN,NaN,NaN,12,167,80,33,NaN,7,111,77
1617,,,NaN,NaN,NaN,,,,,NaN,,,
1618,83,100,NaN,NaN,NaN,12,168,80,33,NaN,7,111,77
1619,,,NaN,NaN,NaN,,,,,NaN,,,
1620,81,100,NaN,NaN,NaN,12,166,79,33,NaN,7,109,76
1621,,,NaN,NaN,NaN,,,,,NaN,,,
1622,79,100,NaN,NaN,NaN,12,162,78,32,NaN,7,106,75
1623,,,NaN,NaN,NaN,,,,,NaN,,,
1624,79,100,NaN,NaN,NaN,12,162,77,32,NaN,7,106,73
1625,,,NaN,NaN,NaN,,,,,NaN,,,
1626,78,100,NaN,NaN,NaN,12,159,75,32,NaN,7,105,71
1627,,,NaN,NaN,NaN,,,,,NaN,,,
1628,79,100,NaN,NaN,NaN,12,161,74,32,NaN,7,105,71
1629,,,NaN,NaN,NaN,,,,,NaN,,,
1630,79,100,NaN,NaN,NaN,12,161,74,32,NaN,7,105,71
1631,,,NaN,NaN,NaN,,,,,NaN,,,
1632,81,100,NaN,NaN,NaN,12,160,74,32,NaN,7,105,72
1633,,,NaN,NaN,NaN,,,,,NaN,,,
1634,81,100,NaN,NaN,NaN,12,162,76,32,NaN,7,106,73
1635,,,NaN,NaN,NaN,,,,,NaN,,,
1636,80,100,NaN,NaN,NaN,12,161,76,32,NaN,7,106,73
1637,,,NaN,NaN,NaN,,,,,NaN,,,
1638,80,100,NaN,NaN,NaN,12,162,77,32,NaN,7,106,74
1639,,,NaN,NaN,NaN,,,,,NaN,,,
1640,79,100,NaN,NaN,NaN,12,161,77,32,NaN,7,106,73
1641,,,NaN,NaN,NaN,,,,,NaN,,,
1642,80,100,NaN,NaN,NaN,12,159,76,32,NaN,7,105,73
1643,,,NaN,NaN,NaN,,,,,NaN,,,
1644,80,100,NaN,NaN,NaN,12,161,75,32,NaN,7,106,72
1645,,,NaN,NaN,NaN,,,,,NaN,,,
1646,80,100,NaN,NaN,NaN,12,157,75,32,NaN,7,105,72
1647,,,NaN,NaN,NaN,,,,,NaN,,,
1648,81,100,NaN,NaN,NaN,12,159,75,32,NaN,7,106,73
1649,,,NaN,NaN,NaN,,,,,NaN,,,
1650,81,100,NaN,NaN,NaN,12,158,76,32,NaN,7,106,73
1651,,,NaN,NaN,NaN,,,,,NaN,,,
1652,80,100,NaN,NaN,NaN,12,157,77,32,NaN,7,106,74
1653,,,NaN,NaN,NaN,,,,,NaN,,,
1654,80,100,NaN,NaN,NaN,12,159,77,32,NaN,6,106,75
1655,,,NaN,NaN,NaN,,,,,NaN,,,
1656,79,100,NaN,NaN,NaN,12,156,78,32,NaN,6,105,75
1657,,,NaN,NaN,NaN,,,,,NaN,,,
1658,80,100,NaN,NaN,NaN,12,158,78,32,NaN,6,105,75
1659,,,NaN,NaN,NaN,,,,,NaN,,,
1660,80,100,NaN,NaN,NaN,12,158,79,32,NaN,6,105,75
1661,,,NaN,NaN,NaN,,,,,NaN,,,
1662,79,100,NaN,NaN,NaN,12,156,78,32,NaN,7,104,75
1663,,,NaN,NaN,NaN,,,,,NaN,,,
1664,78,100,NaN,NaN,NaN,12,156,78,32,NaN,7,104,75
1665,,,NaN,NaN,NaN,,,,,NaN,,,
1666,75,100,NaN,NaN,NaN,12,151,78,32,NaN,7,101,74
1667,,,NaN,NaN,NaN,,,,,NaN,,,
1668,75,100,NaN,NaN,NaN,12,151,76,32,NaN,7,101,73
1669,,,NaN,NaN,NaN,,,,,NaN,,,
1670,74,100,NaN,NaN,NaN,12,149,76,32,NaN,7,100,72
1671,,,NaN,NaN,NaN,,,,,NaN,,,
1672,74,100,NaN,NaN,NaN,12,146,74,32,NaN,7,98,71
1673,,,NaN,NaN,NaN,,,,,NaN,,,
1674,74,100,NaN,NaN,NaN,12,148,74,32,NaN,7,98,70
1675,,,NaN,NaN,NaN,,,,,NaN,,,
1676,73,100,NaN,NaN,NaN,12,145,73,32,NaN,7,97,70
1677,,,NaN,NaN,NaN,,,,,NaN,,,
1678,74,100,NaN,NaN,NaN,12,146,73,32,NaN,7,98,70
1679,,,NaN,NaN,NaN,,,,,NaN,,,
1680,73,100,NaN,NaN,NaN,12,145,73,32,NaN,7,97,70
1681,,,NaN,NaN,NaN,,,,,NaN,,,
1682,73,100,NaN,NaN,NaN,12,143,73,32,NaN,7,96,70
1683,,,NaN,NaN,NaN,,,,,NaN,,,
1684,73,100,NaN,NaN,NaN,12,145,73,32,NaN,6,97,70
1685,,,NaN,NaN,NaN,,,,,NaN,,,
1686,73,100,NaN,NaN,NaN,12,143,73,32,NaN,6,96,70
1687,,,NaN,NaN,NaN,,,,,NaN,,,
1688,73,100,NaN,NaN,NaN,12,144,73,32,NaN,6,97,70
1689,,,NaN,NaN,NaN,,,,,NaN,,,
1690,72,100,NaN,NaN,NaN,12,143,74,32,NaN,6,96,71
1691,,,NaN,NaN,NaN,,,,,NaN,,,
1692,73,100,NaN,NaN,NaN,12,142,74,32,NaN,6,96,71
1693,,,NaN,NaN,NaN,,,,,NaN,,,
1694,73,100,NaN,NaN,NaN,12,144,74,32,NaN,6,96,71
1695,,,NaN,NaN,NaN,,,,,NaN,,,
1696,72,100,NaN,NaN,NaN,12,142,74,32,NaN,6,95,71
1697,,,NaN,NaN,NaN,,,,,NaN,,,
1698,72,100,NaN,NaN,NaN,12,142,74,32,NaN,6,95,71
1699,,,NaN,NaN,NaN,,,,,NaN,,,
1700,71,100,NaN,NaN,NaN,12,141,74,32,NaN,7,95,71
1701,,,NaN,NaN,NaN,,,,,NaN,,,
1702,71,100,NaN,NaN,NaN,12,140,73,32,NaN,7,94,70
1703,,,NaN,NaN,NaN,,,,,NaN,,,
