time,Solar8000/ART_DBP,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,SNUADC/ART,SNUADC/ECG_II,Solar8000/RR_CO2,Solar8000/ART_SBP,Solar8000/PLETH_HR,Solar8000/ETCO2,SNUADC/CVP,Solar8000/CVP,Solar8000/ART_MBP,Solar8000/HR
91,,,NaN,NaN,NaN,,,,,NaN,,,
92,-3,100,NaN,NaN,NaN,,-3,98,0,NaN,-27,-3,96
93,,,NaN,NaN,NaN,,,,,NaN,,,
94,-3,100,NaN,NaN,NaN,,-3,97,0,NaN,-27,-3,94
95,,,NaN,NaN,NaN,,,,,NaN,,,
96,-3,100,NaN,NaN,NaN,,-3,96,0,NaN,-27,-3,94
97,,,NaN,NaN,NaN,,,,,NaN,,,
98,-3,100,NaN,NaN,NaN,,-3,96,0,NaN,-27,-3,94
99,,,NaN,NaN,NaN,,,,,NaN,,,
100,-3,100,NaN,NaN,NaN,,-3,96,0,NaN,-27,-3,93
101,,,NaN,NaN,NaN,,,,,NaN,,,
102,-2,100,NaN,NaN,NaN,,-2,96,0,NaN,-27,-2,93
103,,,NaN,NaN,NaN,,,,,NaN,,,
104,-2,100,NaN,NaN,NaN,,-2,98,0,NaN,-28,-2,95
105,,,NaN,NaN,NaN,,,,,NaN,,,
106,-2,100,NaN,NaN,NaN,,-2,99,0,NaN,-28,-2,98
107,,,NaN,NaN,NaN,,,,,NaN,,,
108,-2,100,NaN,NaN,NaN,,-2,100,0,NaN,-28,-2,98
109,,,NaN,NaN,NaN,,,,,NaN,,,
110,-3,100,NaN,NaN,NaN,,-3,100,0,NaN,-28,-3,98
111,,,NaN,NaN,NaN,,,,,NaN,,,
112,-3,100,NaN,NaN,NaN,,-3,101,0,NaN,-28,-3,99
113,,,NaN,NaN,NaN,,,,,NaN,,,
114,-3,100,NaN,NaN,NaN,,-3,101,0,NaN,-28,-3,99
115,,,NaN,NaN,NaN,,,,,NaN,,,
116,-3,100,NaN,NaN,NaN,,-3,101,0,NaN,-28,-3,99
117,,,NaN,NaN,NaN,,,,,NaN,,,
118,-3,100,NaN,NaN,NaN,,-3,101,0,NaN,-28,-3,98
119,,,NaN,NaN,NaN,,,,,NaN,,,
120,-3,100,NaN,NaN,NaN,,-3,101,0,NaN,-28,-3,99
121,,,NaN,NaN,NaN,,,,,NaN,,,
122,-3,100,NaN,NaN,NaN,,-3,101,0,NaN,-27,-3,99
123,,,NaN,NaN,NaN,,,,,NaN,,,
124,-3,100,NaN,NaN,NaN,,-3,100,0,NaN,-27,-3,98
125,,,NaN,NaN,NaN,,,,,NaN,,,
126,-3,100,NaN,NaN,NaN,,-3,98,0,NaN,-27,-3,95
127,,,NaN,NaN,NaN,,,,,NaN,,,
128,-3,100,NaN,NaN,NaN,,-3,95,0,NaN,-27,-3,93
129,,,NaN,NaN,NaN,,,,,NaN,,,
130,-3,100,NaN,NaN,NaN,,-3,94,0,NaN,-28,-3,91
131,,,NaN,NaN,NaN,,,,,NaN,,,
132,-3,99,NaN,NaN,NaN,,-3,94,0,NaN,-28,-3,91
133,,,NaN,NaN,NaN,,,,,NaN,,,
134,-3,99,NaN,NaN,NaN,,-3,94,0,NaN,-28,-3,92
135,,,NaN,NaN,NaN,,,,,NaN,,,
136,-3,99,NaN,NaN,NaN,,-3,95,0,NaN,-28,-3,93
137,,,NaN,NaN,NaN,,,,,NaN,,,
138,-3,99,NaN,NaN,NaN,,-3,95,0,NaN,-28,-3,92
139,,,NaN,NaN,NaN,,,,,NaN,,,
140,-3,99,NaN,NaN,NaN,,-3,95,0,NaN,-28,-3,93
141,,,NaN,NaN,NaN,,,,,NaN,,,
142,-3,99,NaN,NaN,NaN,,-3,97,0,NaN,-28,-3,95
143,,,NaN,NaN,NaN,,,,,NaN,,,
144,-3,99,NaN,NaN,NaN,,-3,98,0,NaN,-28,-3,96
145,,,NaN,NaN,NaN,,,,,NaN,,,
146,-3,99,NaN,NaN,NaN,,-3,97,0,NaN,-28,-3,95
147,,,NaN,NaN,NaN,,,,,NaN,,,
148,-3,99,NaN,NaN,NaN,,-3,97,0,NaN,-28,-3,94
149,,,NaN,NaN,NaN,,,,,NaN,,,
150,-3,99,NaN,NaN,NaN,,-3,96,0,NaN,-28,-3,93
151,,,NaN,NaN,NaN,,,,,NaN,,,
152,-3,100,NaN,NaN,NaN,,-3,96,0,NaN,-27,-3,93
153,,,NaN,NaN,NaN,,,,,NaN,,,
154,-3,100,NaN,NaN,NaN,,-3,96,0,NaN,-27,-3,93
155,,,NaN,NaN,NaN,,,,,NaN,,,
156,-3,100,NaN,NaN,NaN,,-3,96,0,NaN,-27,-3,94
157,,,NaN,NaN,NaN,,,,,NaN,,,
158,-3,100,NaN,NaN,NaN,,-3,97,0,NaN,-27,-3,95
159,,,NaN,NaN,NaN,,,,,NaN,,,
160,-3,100,NaN,NaN,NaN,,-3,98,0,NaN,-28,-3,95
161,,,NaN,NaN,NaN,,,,,NaN,,,
162,-3,100,NaN,NaN,NaN,,-3,98,0,NaN,-28,-3,95
163,,,NaN,NaN,NaN,,,,,NaN,,,
164,-3,100,NaN,NaN,NaN,,-3,98,0,NaN,-28,-3,95
165,,,NaN,NaN,NaN,,,,,NaN,,,
166,-3,100,NaN,NaN,NaN,,-3,99,0,NaN,-28,-3,97
167,,,NaN,NaN,NaN,,,,,NaN,,,
168,-3,100,NaN,NaN,NaN,,-3,100,0,NaN,-28,-3,99
169,,,NaN,NaN,NaN,,,,,NaN,,,
170,-2,100,NaN,NaN,NaN,,-2,101,0,NaN,-28,-2,99
171,,,NaN,NaN,NaN,,,,,NaN,,,
172,-2,100,NaN,NaN,NaN,,-2,100,0,NaN,-28,-2,98
173,,,NaN,NaN,NaN,,,,,NaN,,,
174,-3,100,NaN,NaN,NaN,,-3,99,0,NaN,-28,-3,97
175,,,NaN,NaN,NaN,,,,,NaN,,,
176,-3,100,NaN,NaN,NaN,,-3,97,0,NaN,-28,-3,94
177,,,NaN,NaN,NaN,,,,,NaN,,,
178,-3,100,NaN,NaN,NaN,,-3,96,0,NaN,-28,-3,93
179,,,NaN,NaN,NaN,,,,,NaN,,,
180,-3,100,NaN,NaN,NaN,,-3,95,,NaN,-27,-3,93
181,,,NaN,NaN,NaN,,,,,NaN,,,
182,-3,100,NaN,NaN,NaN,,-3,95,,NaN,-27,-3,92
183,,,NaN,NaN,NaN,,,,,NaN,,,
184,-3,100,NaN,NaN,NaN,,-3,94,,NaN,-27,-3,91
185,,,NaN,NaN,NaN,,,,,NaN,,,
186,-3,100,NaN,NaN,NaN,,-3,94,0,NaN,-28,-3,91
187,,,NaN,NaN,NaN,,,,,NaN,,,
188,-3,100,NaN,NaN,NaN,,-3,94,0,NaN,-28,-3,92
189,,,NaN,NaN,NaN,,,,,NaN,,,
190,-3,100,NaN,NaN,NaN,,-3,93,0,NaN,-28,-3,90
191,,,NaN,NaN,NaN,,,,,NaN,,,
192,-3,100,NaN,NaN,NaN,,-3,92,0,NaN,-28,-3,88
193,,,NaN,NaN,NaN,,,,,NaN,,,
194,-3,100,NaN,NaN,NaN,,-3,91,,NaN,-28,-3,88
195,,,NaN,NaN,NaN,,,,,NaN,,,
196,-3,100,NaN,NaN,NaN,,-3,91,,NaN,-28,-3,88
197,,,NaN,NaN,NaN,,,,,NaN,,,
198,-3,100,NaN,NaN,NaN,,-3,91,,NaN,-28,-3,89
199,,,NaN,NaN,NaN,,,,,NaN,,,
200,-3,100,NaN,NaN,NaN,,-3,91,,NaN,-28,-3,89
201,,,NaN,NaN,NaN,,,,,NaN,,,
202,-3,100,NaN,NaN,NaN,,-3,92,,NaN,-28,-3,89
203,,,NaN,NaN,NaN,,,,,NaN,,,
204,-3,100,NaN,NaN,NaN,,-3,91,,NaN,-28,-3,88
205,,,NaN,NaN,NaN,,,,,NaN,,,
206,-3,100,NaN,NaN,NaN,,-3,91,,NaN,-28,-3,88
207,,,NaN,NaN,NaN,,,,,NaN,,,
208,-3,100,NaN,NaN,NaN,,-3,90,,NaN,-28,-3,88
209,,,NaN,NaN,NaN,,,,,NaN,,,
210,-3,100,NaN,NaN,NaN,,-3,91,,NaN,-28,-3,88
211,,,NaN,NaN,NaN,,,,,NaN,,,
212,-3,100,NaN,NaN,NaN,,-3,91,,NaN,-28,-3,88
213,,,NaN,NaN,NaN,,,,,NaN,,,
214,-3,100,NaN,NaN,NaN,,-3,90,,NaN,-28,-3,87
215,,,NaN,NaN,NaN,,,,,NaN,,,
216,-3,100,NaN,NaN,NaN,,-3,89,,NaN,-28,-3,86
217,,,NaN,NaN,NaN,,,,,NaN,,,
218,-3,100,NaN,NaN,NaN,,-3,88,,NaN,-28,-3,84
219,,,NaN,NaN,NaN,,,,,NaN,,,
220,-3,100,NaN,NaN,NaN,,-3,86,,NaN,-28,-3,83
221,,,NaN,NaN,NaN,,,,,NaN,,,
222,-3,100,NaN,NaN,NaN,,-3,86,,NaN,-28,-3,82
223,,,NaN,NaN,NaN,,,,,NaN,,,
224,-3,100,NaN,NaN,NaN,,-3,85,,NaN,-28,-3,82
225,,,NaN,NaN,NaN,,,,,NaN,,,
226,-3,100,NaN,NaN,NaN,,-3,85,,NaN,-28,-3,82
227,,,NaN,NaN,NaN,,,,,NaN,,,
228,-3,100,NaN,NaN,NaN,,-3,86,,NaN,-28,-3,83
229,,,NaN,NaN,NaN,,,,,NaN,,,
230,-3,100,NaN,NaN,NaN,,-3,86,,NaN,-28,-3,83
231,,,NaN,NaN,NaN,,,,,NaN,,,
232,-3,100,NaN,NaN,NaN,,-3,86,,NaN,-29,-3,83
233,,,NaN,NaN,NaN,,,,,NaN,,,
234,-3,100,NaN,NaN,NaN,,-3,86,,NaN,-29,-3,82
235,,,NaN,NaN,NaN,,,,,NaN,,,
236,-3,100,NaN,NaN,NaN,,-3,86,,NaN,-28,-3,83
237,,,NaN,NaN,NaN,,,,,NaN,,,
238,-3,100,NaN,NaN,NaN,,-3,86,,NaN,-28,-3,84
239,,,NaN,NaN,NaN,,,,,NaN,,,
240,-3,100,NaN,NaN,NaN,,-3,86,,NaN,-28,-3,83
241,,,NaN,NaN,NaN,,,,,NaN,,,
242,-2,100,NaN,NaN,NaN,,-2,86,,NaN,-28,-2,83
243,,,NaN,NaN,NaN,,,,,NaN,,,
244,-2,100,NaN,NaN,NaN,,-2,86,,NaN,-28,-2,82
245,,,NaN,NaN,NaN,,,,,NaN,,,
246,-3,100,NaN,NaN,NaN,,-3,85,,NaN,-28,-3,82
247,,,NaN,NaN,NaN,,,,,NaN,,,
248,-3,100,NaN,NaN,NaN,,-3,87,,NaN,-28,-3,84
249,,,NaN,NaN,NaN,,,,,NaN,,,
250,-3,100,NaN,NaN,NaN,,-3,87,,NaN,-28,-3,85
251,,,NaN,NaN,NaN,,,,,NaN,,,
252,-3,100,NaN,NaN,NaN,,-3,87,,NaN,-28,-3,85
253,,,NaN,NaN,NaN,,,,,NaN,,,
254,-3,100,NaN,NaN,NaN,,-3,88,,NaN,-28,-3,84
255,,,NaN,NaN,NaN,,,,,NaN,,,
256,-3,100,NaN,NaN,NaN,,-3,86,,NaN,-28,-3,83
257,,,NaN,NaN,NaN,,,,,NaN,,,
258,-3,100,NaN,NaN,NaN,,-3,86,,NaN,-28,-3,83
259,,,NaN,NaN,NaN,,,,,NaN,,,
260,-3,100,NaN,NaN,NaN,,-3,85,,NaN,-28,-3,83
261,,,NaN,NaN,NaN,,,,,NaN,,,
262,-3,100,NaN,NaN,NaN,,-3,86,,NaN,-28,-3,83
263,,,NaN,NaN,NaN,,,,,NaN,,,
264,-3,100,NaN,NaN,NaN,,-3,87,,NaN,-28,-3,88
265,,,NaN,NaN,NaN,,,,,NaN,,,
266,-3,100,NaN,NaN,NaN,,-3,89,,NaN,-27,-3,88
267,,,NaN,NaN,NaN,,,,,NaN,,,
268,-3,100,NaN,NaN,NaN,,-3,91,,NaN,-27,-3,89
269,,,NaN,NaN,NaN,,,,,NaN,,,
270,-3,100,NaN,NaN,NaN,,-3,92,,NaN,-28,-3,90
271,,,NaN,NaN,NaN,,,,,NaN,,,
272,-3,100,NaN,NaN,NaN,,-3,93,,NaN,-28,-3,91
273,,,NaN,NaN,NaN,,,,,NaN,,,
274,-3,100,NaN,NaN,NaN,,-3,93,,NaN,-28,-3,91
275,,,NaN,NaN,NaN,,,,,NaN,,,
276,-3,100,NaN,NaN,NaN,,-3,93,,NaN,-28,-3,90
277,,,NaN,NaN,NaN,,,,,NaN,,,
278,-3,100,NaN,NaN,NaN,,-3,93,,NaN,-28,-3,90
279,,,NaN,NaN,NaN,,,,,NaN,,,
280,-3,100,NaN,NaN,NaN,,-3,93,,NaN,-28,-3,90
281,,,NaN,NaN,NaN,,,,,NaN,,,
282,-3,100,NaN,NaN,NaN,,-3,93,,NaN,-28,-3,91
283,,,NaN,NaN,NaN,,,,,NaN,,,
284,-3,100,NaN,NaN,NaN,,-3,94,,NaN,-28,-3,92
285,,,NaN,NaN,NaN,,,,,NaN,,,
286,-3,100,NaN,NaN,NaN,,-3,94,,NaN,-28,-3,92
287,,,NaN,NaN,NaN,,,,,NaN,,,
288,-3,100,NaN,NaN,NaN,,-3,93,,NaN,-28,-3,90
289,,,NaN,NaN,NaN,,,,,NaN,,,
290,-3,100,NaN,NaN,NaN,,-3,91,,NaN,-28,-3,88
291,,,NaN,NaN,NaN,,,,,NaN,,,
292,-3,100,NaN,NaN,NaN,,-3,89,,NaN,-28,-3,86
293,,,NaN,NaN,NaN,,,,,NaN,,,
294,-3,100,NaN,NaN,NaN,,-3,88,,NaN,-28,-3,84
295,,,NaN,NaN,NaN,,,,,NaN,,,
296,-3,100,NaN,NaN,NaN,,-3,87,,NaN,-28,-3,83
297,,,NaN,NaN,NaN,,,,,NaN,,,
298,-3,100,NaN,NaN,NaN,,-3,86,,NaN,-28,-3,83
299,,,NaN,NaN,NaN,,,,,NaN,,,
300,-3,100,NaN,NaN,NaN,,-3,85,,NaN,-28,-3,82
301,,,NaN,NaN,NaN,,,,,NaN,,,
302,-3,100,NaN,NaN,NaN,,-3,85,,NaN,-28,-3,81
303,,,NaN,NaN,NaN,,,,,NaN,,,
304,-3,100,NaN,NaN,NaN,,-3,83,,NaN,-28,-3,79
305,,,NaN,NaN,NaN,,,,,NaN,,,
306,-3,100,NaN,NaN,NaN,,-3,82,,NaN,-28,-3,78
307,,,NaN,NaN,NaN,,,,,NaN,,,
308,-3,100,NaN,NaN,NaN,,-3,81,,NaN,-28,-3,78
309,,,NaN,NaN,NaN,,,,,NaN,,,
310,-2,100,NaN,NaN,NaN,,-2,82,,NaN,-28,-2,81
311,,,NaN,NaN,NaN,,,,,NaN,,,
312,-2,100,NaN,NaN,NaN,,-2,82,,NaN,-28,-2,84
313,,,NaN,NaN,NaN,,,,,NaN,,,
314,-2,100,NaN,NaN,NaN,,-2,84,,NaN,-29,-2,87
315,,,NaN,NaN,NaN,,,,,NaN,,,
316,-2,100,NaN,NaN,NaN,,-2,88,,NaN,-29,-2,86
317,,,NaN,NaN,NaN,,,,,NaN,,,
318,-3,100,NaN,NaN,NaN,,-3,90,,NaN,-29,-3,89
319,,,NaN,NaN,NaN,,,,,NaN,,,
320,-3,100,NaN,NaN,NaN,,-3,92,,NaN,-29,-3,89
321,,,NaN,NaN,NaN,,,,,NaN,,,
322,-3,100,NaN,NaN,NaN,,-3,93,,NaN,-29,-3,89
323,,,NaN,NaN,NaN,,,,,NaN,,,
324,-3,100,NaN,NaN,NaN,,-3,92,,NaN,-29,-3,90
325,,,NaN,NaN,NaN,,,,,NaN,,,
326,-3,100,NaN,NaN,NaN,,-3,93,,NaN,-29,-3,90
327,,,NaN,NaN,NaN,,,,,NaN,,,
328,-3,100,NaN,NaN,NaN,,-3,92,,NaN,-29,-3,90
329,,,NaN,NaN,NaN,,,,,NaN,,,
330,-3,100,NaN,NaN,NaN,,-3,93,,NaN,-29,-3,91
331,,,NaN,NaN,NaN,,,,,NaN,,,
332,-3,100,NaN,NaN,NaN,,-3,93,,NaN,-29,-3,91
333,,,NaN,NaN,NaN,,,,,NaN,,,
334,-3,100,NaN,NaN,NaN,,-3,93,,NaN,-29,-3,90
335,,,NaN,NaN,NaN,,,,,NaN,,,
336,-3,100,NaN,NaN,NaN,,-3,93,,NaN,-29,-3,90
337,,,NaN,NaN,NaN,,,,,NaN,,,
338,-3,100,NaN,NaN,NaN,,-3,92,,NaN,-29,-3,90
339,,,NaN,NaN,NaN,,,,,NaN,,,
340,-3,100,NaN,NaN,NaN,,-3,92,,NaN,-29,-3,90
341,,,NaN,NaN,NaN,,,,,NaN,,,
342,-3,100,NaN,NaN,NaN,,-3,92,,NaN,-29,-3,89
343,,,NaN,NaN,NaN,,,,,NaN,,,
344,-3,100,NaN,NaN,NaN,,-3,92,,NaN,-29,-3,89
345,,,NaN,NaN,NaN,,,,,NaN,,,
346,-3,100,NaN,NaN,NaN,,-3,92,,NaN,-29,-3,89
347,,,NaN,NaN,NaN,,,,,NaN,,,
348,-3,100,NaN,NaN,NaN,,-3,91,,NaN,-29,-3,88
349,,,NaN,NaN,NaN,,,,,NaN,,,
350,-3,100,NaN,NaN,NaN,,-3,89,,NaN,-29,-3,85
351,,,NaN,NaN,NaN,,,,,NaN,,,
352,-3,100,NaN,NaN,NaN,,-3,87,,NaN,-29,-3,83
353,,,NaN,NaN,NaN,,,,,NaN,,,
354,-3,100,NaN,NaN,NaN,,-3,85,,NaN,-29,-3,82
355,,,NaN,NaN,NaN,,,,,NaN,,,
356,-3,100,NaN,NaN,NaN,,-3,85,,NaN,-29,-3,82
