time,Solar8000/ART_DBP,Solar8000/PLETH_HR,SNUADC/ART,Solar8000/HR,SNUADC/CVP,Solar8000/ART_SBP,SNUADC/ECG_II,SNUADC/ECG_V5,Solar8000/RR_CO2,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,Solar8000/ETCO2,Solar8000/CVP
3024,,,NaN,,NaN,,NaN,NaN,,,,,
3025,49,88,NaN,87,NaN,109,NaN,NaN,15,65,100,34,11
3026,,,NaN,,NaN,,NaN,NaN,,,,,
3027,49,88,NaN,87,NaN,109,NaN,NaN,14,65,100,34,11
3028,,,NaN,,NaN,,NaN,NaN,,,,,
3029,51,88,NaN,87,NaN,112,NaN,NaN,14,67,100,34,11
3030,,,NaN,,NaN,,NaN,NaN,,,,,
3031,51,88,NaN,88,NaN,110,NaN,NaN,14,67,100,34,11
3032,,,NaN,,NaN,,NaN,NaN,,,,,
3033,52,88,NaN,87,NaN,113,NaN,NaN,14,68,100,34,11
3034,,,NaN,,NaN,,NaN,NaN,,,,,
3035,49,88,NaN,87,NaN,106,NaN,NaN,14,66,100,34,11
3036,,,NaN,,NaN,,NaN,NaN,,,,,
3037,49,87,NaN,88,NaN,101,NaN,NaN,14,63,100,34,11
3038,,,NaN,,NaN,,NaN,NaN,,,,,
3039,48,87,NaN,86,NaN,100,NaN,NaN,14,61,100,34,11
3040,,,NaN,,NaN,,NaN,NaN,,,,,
3041,49,87,NaN,86,NaN,106,NaN,NaN,14,63,100,34,11
3042,,,NaN,,NaN,,NaN,NaN,,,,,
3043,49,86,NaN,86,NaN,109,NaN,NaN,14,65,100,34,11
3044,,,NaN,,NaN,,NaN,NaN,,,,,
3045,50,86,NaN,88,NaN,110,NaN,NaN,14,66,100,34,11
3046,,,NaN,,NaN,,NaN,NaN,,,,,
3047,51,87,NaN,88,NaN,113,NaN,NaN,14,68,100,33,11
3048,,,NaN,,NaN,,NaN,NaN,,,,,
3049,52,88,NaN,88,NaN,111,NaN,NaN,14,68,100,33,13
3050,,,NaN,,NaN,,NaN,NaN,,,,,
3051,55,89,NaN,89,NaN,116,NaN,NaN,14,71,100,33,13
3052,,,NaN,,NaN,,NaN,NaN,,,,,
3053,56,89,NaN,88,NaN,117,NaN,NaN,14,72,100,33,16
3054,,,NaN,,NaN,,NaN,NaN,,,,,
3055,57,89,NaN,88,NaN,119,NaN,NaN,14,73,100,33,16
3056,,,NaN,,NaN,,NaN,NaN,,,,,
3057,57,89,NaN,88,NaN,116,NaN,NaN,14,73,100,33,16
3058,,,NaN,,NaN,,NaN,NaN,,,,,
3059,55,88,NaN,88,NaN,113,NaN,NaN,14,71,100,33,16
3060,,,NaN,,NaN,,NaN,NaN,,,,,
3061,55,88,NaN,87,NaN,114,NaN,NaN,14,71,100,33,16
3062,,,NaN,,NaN,,NaN,NaN,,,,,
3063,56,88,NaN,86,NaN,115,NaN,NaN,14,72,100,33,16
3064,,,NaN,,NaN,,NaN,NaN,,,,,
3065,55,87,NaN,87,NaN,114,NaN,NaN,14,72,100,33,16
3066,,,NaN,,NaN,,NaN,NaN,,,,,
3067,56,88,NaN,87,NaN,114,NaN,NaN,14,72,100,33,17
3068,,,NaN,,NaN,,NaN,NaN,,,,,
3069,56,87,NaN,87,NaN,116,NaN,NaN,14,72,100,33,17
3070,,,NaN,,NaN,,NaN,NaN,,,,,
3071,55,87,NaN,87,NaN,114,NaN,NaN,14,72,100,33,17
3072,,,NaN,,NaN,,NaN,NaN,,,,,
3073,55,86,NaN,87,NaN,115,NaN,NaN,14,72,100,33,16
3074,,,NaN,,NaN,,NaN,NaN,,,,,
3075,53,87,NaN,86,NaN,109,NaN,NaN,14,69,100,33,16
3076,,,NaN,,NaN,,NaN,NaN,,,,,
3077,52,86,NaN,85,NaN,109,NaN,NaN,14,68,100,33,16
3078,,,NaN,,NaN,,NaN,NaN,,,,,
3079,51,85,NaN,85,NaN,106,NaN,NaN,14,67,100,33,17
3080,,,NaN,,NaN,,NaN,NaN,,,,,
3081,52,85,NaN,84,NaN,109,NaN,NaN,14,67,100,33,17
3082,,,NaN,,NaN,,NaN,NaN,,,,,
3083,51,85,NaN,84,NaN,108,NaN,NaN,14,67,100,33,17
3084,,,NaN,,NaN,,NaN,NaN,,,,,
3085,52,84,NaN,84,NaN,108,NaN,NaN,14,67,100,33,17
3086,,,NaN,,NaN,,NaN,NaN,,,,,
3087,51,84,NaN,84,NaN,107,NaN,NaN,14,67,100,33,17
3088,,,NaN,,NaN,,NaN,NaN,,,,,
3089,51,84,NaN,83,NaN,103,NaN,NaN,14,67,100,33,16
3090,,,NaN,,NaN,,NaN,NaN,,,,,
3091,50,84,NaN,83,NaN,107,NaN,NaN,14,67,100,34,16
3092,,,NaN,,NaN,,NaN,NaN,,,,,
3093,47,84,NaN,83,NaN,108,NaN,NaN,14,64,100,34,13
3094,,,NaN,,NaN,,NaN,NaN,,,,,
3095,43,83,NaN,83,NaN,102,NaN,NaN,14,61,100,34,13
3096,,,NaN,,NaN,,NaN,NaN,,,,,
3097,46,84,NaN,82,NaN,101,NaN,NaN,14,61,100,33,11
3098,,,NaN,,NaN,,NaN,NaN,,,,,
3099,44,84,NaN,82,NaN,97,NaN,NaN,14,58,100,33,11
3100,,,NaN,,NaN,,NaN,NaN,,,,,
3101,45,85,NaN,82,NaN,99,NaN,NaN,14,59,100,33,11
3102,,,NaN,,NaN,,NaN,NaN,,,,,
3103,46,84,NaN,82,NaN,100,NaN,NaN,14,59,100,34,11
3104,,,NaN,,NaN,,NaN,NaN,,,,,
3105,35,84,NaN,82,NaN,102,NaN,NaN,14,61,100,34,11
3106,,,NaN,,NaN,,NaN,NaN,,,,,
3107,46,84,NaN,82,NaN,111,NaN,NaN,14,63,100,34,11
3108,,,NaN,,NaN,,NaN,NaN,,,,,
3109,47,83,NaN,83,NaN,109,NaN,NaN,14,63,100,33,11
3110,,,NaN,,NaN,,NaN,NaN,,,,,
3111,49,84,NaN,83,NaN,107,NaN,NaN,14,64,100,33,11
3112,,,NaN,,NaN,,NaN,NaN,,,,,
3113,47,84,NaN,83,NaN,104,NaN,NaN,14,63,100,33,11
3114,,,NaN,,NaN,,NaN,NaN,,,,,
3115,48,84,NaN,83,NaN,105,NaN,NaN,14,64,100,32,11
3116,,,NaN,,NaN,,NaN,NaN,,,,,
3117,48,84,NaN,84,NaN,103,NaN,NaN,14,63,100,32,11
3118,,,NaN,,NaN,,NaN,NaN,,,,,
3119,48,84,NaN,84,NaN,104,NaN,NaN,14,63,100,32,11
3120,,,NaN,,NaN,,NaN,NaN,,,,,
3121,48,85,NaN,84,NaN,103,NaN,NaN,14,63,100,32,11
3122,,,NaN,,NaN,,NaN,NaN,,,,,
3123,49,85,NaN,84,NaN,103,NaN,NaN,14,63,100,32,11
3124,,,NaN,,NaN,,NaN,NaN,,,,,
3125,48,85,NaN,84,NaN,104,NaN,NaN,14,63,100,32,11
3126,,,NaN,,NaN,,NaN,NaN,,,,,
3127,48,84,NaN,84,NaN,103,NaN,NaN,14,62,100,33,11
3128,,,NaN,,NaN,,NaN,NaN,,,,,
3129,48,84,NaN,83,NaN,104,NaN,NaN,14,62,100,33,11
3130,,,NaN,,NaN,,NaN,NaN,,,,,
3131,47,84,NaN,83,NaN,101,NaN,NaN,14,61,100,33,11
3132,,,NaN,,NaN,,NaN,NaN,,,,,
3133,47,84,NaN,83,NaN,104,NaN,NaN,14,62,100,33,11
3134,,,NaN,,NaN,,NaN,NaN,,,,,
3135,47,84,NaN,83,NaN,101,NaN,NaN,14,61,100,33,11
3136,,,NaN,,NaN,,NaN,NaN,,,,,
3137,48,84,NaN,83,NaN,103,NaN,NaN,14,62,100,33,11
3138,,,NaN,,NaN,,NaN,NaN,,,,,
3139,44,84,NaN,83,NaN,94,NaN,NaN,14,58,100,33,12
3140,,,NaN,,NaN,,NaN,NaN,,,,,
3141,47,84,NaN,83,NaN,101,NaN,NaN,14,60,100,33,12
3142,,,NaN,,NaN,,NaN,NaN,,,,,
3143,46,84,NaN,83,NaN,101,NaN,NaN,14,61,100,33,11
3144,,,NaN,,NaN,,NaN,NaN,,,,,
3145,47,83,NaN,83,NaN,104,NaN,NaN,14,62,100,33,11
3146,,,NaN,,NaN,,NaN,NaN,,,,,
3147,46,84,NaN,83,NaN,102,NaN,NaN,14,61,100,33,11
3148,,,NaN,,NaN,,NaN,NaN,,,,,
3149,46,84,NaN,83,NaN,101,NaN,NaN,14,61,100,33,11
3150,,,NaN,,NaN,,NaN,NaN,,,,,
3151,45,84,NaN,83,NaN,101,NaN,NaN,14,60,100,33,11
3152,,,NaN,,NaN,,NaN,NaN,,,,,
3153,45,83,NaN,83,NaN,100,NaN,NaN,14,60,100,33,11
3154,,,NaN,,NaN,,NaN,NaN,,,,,
3155,46,83,NaN,84,NaN,101,NaN,NaN,14,61,100,33,11
3156,,,NaN,,NaN,,NaN,NaN,,,,,
3157,43,83,NaN,82,NaN,93,NaN,NaN,14,57,100,33,11
3158,,,NaN,,NaN,,NaN,NaN,,,,,
3159,45,83,NaN,82,NaN,100,NaN,NaN,14,59,100,33,11
3160,,,NaN,,NaN,,NaN,NaN,,,,,
3161,45,82,NaN,80,NaN,99,NaN,NaN,14,59,100,33,11
3162,,,NaN,,NaN,,NaN,NaN,,,,,
3163,45,81,NaN,82,NaN,101,NaN,NaN,14,60,100,33,11
3164,,,NaN,,NaN,,NaN,NaN,,,,,
3165,45,83,NaN,82,NaN,100,NaN,NaN,14,60,100,33,11
3166,,,NaN,,NaN,,NaN,NaN,,,,,
3167,46,82,NaN,82,NaN,102,NaN,NaN,14,61,100,33,11
3168,,,NaN,,NaN,,NaN,NaN,,,,,
3169,45,82,NaN,82,NaN,100,NaN,NaN,14,60,100,33,11
3170,,,NaN,,NaN,,NaN,NaN,,,,,
3171,46,82,NaN,82,NaN,102,NaN,NaN,14,61,100,33,11
3172,,,NaN,,NaN,,NaN,NaN,,,,,
3173,46,82,NaN,82,NaN,101,NaN,NaN,14,61,100,34,11
3174,,,NaN,,NaN,,NaN,NaN,,,,,
3175,47,82,NaN,82,NaN,103,NaN,NaN,14,62,100,34,11
3176,,,NaN,,NaN,,NaN,NaN,,,,,
3177,47,83,NaN,82,NaN,103,NaN,NaN,14,62,100,34,11
3178,,,NaN,,NaN,,NaN,NaN,,,,,
3179,48,83,NaN,83,NaN,104,NaN,NaN,14,63,100,34,11
3180,,,NaN,,NaN,,NaN,NaN,,,,,
3181,47,83,NaN,82,NaN,105,NaN,NaN,14,64,100,34,11
3182,,,NaN,,NaN,,NaN,NaN,,,,,
3183,48,83,NaN,82,NaN,105,NaN,NaN,14,63,100,34,11
3184,,,NaN,,NaN,,NaN,NaN,,,,,
3185,47,82,NaN,82,NaN,104,NaN,NaN,14,63,100,34,11
3186,,,NaN,,NaN,,NaN,NaN,,,,,
3187,47,82,NaN,81,NaN,103,NaN,NaN,14,63,100,34,11
3188,,,NaN,,NaN,,NaN,NaN,,,,,
3189,34,82,NaN,81,NaN,104,NaN,NaN,14,64,100,34,11
3190,,,NaN,,NaN,,NaN,NaN,,,,,
3191,39,81,NaN,81,NaN,100,NaN,NaN,14,61,100,34,10
3192,,,NaN,,NaN,,NaN,NaN,,,,,
3193,43,81,NaN,80,NaN,101,NaN,NaN,14,61,100,34,10
3194,,,NaN,,NaN,,NaN,NaN,,,,,
3195,44,80,NaN,80,NaN,100,NaN,NaN,14,59,100,34,9
3196,,,NaN,,NaN,,NaN,NaN,,,,,
3197,44,80,NaN,80,NaN,101,NaN,NaN,14,60,100,33,9
3198,,,NaN,,NaN,,NaN,NaN,,,,,
3199,43,80,NaN,80,NaN,99,NaN,NaN,14,59,100,33,9
3200,,,NaN,,NaN,,NaN,NaN,,,,,
3201,44,80,NaN,80,NaN,101,NaN,NaN,14,59,100,33,9
3202,,,NaN,,NaN,,NaN,NaN,,,,,
3203,43,80,NaN,80,NaN,99,NaN,NaN,14,58,100,33,9
3204,,,NaN,,NaN,,NaN,NaN,,,,,
3205,44,80,NaN,80,NaN,99,NaN,NaN,14,59,100,34,9
3206,,,NaN,,NaN,,NaN,NaN,,,,,
3207,43,80,NaN,79,NaN,99,NaN,NaN,14,58,100,34,9
3208,,,NaN,,NaN,,NaN,NaN,,,,,
3209,44,80,NaN,79,NaN,99,NaN,NaN,14,58,100,34,9
3210,,,NaN,,NaN,,NaN,NaN,,,,,
3211,43,80,NaN,79,NaN,100,NaN,NaN,14,59,100,34,9
3212,,,NaN,,NaN,,NaN,NaN,,,,,
3213,44,79,NaN,79,NaN,99,NaN,NaN,14,58,100,34,9
3214,,,NaN,,NaN,,NaN,NaN,,,,,
3215,43,79,NaN,78,NaN,99,NaN,NaN,14,59,100,34,9
3216,,,NaN,,NaN,,NaN,NaN,,,,,
3217,43,79,NaN,79,NaN,98,NaN,NaN,14,58,100,33,9
3218,,,NaN,,NaN,,NaN,NaN,,,,,
3219,43,79,NaN,79,NaN,100,NaN,NaN,14,59,100,33,9
3220,,,NaN,,NaN,,NaN,NaN,,,,,
3221,43,80,NaN,79,NaN,98,NaN,NaN,14,58,100,33,9
3222,,,NaN,,NaN,,NaN,NaN,,,,,
3223,43,80,NaN,79,NaN,99,NaN,NaN,14,58,100,34,9
3224,,,NaN,,NaN,,NaN,NaN,,,,,
3225,42,80,NaN,80,NaN,97,NaN,NaN,14,57,100,34,9
3226,,,NaN,,NaN,,NaN,NaN,,,,,
3227,43,81,NaN,80,NaN,98,NaN,NaN,14,58,100,34,9
3228,,,NaN,,NaN,,NaN,NaN,,,,,
3229,42,81,NaN,80,NaN,97,NaN,NaN,14,57,100,33,9
3230,,,NaN,,NaN,,NaN,NaN,,,,,
3231,43,81,NaN,80,NaN,98,NaN,NaN,14,57,100,33,9
3232,,,NaN,,NaN,,NaN,NaN,,,,,
3233,41,80,NaN,80,NaN,96,NaN,NaN,14,56,100,33,9
3234,,,NaN,,NaN,,NaN,NaN,,,,,
3235,42,80,NaN,79,NaN,96,NaN,NaN,14,56,100,34,9
3236,,,NaN,,NaN,,NaN,NaN,,,,,
3237,41,80,NaN,79,NaN,94,NaN,NaN,14,56,100,34,9
3238,,,NaN,,NaN,,NaN,NaN,,,,,
3239,42,80,NaN,79,NaN,95,NaN,NaN,14,56,100,34,9
3240,,,NaN,,NaN,,NaN,NaN,,,,,
3241,41,80,NaN,79,NaN,95,NaN,NaN,14,56,100,33,9
3242,,,NaN,,NaN,,NaN,NaN,,,,,
3243,41,80,NaN,80,NaN,93,NaN,NaN,14,55,100,33,9
3244,,,NaN,,NaN,,NaN,NaN,,,,,
3245,41,80,NaN,79,NaN,94,NaN,NaN,14,55,100,33,9
3246,,,NaN,,NaN,,NaN,NaN,,,,,
3247,41,80,NaN,79,NaN,93,NaN,NaN,14,55,100,34,9
3248,,,NaN,,NaN,,NaN,NaN,,,,,
3249,42,79,NaN,79,NaN,95,NaN,NaN,14,56,100,34,9
3250,,,NaN,,NaN,,NaN,NaN,,,,,
3251,42,79,NaN,79,NaN,94,NaN,NaN,14,56,100,34,9
3252,,,NaN,,NaN,,NaN,NaN,,,,,
3253,42,80,NaN,79,NaN,96,NaN,NaN,14,56,100,34,9
3254,,,NaN,,NaN,,NaN,NaN,,,,,
3255,41,80,NaN,79,NaN,94,NaN,NaN,14,56,100,34,9
3256,,,NaN,,NaN,,NaN,NaN,,,,,
3257,45,80,NaN,79,NaN,95,NaN,NaN,14,56,100,34,9
3258,,,NaN,,NaN,,NaN,NaN,,,,,
3259,45,79,NaN,79,NaN,95,NaN,NaN,14,56,100,34,9
3260,,,NaN,,NaN,,NaN,NaN,,,,,
3261,30,79,NaN,79,NaN,30,NaN,NaN,14,30,100,34,9
3262,,,NaN,,NaN,,NaN,NaN,,,,,
3263,30,79,NaN,78,NaN,30,NaN,NaN,14,30,100,34,9
3264,,,NaN,,NaN,,NaN,NaN,,,,,
3265,26,79,NaN,78,NaN,26,NaN,NaN,14,26,100,34,9
3266,,,NaN,,NaN,,NaN,NaN,,,,,
3267,26,79,NaN,78,NaN,26,NaN,NaN,14,26,100,34,9
3268,,,NaN,,NaN,,NaN,NaN,,,,,
3269,25,79,NaN,78,NaN,25,NaN,NaN,14,25,100,34,9
3270,,,NaN,,NaN,,NaN,NaN,,,,,
3271,25,79,NaN,78,NaN,25,NaN,NaN,14,25,100,34,9
3272,,,NaN,,NaN,,NaN,NaN,,,,,
3273,24,79,NaN,79,NaN,24,NaN,NaN,14,24,100,34,9
3274,,,NaN,,NaN,,NaN,NaN,,,,,
3275,24,80,NaN,79,NaN,24,NaN,NaN,14,24,100,34,9
3276,,,NaN,,NaN,,NaN,NaN,,,,,
3277,30,80,NaN,79,NaN,30,NaN,NaN,14,30,100,34,9
3278,,,NaN,,NaN,,NaN,NaN,,,,,
3279,40,80,NaN,79,NaN,69,NaN,NaN,14,37,100,34,9
3280,,,NaN,,NaN,,NaN,NaN,,,,,
3281,44,79,NaN,79,NaN,82,NaN,NaN,14,46,100,34,9
3282,,,NaN,,NaN,,NaN,NaN,,,,,
3283,42,79,NaN,78,NaN,89,NaN,NaN,14,50,100,34,9
3284,,,NaN,,NaN,,NaN,NaN,,,,,
3285,40,79,NaN,78,NaN,86,NaN,NaN,14,51,100,34,9
3286,,,NaN,,NaN,,NaN,NaN,,,,,
3287,39,78,NaN,77,NaN,85,NaN,NaN,14,52,100,34,9
3288,,,NaN,,NaN,,NaN,NaN,,,,,
3289,38,78,NaN,77,NaN,83,NaN,NaN,14,51,100,34,9
3290,,,NaN,,NaN,,NaN,NaN,,,,,
3291,38,77,NaN,76,NaN,83,NaN,NaN,14,51,100,34,9
3292,,,NaN,,NaN,,NaN,NaN,,,,,
3293,37,76,NaN,76,NaN,82,NaN,NaN,14,50,100,34,9
3294,,,NaN,,NaN,,NaN,NaN,,,,,
3295,38,76,NaN,75,NaN,82,NaN,NaN,14,50,100,34,9
3296,,,NaN,,NaN,,NaN,NaN,,,,,
3297,37,76,NaN,75,NaN,81,NaN,NaN,14,49,100,34,9
3298,,,NaN,,NaN,,NaN,NaN,,,,,
3299,38,76,NaN,75,NaN,82,NaN,NaN,14,49,100,34,9
3300,,,NaN,,NaN,,NaN,NaN,,,,,
3301,37,77,NaN,76,NaN,82,NaN,NaN,14,49,100,34,8
3302,,,NaN,,NaN,,NaN,NaN,,,,,
3303,37,77,NaN,77,NaN,81,NaN,NaN,14,48,100,34,8
3304,,,NaN,,NaN,,NaN,NaN,,,,,
3305,36,77,NaN,77,NaN,82,NaN,NaN,14,48,100,33,8
3306,,,NaN,,NaN,,NaN,NaN,,,,,
3307,36,77,NaN,76,NaN,80,NaN,NaN,14,48,100,33,8
3308,,,NaN,,NaN,,NaN,NaN,,,,,
3309,36,76,NaN,75,NaN,80,NaN,NaN,14,48,100,33,8
3310,,,NaN,,NaN,,NaN,NaN,,,,,
3311,36,75,NaN,75,NaN,79,NaN,NaN,14,47,100,33,8
3312,,,NaN,,NaN,,NaN,NaN,,,,,
3313,36,75,NaN,75,NaN,81,NaN,NaN,14,48,100,33,8
3314,,,NaN,,NaN,,NaN,NaN,,,,,
3315,36,75,NaN,75,NaN,79,NaN,NaN,14,47,100,33,8
3316,,,NaN,,NaN,,NaN,NaN,,,,,
3317,37,76,NaN,75,NaN,80,NaN,NaN,14,48,100,33,8
3318,,,NaN,,NaN,,NaN,NaN,,,,,
3319,36,75,NaN,75,NaN,79,NaN,NaN,14,47,100,33,9
3320,,,NaN,,NaN,,NaN,NaN,,,,,
3321,37,76,NaN,75,NaN,81,NaN,NaN,14,48,100,33,9
3322,,,NaN,,NaN,,NaN,NaN,,,,,
3323,37,76,NaN,75,NaN,81,NaN,NaN,14,48,100,33,9
3324,,,NaN,,NaN,,NaN,NaN,,,,,
3325,38,76,NaN,75,NaN,82,NaN,NaN,14,49,100,33,9
3326,,,NaN,,NaN,,NaN,NaN,,,,,
3327,37,76,NaN,76,NaN,81,NaN,NaN,14,49,100,33,9
3328,,,NaN,,NaN,,NaN,NaN,,,,,
3329,38,76,NaN,76,NaN,82,NaN,NaN,14,49,100,33,9
3330,,,NaN,,NaN,,NaN,NaN,,,,,
3331,37,77,NaN,77,NaN,82,NaN,NaN,14,49,100,33,9
3332,,,NaN,,NaN,,NaN,NaN,,,,,
3333,38,77,NaN,77,NaN,81,NaN,NaN,14,49,100,33,9
3334,,,NaN,,NaN,,NaN,NaN,,,,,
3335,38,78,NaN,77,NaN,83,NaN,NaN,14,50,100,33,8
3336,,,NaN,,NaN,,NaN,NaN,,,,,
3337,38,78,NaN,77,NaN,83,NaN,NaN,14,50,100,33,8
3338,,,NaN,,NaN,,NaN,NaN,,,,,
3339,38,78,NaN,78,NaN,84,NaN,NaN,14,50,100,33,8
3340,,,NaN,,NaN,,NaN,NaN,,,,,
3341,38,78,NaN,78,NaN,83,NaN,NaN,14,50,100,33,8
3342,,,NaN,,NaN,,NaN,NaN,,,,,
3343,38,78,NaN,78,NaN,85,NaN,NaN,14,50,100,33,8
3344,,,NaN,,NaN,,NaN,NaN,,,,,
3345,38,78,NaN,78,NaN,84,NaN,NaN,14,50,100,33,8
3346,,,NaN,,NaN,,NaN,NaN,,,,,
3347,38,78,NaN,77,NaN,86,NaN,NaN,14,51,100,33,8
3348,,,NaN,,NaN,,NaN,NaN,,,,,
3349,38,78,NaN,77,NaN,85,NaN,NaN,14,50,100,33,8
3350,,,NaN,,NaN,,NaN,NaN,,,,,
3351,39,78,NaN,77,NaN,87,NaN,NaN,14,51,100,33,8
3352,,,NaN,,NaN,,NaN,NaN,,,,,
3353,39,78,NaN,77,NaN,87,NaN,NaN,14,51,100,33,8
3354,,,NaN,,NaN,,NaN,NaN,,,,,
3355,41,78,NaN,77,NaN,89,NaN,NaN,14,53,100,33,8
3356,,,NaN,,NaN,,NaN,NaN,,,,,
3357,40,78,NaN,77,NaN,90,NaN,NaN,14,53,100,33,9
3358,,,NaN,,NaN,,NaN,NaN,,,,,
3359,42,78,NaN,78,NaN,90,NaN,NaN,14,54,100,33,9
3360,,,NaN,,NaN,,NaN,NaN,,,,,
3361,41,78,NaN,78,NaN,92,NaN,NaN,14,54,100,33,9
3362,,,NaN,,NaN,,NaN,NaN,,,,,
3363,41,78,NaN,77,NaN,91,NaN,NaN,14,54,100,33,9
3364,,,NaN,,NaN,,NaN,NaN,,,,,
3365,41,77,NaN,77,NaN,92,NaN,NaN,14,54,100,33,9
3366,,,NaN,,NaN,,NaN,NaN,,,,,
3367,41,77,NaN,77,NaN,91,NaN,NaN,14,54,100,33,9
3368,,,NaN,,NaN,,NaN,NaN,,,,,
3369,41,77,NaN,76,NaN,93,NaN,NaN,14,55,100,33,9
3370,,,NaN,,NaN,,NaN,NaN,,,,,
3371,41,77,NaN,76,NaN,92,NaN,NaN,14,54,100,33,9
3372,,,NaN,,NaN,,NaN,NaN,,,,,
3373,41,77,NaN,76,NaN,94,NaN,NaN,14,55,100,33,9
3374,,,NaN,,NaN,,NaN,NaN,,,,,
3375,41,77,NaN,77,NaN,91,NaN,NaN,14,54,100,33,9
3376,,,NaN,,NaN,,NaN,NaN,,,,,
3377,41,77,NaN,77,NaN,93,NaN,NaN,14,55,100,33,9
3378,,,NaN,,NaN,,NaN,NaN,,,,,
3379,41,78,NaN,77,NaN,92,NaN,NaN,14,54,100,33,8
3380,,,NaN,,NaN,,NaN,NaN,,,,,
3381,42,78,NaN,79,NaN,94,NaN,NaN,14,55,100,34,8
3382,,,NaN,,NaN,,NaN,NaN,,,,,
3383,41,79,NaN,79,NaN,93,NaN,NaN,14,55,100,34,9
3384,,,NaN,,NaN,,NaN,NaN,,,,,
3385,42,80,NaN,80,NaN,95,NaN,NaN,14,56,100,34,9
3386,,,NaN,,NaN,,NaN,NaN,,,,,
3387,41,80,NaN,80,NaN,94,NaN,NaN,14,55,100,33,9
3388,,,NaN,,NaN,,NaN,NaN,,,,,
3389,43,80,NaN,80,NaN,95,NaN,NaN,14,56,100,33,9
3390,,,NaN,,NaN,,NaN,NaN,,,,,
3391,42,81,NaN,80,NaN,96,NaN,NaN,14,57,100,33,9
3392,,,NaN,,NaN,,NaN,NaN,,,,,
3393,44,81,NaN,80,NaN,97,NaN,NaN,14,57,100,34,9
3394,,,NaN,,NaN,,NaN,NaN,,,,,
3395,43,81,NaN,81,NaN,98,NaN,NaN,14,58,100,34,9
3396,,,NaN,,NaN,,NaN,NaN,,,,,
3397,43,81,NaN,81,NaN,97,NaN,NaN,14,57,100,34,9
3398,,,NaN,,NaN,,NaN,NaN,,,,,
3399,43,81,NaN,80,NaN,99,NaN,NaN,14,58,100,34,9
3400,,,NaN,,NaN,,NaN,NaN,,,,,
3401,42,81,NaN,80,NaN,98,NaN,NaN,14,57,100,34,9
3402,,,NaN,,NaN,,NaN,NaN,,,,,
3403,43,81,NaN,80,NaN,99,NaN,NaN,14,58,100,34,9
3404,,,NaN,,NaN,,NaN,NaN,,,,,
3405,42,81,NaN,81,NaN,97,NaN,NaN,14,57,100,34,9
3406,,,NaN,,NaN,,NaN,NaN,,,,,
3407,42,81,NaN,81,NaN,98,NaN,NaN,14,57,100,34,9
3408,,,NaN,,NaN,,NaN,NaN,,,,,
3409,42,81,NaN,81,NaN,96,NaN,NaN,14,57,100,34,9
3410,,,NaN,,NaN,,NaN,NaN,,,,,
3411,42,81,NaN,80,NaN,97,NaN,NaN,14,57,100,34,9
3412,,,NaN,,NaN,,NaN,NaN,,,,,
3413,41,80,NaN,80,NaN,95,NaN,NaN,14,56,100,34,9
3414,,,NaN,,NaN,,NaN,NaN,,,,,
3415,42,80,NaN,79,NaN,96,NaN,NaN,14,56,100,34,9
3416,,,NaN,,NaN,,NaN,NaN,,,,,
3417,41,80,NaN,79,NaN,94,NaN,NaN,14,55,100,34,9
3418,,,NaN,,NaN,,NaN,NaN,,,,,
3419,41,79,NaN,79,NaN,94,NaN,NaN,14,55,100,34,9
3420,,,NaN,,NaN,,NaN,NaN,,,,,
3421,41,79,NaN,79,NaN,94,NaN,NaN,14,55,100,34,9
3422,,,NaN,,NaN,,NaN,NaN,,,,,
3423,41,79,NaN,78,NaN,93,NaN,NaN,14,55,100,34,9
3424,,,NaN,,NaN,,NaN,NaN,,,,,
3425,41,79,NaN,78,NaN,94,NaN,NaN,14,55,100,34,9
3426,,,NaN,,NaN,,NaN,NaN,,,,,
3427,42,79,NaN,78,NaN,94,NaN,NaN,14,55,100,34,9
3428,,,NaN,,NaN,,NaN,NaN,,,,,
3429,42,79,NaN,79,NaN,96,NaN,NaN,14,56,100,34,10
3430,,,NaN,,NaN,,NaN,NaN,,,,,
3431,42,79,NaN,79,NaN,95,NaN,NaN,14,56,100,34,10
3432,,,NaN,,NaN,,NaN,NaN,,,,,
3433,42,79,NaN,79,NaN,97,NaN,NaN,14,57,100,34,9
3434,,,NaN,,NaN,,NaN,NaN,,,,,
3435,42,80,NaN,79,NaN,96,NaN,NaN,14,56,100,34,9
3436,,,NaN,,NaN,,NaN,NaN,,,,,
3437,42,80,NaN,80,NaN,97,NaN,NaN,14,57,100,34,9
3438,,,NaN,,NaN,,NaN,NaN,,,,,
3439,41,80,NaN,80,NaN,95,NaN,NaN,14,56,100,34,9
3440,,,NaN,,NaN,,NaN,NaN,,,,,
3441,42,80,NaN,80,NaN,97,NaN,NaN,14,57,100,34,9
3442,,,NaN,,NaN,,NaN,NaN,,,,,
3443,41,80,NaN,80,NaN,96,NaN,NaN,14,56,100,34,9
3444,,,NaN,,NaN,,NaN,NaN,,,,,
3445,42,80,NaN,80,NaN,97,NaN,NaN,14,56,100,34,9
3446,,,NaN,,NaN,,NaN,NaN,,,,,
3447,41,80,NaN,80,NaN,96,NaN,NaN,14,56,100,34,9
3448,,,NaN,,NaN,,NaN,NaN,,,,,
