time,SNUADC/CVP,Solar8000/ART_MBP,Solar8000/ETCO2,Solar8000/PLETH_HR,Solar8000/PLETH_SPO2,Solar8000/HR,SNUADC/ECG_II,Solar8000/ART_SBP,SNUADC/ART,Solar8000/RR_CO2,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/CVP
92,NaN,,,,,,NaN,,NaN,,,NaN,
93,NaN,-3,,84,100,83,NaN,-3,NaN,,-3,NaN,-48
94,NaN,,,,,,NaN,,NaN,,,NaN,
95,NaN,-3,,84,100,83,NaN,-3,NaN,,-3,NaN,-48
96,NaN,,,,,,NaN,,NaN,,,NaN,
97,NaN,-2,,84,99,83,NaN,-2,NaN,,-2,NaN,-47
98,NaN,,,,,,NaN,,NaN,,,NaN,
99,NaN,-2,,83,100,83,NaN,-2,NaN,,-2,NaN,-47
100,NaN,,,,,,NaN,,NaN,,,NaN,
101,NaN,-3,,83,100,82,NaN,-3,NaN,,-3,NaN,-47
102,NaN,,,,,,NaN,,NaN,,,NaN,
103,NaN,-3,,83,100,82,NaN,-3,NaN,,-3,NaN,-47
104,NaN,,,,,,NaN,,NaN,,,NaN,
105,NaN,-3,,82,100,81,NaN,-3,NaN,,-3,NaN,-47
106,NaN,,,,,,NaN,,NaN,,,NaN,
107,NaN,-3,,81,100,80,NaN,-3,NaN,,-3,NaN,-47
108,NaN,,,,,,NaN,,NaN,,,NaN,
109,NaN,-3,,81,100,80,NaN,-3,NaN,,-3,NaN,-48
110,NaN,,,,,,NaN,,NaN,,,NaN,
111,NaN,-3,,82,100,82,NaN,-3,NaN,,-3,NaN,-48
112,NaN,,,,,,NaN,,NaN,,,NaN,
113,NaN,-3,,83,100,83,NaN,-3,NaN,,-3,NaN,-48
114,NaN,,,,,,NaN,,NaN,,,NaN,
115,NaN,-3,,84,100,83,NaN,-3,NaN,,-3,NaN,-48
116,NaN,,,,,,NaN,,NaN,,,NaN,
117,NaN,-3,,84,99,83,NaN,-3,NaN,,-3,NaN,-48
118,NaN,,,,,,NaN,,NaN,,,NaN,
119,NaN,-3,,84,99,83,NaN,-3,NaN,,-3,NaN,-48
120,NaN,,,,,,NaN,,NaN,,,NaN,
121,NaN,-3,,85,99,84,NaN,-3,NaN,,-3,NaN,-48
122,NaN,,,,,,NaN,,NaN,,,NaN,
123,NaN,-3,,86,99,85,NaN,-3,NaN,,-3,NaN,-48
124,NaN,,,,,,NaN,,NaN,,,NaN,
125,NaN,-3,,86,99,85,NaN,-3,NaN,,-3,NaN,-48
126,NaN,,,,,,NaN,,NaN,,,NaN,
127,NaN,-3,,86,99,86,NaN,-3,NaN,,-3,NaN,-48
128,NaN,,,,,,NaN,,NaN,,,NaN,
