time,Solar8000/ETCO2,SNUADC/ECG_II,Solar8000/CVP,SNUADC/CVP,Solar8000/PLETH_HR,SNUADC/ECG_V5,Solar8000/RR_CO2,Solar8000/PLETH_SPO2,Solar8000/ART_MBP,Solar8000/ART_DBP,Solar8000/ART_SBP,SNUADC/ART,Solar8000/HR
92,0,NaN,-11,NaN,81,NaN,,100,-3,-3,-3,NaN,80
93,,NaN,,NaN,,NaN,,,,,,NaN,
94,0,NaN,-11,NaN,81,NaN,,100,-3,-3,-3,NaN,80
95,,NaN,,NaN,,NaN,,,,,,NaN,
96,0,NaN,-12,NaN,81,NaN,,100,-3,-3,-3,NaN,81
97,,NaN,,NaN,,NaN,,,,,,NaN,
98,0,NaN,-12,NaN,81,NaN,,100,-3,-3,-3,NaN,81
99,,NaN,,NaN,,NaN,,,,,,NaN,
100,0,NaN,-11,NaN,82,NaN,,100,-3,-3,-3,NaN,81
101,,NaN,,NaN,,NaN,,,,,,NaN,
102,0,NaN,-11,NaN,82,NaN,,100,-3,-3,-3,NaN,81
103,,NaN,,NaN,,NaN,,,,,,NaN,
104,0,NaN,-10,NaN,81,NaN,,100,-3,-3,-3,NaN,81
105,,NaN,,NaN,,NaN,,,,,,NaN,
106,0,NaN,-10,NaN,81,NaN,,100,-3,-3,-3,NaN,81
107,,NaN,,NaN,,NaN,,,,,,NaN,
108,0,NaN,-11,NaN,81,NaN,,100,-3,-3,-3,NaN,81
109,,NaN,,NaN,,NaN,,,,,,NaN,
110,0,NaN,-11,NaN,81,NaN,,100,-2,-2,-2,NaN,81
111,,NaN,,NaN,,NaN,,,,,,NaN,
112,0,NaN,-11,NaN,82,NaN,,100,-2,-2,-2,NaN,81
113,,NaN,,NaN,,NaN,,,,,,NaN,
114,0,NaN,-11,NaN,82,NaN,,100,-3,-3,-3,NaN,81
115,,NaN,,NaN,,NaN,,,,,,NaN,
116,0,NaN,-11,NaN,81,NaN,,100,-3,-3,-3,NaN,81
117,,NaN,,NaN,,NaN,,,,,,NaN,
118,0,NaN,-11,NaN,81,NaN,,100,-3,-3,-3,NaN,81
119,,NaN,,NaN,,NaN,,,,,,NaN,
120,0,NaN,-12,NaN,82,NaN,,100,-3,-3,-3,NaN,81
121,,NaN,,NaN,,NaN,,,,,,NaN,
122,0,NaN,-12,NaN,82,NaN,,100,-3,-3,-3,NaN,82
123,,NaN,,NaN,,NaN,,,,,,NaN,
124,0,NaN,-12,NaN,82,NaN,,100,-3,-3,-3,NaN,82
125,,NaN,,NaN,,NaN,,,,,,NaN,
126,0,NaN,-12,NaN,82,NaN,,100,-3,-3,-3,NaN,82
127,,NaN,,NaN,,NaN,,,,,,NaN,
128,0,NaN,-12,NaN,82,NaN,,100,-3,-3,-3,NaN,81
129,,NaN,,NaN,,NaN,,,,,,NaN,
130,0,NaN,-12,NaN,81,NaN,,100,-3,-3,-3,NaN,81
131,,NaN,,NaN,,NaN,,,,,,NaN,
132,0,NaN,-12,NaN,80,NaN,,100,-3,-3,-3,NaN,79
133,,NaN,,NaN,,NaN,,,,,,NaN,
134,0,NaN,-12,NaN,79,NaN,,100,-3,-3,-3,NaN,78
135,,NaN,,NaN,,NaN,,,,,,NaN,
136,0,NaN,-12,NaN,78,NaN,,100,-3,-3,-3,NaN,77
137,,NaN,,NaN,,NaN,,,,,,NaN,
138,0,NaN,-12,NaN,77,NaN,,100,-3,-3,-3,NaN,77
139,,NaN,,NaN,,NaN,,,,,,NaN,
140,0,NaN,-12,NaN,77,NaN,,100,-3,-3,-3,NaN,76
141,,NaN,,NaN,,NaN,,,,,,NaN,
142,28,NaN,-12,NaN,76,NaN,,100,-3,-3,-3,NaN,75
143,,NaN,,NaN,,NaN,,,,,,NaN,
144,28,NaN,-12,NaN,75,NaN,,100,-3,-3,-3,NaN,75
145,,NaN,,NaN,,NaN,,,,,,NaN,
146,28,NaN,-12,NaN,75,NaN,,100,-3,-3,-3,NaN,74
147,,NaN,,NaN,,NaN,,,,,,NaN,
148,28,NaN,-12,NaN,74,NaN,,100,-3,-3,-3,NaN,74
149,,NaN,,NaN,,NaN,,,,,,NaN,
150,,NaN,-12,NaN,74,NaN,,100,-3,-3,-3,NaN,73
151,,NaN,,NaN,,NaN,,,,,,NaN,
152,,NaN,-12,NaN,73,NaN,,100,-3,-3,-3,NaN,73
153,,NaN,,NaN,,NaN,,,,,,NaN,
154,,NaN,-12,NaN,73,NaN,,100,-2,-2,-2,NaN,72
155,,NaN,,NaN,,NaN,,,,,,NaN,
156,,NaN,-12,NaN,72,NaN,,100,-2,-2,-2,NaN,72
157,,NaN,,NaN,,NaN,,,,,,NaN,
158,,NaN,-12,NaN,72,NaN,,100,-2,-2,-2,NaN,72
159,,NaN,,NaN,,NaN,,,,,,NaN,
160,,NaN,-12,NaN,72,NaN,,100,-2,-2,-2,NaN,72
161,,NaN,,NaN,,NaN,,,,,,NaN,
162,,NaN,-12,NaN,72,NaN,,100,-2,-2,-2,NaN,72
163,,NaN,,NaN,,NaN,,,,,,NaN,
164,,NaN,-12,NaN,71,NaN,,100,-2,-2,-2,NaN,71
165,,NaN,,NaN,,NaN,,,,,,NaN,
166,,NaN,-12,NaN,72,NaN,,100,-2,-2,-2,NaN,71
167,,NaN,,NaN,,NaN,,,,,,NaN,
168,,NaN,-12,NaN,71,NaN,,100,-2,-2,-2,NaN,70
169,,NaN,,NaN,,NaN,,,,,,NaN,
170,,NaN,-12,NaN,71,NaN,,100,-3,-8,3,NaN,70
171,,NaN,,NaN,,NaN,,,,,,NaN,
172,,NaN,-13,NaN,70,NaN,,100,-2,-20,15,NaN,70
173,,NaN,,NaN,,NaN,,,,,,NaN,
174,,NaN,-13,NaN,71,NaN,,99,-2,-20,15,NaN,70
175,,NaN,,NaN,,NaN,,,,,,NaN,
176,,NaN,-13,NaN,71,NaN,,99,-2,-2,-2,NaN,70
177,,NaN,,NaN,,NaN,,,,,,NaN,
178,,NaN,-13,NaN,71,NaN,,99,-2,-2,-2,NaN,70
179,,NaN,,NaN,,NaN,,,,,,NaN,
180,,NaN,-12,NaN,71,NaN,,99,-3,-3,-3,NaN,70
181,,NaN,,NaN,,NaN,,,,,,NaN,
182,,NaN,-12,NaN,71,NaN,,99,-3,-3,-3,NaN,70
183,,NaN,,NaN,,NaN,,,,,,NaN,
184,,NaN,-12,NaN,71,NaN,,99,-3,-3,-3,NaN,70
185,,NaN,,NaN,,NaN,,,,,,NaN,
186,,NaN,-12,NaN,70,NaN,,87,-3,-3,-3,NaN,70
187,,NaN,,NaN,,NaN,,,,,,NaN,
188,,NaN,-12,NaN,68,NaN,,85,-3,-3,-3,NaN,70
189,,NaN,,NaN,,NaN,,,,,,NaN,
190,,NaN,-12,NaN,68,NaN,,85,-3,-3,-3,NaN,69
191,,NaN,,NaN,,NaN,,,,,,NaN,
192,,NaN,-12,NaN,,NaN,,,-3,-3,-3,NaN,69
193,,NaN,,NaN,,NaN,,,,,,NaN,
194,,NaN,-12,NaN,,NaN,,,-3,-3,-3,NaN,69
195,,NaN,,NaN,,NaN,,,,,,NaN,
196,,NaN,-12,NaN,,NaN,,,-3,-3,-3,NaN,70
197,,NaN,,NaN,,NaN,,,,,,NaN,
198,,NaN,-11,NaN,69,NaN,,99,-3,-3,-3,NaN,70
199,,NaN,,NaN,,NaN,,,,,,NaN,
200,,NaN,-11,NaN,70,NaN,,100,-3,-3,-3,NaN,71
201,,NaN,,NaN,,NaN,,,,,,NaN,
202,,NaN,-12,NaN,69,NaN,,99,-3,-3,-3,NaN,71
203,,NaN,,NaN,,NaN,,,,,,NaN,
204,,NaN,-12,NaN,69,NaN,,99,-3,-3,-3,NaN,71
205,,NaN,,NaN,,NaN,,,,,,NaN,
206,,NaN,-12,NaN,71,NaN,,100,-3,-3,-3,NaN,72
207,,NaN,,NaN,,NaN,,,,,,NaN,
208,,NaN,-12,NaN,72,NaN,,100,-2,-2,-2,NaN,73
209,,NaN,,NaN,,NaN,,,,,,NaN,
210,,NaN,-12,NaN,73,NaN,,100,-2,-2,-2,NaN,73
211,,NaN,,NaN,,NaN,,,,,,NaN,
212,,NaN,-12,NaN,73,NaN,,100,-3,-3,-3,NaN,74
213,,NaN,,NaN,,NaN,,,,,,NaN,
214,,NaN,-12,NaN,74,NaN,,100,-3,-3,-3,NaN,73
215,,NaN,,NaN,,NaN,,,,,,NaN,
216,,NaN,-12,NaN,73,NaN,,100,-2,-2,-2,NaN,72
217,,NaN,,NaN,,NaN,,,,,,NaN,
218,,NaN,-11,NaN,73,NaN,,100,-2,-2,-2,NaN,72
219,,NaN,,NaN,,NaN,,,,,,NaN,
220,,NaN,-11,NaN,72,NaN,,100,-1,-1,-1,NaN,72
221,,NaN,,NaN,,NaN,,,,,,NaN,
222,,NaN,-11,NaN,72,NaN,,100,-1,-1,-1,NaN,71
223,,NaN,,NaN,,NaN,,,,,,NaN,
224,,NaN,-12,NaN,71,NaN,,100,-2,-2,-2,NaN,71
225,,NaN,,NaN,,NaN,,,,,,NaN,
226,,NaN,-12,NaN,71,NaN,,100,-2,-2,-2,NaN,71
227,,NaN,,NaN,,NaN,,,,,,NaN,
228,,NaN,-12,NaN,71,NaN,,100,-2,-2,-2,NaN,70
229,,NaN,,NaN,,NaN,,,,,,NaN,
230,,NaN,-12,NaN,71,NaN,,100,-2,-2,-2,NaN,70
231,,NaN,,NaN,,NaN,,,,,,NaN,
232,,NaN,-12,NaN,71,NaN,,100,-3,-4,0,NaN,70
233,,NaN,,NaN,,NaN,,,,,,NaN,
234,,NaN,-12,NaN,71,NaN,,100,-3,-4,0,NaN,70
235,,NaN,,NaN,,NaN,,,,,,NaN,
236,,NaN,-12,NaN,70,NaN,,100,-3,-4,0,NaN,70
237,,NaN,,NaN,,NaN,,,,,,NaN,
238,,NaN,-12,NaN,70,NaN,,100,-3,-3,-3,NaN,70
239,,NaN,,NaN,,NaN,,,,,,NaN,
240,,NaN,-11,NaN,70,NaN,,100,-3,-3,-3,NaN,69
241,,NaN,,NaN,,NaN,,,,,,NaN,
242,,NaN,-11,NaN,70,NaN,,100,-2,-2,-2,NaN,70
243,,NaN,,NaN,,NaN,,,,,,NaN,
244,,NaN,-12,NaN,71,NaN,,100,-2,-2,-2,NaN,70
245,,NaN,,NaN,,NaN,,,,,,NaN,
246,,NaN,-12,NaN,71,NaN,,100,-2,-2,-2,NaN,71
247,,NaN,,NaN,,NaN,,,,,,NaN,
248,,NaN,-12,NaN,71,NaN,,100,-2,-2,-2,NaN,70
249,,NaN,,NaN,,NaN,,,,,,NaN,
250,,NaN,-12,NaN,71,NaN,,100,-2,-2,-2,NaN,70
251,,NaN,,NaN,,NaN,,,,,,NaN,
252,,NaN,-12,NaN,71,NaN,,100,-2,-2,-2,NaN,70
253,,NaN,,NaN,,NaN,,,,,,NaN,
254,,NaN,-12,NaN,71,NaN,,100,-2,-2,-2,NaN,70
255,,NaN,,NaN,,NaN,,,,,,NaN,
256,,NaN,-12,NaN,71,NaN,,100,-2,-2,-2,NaN,70
257,,NaN,,NaN,,NaN,,,,,,NaN,
258,,NaN,-12,NaN,71,NaN,,100,-2,-2,-2,NaN,70
259,,NaN,,NaN,,NaN,,,,,,NaN,
260,,NaN,-12,NaN,71,NaN,,100,-2,-2,-2,NaN,70
261,,NaN,,NaN,,NaN,,,,,,NaN,
262,,NaN,-12,NaN,70,NaN,,100,-2,-2,-2,NaN,70
263,,NaN,,NaN,,NaN,,,,,,NaN,
264,,NaN,-12,NaN,70,NaN,,100,-2,-2,-2,NaN,69
265,,NaN,,NaN,,NaN,,,,,,NaN,
266,,NaN,-12,NaN,69,NaN,,100,-1,-1,-1,NaN,69
267,,NaN,,NaN,,NaN,,,,,,NaN,
268,,NaN,-12,NaN,69,NaN,,100,-1,-1,-1,NaN,68
269,,NaN,,NaN,,NaN,,,,,,NaN,
270,,NaN,-12,NaN,69,NaN,,100,-2,-2,-2,NaN,68
271,,NaN,,NaN,,NaN,,,,,,NaN,
272,,NaN,-12,NaN,69,NaN,,100,-2,-2,-2,NaN,68
273,,NaN,,NaN,,NaN,,,,,,NaN,
274,,NaN,-12,NaN,68,NaN,,100,-2,-2,-2,NaN,68
275,,NaN,,NaN,,NaN,,,,,,NaN,
276,,NaN,-12,NaN,68,NaN,,100,-2,-2,-2,NaN,68
277,,NaN,,NaN,,NaN,,,,,,NaN,
278,,NaN,-12,NaN,68,NaN,,100,-2,-2,-2,NaN,68
279,,NaN,,NaN,,NaN,,,,,,NaN,
280,,NaN,-12,NaN,68,NaN,,100,-2,-2,-2,NaN,68
281,,NaN,,NaN,,NaN,,,,,,NaN,
282,,NaN,-12,NaN,68,NaN,,100,-2,-2,-2,NaN,68
283,,NaN,,NaN,,NaN,,,,,,NaN,
284,,NaN,-12,NaN,68,NaN,,100,-2,-2,-2,NaN,68
285,,NaN,,NaN,,NaN,,,,,,NaN,
286,,NaN,-12,NaN,68,NaN,,100,-2,-2,-2,NaN,68
287,,NaN,,NaN,,NaN,,,,,,NaN,
288,,NaN,-11,NaN,69,NaN,,100,-2,-2,-2,NaN,68
289,,NaN,,NaN,,NaN,,,,,,NaN,
290,,NaN,-11,NaN,69,NaN,,100,-2,-2,-2,NaN,68
291,,NaN,,NaN,,NaN,,,,,,NaN,
292,,NaN,-12,NaN,69,NaN,,100,-2,-2,-2,NaN,68
293,,NaN,,NaN,,NaN,,,,,,NaN,
294,,NaN,-12,NaN,69,NaN,,100,-2,-2,-2,NaN,68
295,,NaN,,NaN,,NaN,,,,,,NaN,
296,,NaN,-12,NaN,68,NaN,,100,-2,-4,-2,NaN,68
297,,NaN,,NaN,,NaN,,,,,,NaN,
298,,NaN,-12,NaN,68,NaN,,100,-2,-4,-2,NaN,68
299,,NaN,,NaN,,NaN,,,,,,NaN,
300,,NaN,-12,NaN,68,NaN,,100,-2,-2,-2,NaN,68
301,,NaN,,NaN,,NaN,,,,,,NaN,
302,,NaN,-12,NaN,68,NaN,,100,-2,-2,-2,NaN,68
303,,NaN,,NaN,,NaN,,,,,,NaN,
304,,NaN,-12,NaN,68,NaN,,100,-2,-2,-2,NaN,68
305,,NaN,,NaN,,NaN,,,,,,NaN,
306,,NaN,-12,NaN,68,NaN,,100,-2,-2,-2,NaN,68
307,,NaN,,NaN,,NaN,,,,,,NaN,
308,,NaN,-11,NaN,68,NaN,,100,-2,-2,-2,NaN,68
309,,NaN,,NaN,,NaN,,,,,,NaN,
310,,NaN,-11,NaN,68,NaN,,100,-2,-2,-2,NaN,68
311,,NaN,,NaN,,NaN,,,,,,NaN,
312,,NaN,-12,NaN,69,NaN,,100,-2,-2,-2,NaN,68
313,,NaN,,NaN,,NaN,,,,,,NaN,
314,,NaN,-12,NaN,69,NaN,,100,1,1,1,NaN,69
315,,NaN,,NaN,,NaN,,,,,,NaN,
316,,NaN,-12,NaN,70,NaN,,100,1,1,1,NaN,70
317,,NaN,,NaN,,NaN,,,,,,NaN,
318,,NaN,-12,NaN,71,NaN,,100,-1,-57,65,NaN,71
319,,NaN,,NaN,,NaN,,,,,,NaN,
320,,NaN,-12,NaN,73,NaN,,100,0,-20,29,NaN,73
321,,NaN,,NaN,,NaN,,,,,,NaN,
322,,NaN,-12,NaN,76,NaN,,100,-2,-70,71,NaN,76
323,,NaN,,NaN,,NaN,,,,,,NaN,
324,,NaN,-12,NaN,78,NaN,,100,0,-43,52,NaN,79
325,,NaN,,NaN,,NaN,,,,,,NaN,
326,,NaN,-12,NaN,84,NaN,,100,4,-28,56,NaN,84
327,,NaN,,NaN,,NaN,,,,,,NaN,
328,3,NaN,-12,NaN,89,NaN,,100,15,1,67,NaN,88
329,,NaN,,NaN,,NaN,,,,,,NaN,
330,3,NaN,-12,NaN,94,NaN,,100,27,,267,NaN,94
331,,NaN,,NaN,,NaN,,,,,,NaN,
332,3,NaN,-12,NaN,97,NaN,,100,27,,,NaN,98
333,,NaN,,NaN,,NaN,,,,,,NaN,
334,3,NaN,-12,NaN,101,NaN,,100,4,,,NaN,102
335,,NaN,,NaN,,NaN,,,,,,NaN,
336,41,NaN,-12,NaN,105,NaN,6,100,9,,,NaN,104
337,,NaN,,NaN,,NaN,,,,,,NaN,
338,41,NaN,-12,NaN,106,NaN,6,100,9,,,NaN,106
339,,NaN,,NaN,,NaN,,,,,,NaN,
340,41,NaN,-12,NaN,108,NaN,6,100,12,,,NaN,108
341,,NaN,,NaN,,NaN,,,,,,NaN,
342,41,NaN,-12,NaN,108,NaN,6,100,12,,,NaN,108
343,,NaN,,NaN,,NaN,,,,,,NaN,
344,41,NaN,-12,NaN,109,NaN,6,100,12,,,NaN,108
345,,NaN,,NaN,,NaN,,,,,,NaN,
346,41,NaN,-12,NaN,109,NaN,6,100,13,,,NaN,108
347,,NaN,,NaN,,NaN,,,,,,NaN,
348,41,NaN,-12,NaN,109,NaN,6,100,13,,,NaN,108
349,,NaN,,NaN,,NaN,,,,,,NaN,
350,41,NaN,-12,NaN,108,NaN,6,100,13,,,NaN,107
351,,NaN,,NaN,,NaN,,,,,,NaN,
352,40,NaN,-11,NaN,108,NaN,8,100,13,,,NaN,107
353,,NaN,,NaN,,NaN,,,,,,NaN,
354,40,NaN,-11,NaN,107,NaN,8,100,12,,,NaN,106
355,,NaN,,NaN,,NaN,,,,,,NaN,
356,40,NaN,-12,NaN,106,NaN,8,100,12,,,NaN,105
357,,NaN,,NaN,,NaN,,,,,,NaN,
358,40,NaN,-12,NaN,104,NaN,8,100,12,,,NaN,104
359,,NaN,,NaN,,NaN,,,,,,NaN,
360,41,NaN,-12,NaN,103,NaN,12,100,12,,,NaN,102
361,,NaN,,NaN,,NaN,,,,,,NaN,
362,41,NaN,-12,NaN,102,NaN,12,100,14,,,NaN,101
363,,NaN,,NaN,,NaN,,,,,,NaN,
364,41,NaN,-12,NaN,101,NaN,12,100,14,,,NaN,100
365,,NaN,,NaN,,NaN,,,,,,NaN,
366,41,NaN,-12,NaN,100,NaN,14,100,13,,,NaN,99
367,,NaN,,NaN,,NaN,,,,,,NaN,
368,41,NaN,-12,NaN,99,NaN,14,100,13,,,NaN,98
369,,NaN,,NaN,,NaN,,,,,,NaN,
370,41,NaN,-12,NaN,98,NaN,14,100,13,,,NaN,98
371,,NaN,,NaN,,NaN,,,,,,NaN,
372,41,NaN,-12,NaN,98,NaN,14,100,13,,,NaN,97
373,,NaN,,NaN,,NaN,,,,,,NaN,
374,40,NaN,-12,NaN,97,NaN,15,100,12,,,NaN,96
375,,NaN,,NaN,,NaN,,,,,,NaN,
376,40,NaN,-12,NaN,96,NaN,15,100,12,,,NaN,96
377,,NaN,,NaN,,NaN,,,,,,NaN,
378,40,NaN,-12,NaN,96,NaN,15,100,13,,,NaN,95
379,,NaN,,NaN,,NaN,,,,,,NaN,
380,40,NaN,-12,NaN,96,NaN,15,100,13,,,NaN,95
381,,NaN,,NaN,,NaN,,,,,,NaN,
382,40,NaN,-12,NaN,95,NaN,15,100,13,,,NaN,94
383,,NaN,,NaN,,NaN,,,,,,NaN,
384,40,NaN,-12,NaN,94,NaN,15,100,13,,,NaN,93
385,,NaN,,NaN,,NaN,,,,,,NaN,
386,40,NaN,-12,NaN,94,NaN,15,100,13,,,NaN,93
