time,Solar8000/ETCO2,SNUADC/ECG_II,Solar8000/CVP,SNUADC/CVP,Solar8000/PLETH_HR,SNUADC/ECG_V5,Solar8000/RR_CO2,Solar8000/PLETH_SPO2,Solar8000/ART_MBP,Solar8000/ART_DBP,Solar8000/ART_SBP,SNUADC/ART,Solar8000/HR
1374,,NaN,,NaN,,NaN,,,,,,NaN,
1375,35,NaN,4,NaN,66,NaN,15,100,82,54,143,NaN,65
1376,,NaN,,NaN,,NaN,,,,,,NaN,
1377,35,NaN,7,NaN,65,NaN,15,100,82,55,145,NaN,65
1378,,NaN,,NaN,,NaN,,,,,,NaN,
1379,35,NaN,7,NaN,65,NaN,15,100,82,52,144,NaN,65
1380,,NaN,,NaN,,NaN,,,,,,NaN,
1381,35,NaN,5,NaN,65,NaN,15,100,82,54,144,NaN,65
1382,,NaN,,NaN,,NaN,,,,,,NaN,
1383,35,NaN,5,NaN,65,NaN,15,100,82,56,142,NaN,65
1384,,NaN,,NaN,,NaN,,,,,,NaN,
1385,35,NaN,7,NaN,66,NaN,15,100,83,56,144,NaN,65
1386,,NaN,,NaN,,NaN,,,,,,NaN,
1387,35,NaN,7,NaN,66,NaN,15,100,83,56,142,NaN,65
1388,,NaN,,NaN,,NaN,,,,,,NaN,
1389,35,NaN,5,NaN,66,NaN,15,100,83,55,143,NaN,65
1390,,NaN,,NaN,,NaN,,,,,,NaN,
1391,35,NaN,5,NaN,66,NaN,15,100,83,57,141,NaN,66
1392,,NaN,,NaN,,NaN,,,,,,NaN,
1393,35,NaN,8,NaN,67,NaN,15,100,84,58,144,NaN,66
1394,,NaN,,NaN,,NaN,,,,,,NaN,
1395,35,NaN,8,NaN,67,NaN,15,100,84,56,143,NaN,66
1396,,NaN,,NaN,,NaN,,,,,,NaN,
1397,35,NaN,6,NaN,67,NaN,15,100,83,56,143,NaN,67
1398,,NaN,,NaN,,NaN,,,,,,NaN,
1399,35,NaN,6,NaN,68,NaN,15,100,83,55,143,NaN,67
1400,,NaN,,NaN,,NaN,,,,,,NaN,
1401,34,NaN,6,NaN,68,NaN,15,100,83,55,143,NaN,67
1402,,NaN,,NaN,,NaN,,,,,,NaN,
1403,34,NaN,6,NaN,68,NaN,15,100,82,49,142,NaN,67
1404,,NaN,,NaN,,NaN,,,,,,NaN,
1405,34,NaN,6,NaN,68,NaN,15,100,82,54,141,NaN,67
1406,,NaN,,NaN,,NaN,,,,,,NaN,
1407,35,NaN,-2,NaN,68,NaN,15,100,81,54,140,NaN,67
1408,,NaN,,NaN,,NaN,,,,,,NaN,
1409,35,NaN,-2,NaN,68,NaN,15,100,81,54,141,NaN,67
1410,,NaN,,NaN,,NaN,,,,,,NaN,
1411,35,NaN,-1,NaN,68,NaN,15,100,81,53,140,NaN,67
1412,,NaN,,NaN,,NaN,,,,,,NaN,
1413,35,NaN,-1,NaN,68,NaN,15,100,80,53,140,NaN,67
1414,,NaN,,NaN,,NaN,,,,,,NaN,
1415,35,NaN,-2,NaN,68,NaN,15,100,80,53,138,NaN,67
1416,,NaN,,NaN,,NaN,,,,,,NaN,
1417,35,NaN,-2,NaN,67,NaN,15,100,80,53,139,NaN,66
1418,,NaN,,NaN,,NaN,,,,,,NaN,
1419,35,NaN,-1,NaN,67,NaN,15,100,79,52,138,NaN,66
1420,,NaN,,NaN,,NaN,,,,,,NaN,
1421,34,NaN,-1,NaN,67,NaN,15,100,84,53,131,NaN,66
1422,,NaN,,NaN,,NaN,,,,,,NaN,
1423,34,NaN,0,NaN,67,NaN,15,100,82,56,129,NaN,66
1424,,NaN,,NaN,,NaN,,,,,,NaN,
1425,34,NaN,0,NaN,67,NaN,15,100,81,54,137,NaN,66
1426,,NaN,,NaN,,NaN,,,,,,NaN,
1427,34,NaN,0,NaN,67,NaN,15,99,82,57,138,NaN,66
1428,,NaN,,NaN,,NaN,,,,,,NaN,
1429,35,NaN,0,NaN,67,NaN,15,99,82,55,141,NaN,66
1430,,NaN,,NaN,,NaN,,,,,,NaN,
1431,35,NaN,1,NaN,68,NaN,15,99,82,55,139,NaN,66
1432,,NaN,,NaN,,NaN,,,,,,NaN,
1433,35,NaN,1,NaN,69,NaN,15,99,83,57,141,NaN,67
1434,,NaN,,NaN,,NaN,,,,,,NaN,
1435,36,NaN,-1,NaN,70,NaN,15,99,83,57,139,NaN,68
1436,,NaN,,NaN,,NaN,,,,,,NaN,
1437,36,NaN,-1,NaN,71,NaN,15,99,84,57,140,NaN,71
1438,,NaN,,NaN,,NaN,,,,,,NaN,
1439,36,NaN,-1,NaN,71,NaN,15,99,83,56,137,NaN,71
1440,,NaN,,NaN,,NaN,,,,,,NaN,
1441,36,NaN,-1,NaN,72,NaN,15,100,84,57,140,NaN,72
1442,,NaN,,NaN,,NaN,,,,,,NaN,
1443,35,NaN,-1,NaN,72,NaN,15,100,84,53,140,NaN,72
1444,,NaN,,NaN,,NaN,,,,,,NaN,
1445,35,NaN,-2,NaN,72,NaN,15,100,84,56,138,NaN,72
1446,,NaN,,NaN,,NaN,,,,,,NaN,
1447,35,NaN,-2,NaN,72,NaN,15,100,83,55,133,NaN,72
1448,,NaN,,NaN,,NaN,,,,,,NaN,
1449,34,NaN,1,NaN,72,NaN,15,100,85,42,136,NaN,72
1450,,NaN,,NaN,,NaN,,,,,,NaN,
1451,34,NaN,1,NaN,72,NaN,15,100,85,54,146,NaN,72
1452,,NaN,,NaN,,NaN,,,,,,NaN,
1453,34,NaN,2,NaN,72,NaN,15,100,85,57,147,NaN,72
1454,,NaN,,NaN,,NaN,,,,,,NaN,
1455,34,NaN,2,NaN,72,NaN,15,100,85,57,147,NaN,72
1456,,NaN,,NaN,,NaN,,,,,,NaN,
1457,34,NaN,2,NaN,72,NaN,15,100,85,57,148,NaN,72
1458,,NaN,,NaN,,NaN,,,,,,NaN,
1459,34,NaN,2,NaN,72,NaN,15,100,84,56,146,NaN,72
1460,,NaN,,NaN,,NaN,,,,,,NaN,
1461,34,NaN,2,NaN,72,NaN,15,100,85,57,147,NaN,71
1462,,NaN,,NaN,,NaN,,,,,,NaN,
1463,34,NaN,2,NaN,72,NaN,15,100,84,57,145,NaN,71
1464,,NaN,,NaN,,NaN,,,,,,NaN,
1465,35,NaN,3,NaN,71,NaN,15,100,84,57,146,NaN,70
1466,,NaN,,NaN,,NaN,,,,,,NaN,
1467,35,NaN,3,NaN,71,NaN,15,100,84,56,142,NaN,70
1468,,NaN,,NaN,,NaN,,,,,,NaN,
1469,35,NaN,3,NaN,70,NaN,15,100,84,57,144,NaN,70
1470,,NaN,,NaN,,NaN,,,,,,NaN,
1471,36,NaN,2,NaN,71,NaN,15,100,84,57,143,NaN,70
1472,,NaN,,NaN,,NaN,,,,,,NaN,
1473,36,NaN,2,NaN,72,NaN,15,100,85,57,146,NaN,72
1474,,NaN,,NaN,,NaN,,,,,,NaN,
1475,36,NaN,7,NaN,73,NaN,15,100,84,57,144,NaN,73
1476,,NaN,,NaN,,NaN,,,,,,NaN,
1477,36,NaN,7,NaN,74,NaN,15,100,85,59,146,NaN,74
1478,,NaN,,NaN,,NaN,,,,,,NaN,
1479,35,NaN,4,NaN,75,NaN,15,100,84,56,142,NaN,74
1480,,NaN,,NaN,,NaN,,,,,,NaN,
1481,35,NaN,4,NaN,75,NaN,15,100,84,55,143,NaN,74
1482,,NaN,,NaN,,NaN,,,,,,NaN,
1483,35,NaN,5,NaN,75,NaN,15,100,84,56,141,NaN,74
1484,,NaN,,NaN,,NaN,,,,,,NaN,
1485,36,NaN,5,NaN,74,NaN,15,100,85,55,143,NaN,74
1486,,NaN,,NaN,,NaN,,,,,,NaN,
1487,36,NaN,5,NaN,74,NaN,15,100,85,56,145,NaN,74
1488,,NaN,,NaN,,NaN,,,,,,NaN,
1489,36,NaN,5,NaN,74,NaN,15,100,85,58,146,NaN,74
1490,,NaN,,NaN,,NaN,,,,,,NaN,
1491,36,NaN,5,NaN,74,NaN,15,100,85,57,145,NaN,73
1492,,NaN,,NaN,,NaN,,,,,,NaN,
1493,35,NaN,5,NaN,74,NaN,15,100,85,57,146,NaN,73
1494,,NaN,,NaN,,NaN,,,,,,NaN,
1495,35,NaN,7,NaN,73,NaN,15,100,84,57,145,NaN,73
1496,,NaN,,NaN,,NaN,,,,,,NaN,
1497,35,NaN,7,NaN,73,NaN,15,100,84,56,146,NaN,72
1498,,NaN,,NaN,,NaN,,,,,,NaN,
1499,35,NaN,9,NaN,72,NaN,15,100,83,55,144,NaN,72
1500,,NaN,,NaN,,NaN,,,,,,NaN,
1501,35,NaN,9,NaN,72,NaN,15,100,83,55,143,NaN,71
1502,,NaN,,NaN,,NaN,,,,,,NaN,
1503,35,NaN,9,NaN,71,NaN,15,100,83,56,142,NaN,70
1504,,NaN,,NaN,,NaN,,,,,,NaN,
1505,35,NaN,7,NaN,70,NaN,15,100,83,56,144,NaN,69
1506,,NaN,,NaN,,NaN,,,,,,NaN,
1507,35,NaN,7,NaN,70,NaN,15,100,83,55,143,NaN,69
1508,,NaN,,NaN,,NaN,,,,,,NaN,
1509,35,NaN,7,NaN,69,NaN,15,100,83,55,144,NaN,69
1510,,NaN,,NaN,,NaN,,,,,,NaN,
1511,35,NaN,7,NaN,69,NaN,15,100,82,55,142,NaN,68
1512,,NaN,,NaN,,NaN,,,,,,NaN,
1513,35,NaN,6,NaN,69,NaN,15,100,82,55,142,NaN,68
1514,,NaN,,NaN,,NaN,,,,,,NaN,
1515,35,NaN,6,NaN,68,NaN,15,100,81,54,141,NaN,68
1516,,NaN,,NaN,,NaN,,,,,,NaN,
1517,35,NaN,5,NaN,68,NaN,15,100,81,54,141,NaN,67
1518,,NaN,,NaN,,NaN,,,,,,NaN,
1519,35,NaN,5,NaN,67,NaN,15,100,80,54,139,NaN,67
1520,,NaN,,NaN,,NaN,,,,,,NaN,
1521,35,NaN,5,NaN,67,NaN,15,100,81,54,140,NaN,66
1522,,NaN,,NaN,,NaN,,,,,,NaN,
1523,35,NaN,5,NaN,67,NaN,15,100,80,54,139,NaN,66
1524,,NaN,,NaN,,NaN,,,,,,NaN,
1525,35,NaN,5,NaN,67,NaN,15,100,80,54,141,NaN,66
1526,,NaN,,NaN,,NaN,,,,,,NaN,
1527,35,NaN,5,NaN,67,NaN,15,100,80,53,139,NaN,66
1528,,NaN,,NaN,,NaN,,,,,,NaN,
1529,35,NaN,5,NaN,67,NaN,15,100,80,54,139,NaN,66
1530,,NaN,,NaN,,NaN,,,,,,NaN,
1531,35,NaN,5,NaN,67,NaN,15,100,80,52,137,NaN,66
1532,,NaN,,NaN,,NaN,,,,,,NaN,
1533,35,NaN,5,NaN,67,NaN,15,100,80,53,138,NaN,66
1534,,NaN,,NaN,,NaN,,,,,,NaN,
1535,35,NaN,5,NaN,67,NaN,15,100,79,53,139,NaN,66
1536,,NaN,,NaN,,NaN,,,,,,NaN,
1537,35,NaN,5,NaN,67,NaN,15,100,79,51,139,NaN,66
1538,,NaN,,NaN,,NaN,,,,,,NaN,
1539,35,NaN,6,NaN,67,NaN,15,100,78,50,138,NaN,66
1540,,NaN,,NaN,,NaN,,,,,,NaN,
1541,35,NaN,6,NaN,66,NaN,15,100,79,53,137,NaN,66
1542,,NaN,,NaN,,NaN,,,,,,NaN,
1543,35,NaN,5,NaN,66,NaN,15,100,78,53,137,NaN,65
1544,,NaN,,NaN,,NaN,,,,,,NaN,
1545,35,NaN,5,NaN,66,NaN,15,100,78,48,137,NaN,65
1546,,NaN,,NaN,,NaN,,,,,,NaN,
1547,35,NaN,7,NaN,66,NaN,15,100,78,51,134,NaN,65
1548,,NaN,,NaN,,NaN,,,,,,NaN,
1549,35,NaN,7,NaN,66,NaN,15,100,78,53,137,NaN,65
1550,,NaN,,NaN,,NaN,,,,,,NaN,
1551,35,NaN,5,NaN,66,NaN,15,100,77,45,138,NaN,65
1552,,NaN,,NaN,,NaN,,,,,,NaN,
1553,35,NaN,5,NaN,65,NaN,15,100,78,51,137,NaN,65
1554,,NaN,,NaN,,NaN,,,,,,NaN,
1555,35,NaN,7,NaN,65,NaN,15,100,78,52,135,NaN,65
1556,,NaN,,NaN,,NaN,,,,,,NaN,
1557,35,NaN,7,NaN,65,NaN,15,100,78,53,136,NaN,65
1558,,NaN,,NaN,,NaN,,,,,,NaN,
1559,35,NaN,6,NaN,65,NaN,15,100,77,53,134,NaN,65
1560,,NaN,,NaN,,NaN,,,,,,NaN,
1561,35,NaN,6,NaN,65,NaN,15,100,78,52,135,NaN,65
1562,,NaN,,NaN,,NaN,,,,,,NaN,
1563,34,NaN,7,NaN,65,NaN,15,100,77,52,134,NaN,64
1564,,NaN,,NaN,,NaN,,,,,,NaN,
1565,34,NaN,7,NaN,65,NaN,15,100,78,50,135,NaN,64
1566,,NaN,,NaN,,NaN,,,,,,NaN,
1567,34,NaN,7,NaN,65,NaN,15,100,77,51,134,NaN,64
1568,,NaN,,NaN,,NaN,,,,,,NaN,
1569,35,NaN,7,NaN,65,NaN,15,100,77,52,134,NaN,64
1570,,NaN,,NaN,,NaN,,,,,,NaN,
1571,35,NaN,7,NaN,65,NaN,15,100,77,51,133,NaN,64
1572,,NaN,,NaN,,NaN,,,,,,NaN,
1573,35,NaN,6,NaN,64,NaN,15,100,77,51,135,NaN,64
1574,,NaN,,NaN,,NaN,,,,,,NaN,
1575,35,NaN,6,NaN,64,NaN,15,100,76,51,133,NaN,64
1576,,NaN,,NaN,,NaN,,,,,,NaN,
1577,34,NaN,6,NaN,64,NaN,15,100,77,52,134,NaN,64
1578,,NaN,,NaN,,NaN,,,,,,NaN,
1579,34,NaN,6,NaN,64,NaN,15,100,76,50,133,NaN,64
1580,,NaN,,NaN,,NaN,,,,,,NaN,
1581,34,NaN,7,NaN,64,NaN,15,100,77,52,134,NaN,64
1582,,NaN,,NaN,,NaN,,,,,,NaN,
1583,34,NaN,7,NaN,64,NaN,15,100,76,52,133,NaN,64
1584,,NaN,,NaN,,NaN,,,,,,NaN,
1585,34,NaN,6,NaN,64,NaN,15,100,77,52,134,NaN,64
1586,,NaN,,NaN,,NaN,,,,,,NaN,
1587,34,NaN,6,NaN,64,NaN,15,100,76,46,133,NaN,64
1588,,NaN,,NaN,,NaN,,,,,,NaN,
1589,34,NaN,5,NaN,64,NaN,15,100,77,51,138,NaN,64
1590,,NaN,,NaN,,NaN,,,,,,NaN,
1591,34,NaN,5,NaN,64,NaN,15,100,76,51,134,NaN,64
1592,,NaN,,NaN,,NaN,,,,,,NaN,
1593,34,NaN,3,NaN,64,NaN,15,100,76,51,134,NaN,64
1594,,NaN,,NaN,,NaN,,,,,,NaN,
1595,34,NaN,3,NaN,64,NaN,15,100,76,51,132,NaN,64
1596,,NaN,,NaN,,NaN,,,,,,NaN,
1597,34,NaN,3,NaN,64,NaN,15,100,76,51,133,NaN,63
1598,,NaN,,NaN,,NaN,,,,,,NaN,
1599,34,NaN,3,NaN,64,NaN,15,100,75,50,132,NaN,63
1600,,NaN,,NaN,,NaN,,,,,,NaN,
1601,34,NaN,3,NaN,64,NaN,15,100,75,51,133,NaN,63
1602,,NaN,,NaN,,NaN,,,,,,NaN,
1603,34,NaN,4,NaN,64,NaN,15,100,75,50,131,NaN,63
1604,,NaN,,NaN,,NaN,,,,,,NaN,
1605,34,NaN,4,NaN,64,NaN,15,100,75,51,133,NaN,63
1606,,NaN,,NaN,,NaN,,,,,,NaN,
1607,34,NaN,4,NaN,64,NaN,15,100,75,51,132,NaN,63
1608,,NaN,,NaN,,NaN,,,,,,NaN,
1609,34,NaN,4,NaN,64,NaN,15,100,75,51,132,NaN,63
1610,,NaN,,NaN,,NaN,,,,,,NaN,
1611,34,NaN,4,NaN,64,NaN,15,100,75,51,132,NaN,63
1612,,NaN,,NaN,,NaN,,,,,,NaN,
1613,34,NaN,4,NaN,64,NaN,15,100,75,51,132,NaN,64
1614,,NaN,,NaN,,NaN,,,,,,NaN,
1615,34,NaN,4,NaN,64,NaN,15,100,75,51,131,NaN,64
1616,,NaN,,NaN,,NaN,,,,,,NaN,
1617,34,NaN,4,NaN,64,NaN,15,100,75,51,132,NaN,64
1618,,NaN,,NaN,,NaN,,,,,,NaN,
1619,34,NaN,4,NaN,64,NaN,15,100,75,51,131,NaN,64
1620,,NaN,,NaN,,NaN,,,,,,NaN,
1621,34,NaN,4,NaN,64,NaN,15,100,75,51,132,NaN,64
1622,,NaN,,NaN,,NaN,,,,,,NaN,
1623,34,NaN,4,NaN,64,NaN,15,100,75,51,131,NaN,64
1624,,NaN,,NaN,,NaN,,,,,,NaN,
1625,34,NaN,4,NaN,63,NaN,15,100,75,51,132,NaN,63
1626,,NaN,,NaN,,NaN,,,,,,NaN,
1627,34,NaN,4,NaN,64,NaN,15,100,75,51,130,NaN,63
1628,,NaN,,NaN,,NaN,,,,,,NaN,
1629,34,NaN,4,NaN,63,NaN,15,100,75,51,131,NaN,63
1630,,NaN,,NaN,,NaN,,,,,,NaN,
1631,34,NaN,4,NaN,64,NaN,15,100,75,50,130,NaN,63
1632,,NaN,,NaN,,NaN,,,,,,NaN,
1633,34,NaN,4,NaN,63,NaN,15,100,75,51,131,NaN,63
1634,,NaN,,NaN,,NaN,,,,,,NaN,
1635,34,NaN,4,NaN,64,NaN,15,100,74,50,129,NaN,63
1636,,NaN,,NaN,,NaN,,,,,,NaN,
1637,34,NaN,4,NaN,63,NaN,15,100,75,51,131,NaN,63
1638,,NaN,,NaN,,NaN,,,,,,NaN,
1639,34,NaN,4,NaN,64,NaN,15,100,74,50,129,NaN,63
1640,,NaN,,NaN,,NaN,,,,,,NaN,
1641,34,NaN,4,NaN,63,NaN,15,100,74,50,130,NaN,63
1642,,NaN,,NaN,,NaN,,,,,,NaN,
1643,34,NaN,4,NaN,63,NaN,15,100,74,50,129,NaN,63
1644,,NaN,,NaN,,NaN,,,,,,NaN,
1645,34,NaN,4,NaN,63,NaN,15,100,74,50,130,NaN,63
1646,,NaN,,NaN,,NaN,,,,,,NaN,
1647,34,NaN,4,NaN,63,NaN,15,100,74,50,129,NaN,63
1648,,NaN,,NaN,,NaN,,,,,,NaN,
1649,34,NaN,4,NaN,63,NaN,15,100,74,51,130,NaN,63
1650,,NaN,,NaN,,NaN,,,,,,NaN,
1651,34,NaN,4,NaN,63,NaN,15,100,74,50,129,NaN,63
1652,,NaN,,NaN,,NaN,,,,,,NaN,
1653,34,NaN,4,NaN,63,NaN,15,100,74,50,130,NaN,63
1654,,NaN,,NaN,,NaN,,,,,,NaN,
1655,34,NaN,4,NaN,63,NaN,15,100,74,50,129,NaN,63
1656,,NaN,,NaN,,NaN,,,,,,NaN,
1657,34,NaN,4,NaN,63,NaN,15,100,74,51,130,NaN,63
1658,,NaN,,NaN,,NaN,,,,,,NaN,
1659,34,NaN,4,NaN,63,NaN,15,100,74,50,129,NaN,63
1660,,NaN,,NaN,,NaN,,,,,,NaN,
1661,34,NaN,4,NaN,63,NaN,15,100,74,50,130,NaN,63
1662,,NaN,,NaN,,NaN,,,,,,NaN,
1663,34,NaN,4,NaN,63,NaN,15,100,73,50,128,NaN,63
1664,,NaN,,NaN,,NaN,,,,,,NaN,
1665,34,NaN,4,NaN,63,NaN,15,100,73,50,129,NaN,63
1666,,NaN,,NaN,,NaN,,,,,,NaN,
1667,34,NaN,4,NaN,63,NaN,15,100,73,50,128,NaN,62
1668,,NaN,,NaN,,NaN,,,,,,NaN,
1669,34,NaN,4,NaN,63,NaN,15,100,73,50,128,NaN,62
1670,,NaN,,NaN,,NaN,,,,,,NaN,
1671,34,NaN,4,NaN,63,NaN,15,100,73,49,128,NaN,62
1672,,NaN,,NaN,,NaN,,,,,,NaN,
1673,34,NaN,4,NaN,63,NaN,15,100,73,50,129,NaN,62
1674,,NaN,,NaN,,NaN,,,,,,NaN,
1675,34,NaN,4,NaN,63,NaN,15,100,73,50,127,NaN,62
1676,,NaN,,NaN,,NaN,,,,,,NaN,
1677,34,NaN,4,NaN,63,NaN,15,100,73,50,129,NaN,63
1678,,NaN,,NaN,,NaN,,,,,,NaN,
1679,34,NaN,4,NaN,63,NaN,15,100,73,49,127,NaN,63
1680,,NaN,,NaN,,NaN,,,,,,NaN,
1681,34,NaN,4,NaN,63,NaN,15,100,73,50,128,NaN,63
1682,,NaN,,NaN,,NaN,,,,,,NaN,
1683,34,NaN,4,NaN,64,NaN,15,100,73,49,127,NaN,63
1684,,NaN,,NaN,,NaN,,,,,,NaN,
1685,34,NaN,4,NaN,64,NaN,15,100,73,50,128,NaN,63
1686,,NaN,,NaN,,NaN,,,,,,NaN,
1687,34,NaN,3,NaN,64,NaN,15,100,72,49,127,NaN,64
1688,,NaN,,NaN,,NaN,,,,,,NaN,
1689,34,NaN,3,NaN,64,NaN,15,100,73,49,128,NaN,64
1690,,NaN,,NaN,,NaN,,,,,,NaN,
1691,34,NaN,2,NaN,64,NaN,15,100,72,49,127,NaN,64
1692,,NaN,,NaN,,NaN,,,,,,NaN,
1693,34,NaN,2,NaN,64,NaN,15,100,72,50,127,NaN,64
1694,,NaN,,NaN,,NaN,,,,,,NaN,
1695,34,NaN,2,NaN,65,NaN,15,100,72,49,127,NaN,64
1696,,NaN,,NaN,,NaN,,,,,,NaN,
1697,34,NaN,1,NaN,64,NaN,15,100,72,50,127,NaN,64
1698,,NaN,,NaN,,NaN,,,,,,NaN,
1699,34,NaN,1,NaN,64,NaN,15,100,72,49,127,NaN,64
1700,,NaN,,NaN,,NaN,,,,,,NaN,
1701,34,NaN,1,NaN,64,NaN,15,100,72,49,128,NaN,64
1702,,NaN,,NaN,,NaN,,,,,,NaN,
1703,34,NaN,1,NaN,64,NaN,15,100,72,49,126,NaN,64
1704,,NaN,,NaN,,NaN,,,,,,NaN,
1705,34,NaN,1,NaN,64,NaN,15,100,72,49,127,NaN,64
1706,,NaN,,NaN,,NaN,,,,,,NaN,
1707,34,NaN,1,NaN,64,NaN,15,100,72,49,126,NaN,64
1708,,NaN,,NaN,,NaN,,,,,,NaN,
1709,34,NaN,1,NaN,64,NaN,15,100,72,49,127,NaN,63
1710,,NaN,,NaN,,NaN,,,,,,NaN,
1711,34,NaN,1,NaN,64,NaN,15,100,72,49,126,NaN,63
1712,,NaN,,NaN,,NaN,,,,,,NaN,
1713,34,NaN,53,NaN,64,NaN,15,100,72,49,126,NaN,63
1714,,NaN,,NaN,,NaN,,,,,,NaN,
1715,34,NaN,53,NaN,64,NaN,15,100,71,49,126,NaN,63
1716,,NaN,,NaN,,NaN,,,,,,NaN,
1717,34,NaN,126,NaN,63,NaN,15,100,72,49,126,NaN,63
1718,,NaN,,NaN,,NaN,,,,,,NaN,
1719,34,NaN,126,NaN,63,NaN,15,100,71,48,124,NaN,63
1720,,NaN,,NaN,,NaN,,,,,,NaN,
1721,34,NaN,103,NaN,63,NaN,15,100,71,48,126,NaN,63
1722,,NaN,,NaN,,NaN,,,,,,NaN,
1723,34,NaN,103,NaN,63,NaN,15,100,71,48,124,NaN,62
1724,,NaN,,NaN,,NaN,,,,,,NaN,
1725,34,NaN,103,NaN,63,NaN,15,100,71,49,126,NaN,62
1726,,NaN,,NaN,,NaN,,,,,,NaN,
1727,34,NaN,76,NaN,63,NaN,15,100,71,48,124,NaN,62
1728,,NaN,,NaN,,NaN,,,,,,NaN,
1729,34,NaN,76,NaN,63,NaN,15,100,71,49,125,NaN,62
1730,,NaN,,NaN,,NaN,,,,,,NaN,
1731,34,NaN,89,NaN,63,NaN,15,100,71,48,125,NaN,62
1732,,NaN,,NaN,,NaN,,,,,,NaN,
1733,34,NaN,89,NaN,63,NaN,15,100,71,49,125,NaN,62
1734,,NaN,,NaN,,NaN,,,,,,NaN,
1735,34,NaN,-1,NaN,63,NaN,15,100,71,48,125,NaN,62
1736,,NaN,,NaN,,NaN,,,,,,NaN,
1737,34,NaN,-1,NaN,63,NaN,15,100,71,48,125,NaN,62
1738,,NaN,,NaN,,NaN,,,,,,NaN,
1739,34,NaN,126,NaN,63,NaN,15,100,71,48,124,NaN,62
1740,,NaN,,NaN,,NaN,,,,,,NaN,
1741,34,NaN,126,NaN,62,NaN,15,100,71,49,124,NaN,62
1742,,NaN,,NaN,,NaN,,,,,,NaN,
1743,34,NaN,2,NaN,62,NaN,15,100,70,48,123,NaN,62
1744,,NaN,,NaN,,NaN,,,,,,NaN,
1745,34,NaN,2,NaN,62,NaN,15,100,71,48,124,NaN,62
1746,,NaN,,NaN,,NaN,,,,,,NaN,
1747,34,NaN,2,NaN,62,NaN,15,100,70,48,123,NaN,61
1748,,NaN,,NaN,,NaN,,,,,,NaN,
1749,33,NaN,2,NaN,62,NaN,15,100,70,48,124,NaN,61
1750,,NaN,,NaN,,NaN,,,,,,NaN,
1751,33,NaN,17,NaN,62,NaN,15,100,70,48,123,NaN,61
1752,,NaN,,NaN,,NaN,,,,,,NaN,
1753,33,NaN,17,NaN,62,NaN,15,100,71,48,124,NaN,61
1754,,NaN,,NaN,,NaN,,,,,,NaN,
1755,33,NaN,74,NaN,62,NaN,15,100,70,48,123,NaN,61
1756,,NaN,,NaN,,NaN,,,,,,NaN,
1757,34,NaN,74,NaN,62,NaN,15,100,71,48,124,NaN,62
1758,,NaN,,NaN,,NaN,,,,,,NaN,
1759,34,NaN,74,NaN,62,NaN,15,100,70,48,123,NaN,62
1760,,NaN,,NaN,,NaN,,,,,,NaN,
1761,34,NaN,184,NaN,62,NaN,15,100,71,48,124,NaN,62
1762,,NaN,,NaN,,NaN,,,,,,NaN,
1763,34,NaN,184,NaN,62,NaN,15,100,70,48,123,NaN,62
1764,,NaN,,NaN,,NaN,,,,,,NaN,
1765,34,NaN,33,NaN,62,NaN,15,100,71,48,124,NaN,62
1766,,NaN,,NaN,,NaN,,,,,,NaN,
1767,34,NaN,33,NaN,62,NaN,15,100,70,48,123,NaN,62
1768,,NaN,,NaN,,NaN,,,,,,NaN,
1769,34,NaN,1,NaN,62,NaN,15,100,71,49,124,NaN,61
1770,,NaN,,NaN,,NaN,,,,,,NaN,
1771,34,NaN,1,NaN,62,NaN,15,100,70,48,123,NaN,61
1772,,NaN,,NaN,,NaN,,,,,,NaN,
1773,34,NaN,1,NaN,62,NaN,15,100,71,48,124,NaN,61
1774,,NaN,,NaN,,NaN,,,,,,NaN,
1775,34,NaN,1,NaN,62,NaN,15,100,70,48,123,NaN,61
1776,,NaN,,NaN,,NaN,,,,,,NaN,
1777,34,NaN,1,NaN,62,NaN,15,100,71,48,123,NaN,61
1778,,NaN,,NaN,,NaN,,,,,,NaN,
1779,34,NaN,1,NaN,62,NaN,15,100,70,48,122,NaN,61
1780,,NaN,,NaN,,NaN,,,,,,NaN,
1781,34,NaN,1,NaN,62,NaN,15,100,71,49,123,NaN,61
1782,,NaN,,NaN,,NaN,,,,,,NaN,
1783,34,NaN,1,NaN,62,NaN,15,100,70,48,122,NaN,61
1784,,NaN,,NaN,,NaN,,,,,,NaN,
1785,34,NaN,1,NaN,62,NaN,15,100,71,48,124,NaN,61
1786,,NaN,,NaN,,NaN,,,,,,NaN,
1787,34,NaN,1,NaN,62,NaN,15,100,70,48,122,NaN,61
1788,,NaN,,NaN,,NaN,,,,,,NaN,
1789,34,NaN,1,NaN,62,NaN,15,100,71,49,123,NaN,61
1790,,NaN,,NaN,,NaN,,,,,,NaN,
1791,34,NaN,1,NaN,62,NaN,15,100,71,49,123,NaN,61
1792,,NaN,,NaN,,NaN,,,,,,NaN,
1793,34,NaN,1,NaN,62,NaN,15,100,71,49,124,NaN,61
1794,,NaN,,NaN,,NaN,,,,,,NaN,
1795,34,NaN,1,NaN,62,NaN,15,100,71,48,123,NaN,61
1796,,NaN,,NaN,,NaN,,,,,,NaN,
1797,34,NaN,1,NaN,62,NaN,15,100,71,49,124,NaN,61
1798,,NaN,,NaN,,NaN,,,,,,NaN,
