time,Solar8000/PLETH_HR,Solar8000/RR_CO2,Solar8000/CVP,Solar8000/ART_SBP,SNUADC/ART,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/ART_MBP,SNUADC/CVP,Solar8000/ETCO2,Solar8000/HR,SNUADC/ECG_II,Solar8000/PLETH_SPO2
91,,,,,NaN,,NaN,,NaN,,,NaN,
92,79,,-6,-8,NaN,-8,NaN,-8,NaN,0,94,NaN,100
93,,,,,NaN,,NaN,,NaN,,,NaN,
94,94,,-6,-8,NaN,-8,NaN,-8,NaN,0,95,NaN,100
95,,,,,NaN,,NaN,,NaN,,,NaN,
96,94,,-6,-8,NaN,-8,NaN,-8,NaN,0,100,NaN,100
97,,,,,NaN,,NaN,,NaN,,,NaN,
98,97,,-6,-8,NaN,-8,NaN,-8,NaN,0,100,NaN,100
99,,,,,NaN,,NaN,,NaN,,,NaN,
100,105,,-6,-8,NaN,-8,NaN,-8,NaN,0,106,NaN,100
101,,,,,NaN,,NaN,,NaN,,,NaN,
102,105,,-6,-8,NaN,-8,NaN,-8,NaN,0,95,NaN,100
103,,,,,NaN,,NaN,,NaN,,,NaN,
104,102,,-6,-8,NaN,-8,NaN,-8,NaN,0,84,NaN,100
105,,,,,NaN,,NaN,,NaN,,,NaN,
106,102,,-6,-8,NaN,-8,NaN,-8,NaN,0,101,NaN,100
107,,,,,NaN,,NaN,,NaN,,,NaN,
108,103,,-6,-8,NaN,-8,NaN,-8,NaN,0,103,NaN,100
109,,,,,NaN,,NaN,,NaN,,,NaN,
110,108,,-6,-8,NaN,-8,NaN,-8,NaN,0,102,NaN,100
111,,,,,NaN,,NaN,,NaN,,,NaN,
112,103,,-6,-8,NaN,-8,NaN,-8,NaN,0,103,NaN,100
113,,,,,NaN,,NaN,,NaN,,,NaN,
114,101,,-6,-8,NaN,-8,NaN,-8,NaN,0,98,NaN,100
115,,,,,NaN,,NaN,,NaN,,,NaN,
116,98,,-6,-8,NaN,-8,NaN,-8,NaN,0,101,NaN,100
117,,,,,NaN,,NaN,,NaN,,,NaN,
118,98,,-6,-8,NaN,-8,NaN,-8,NaN,0,103,NaN,100
119,,,,,NaN,,NaN,,NaN,,,NaN,
120,98,,-6,-8,NaN,-8,NaN,-8,NaN,0,89,NaN,100
121,,,,,NaN,,NaN,,NaN,,,NaN,
122,99,,-6,-8,NaN,-8,NaN,-8,NaN,0,83,NaN,100
123,,,,,NaN,,NaN,,NaN,,,NaN,
124,95,,-6,-8,NaN,-8,NaN,-8,NaN,0,99,NaN,100
125,,,,,NaN,,NaN,,NaN,,,NaN,
126,92,,-6,-8,NaN,-8,NaN,-8,NaN,0,91,NaN,100
127,,,,,NaN,,NaN,,NaN,,,NaN,
128,95,,-6,-9,NaN,-9,NaN,-9,NaN,0,107,NaN,100
129,,,,,NaN,,NaN,,NaN,,,NaN,
130,92,,-6,-9,NaN,-9,NaN,-9,NaN,0,103,NaN,100
131,,,,,NaN,,NaN,,NaN,,,NaN,
132,87,,-6,-8,NaN,-8,NaN,-8,NaN,0,103,NaN,100
133,,,,,NaN,,NaN,,NaN,,,NaN,
134,89,,-6,-8,NaN,-8,NaN,-8,NaN,0,96,NaN,100
135,,,,,NaN,,NaN,,NaN,,,NaN,
136,93,,-6,-8,NaN,-8,NaN,-8,NaN,0,103,NaN,100
137,,,,,NaN,,NaN,,NaN,,,NaN,
138,100,,-6,-9,NaN,-9,NaN,-9,NaN,0,110,NaN,100
139,,,,,NaN,,NaN,,NaN,,,NaN,
140,107,,-5,-9,NaN,-9,NaN,-9,NaN,0,102,NaN,100
141,,,,,NaN,,NaN,,NaN,,,NaN,
142,106,,-5,-9,NaN,-9,NaN,-9,NaN,0,103,NaN,100
143,,,,,NaN,,NaN,,NaN,,,NaN,
144,103,,-6,-9,NaN,-9,NaN,-9,NaN,0,106,NaN,100
145,,,,,NaN,,NaN,,NaN,,,NaN,
146,103,,-6,-9,NaN,-9,NaN,-9,NaN,0,110,NaN,100
147,,,,,NaN,,NaN,,NaN,,,NaN,
148,98,,-5,-9,NaN,-9,NaN,-9,NaN,0,102,NaN,100
149,,,,,NaN,,NaN,,NaN,,,NaN,
150,96,,-5,-9,NaN,-9,NaN,-9,NaN,0,98,NaN,100
151,,,,,NaN,,NaN,,NaN,,,NaN,
152,94,,-5,-9,NaN,-9,NaN,-9,NaN,0,93,NaN,100
153,,,,,NaN,,NaN,,NaN,,,NaN,
154,89,,-5,-9,NaN,-9,NaN,-9,NaN,0,97,NaN,100
155,,,,,NaN,,NaN,,NaN,,,NaN,
156,84,,-5,-9,NaN,-9,NaN,-9,NaN,0,98,NaN,100
157,,,,,NaN,,NaN,,NaN,,,NaN,
158,84,,-6,-9,NaN,-9,NaN,-9,NaN,0,92,NaN,100
159,,,,,NaN,,NaN,,NaN,,,NaN,
160,82,,-6,-8,NaN,-8,NaN,-8,NaN,0,99,NaN,100
161,,,,,NaN,,NaN,,NaN,,,NaN,
162,82,,-6,-8,NaN,-8,NaN,-8,NaN,0,101,NaN,100
163,,,,,NaN,,NaN,,NaN,,,NaN,
164,83,,-6,-9,NaN,-9,NaN,-9,NaN,0,95,NaN,100
165,,,,,NaN,,NaN,,NaN,,,NaN,
166,89,,-5,-9,NaN,-9,NaN,-9,NaN,0,100,NaN,100
167,,,,,NaN,,NaN,,NaN,,,NaN,
168,94,,-5,-9,NaN,-9,NaN,-9,NaN,0,93,NaN,100
169,,,,,NaN,,NaN,,NaN,,,NaN,
170,95,,-6,-9,NaN,-9,NaN,-9,NaN,0,91,NaN,100
171,,,,,NaN,,NaN,,NaN,,,NaN,
172,96,,-6,-8,NaN,-8,NaN,-8,NaN,0,92,NaN,100
173,,,,,NaN,,NaN,,NaN,,,NaN,
174,96,,-6,-8,NaN,-8,NaN,-8,NaN,0,104,NaN,100
175,,,,,NaN,,NaN,,NaN,,,NaN,
176,98,,-6,-8,NaN,-8,NaN,-8,NaN,0,109,NaN,100
177,,,,,NaN,,NaN,,NaN,,,NaN,
178,99,,-6,-8,NaN,-8,NaN,-8,NaN,0,100,NaN,100
179,,,,,NaN,,NaN,,NaN,,,NaN,
180,107,,-6,-8,NaN,-8,NaN,-8,NaN,0,100,NaN,100
181,,,,,NaN,,NaN,,NaN,,,NaN,
