time,Solar8000/ART_MBP,Solar8000/ETCO2,SNUADC/ART,SNUADC/ECG_II,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/PLETH_HR,Solar8000/HR,SNUADC/ECG_V5,Solar8000/ART_SBP,Solar8000/PLETH_SPO2,Solar8000/CVP,SNUADC/CVP
92,-7,0,NaN,NaN,-7,,49,51,NaN,-7,98,-7,NaN
93,,,NaN,NaN,,,,,NaN,,,,NaN
94,-6,0,NaN,NaN,-6,,50,53,NaN,-6,98,-7,NaN
95,,,NaN,NaN,,,,,NaN,,,,NaN
96,-6,0,NaN,NaN,-6,,52,54,NaN,-6,98,-6,NaN
97,,,NaN,NaN,,,,,NaN,,,,NaN
98,-7,0,NaN,NaN,-7,,53,54,NaN,-7,98,-6,NaN
99,,,NaN,NaN,,,,,NaN,,,,NaN
100,-7,0,NaN,NaN,-7,,53,54,NaN,-7,98,-6,NaN
101,,,NaN,NaN,,,,,NaN,,,,NaN
102,-7,0,NaN,NaN,-7,,53,51,NaN,-7,97,-7,NaN
103,,,NaN,NaN,,,,,NaN,,,,NaN
104,-7,0,NaN,NaN,-7,,53,49,NaN,-7,97,-7,NaN
105,,,NaN,NaN,,,,,NaN,,,,NaN
106,-7,0,NaN,NaN,-7,,52,49,NaN,-7,97,-7,NaN
107,,,NaN,NaN,,,,,NaN,,,,NaN
108,-7,0,NaN,NaN,-7,,50,48,NaN,-7,97,-7,NaN
109,,,NaN,NaN,,,,,NaN,,,,NaN
110,-7,0,NaN,NaN,-7,,50,47,NaN,-7,97,-7,NaN
111,,,NaN,NaN,,,,,NaN,,,,NaN
112,-7,0,NaN,NaN,-7,,49,47,NaN,-7,97,-7,NaN
113,,,NaN,NaN,,,,,NaN,,,,NaN
114,-7,0,NaN,NaN,-7,,48,47,NaN,-7,98,-7,NaN
115,,,NaN,NaN,,,,,NaN,,,,NaN
116,-7,0,NaN,NaN,-7,,48,47,NaN,-7,98,-7,NaN
117,,,NaN,NaN,,,,,NaN,,,,NaN
118,-7,0,NaN,NaN,-7,,48,47,NaN,-7,99,-7,NaN
119,,,NaN,NaN,,,,,NaN,,,,NaN
120,-7,0,NaN,NaN,-7,,48,47,NaN,-7,99,-7,NaN
121,,,NaN,NaN,,,,,NaN,,,,NaN
122,-7,0,NaN,NaN,-7,,47,47,NaN,-7,99,-7,NaN
123,,,NaN,NaN,,,,,NaN,,,,NaN
124,-7,0,NaN,NaN,-7,,48,48,NaN,-7,100,-7,NaN
125,,,NaN,NaN,,,,,NaN,,,,NaN
126,-7,0,NaN,NaN,-7,,48,47,NaN,-7,100,-7,NaN
127,,,NaN,NaN,,,,,NaN,,,,NaN
128,-7,0,NaN,NaN,-7,,48,48,NaN,-7,100,-7,NaN
129,,,NaN,NaN,,,,,NaN,,,,NaN
130,-7,0,NaN,NaN,-7,,48,48,NaN,-7,100,-7,NaN
131,,,NaN,NaN,,,,,NaN,,,,NaN
132,-7,0,NaN,NaN,-7,,48,48,NaN,-7,100,-7,NaN
133,,,NaN,NaN,,,,,NaN,,,,NaN
134,-7,0,NaN,NaN,-7,,49,48,NaN,-7,100,-7,NaN
135,,,NaN,NaN,,,,,NaN,,,,NaN
136,-7,0,NaN,NaN,-7,,49,49,NaN,-7,100,-7,NaN
137,,,NaN,NaN,,,,,NaN,,,,NaN
138,-7,0,NaN,NaN,-7,,49,49,NaN,-7,100,-7,NaN
139,,,NaN,NaN,,,,,NaN,,,,NaN
140,-7,0,NaN,NaN,-7,,49,49,NaN,-7,100,-6,NaN
141,,,NaN,NaN,,,,,NaN,,,,NaN
142,-7,0,NaN,NaN,-7,,49,49,NaN,-7,100,-6,NaN
143,,,NaN,NaN,,,,,NaN,,,,NaN
144,-7,0,NaN,NaN,-7,,49,48,NaN,-7,100,-6,NaN
145,,,NaN,NaN,,,,,NaN,,,,NaN
146,-7,0,NaN,NaN,-7,,49,48,NaN,-7,100,-6,NaN
147,,,NaN,NaN,,,,,NaN,,,,NaN
