time,Solar8000/PLETH_HR,Solar8000/HR,SNUADC/ECG_II,Solar8000/ART_SBP,Solar8000/ART_MBP,Solar8000/ETCO2,Solar8000/RR_CO2,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,SNUADC/CVP,SNUADC/ART,Solar8000/ART_DBP,Solar8000/CVP
0,,,NaN,,,,,,NaN,NaN,NaN,,
1,,,-4.9562602043151855,,,,,,-4.9562602043151855,-495.6260070800781,-491.88665771484375,,
2,,,-4.956240177154541,,,,,,-4.956240177154541,-495.6240234375,-491.88470458984375,,
3,61,62,NaN,-7,-7,,,84,NaN,NaN,NaN,-7,
4,,,NaN,,,,,,NaN,NaN,NaN,,
5,61,62,NaN,-8,-8,,,84,NaN,NaN,NaN,-8,
6,,,NaN,,,,,,NaN,NaN,NaN,,
7,61,62,NaN,-8,-8,,,84,NaN,NaN,NaN,-8,
8,,,NaN,,,,,,NaN,NaN,NaN,,
9,61,62,NaN,-8,-8,,,84,NaN,NaN,NaN,-8,
10,,,NaN,,,,,,NaN,NaN,NaN,,
11,62,62,NaN,-8,-8,,,85,NaN,NaN,NaN,-8,
12,,,NaN,,,,,,NaN,NaN,NaN,,
13,65,61,NaN,-7,-7,,,81,NaN,NaN,NaN,-7,
14,,,NaN,,,,,,NaN,NaN,NaN,,
15,67,61,NaN,-7,-7,,,77,NaN,NaN,NaN,-7,
16,,,NaN,,,,,,NaN,NaN,NaN,,
17,67,61,NaN,-7,-7,,,77,NaN,NaN,NaN,-7,
18,,,NaN,,,,,,NaN,NaN,NaN,,
19,67,61,NaN,-7,-7,,,77,NaN,NaN,NaN,-7,
20,,,NaN,,,,,,NaN,NaN,NaN,,
21,67,61,NaN,-8,-8,,,77,NaN,NaN,NaN,-8,
22,,,NaN,,,,,,NaN,NaN,NaN,,
23,67,61,NaN,-8,-8,,,77,NaN,NaN,NaN,-8,
24,,,NaN,,,,,,NaN,NaN,NaN,,
25,67,60,NaN,-8,-8,,,77,NaN,NaN,NaN,-8,
26,,,NaN,,,,,,NaN,NaN,NaN,,
27,67,60,NaN,-8,-8,,,77,NaN,NaN,NaN,-8,
28,,,NaN,,,,,,NaN,NaN,NaN,,
29,,59,NaN,-8,-8,,,,NaN,NaN,NaN,-8,
30,,,NaN,,,,,,NaN,NaN,NaN,,
31,,59,NaN,-8,-8,,,,NaN,NaN,NaN,-8,
32,,,NaN,,,,,,NaN,NaN,NaN,,
33,,59,NaN,-7,-7,,,,NaN,NaN,NaN,-8,
34,,,NaN,,,,,,NaN,NaN,NaN,,
35,,59,NaN,-7,-7,,,,NaN,NaN,NaN,-8,
36,,,NaN,,,,,,NaN,NaN,NaN,,
37,,62,NaN,-7,-7,,,,NaN,NaN,NaN,-8,
38,,,NaN,,,,,,NaN,NaN,NaN,,
39,70,62,NaN,-7,-7,,,82,NaN,NaN,NaN,-7,
40,,,NaN,,,,,,NaN,NaN,NaN,,
41,68,65,NaN,-7,-7,,,87,NaN,NaN,NaN,-7,
42,,,NaN,,,,,,NaN,NaN,NaN,,
43,68,72,NaN,-8,-8,,,87,NaN,NaN,NaN,-8,
44,,,NaN,,,,,,NaN,NaN,NaN,,
45,68,77,NaN,-8,-8,,,87,NaN,NaN,NaN,-8,
46,,,NaN,,,,,,NaN,NaN,NaN,,
47,78,78,NaN,-8,-8,,,96,NaN,NaN,NaN,-8,
48,,,NaN,,,,,,NaN,NaN,NaN,,
49,77,81,NaN,-8,-8,,,99,NaN,NaN,NaN,-8,
50,,,NaN,,,,,,NaN,NaN,NaN,,
51,72,78,NaN,-6,-6,,,100,NaN,NaN,NaN,-6,
52,,,NaN,,,,,,NaN,NaN,NaN,,
53,73,76,NaN,-6,-6,,,100,NaN,NaN,NaN,-8,
54,,,NaN,,,,,,NaN,NaN,NaN,,
55,73,75,NaN,-6,-6,,,100,NaN,NaN,NaN,-8,
56,,,NaN,,,,,,NaN,NaN,NaN,,
57,71,72,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
58,,,NaN,,,,,,NaN,NaN,NaN,,
59,71,70,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
60,,,NaN,,,,,,NaN,NaN,NaN,,
61,71,70,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
62,,,NaN,,,,,,NaN,NaN,NaN,,
63,69,69,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
64,,,NaN,,,,,,NaN,NaN,NaN,,
65,69,69,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
66,,,NaN,,,,,,NaN,NaN,NaN,,
67,71,71,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
68,,,NaN,,,,,,NaN,NaN,NaN,,
69,72,71,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
70,,,NaN,,,,,,NaN,NaN,NaN,,
71,73,71,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
72,,,NaN,,,,,,NaN,NaN,NaN,,
73,73,73,NaN,-6,-6,,,100,NaN,NaN,NaN,-6,
74,,,NaN,,,,,,NaN,NaN,NaN,,
75,73,83,NaN,-6,-6,,,100,NaN,NaN,NaN,-6,
76,,,NaN,,,,,,NaN,NaN,NaN,,
77,73,83,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
78,,,NaN,,,,,,NaN,NaN,NaN,,
79,73,82,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
80,,,NaN,,,,,,NaN,NaN,NaN,,
81,73,82,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
82,,,NaN,,,,,,NaN,NaN,NaN,,
83,71,82,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
84,,,NaN,,,,,,NaN,NaN,NaN,,
85,71,77,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
86,,,NaN,,,,,,NaN,NaN,NaN,,
87,71,70,NaN,-7,-8,,,100,NaN,NaN,NaN,-9,
88,,,NaN,,,,,,NaN,NaN,NaN,,
89,71,71,NaN,-7,-8,,,100,NaN,NaN,NaN,-9,
90,,,NaN,,,,,,NaN,NaN,NaN,,
91,70,71,NaN,-7,-8,,,99,NaN,NaN,NaN,-9,
92,,,NaN,,,,,,NaN,NaN,NaN,,
93,70,71,NaN,-6,-6,,,99,NaN,NaN,NaN,-6,
94,,,NaN,,,,,,NaN,NaN,NaN,,
95,71,71,NaN,-6,-6,,,99,NaN,NaN,NaN,-6,
96,,,NaN,,,,,,NaN,NaN,NaN,,
97,71,74,NaN,-7,-7,,,99,NaN,NaN,NaN,-7,
98,,,NaN,,,,,,NaN,NaN,NaN,,
99,70,69,NaN,-7,-7,,,99,NaN,NaN,NaN,-7,
100,,,NaN,,,,,,NaN,NaN,NaN,,
101,70,69,NaN,-8,-8,,,99,NaN,NaN,NaN,-8,
102,,,NaN,,,,,,NaN,NaN,NaN,,
103,73,70,NaN,-8,-8,,,99,NaN,NaN,NaN,-8,
104,,,NaN,,,,,,NaN,NaN,NaN,,
105,72,70,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
106,,,NaN,,,,,,NaN,NaN,NaN,,
107,69,69,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
108,,,NaN,,,,,,NaN,NaN,NaN,,
109,67,66,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
110,,,NaN,,,,,,NaN,NaN,NaN,,
111,65,63,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
112,,,NaN,,,,,,NaN,NaN,NaN,,
113,62,62,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
114,,,NaN,,,,,,NaN,NaN,NaN,,
115,63,62,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
116,,,NaN,,,,,,NaN,NaN,NaN,,
117,63,63,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
118,,,NaN,,,,,,NaN,NaN,NaN,,
119,63,67,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
120,,,NaN,,,,,,NaN,NaN,NaN,,
121,63,63,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
122,,,NaN,,,,,,NaN,NaN,NaN,,
123,62,62,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
124,,,NaN,,,,,,NaN,NaN,NaN,,
125,62,62,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
126,,,NaN,,,,,,NaN,NaN,NaN,,
127,61,61,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
128,,,NaN,,,,,,NaN,NaN,NaN,,
129,60,60,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
130,,,NaN,,,,,,NaN,NaN,NaN,,
131,61,60,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
132,,,NaN,,,,,,NaN,NaN,NaN,,
133,62,61,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
134,,,NaN,,,,,,NaN,NaN,NaN,,
135,63,62,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
136,,,NaN,,,,,,NaN,NaN,NaN,,
137,64,63,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
138,,,NaN,,,,,,NaN,NaN,NaN,,
139,65,64,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
140,,,NaN,,,,,,NaN,NaN,NaN,,
141,66,66,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
142,,,NaN,,,,,,NaN,NaN,NaN,,
143,68,67,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
144,,,NaN,,,,,,NaN,NaN,NaN,,
145,68,72,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
146,,,NaN,,,,,,NaN,NaN,NaN,,
147,67,77,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
148,,,NaN,,,,,,NaN,NaN,NaN,,
149,66,77,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
150,,,NaN,,,,,,NaN,NaN,NaN,,
151,65,75,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
152,,,NaN,,,,,,NaN,NaN,NaN,,
153,64,74,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
154,,,NaN,,,,,,NaN,NaN,NaN,,
155,63,70,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
156,,,NaN,,,,,,NaN,NaN,NaN,,
157,64,64,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
158,,,NaN,,,,,,NaN,NaN,NaN,,
159,64,63,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
160,,,NaN,,,,,,NaN,NaN,NaN,,
161,63,62,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
162,,,NaN,,,,,,NaN,NaN,NaN,,
163,62,61,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
164,,,NaN,,,,,,NaN,NaN,NaN,,
165,62,61,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
166,,,NaN,,,,,,NaN,NaN,NaN,,
167,62,61,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
168,,,NaN,,,,,,NaN,NaN,NaN,,
169,62,62,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
170,,,NaN,,,,,,NaN,NaN,NaN,,
171,62,62,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
172,,,NaN,,,,,,NaN,NaN,NaN,,
173,61,61,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
174,,,NaN,,,,,,NaN,NaN,NaN,,
175,61,61,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
176,,,NaN,,,,,,NaN,NaN,NaN,,
177,61,60,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
178,,,NaN,,,,,,NaN,NaN,NaN,,
179,60,60,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
180,,,NaN,,,,,,NaN,NaN,NaN,,
181,60,59,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
182,,,NaN,,,,,,NaN,NaN,NaN,,
183,59,59,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
184,,,NaN,,,,,,NaN,NaN,NaN,,
185,59,58,NaN,-6,-6,0,,100,NaN,NaN,NaN,-6,
186,,,NaN,,,,,,NaN,NaN,NaN,,
187,59,58,NaN,-6,-6,0,,100,NaN,NaN,NaN,-6,
188,,,NaN,,,,,,NaN,NaN,NaN,,
189,60,58,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
190,,,NaN,,,,,,NaN,NaN,NaN,,
191,61,60,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
192,,,NaN,,,,,,NaN,NaN,NaN,,
193,62,61,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
194,,,NaN,,,,,,NaN,NaN,NaN,,
195,63,62,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
196,,,NaN,,,,,,NaN,NaN,NaN,,
197,64,64,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
198,,,NaN,,,,,,NaN,NaN,NaN,,
199,66,65,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
200,,,NaN,,,,,,NaN,NaN,NaN,,
201,67,68,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
202,,,NaN,,,,,,NaN,NaN,NaN,,
203,68,72,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
204,,,NaN,,,,,,NaN,NaN,NaN,,
205,68,67,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
206,,,NaN,,,,,,NaN,NaN,NaN,,
207,67,66,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
208,,,NaN,,,,,,NaN,NaN,NaN,,
209,64,63,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
210,,,NaN,,,,,,NaN,NaN,NaN,,
211,62,61,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
212,,,NaN,,,,,,NaN,NaN,NaN,,
213,60,60,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
214,,,NaN,,,,,,NaN,NaN,NaN,,
215,61,60,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
216,,,NaN,,,,,,NaN,NaN,NaN,,
217,61,61,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
218,,,NaN,,,,,,NaN,NaN,NaN,,
219,62,61,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
220,,,NaN,,,,,,NaN,NaN,NaN,,
221,63,68,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
222,,,NaN,,,,,,NaN,NaN,NaN,,
223,63,73,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
224,,,NaN,,,,,,NaN,NaN,NaN,,
225,63,77,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
226,,,NaN,,,,,,NaN,NaN,NaN,,
227,65,72,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
228,,,NaN,,,,,,NaN,NaN,NaN,,
229,66,70,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
230,,,NaN,,,,,,NaN,NaN,NaN,,
231,68,70,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
232,,,NaN,,,,,,NaN,NaN,NaN,,
233,68,73,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
234,,,NaN,,,,,,NaN,NaN,NaN,,
235,68,70,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
236,,,NaN,,,,,,NaN,NaN,NaN,,
237,68,66,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
238,,,NaN,,,,,,NaN,NaN,NaN,,
239,69,65,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
240,,,NaN,,,,,,NaN,NaN,NaN,,
241,72,63,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
242,,,NaN,,,,,,NaN,NaN,NaN,,
243,72,72,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
244,,,NaN,,,,,,NaN,NaN,NaN,,
245,72,69,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
246,,,NaN,,,,,,NaN,NaN,NaN,,
247,72,67,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
248,,,NaN,,,,,,NaN,NaN,NaN,,
249,69,64,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
250,,,NaN,,,,,,NaN,NaN,NaN,,
251,67,59,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
252,,,NaN,,,,,,NaN,NaN,NaN,,
253,67,61,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
254,,,NaN,,,,,,NaN,NaN,NaN,,
255,64,61,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
256,,,NaN,,,,,,NaN,NaN,NaN,,
257,62,61,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
258,,,NaN,,,,,,NaN,NaN,NaN,,
259,61,61,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
260,,,NaN,,,,,,NaN,NaN,NaN,,
261,61,61,NaN,-6,-6,0,,100,NaN,NaN,NaN,-6,
262,,,NaN,,,,,,NaN,NaN,NaN,,
263,61,60,NaN,-6,-6,0,,100,NaN,NaN,NaN,-6,
264,,,NaN,,,,,,NaN,NaN,NaN,,
265,61,60,NaN,3,-7,0,,100,NaN,NaN,NaN,-17,
266,,,NaN,,,,,,NaN,NaN,NaN,,
267,61,60,NaN,-3,-7,0,,100,NaN,NaN,NaN,-11,
268,,,NaN,,,,,,NaN,NaN,NaN,,
269,61,60,NaN,-3,-7,0,,100,NaN,NaN,NaN,-11,
270,,,NaN,,,,,,NaN,NaN,NaN,,
271,62,61,NaN,-3,-7,0,,100,NaN,NaN,NaN,-11,
272,,,NaN,,,,,,NaN,NaN,NaN,,
273,64,65,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
274,,,NaN,,,,,,NaN,NaN,NaN,,
275,66,66,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
276,,,NaN,,,,,,NaN,NaN,NaN,,
277,66,67,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
278,,,NaN,,,,,,NaN,NaN,NaN,,
279,67,66,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
280,,,NaN,,,,,,NaN,NaN,NaN,,
281,66,65,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
282,,,NaN,,,,,,NaN,NaN,NaN,,
283,66,65,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
284,,,NaN,,,,,,NaN,NaN,NaN,,
285,66,66,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
286,,,NaN,,,,,,NaN,NaN,NaN,,
287,68,68,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
288,,,NaN,,,,,,NaN,NaN,NaN,,
289,68,68,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
290,,,NaN,,,,,,NaN,NaN,NaN,,
291,68,68,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
292,,,NaN,,,,,,NaN,NaN,NaN,,
293,66,66,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
294,,,NaN,,,,,,NaN,NaN,NaN,,
295,65,64,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
296,,,NaN,,,,,,NaN,NaN,NaN,,
297,63,61,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
298,,,NaN,,,,,,NaN,NaN,NaN,,
299,62,60,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
300,,,NaN,,,,,,NaN,NaN,NaN,,
301,62,62,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
302,,,NaN,,,,,,NaN,NaN,NaN,,
303,62,62,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
304,,,NaN,,,,,,NaN,NaN,NaN,,
305,63,62,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
306,,,NaN,,,,,,NaN,NaN,NaN,,
307,64,63,NaN,-7,-7,0,,100,NaN,NaN,NaN,-7,
308,,,NaN,,,,,,NaN,NaN,NaN,,
309,63,63,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
310,,,NaN,,,,,,NaN,NaN,NaN,,
311,63,63,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
312,,,NaN,,,,,,NaN,NaN,NaN,,
313,64,63,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
314,,,NaN,,,,,,NaN,NaN,NaN,,
315,65,66,NaN,-8,-8,0,,100,NaN,NaN,NaN,-8,
316,,,NaN,,,,,,NaN,NaN,NaN,,
317,68,69,NaN,-8,-8,5,,100,NaN,NaN,NaN,-8,
318,,,NaN,,,,,,NaN,NaN,NaN,,
319,73,76,NaN,-8,-8,5,,99,NaN,NaN,NaN,-8,
320,,,NaN,,,,,,NaN,NaN,NaN,,
321,80,81,NaN,-7,-7,5,,99,NaN,NaN,NaN,-7,
322,,,NaN,,,,,,NaN,NaN,NaN,,
323,81,81,NaN,-7,-7,5,,99,NaN,NaN,NaN,-7,
324,,,NaN,,,,,,NaN,NaN,NaN,,
325,80,79,NaN,-7,-7,,,99,NaN,NaN,NaN,-7,
326,,,NaN,,,,,,NaN,NaN,NaN,,
327,79,77,NaN,-7,-7,,,99,NaN,NaN,NaN,-7,
328,,,NaN,,,,,,NaN,NaN,NaN,,
329,77,76,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
330,,,NaN,,,,,,NaN,NaN,NaN,,
331,76,76,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
332,,,NaN,,,,,,NaN,NaN,NaN,,
333,76,75,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
334,,,NaN,,,,,,NaN,NaN,NaN,,
335,76,75,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
336,,,NaN,,,,,,NaN,NaN,NaN,,
337,75,75,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
338,,,NaN,,,,,,NaN,NaN,NaN,,
339,75,74,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
340,,,NaN,,,,,,NaN,NaN,NaN,,
341,74,73,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
342,,,NaN,,,,,,NaN,NaN,NaN,,
343,73,71,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
344,,,NaN,,,,,,NaN,NaN,NaN,,
345,71,70,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
346,,,NaN,,,,,,NaN,NaN,NaN,,
347,70,69,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
348,,,NaN,,,,,,NaN,NaN,NaN,,
349,69,69,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
350,,,NaN,,,,,,NaN,NaN,NaN,,
351,68,68,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
352,,,NaN,,,,,,NaN,NaN,NaN,,
353,68,67,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
354,,,NaN,,,,,,NaN,NaN,NaN,,
355,67,66,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
356,,,NaN,,,,,,NaN,NaN,NaN,,
357,66,66,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
358,,,NaN,,,,,,NaN,NaN,NaN,,
359,66,65,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
360,,,NaN,,,,,,NaN,NaN,NaN,,
361,65,65,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
362,,,NaN,,,,,,NaN,NaN,NaN,,
363,65,64,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
364,,,NaN,,,,,,NaN,NaN,NaN,,
365,64,63,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
366,,,NaN,,,,,,NaN,NaN,NaN,,
367,64,63,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
368,,,NaN,,,,,,NaN,NaN,NaN,,
369,63,62,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
370,,,NaN,,,,,,NaN,NaN,NaN,,
371,63,62,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
372,,,NaN,,,,,,NaN,NaN,NaN,,
373,63,63,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
374,,,NaN,,,,,,NaN,NaN,NaN,,
375,63,62,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
376,,,NaN,,,,,,NaN,NaN,NaN,,
377,62,62,NaN,-6,-6,,,100,NaN,NaN,NaN,-6,
378,,,NaN,,,,,,NaN,NaN,NaN,,
379,62,61,NaN,-6,-6,,,100,NaN,NaN,NaN,-6,
380,,,NaN,,,,,,NaN,NaN,NaN,,
381,61,61,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
382,,,NaN,,,,,,NaN,NaN,NaN,,
383,61,60,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
384,,,NaN,,,,,,NaN,NaN,NaN,,
385,61,60,NaN,2,-8,,,100,NaN,NaN,NaN,-12,
386,,,NaN,,,,,,NaN,NaN,NaN,,
387,61,60,NaN,-5,-8,,,100,NaN,NaN,NaN,-10,
388,,,NaN,,,,,,NaN,NaN,NaN,,
389,61,60,NaN,-5,-8,,,100,NaN,NaN,NaN,-10,
390,,,NaN,,,,,,NaN,NaN,NaN,,
391,60,60,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
392,,,NaN,,,,,,NaN,NaN,NaN,,
393,60,60,NaN,-8,-8,,,100,NaN,NaN,NaN,-8,
394,,,NaN,,,,,,NaN,NaN,NaN,,
395,60,59,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
396,,,NaN,,,,,,NaN,NaN,NaN,,
397,60,59,NaN,-7,-7,,,100,NaN,NaN,NaN,-7,
398,,,NaN,,,,,,NaN,NaN,NaN,,
399,59,59,NaN,-6,-6,,,100,NaN,NaN,NaN,-6,
400,,,NaN,,,,,,NaN,NaN,NaN,,
401,59,59,NaN,-5,-7,,,100,NaN,NaN,NaN,-10,
402,,,NaN,,,,,,NaN,NaN,NaN,,
403,59,60,NaN,73,5,,,100,NaN,NaN,NaN,-57,
404,,,NaN,,,,,,NaN,NaN,NaN,,
405,61,60,NaN,65,15,,,100,NaN,NaN,NaN,-21,
406,,,NaN,,,,,,NaN,NaN,NaN,,
407,61,60,NaN,170,16,,,100,NaN,NaN,NaN,-78,
408,,,NaN,,,,,,NaN,NaN,NaN,,
409,61,60,NaN,119,12,,,100,NaN,NaN,NaN,-69,
410,,,NaN,,,,,,NaN,NaN,NaN,,
411,60,60,NaN,58,11,,,100,NaN,NaN,NaN,-38,
412,,,NaN,,,,,,NaN,NaN,NaN,,
413,61,60,NaN,68,7,,,100,NaN,NaN,NaN,-40,
414,,,NaN,,,,,,NaN,NaN,NaN,,
415,61,60,NaN,92,21,,,100,NaN,NaN,NaN,-45,
416,,,NaN,,,,,,NaN,NaN,NaN,,
417,60,60,NaN,72,19,,,100,NaN,NaN,NaN,-25,
418,,,NaN,,,,,,NaN,NaN,NaN,,
419,60,60,NaN,51,18,,,100,NaN,NaN,NaN,-30,
420,,,NaN,,,,,,NaN,NaN,NaN,,
421,60,60,NaN,41,16,,,100,NaN,NaN,NaN,-22,
422,,,NaN,,,,,,NaN,NaN,NaN,,
423,60,60,NaN,61,24,,,100,NaN,NaN,NaN,23,
424,,,NaN,,,,,,NaN,NaN,NaN,,
425,60,60,NaN,104,52,,,100,NaN,NaN,NaN,52,
426,,,NaN,,,,,,NaN,NaN,NaN,,
427,61,60,NaN,115,67,,,100,NaN,NaN,NaN,62,
428,,,NaN,,,,,,NaN,NaN,NaN,,
429,61,61,NaN,126,80,,,100,NaN,NaN,NaN,69,
430,,,NaN,,,,,,NaN,NaN,NaN,,
431,61,61,NaN,124,83,,,100,NaN,NaN,NaN,65,
432,,,NaN,,,,,,NaN,NaN,NaN,,
433,61,61,NaN,118,85,,,100,NaN,NaN,NaN,63,
434,,,NaN,,,,,,NaN,NaN,NaN,,
435,62,61,NaN,115,86,,,100,NaN,NaN,NaN,64,
436,,,NaN,,,,,,NaN,NaN,NaN,,
