time,Solar8000/PLETH_SPO2,Solar8000/ETCO2,Solar8000/HR,SNUADC/ECG_V5,Solar8000/RR_CO2,Solar8000/CVP,Solar8000/ART_MBP,Solar8000/PLETH_HR,SNUADC/ART,Solar8000/ART_SBP,SNUADC/CVP,Solar8000/ART_DBP,SNUADC/ECG_II
0,,,,NaN,,,,,NaN,,NaN,,NaN
1,99,,84,-4.9562602043151855,,-12,-6,85,-496.78717041015625,-6,-495.6260070800781,-6,-4.9562602043151855
2,,,,-4.956240177154541,,,,,-496.7851867675781,,-495.6240234375,,-4.956240177154541
3,99,,82,NaN,,-12,-4,84,NaN,-4,NaN,-4,NaN
4,,,,NaN,,,,,NaN,,NaN,,NaN
5,99,,83,NaN,,-12,-4,84,NaN,-4,NaN,-4,NaN
6,,,,NaN,,,,,NaN,,NaN,,NaN
7,99,,85,NaN,,-12,-6,85,NaN,-6,NaN,-6,NaN
8,,,,NaN,,,,,NaN,,NaN,,NaN
9,99,,85,NaN,,-12,-6,86,NaN,-3,NaN,-8,NaN
10,,,,NaN,,,,,NaN,,NaN,,NaN
11,99,,86,NaN,,-12,-6,87,NaN,-3,NaN,-8,NaN
12,,,,NaN,,,,,NaN,,NaN,,NaN
13,99,,86,NaN,,-12,-6,87,NaN,-6,NaN,-6,NaN
14,,,,NaN,,,,,NaN,,NaN,,NaN
15,99,,87,NaN,,-12,-6,87,NaN,-6,NaN,-6,NaN
16,,,,NaN,,,,,NaN,,NaN,,NaN
17,99,,85,NaN,,-12,-6,87,NaN,-6,NaN,-6,NaN
18,,,,NaN,,,,,NaN,,NaN,,NaN
19,99,,85,NaN,,-11,-6,86,NaN,-6,NaN,-6,NaN
20,,,,NaN,,,,,NaN,,NaN,,NaN
21,99,,85,NaN,,-11,-4,86,NaN,-4,NaN,-4,NaN
22,,,,NaN,,,,,NaN,,NaN,,NaN
23,99,,87,NaN,,-11,-4,87,NaN,-4,NaN,-4,NaN
24,,,,NaN,,,,,NaN,,NaN,,NaN
25,99,,88,NaN,,-11,-5,88,NaN,-5,NaN,-5,NaN
26,,,,NaN,,,,,NaN,,NaN,,NaN
27,99,,87,NaN,,-11,-5,87,NaN,-5,NaN,-5,NaN
28,,,,NaN,,,,,NaN,,NaN,,NaN
29,99,,85,NaN,,-11,-6,86,NaN,-6,NaN,-6,NaN
30,,,,NaN,,,,,NaN,,NaN,,NaN
31,99,,84,NaN,,-11,-6,85,NaN,-6,NaN,-6,NaN
32,,,,NaN,,,,,NaN,,NaN,,NaN
33,99,,86,NaN,,-11,-6,86,NaN,-6,NaN,-6,NaN
34,,,,NaN,,,,,NaN,,NaN,,NaN
35,99,,87,NaN,,-11,-6,87,NaN,-6,NaN,-6,NaN
36,,,,NaN,,,,,NaN,,NaN,,NaN
37,99,,87,NaN,,-11,-5,87,NaN,-5,NaN,-5,NaN
38,,,,NaN,,,,,NaN,,NaN,,NaN
39,99,,85,NaN,,-11,-5,86,NaN,-5,NaN,-5,NaN
40,,,,NaN,,,,,NaN,,NaN,,NaN
41,99,,84,NaN,,-11,-5,85,NaN,-5,NaN,-5,NaN
42,,,,NaN,,,,,NaN,,NaN,,NaN
43,99,,84,NaN,,-12,-6,85,NaN,0,NaN,-10,NaN
44,,,,NaN,,,,,NaN,,NaN,,NaN
45,99,,86,NaN,,-12,-7,87,NaN,8,NaN,-23,NaN
46,,,,NaN,,,,,NaN,,NaN,,NaN
47,99,,87,NaN,,-11,-5,87,NaN,11,NaN,-27,NaN
48,,,,NaN,,,,,NaN,,NaN,,NaN
49,99,,86,NaN,,-11,-5,87,NaN,11,NaN,-27,NaN
50,,,,NaN,,,,,NaN,,NaN,,NaN
51,99,,85,NaN,,-11,-5,86,NaN,11,NaN,-27,NaN
52,,,,NaN,,,,,NaN,,NaN,,NaN
53,99,,84,NaN,,-11,-5,85,NaN,-5,NaN,-5,NaN
54,,,,NaN,,,,,NaN,,NaN,,NaN
55,99,,83,NaN,,-11,-6,84,NaN,1,NaN,-9,NaN
56,,,,NaN,,,,,NaN,,NaN,,NaN
57,99,,83,NaN,,-11,-6,84,NaN,1,NaN,-9,NaN
58,,,,NaN,,,,,NaN,,NaN,,NaN
59,99,,85,NaN,,-11,-6,85,NaN,1,NaN,-9,NaN
60,,,,NaN,,,,,NaN,,NaN,,NaN
61,99,,87,NaN,,-11,-6,87,NaN,-6,NaN,-6,NaN
62,,,,NaN,,,,,NaN,,NaN,,NaN
63,99,,88,NaN,,-11,-6,88,NaN,-6,NaN,-6,NaN
64,,,,NaN,,,,,NaN,,NaN,,NaN
65,99,,87,NaN,,-11,-6,88,NaN,-6,NaN,-6,NaN
66,,,,NaN,,,,,NaN,,NaN,,NaN
67,99,,86,NaN,,-11,-6,87,NaN,-6,NaN,-6,NaN
68,,,,NaN,,,,,NaN,,NaN,,NaN
69,99,,86,NaN,,-11,-4,87,NaN,-4,NaN,-4,NaN
70,,,,NaN,,,,,NaN,,NaN,,NaN
71,99,,87,NaN,,-11,-4,87,NaN,-4,NaN,-4,NaN
72,,,,NaN,,,,,NaN,,NaN,,NaN
73,99,,87,NaN,,-10,-5,87,NaN,-5,NaN,-5,NaN
74,,,,NaN,,,,,NaN,,NaN,,NaN
75,99,,86,NaN,,-10,-5,87,NaN,-5,NaN,-5,NaN
76,,,,NaN,,,,,NaN,,NaN,,NaN
77,99,,85,NaN,,-10,-6,86,NaN,-6,NaN,-6,NaN
78,,,,NaN,,,,,NaN,,NaN,,NaN
79,99,,84,NaN,,-10,-6,85,NaN,-6,NaN,-6,NaN
80,,,,NaN,,,,,NaN,,NaN,,NaN
81,99,,86,NaN,,-10,-6,86,NaN,-6,NaN,-6,NaN
82,,,,NaN,,,,,NaN,,NaN,,NaN
83,99,,87,NaN,,-10,-6,87,NaN,-6,NaN,-6,NaN
84,,,,NaN,,,,,NaN,,NaN,,NaN
85,99,,88,NaN,,-10,-4,88,NaN,-4,NaN,-4,NaN
86,,,,NaN,,,,,NaN,,NaN,,NaN
87,99,,86,NaN,,-10,-4,86,NaN,-4,NaN,-4,NaN
88,,,,NaN,,,,,NaN,,NaN,,NaN
89,99,,84,NaN,,-10,-5,85,NaN,-5,NaN,-5,NaN
90,,,,NaN,,,,,NaN,,NaN,,NaN
91,99,,83,NaN,,-9,-5,84,NaN,-5,NaN,-5,NaN
92,,,,NaN,,,,,NaN,,NaN,,NaN
93,98,,84,NaN,,-9,-6,85,NaN,-6,NaN,-6,NaN
94,,,,NaN,,,,,NaN,,NaN,,NaN
95,98,,87,NaN,,-9,-6,85,NaN,-6,NaN,-6,NaN
96,,,,NaN,,,,,NaN,,NaN,,NaN
97,98,,89,NaN,,-9,-6,86,NaN,-6,NaN,-6,NaN
98,,,,NaN,,,,,NaN,,NaN,,NaN
99,98,,88,NaN,,-9,-6,87,NaN,-6,NaN,-6,NaN
100,,,,NaN,,,,,NaN,,NaN,,NaN
101,98,,86,NaN,,-9,-6,87,NaN,-6,NaN,-6,NaN
102,,,,NaN,,,,,NaN,,NaN,,NaN
103,99,,84,NaN,,-9,-6,85,NaN,-6,NaN,-6,NaN
104,,,,NaN,,,,,NaN,,NaN,,NaN
105,99,,84,NaN,,-9,-5,86,NaN,-5,NaN,-5,NaN
106,,,,NaN,,,,,NaN,,NaN,,NaN
107,99,,86,NaN,,-10,-5,86,NaN,-5,NaN,-5,NaN
108,,,,NaN,,,,,NaN,,NaN,,NaN
109,99,,87,NaN,,-10,-5,87,NaN,-5,NaN,-5,NaN
110,,,,NaN,,,,,NaN,,NaN,,NaN
111,99,,87,NaN,,-10,-5,88,NaN,-5,NaN,-5,NaN
112,,,,NaN,,,,,NaN,,NaN,,NaN
113,99,,85,NaN,,-10,-6,86,NaN,-6,NaN,-6,NaN
114,,,,NaN,,,,,NaN,,NaN,,NaN
115,99,,86,NaN,,-10,-6,86,NaN,-6,NaN,-6,NaN
116,,,,NaN,,,,,NaN,,NaN,,NaN
117,99,,86,NaN,,-10,-6,87,NaN,-6,NaN,-6,NaN
118,,,,NaN,,,,,NaN,,NaN,,NaN
119,99,,88,NaN,,-10,-6,88,NaN,-6,NaN,-6,NaN
120,,,,NaN,,,,,NaN,,NaN,,NaN
121,99,,89,NaN,,-10,-6,89,NaN,-6,NaN,-6,NaN
122,,,,NaN,,,,,NaN,,NaN,,NaN
123,99,,89,NaN,,-10,-6,90,NaN,-6,NaN,-6,NaN
124,,,,NaN,,,,,NaN,,NaN,,NaN
125,99,,88,NaN,,-10,-5,89,NaN,2,NaN,-9,NaN
126,,,,NaN,,,,,NaN,,NaN,,NaN
127,99,,87,NaN,,-10,-5,88,NaN,9,NaN,-17,NaN
128,,,,NaN,,,,,NaN,,NaN,,NaN
129,99,,86,NaN,,-9,-5,88,NaN,9,NaN,-17,NaN
130,,,,NaN,,,,,NaN,,NaN,,NaN
131,99,,87,NaN,,-9,-6,87,NaN,-6,NaN,-6,NaN
132,,,,NaN,,,,,NaN,,NaN,,NaN
133,99,,87,NaN,,-10,-6,87,NaN,-6,NaN,-6,NaN
134,,,,NaN,,,,,NaN,,NaN,,NaN
135,99,,85,NaN,,-10,-6,87,NaN,-6,NaN,-6,NaN
136,,,,NaN,,,,,NaN,,NaN,,NaN
137,99,,84,NaN,,-10,-6,85,NaN,-6,NaN,-6,NaN
138,,,,NaN,,,,,NaN,,NaN,,NaN
139,99,,84,NaN,,-10,-6,85,NaN,2,NaN,-12,NaN
140,,,,NaN,,,,,NaN,,NaN,,NaN
141,99,,85,NaN,,-10,-5,86,NaN,3,NaN,-12,NaN
142,,,,NaN,,,,,NaN,,NaN,,NaN
143,99,,86,NaN,,-10,-5,87,NaN,3,NaN,-12,NaN
144,,,,NaN,,,,,NaN,,NaN,,NaN
145,99,,87,NaN,,-10,-5,87,NaN,-5,NaN,-5,NaN
146,,,,NaN,,,,,NaN,,NaN,,NaN
147,99,,86,NaN,,-10,-5,87,NaN,-5,NaN,-5,NaN
148,,,,NaN,,,,,NaN,,NaN,,NaN
149,99,,84,NaN,,-10,-6,85,NaN,-6,NaN,-6,NaN
150,,,,NaN,,,,,NaN,,NaN,,NaN
151,99,,83,NaN,,-10,-6,84,NaN,-6,NaN,-6,NaN
152,,,,NaN,,,,,NaN,,NaN,,NaN
153,99,,83,NaN,,-10,-6,84,NaN,-6,NaN,-6,NaN
154,,,,NaN,,,,,NaN,,NaN,,NaN
155,100,,84,NaN,,-10,-6,85,NaN,-6,NaN,-6,NaN
156,,,,NaN,,,,,NaN,,NaN,,NaN
157,100,,86,NaN,,-10,-6,86,NaN,-6,NaN,-6,NaN
158,,,,NaN,,,,,NaN,,NaN,,NaN
159,100,,87,NaN,,-10,-6,86,NaN,-6,NaN,-6,NaN
160,,,,NaN,,,,,NaN,,NaN,,NaN
161,99,,85,NaN,,-10,-5,86,NaN,-5,NaN,-5,NaN
162,,,,NaN,,,,,NaN,,NaN,,NaN
163,99,,83,NaN,,-9,-5,86,NaN,-3,NaN,-7,NaN
164,,,,NaN,,,,,NaN,,NaN,,NaN
165,99,,83,NaN,,-9,-5,85,NaN,-4,NaN,-7,NaN
166,,,,NaN,,,,,NaN,,NaN,,NaN
167,99,,84,NaN,,-10,-5,85,NaN,-4,NaN,-7,NaN
168,,,,NaN,,,,,NaN,,NaN,,NaN
169,98,,84,NaN,,-10,-6,84,NaN,-6,NaN,-6,NaN
170,,,,NaN,,,,,NaN,,NaN,,NaN
171,98,,83,NaN,,-10,-6,84,NaN,-6,NaN,-6,NaN
172,,,,NaN,,,,,NaN,,NaN,,NaN
173,98,,82,NaN,,-10,-6,84,NaN,-6,NaN,-6,NaN
174,,,,NaN,,,,,NaN,,NaN,,NaN
175,98,,81,NaN,,-10,-6,84,NaN,-6,NaN,-6,NaN
176,,,,NaN,,,,,NaN,,NaN,,NaN
177,98,,80,NaN,,-10,-5,84,NaN,-5,NaN,-5,NaN
178,,,,NaN,,,,,NaN,,NaN,,NaN
179,98,,82,NaN,,-10,-5,84,NaN,-5,NaN,-5,NaN
180,,,,NaN,,,,,NaN,,NaN,,NaN
181,94,,83,NaN,,-10,-5,84,NaN,-5,NaN,-5,NaN
182,,,,NaN,,,,,NaN,,NaN,,NaN
183,,,84,NaN,,-10,-5,,NaN,-5,NaN,-5,NaN
184,,,,NaN,,,,,NaN,,NaN,,NaN
185,,,83,NaN,,-10,-6,,NaN,-6,NaN,-6,NaN
186,,,,NaN,,,,,NaN,,NaN,,NaN
187,,,82,NaN,,-10,-6,,NaN,-5,NaN,-7,NaN
188,,,,NaN,,,,,NaN,,NaN,,NaN
189,,,83,NaN,,-11,-6,,NaN,-5,NaN,-7,NaN
190,,,,NaN,,,,,NaN,,NaN,,NaN
191,,,85,NaN,,-11,-6,,NaN,-5,NaN,-7,NaN
192,,,,NaN,,,,,NaN,,NaN,,NaN
193,87,,86,NaN,,-11,-6,80,NaN,-6,NaN,-6,NaN
194,,,,NaN,,,,,NaN,,NaN,,NaN
195,,,86,NaN,,-11,-6,,NaN,-6,NaN,-6,NaN
196,,,,NaN,,,,,NaN,,NaN,,NaN
197,,,85,NaN,,-10,-5,,NaN,-5,NaN,-5,NaN
198,,,,NaN,,,,,NaN,,NaN,,NaN
199,92,,84,NaN,,-10,-5,85,NaN,-5,NaN,-5,NaN
200,,,,NaN,,,,,NaN,,NaN,,NaN
201,96,,85,NaN,,-10,-5,87,NaN,-5,NaN,-5,NaN
202,,,,NaN,,,,,NaN,,NaN,,NaN
203,93,,85,NaN,,-10,-5,86,NaN,-5,NaN,-5,NaN
204,,,,NaN,,,,,NaN,,NaN,,NaN
205,93,,88,NaN,,-10,-6,86,NaN,-6,NaN,-6,NaN
206,,,,NaN,,,,,NaN,,NaN,,NaN
207,92,,89,NaN,,-10,-6,92,NaN,-6,NaN,-6,NaN
208,,,,NaN,,,,,NaN,,NaN,,NaN
209,93,,88,NaN,,-10,-6,93,NaN,-6,NaN,-6,NaN
210,,,,NaN,,,,,NaN,,NaN,,NaN
211,95,,86,NaN,,-10,-6,92,NaN,-6,NaN,-6,NaN
212,,,,NaN,,,,,NaN,,NaN,,NaN
213,97,,85,NaN,,-10,-6,92,NaN,-6,NaN,-6,NaN
214,,,,NaN,,,,,NaN,,NaN,,NaN
215,97,,86,NaN,,-10,-6,90,NaN,-6,NaN,-6,NaN
216,,,,NaN,,,,,NaN,,NaN,,NaN
217,98,,88,NaN,,-10,-5,91,NaN,-5,NaN,-5,NaN
218,,,,NaN,,,,,NaN,,NaN,,NaN
219,98,,90,NaN,,-10,-5,89,NaN,-5,NaN,-5,NaN
220,,,,NaN,,,,,NaN,,NaN,,NaN
221,98,,90,NaN,,-10,-6,90,NaN,-6,NaN,-6,NaN
222,,,,NaN,,,,,NaN,,NaN,,NaN
223,98,,88,NaN,,-10,-6,89,NaN,-6,NaN,-6,NaN
224,,,,NaN,,,,,NaN,,NaN,,NaN
225,98,,86,NaN,,-10,-6,89,NaN,-6,NaN,-6,NaN
226,,,,NaN,,,,,NaN,,NaN,,NaN
227,98,,86,NaN,,-10,-6,87,NaN,-6,NaN,-6,NaN
228,,,,NaN,,,,,NaN,,NaN,,NaN
229,98,,87,NaN,,-10,-6,88,NaN,-6,NaN,-6,NaN
230,,,,NaN,,,,,NaN,,NaN,,NaN
231,98,,88,NaN,,-10,-6,89,NaN,-6,NaN,-6,NaN
232,,,,NaN,,,,,NaN,,NaN,,NaN
233,98,,89,NaN,,-10,-5,89,NaN,-5,NaN,-5,NaN
234,,,,NaN,,,,,NaN,,NaN,,NaN
235,98,,89,NaN,,-9,-5,90,NaN,-5,NaN,-5,NaN
236,,,,NaN,,,,,NaN,,NaN,,NaN
237,98,,88,NaN,,-9,-5,89,NaN,-5,NaN,-5,NaN
238,,,,NaN,,,,,NaN,,NaN,,NaN
239,99,,87,NaN,,-9,-5,88,NaN,-5,NaN,-5,NaN
240,,,,NaN,,,,,NaN,,NaN,,NaN
241,99,,88,NaN,,-9,-6,88,NaN,-6,NaN,-6,NaN
242,,,,NaN,,,,,NaN,,NaN,,NaN
243,99,,90,NaN,,-9,-6,90,NaN,-6,NaN,-6,NaN
244,,,,NaN,,,,,NaN,,NaN,,NaN
245,99,,91,NaN,,-10,-6,91,NaN,-6,NaN,-6,NaN
246,,,,NaN,,,,,NaN,,NaN,,NaN
247,99,,90,NaN,,-10,-6,91,NaN,-6,NaN,-6,NaN
248,,,,NaN,,,,,NaN,,NaN,,NaN
249,99,,89,NaN,,-10,-5,90,NaN,-5,NaN,-5,NaN
250,,,,NaN,,,,,NaN,,NaN,,NaN
251,99,,88,NaN,,-10,-5,89,NaN,-5,NaN,-5,NaN
252,,,,NaN,,,,,NaN,,NaN,,NaN
253,99,,89,NaN,,-10,-5,89,NaN,-5,NaN,-5,NaN
254,,,,NaN,,,,,NaN,,NaN,,NaN
255,99,,90,NaN,,-10,-5,91,NaN,-1,NaN,-9,NaN
256,,,,NaN,,,,,NaN,,NaN,,NaN
257,99,,91,NaN,,-9,-5,91,NaN,-1,NaN,-9,NaN
258,,,,NaN,,,,,NaN,,NaN,,NaN
259,99,,90,NaN,,-9,-6,91,NaN,-6,NaN,-6,NaN
260,,,,NaN,,,,,NaN,,NaN,,NaN
261,99,,89,NaN,,-9,-6,90,NaN,-6,NaN,-6,NaN
262,,,,NaN,,,,,NaN,,NaN,,NaN
263,99,,89,NaN,,-9,-6,90,NaN,-6,NaN,-6,NaN
264,,,,NaN,,,,,NaN,,NaN,,NaN
265,99,,91,NaN,,-9,-6,92,NaN,-6,NaN,-6,NaN
266,,,,NaN,,,,,NaN,,NaN,,NaN
267,99,,93,NaN,,-9,-5,93,NaN,-5,NaN,-5,NaN
268,,,,NaN,,,,,NaN,,NaN,,NaN
269,99,,93,NaN,,-10,-5,93,NaN,-5,NaN,-5,NaN
270,,,,NaN,,,,,NaN,,NaN,,NaN
271,99,,92,NaN,,-10,-5,92,NaN,-5,NaN,-5,NaN
272,,,,NaN,,,,,NaN,,NaN,,NaN
273,99,,90,NaN,,-10,-5,91,NaN,-5,NaN,-5,NaN
274,,,,NaN,,,,,NaN,,NaN,,NaN
275,99,,90,NaN,,-11,-6,91,NaN,-6,NaN,-6,NaN
276,,,,NaN,,,,,NaN,,NaN,,NaN
277,99,,91,NaN,,-11,-6,92,NaN,-6,NaN,-6,NaN
278,,,,NaN,,,,,NaN,,NaN,,NaN
279,99,,92,NaN,,-11,-6,92,NaN,-6,NaN,-6,NaN
280,,,,NaN,,,,,NaN,,NaN,,NaN
281,99,,91,NaN,,-11,-6,92,NaN,-6,NaN,-6,NaN
282,,,,NaN,,,,,NaN,,NaN,,NaN
283,99,,91,NaN,,-11,-6,91,NaN,-6,NaN,-6,NaN
284,,,,NaN,,,,,NaN,,NaN,,NaN
285,99,,92,NaN,,-11,-6,91,NaN,-6,NaN,-6,NaN
286,,,,NaN,,,,,NaN,,NaN,,NaN
287,99,,93,NaN,,-11,-4,92,NaN,-4,NaN,-4,NaN
288,,,,NaN,,,,,NaN,,NaN,,NaN
289,99,,92,NaN,,-11,-4,92,NaN,-4,NaN,-4,NaN
290,,,,NaN,,,,,NaN,,NaN,,NaN
291,99,,91,NaN,,-11,-5,92,NaN,-5,NaN,-5,NaN
292,,,,NaN,,,,,NaN,,NaN,,NaN
293,99,,91,NaN,,-11,-5,92,NaN,-5,NaN,-5,NaN
294,,,,NaN,,,,,NaN,,NaN,,NaN
295,99,,91,NaN,,-11,-6,92,NaN,-6,NaN,-6,NaN
296,,,,NaN,,,,,NaN,,NaN,,NaN
297,99,,90,NaN,,-11,-6,91,NaN,-6,NaN,-6,NaN
298,,,,NaN,,,,,NaN,,NaN,,NaN
299,99,,90,NaN,,-10,-6,90,NaN,-6,NaN,-6,NaN
300,,,,NaN,,,,,NaN,,NaN,,NaN
301,99,,89,NaN,,-10,-6,90,NaN,-6,NaN,-6,NaN
302,,,,NaN,,,,,NaN,,NaN,,NaN
303,99,,88,NaN,,-10,-5,89,NaN,-5,NaN,-5,NaN
304,,,,NaN,,,,,NaN,,NaN,,NaN
305,99,,88,NaN,,-10,-5,88,NaN,-5,NaN,-5,NaN
306,,,,NaN,,,,,NaN,,NaN,,NaN
307,99,,87,NaN,,-10,-5,89,NaN,-5,NaN,-5,NaN
308,,,,NaN,,,,,NaN,,NaN,,NaN
309,100,,89,NaN,,-11,-5,90,NaN,-5,NaN,-5,NaN
310,,,,NaN,,,,,NaN,,NaN,,NaN
311,100,,91,NaN,,-11,-6,91,NaN,-6,NaN,-6,NaN
312,,,,NaN,,,,,NaN,,NaN,,NaN
313,100,,91,NaN,,-11,-6,91,NaN,-6,NaN,-6,NaN
314,,,,NaN,,,,,NaN,,NaN,,NaN
315,100,,90,NaN,,-11,-6,91,NaN,-6,NaN,-6,NaN
316,,,,NaN,,,,,NaN,,NaN,,NaN
317,100,,91,NaN,,-11,-6,91,NaN,-6,NaN,-6,NaN
318,,,,NaN,,,,,NaN,,NaN,,NaN
319,100,,91,NaN,,-11,-5,92,NaN,-5,NaN,-5,NaN
320,,,,NaN,,,,,NaN,,NaN,,NaN
321,100,,90,NaN,,-11,-5,91,NaN,-5,NaN,-5,NaN
322,,,,NaN,,,,,NaN,,NaN,,NaN
323,100,,89,NaN,,-11,-5,89,NaN,-5,NaN,-5,NaN
324,,,,NaN,,,,,NaN,,NaN,,NaN
325,100,,88,NaN,,-11,-5,89,NaN,-5,NaN,-5,NaN
326,,,,NaN,,,,,NaN,,NaN,,NaN
327,99,,89,NaN,,-11,-5,89,NaN,-5,NaN,-5,NaN
328,,,,NaN,,,,,NaN,,NaN,,NaN
329,99,,90,NaN,,-11,-5,90,NaN,-5,NaN,-5,NaN
330,,,,NaN,,,,,NaN,,NaN,,NaN
331,99,,90,NaN,,-11,-6,91,NaN,-6,NaN,-6,NaN
332,,,,NaN,,,,,NaN,,NaN,,NaN
333,99,,88,NaN,,-11,-6,90,NaN,-6,NaN,-6,NaN
334,,,,NaN,,,,,NaN,,NaN,,NaN
335,99,,87,NaN,,-11,-6,88,NaN,-6,NaN,-6,NaN
336,,,,NaN,,,,,NaN,,NaN,,NaN
337,99,,87,NaN,,-11,-6,88,NaN,-6,NaN,-6,NaN
338,,,,NaN,,,,,NaN,,NaN,,NaN
339,99,,88,NaN,,-11,-5,89,NaN,-5,NaN,-5,NaN
340,,,,NaN,,,,,NaN,,NaN,,NaN
341,99,,90,NaN,,-11,-5,90,NaN,-5,NaN,-5,NaN
342,,,,NaN,,,,,NaN,,NaN,,NaN
343,99,,91,NaN,,-11,-5,91,NaN,-5,NaN,-5,NaN
344,,,,NaN,,,,,NaN,,NaN,,NaN
345,99,,90,NaN,,-11,-5,91,NaN,-5,NaN,-5,NaN
346,,,,NaN,,,,,NaN,,NaN,,NaN
347,99,,88,NaN,,-11,-6,89,NaN,-6,NaN,-6,NaN
348,,,,NaN,,,,,NaN,,NaN,,NaN
349,99,,88,NaN,,-11,-6,88,NaN,-6,NaN,-6,NaN
350,,,,NaN,,,,,NaN,,NaN,,NaN
351,99,,89,NaN,,-11,-6,89,NaN,-6,NaN,-6,NaN
352,,,,NaN,,,,,NaN,,NaN,,NaN
353,99,,90,NaN,,-11,-6,90,NaN,-6,NaN,-6,NaN
354,,,,NaN,,,,,NaN,,NaN,,NaN
355,99,,89,NaN,,-11,-5,90,NaN,-5,NaN,-5,NaN
356,,,,NaN,,,,,NaN,,NaN,,NaN
357,99,,88,NaN,,-11,-5,89,NaN,-5,NaN,-5,NaN
358,,,,NaN,,,,,NaN,,NaN,,NaN
359,99,,87,NaN,,-11,-5,88,NaN,-5,NaN,-5,NaN
360,,,,NaN,,,,,NaN,,NaN,,NaN
361,99,,87,NaN,,-11,-5,88,NaN,-5,NaN,-5,NaN
362,,,,NaN,,,,,NaN,,NaN,,NaN
363,99,,87,NaN,,-11,-6,88,NaN,-6,NaN,-6,NaN
364,,,,NaN,,,,,NaN,,NaN,,NaN
365,99,,88,NaN,,-11,-6,89,NaN,-6,NaN,-6,NaN
366,,,,NaN,,,,,NaN,,NaN,,NaN
367,99,,90,NaN,,-11,-6,90,NaN,-6,NaN,-6,NaN
368,,,,NaN,,,,,NaN,,NaN,,NaN
369,99,,89,NaN,,-11,-6,89,NaN,-6,NaN,-6,NaN
370,,,,NaN,,,,,NaN,,NaN,,NaN
371,99,,87,NaN,,-11,-6,88,NaN,-6,NaN,-6,NaN
372,,,,NaN,,,,,NaN,,NaN,,NaN
373,99,,85,NaN,,-10,-6,87,NaN,-6,NaN,-6,NaN
374,,,,NaN,,,,,NaN,,NaN,,NaN
375,99,,86,NaN,,-10,-5,86,NaN,-5,NaN,-5,NaN
376,,,,NaN,,,,,NaN,,NaN,,NaN
377,99,,87,NaN,,-11,-5,87,NaN,-5,NaN,-5,NaN
378,,,,NaN,,,,,NaN,,NaN,,NaN
379,99,,87,NaN,,-11,-5,87,NaN,-5,NaN,-5,NaN
380,,,,NaN,,,,,NaN,,NaN,,NaN
381,99,,86,NaN,,-11,-5,87,NaN,-5,NaN,-5,NaN
382,,,,NaN,,,,,NaN,,NaN,,NaN
383,99,,84,NaN,,-11,-6,85,NaN,-6,NaN,-6,NaN
384,,,,NaN,,,,,NaN,,NaN,,NaN
385,99,,84,NaN,,-11,-6,85,NaN,-6,NaN,-6,NaN
386,,,,NaN,,,,,NaN,,NaN,,NaN
387,99,,86,NaN,,-11,-6,86,NaN,-6,NaN,-6,NaN
388,,,,NaN,,,,,NaN,,NaN,,NaN
389,99,,86,NaN,,-11,-6,86,NaN,-6,NaN,-6,NaN
390,,,,NaN,,,,,NaN,,NaN,,NaN
391,99,,85,NaN,,-11,-5,86,NaN,-5,NaN,-5,NaN
392,,,,NaN,,,,,NaN,,NaN,,NaN
393,99,,84,NaN,,-11,-5,85,NaN,-5,NaN,-5,NaN
394,,,,NaN,,,,,NaN,,NaN,,NaN
395,99,,85,NaN,,-11,-5,85,NaN,-5,NaN,-5,NaN
396,,,,NaN,,,,,NaN,,NaN,,NaN
397,99,,87,NaN,,-11,-5,87,NaN,-5,NaN,-5,NaN
398,,,,NaN,,,,,NaN,,NaN,,NaN
399,99,,89,NaN,,-11,-6,89,NaN,-6,NaN,-6,NaN
400,,,,NaN,,,,,NaN,,NaN,,NaN
401,99,,88,NaN,,-11,-6,89,NaN,-6,NaN,-6,NaN
402,,,,NaN,,,,,NaN,,NaN,,NaN
403,98,,86,NaN,,-11,-6,87,NaN,-6,NaN,-6,NaN
404,,,,NaN,,,,,NaN,,NaN,,NaN
405,99,,84,NaN,,-11,-6,86,NaN,-6,NaN,-6,NaN
406,,,,NaN,,,,,NaN,,NaN,,NaN
407,99,,84,NaN,,-10,-6,85,NaN,-6,NaN,-6,NaN
408,,,,NaN,,,,,NaN,,NaN,,NaN
409,99,,84,NaN,,-10,-6,84,NaN,-6,NaN,-6,NaN
410,,,,NaN,,,,,NaN,,NaN,,NaN
411,99,,85,NaN,,-10,-5,86,NaN,-5,NaN,-5,NaN
412,,,,NaN,,,,,NaN,,NaN,,NaN
413,99,,87,NaN,,-10,-5,87,NaN,-5,NaN,-5,NaN
414,,,,NaN,,,,,NaN,,NaN,,NaN
415,98,,88,NaN,,-10,-6,88,NaN,-6,NaN,-6,NaN
416,,,,NaN,,,,,NaN,,NaN,,NaN
417,98,,87,NaN,,-10,-6,87,NaN,-6,NaN,-6,NaN
418,,,,NaN,,,,,NaN,,NaN,,NaN
419,98,,85,NaN,,-10,-6,86,NaN,-6,NaN,-6,NaN
420,,,,NaN,,,,,NaN,,NaN,,NaN
421,98,,85,NaN,,-10,-6,86,NaN,-6,NaN,-6,NaN
422,,,,NaN,,,,,NaN,,NaN,,NaN
423,98,,87,NaN,,-10,-6,87,NaN,-6,NaN,-6,NaN
424,,,,NaN,,,,,NaN,,NaN,,NaN
